,Report_Date,Sudan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,135.0725098308836,6501.711217781503,False,1,0.1416022762441007,13003.422435562998
1,2020-01-23,0,135.0725098308836,6501.711217781503,False,2,0.1542009209861202,13003.422435562998
2,2020-01-24,0,135.0725098308836,6501.711217781503,False,3,0.16792047849739403,13003.422435562998
3,2020-01-25,0,135.0725098308836,6501.711217781503,False,4,0.18286067470613881,13003.422435562998
4,2020-01-26,0,135.0725098308836,6501.711217781503,False,5,0.19913010750682958,13003.422435562998
5,2020-01-27,0,135.0725098308836,6501.711217781503,False,6,0.2168470359483134,13003.422435562998
6,2020-01-28,0,135.0725098308836,6501.711217781503,False,7,0.23614023960530905,13003.422435562998
7,2020-01-29,0,135.0725098308836,6501.711217781503,False,8,0.2571499543715693,13003.422435562998
8,2020-01-30,0,135.0725098308836,6501.711217781503,False,9,0.28002889146687676,13003.422435562998
9,2020-01-31,0,135.0725098308836,6501.711217781503,False,10,0.30494334705300935,13003.422435562998
10,2020-02-01,0,135.0725098308836,6501.711217781503,False,11,0.33207441051016934,13003.422435562998
11,2020-02-02,0,135.0725098308836,6501.711217781503,False,12,0.3616192801398291,13003.422435562998
12,2020-02-03,0,135.0725098308836,6501.711217781503,False,13,0.3937926958376198,13003.422435562998
13,2020-02-04,0,135.0725098308836,6501.711217781503,False,14,0.4288284991263311,13003.422435562998
14,2020-02-05,0,135.0725098308836,6501.711217781503,False,15,0.46698133186034646,13003.422435562998
15,2020-02-06,0,135.0725098308836,6501.711217781503,False,16,0.5085284859154713,13003.422435562998
16,2020-02-07,0,135.0725098308836,6501.711217781503,False,17,0.5537719172692488,13003.422435562998
17,2020-02-08,0,135.0725098308836,6501.711217781503,False,18,0.6030404390642499,13003.422435562998
18,2020-02-09,0,135.0725098308836,6501.711217781503,False,19,0.6566921095388717,13003.422435562998
19,2020-02-10,0,135.0725098308836,6501.711217781503,False,20,0.7151168321160226,13003.422435562998
20,2020-02-11,0,135.0725098308836,6501.711217781503,False,21,0.7787391864696079,13003.422435562998
21,2020-02-12,0,135.0725098308836,6501.711217781503,False,22,0.8480215110527143,13003.422435562998
22,2020-02-13,0,135.0725098308836,6501.711217781503,False,23,0.9234672593814806,13003.422435562998
23,2020-02-14,0,135.0725098308836,6501.711217781503,False,24,1.005624654337465,13003.422435562998
24,2020-02-15,0,135.0725098308836,6501.711217781503,False,25,1.0950906668925913,13003.422435562998
25,2020-02-16,0,135.0725098308836,6501.711217781503,False,26,1.1925153479892925,13003.422435562998
26,2020-02-17,0,135.0725098308836,6501.711217781503,False,27,1.298606544840326,13003.422435562998
27,2020-02-18,0,135.0725098308836,6501.711217781503,False,28,1.4141350356653368,13003.422435562998
28,2020-02-19,0,135.0725098308836,6501.711217781503,False,29,1.5399401198732952,13003.422435562998
29,2020-02-20,0,135.0725098308836,6501.711217781503,False,30,1.6769357039518495,13003.422435562998
30,2020-02-21,0,135.0725098308836,6501.711217781503,False,31,1.8261169268582311,13003.422435562998
31,2020-02-22,0,135.0725098308836,6501.711217781503,False,32,1.988567372545403,13003.422435562998
32,2020-02-23,0,135.0725098308836,6501.711217781503,False,33,2.16546692142702,13003.422435562998
33,2020-02-24,0,135.0725098308836,6501.711217781503,False,34,2.3581002971131038,13003.422435562998
34,2020-02-25,0,135.0725098308836,6501.711217781503,False,35,2.56786636966449,13003.422435562998
35,2020-02-26,0,135.0725098308836,6501.711217781503,False,36,2.796288281949957,13003.422435562998
36,2020-02-27,0,135.0725098308836,6501.711217781503,False,37,3.0450244714795147,13003.422435562998
37,2020-02-28,0,135.0725098308836,6501.711217781503,False,38,3.3158806663669873,13003.422435562998
38,2020-02-29,0,135.0725098308836,6501.711217781503,False,39,3.610822940883969,13003.422435562998
39,2020-03-01,0,135.0725098308836,6501.711217781503,False,40,3.9319919234468355,13003.422435562998
40,2020-03-02,0,135.0725098308836,6501.711217781503,False,41,4.281718257873363,13003.422435562998
41,2020-03-03,0,135.0725098308836,6501.711217781503,False,42,4.662539427402357,13003.422435562998
42,2020-03-04,0,135.0725098308836,6501.711217781503,False,43,5.077218060338766,13003.422435562998
43,2020-03-05,0,135.0725098308836,6501.711217781503,False,44,5.528761846320354,13003.422435562998
44,2020-03-06,0,135.0725098308836,6501.711217781503,False,45,6.020445203155518,13003.422435562998
45,2020-03-07,0,135.0725098308836,6501.711217781503,False,46,6.55583284601349,13003.422435562998
46,2020-03-08,0,135.0725098308836,6501.711217781503,False,47,7.138805423517641,13003.422435562998
47,2020-03-09,0,135.0725098308836,6501.711217781503,False,48,7.773587399063174,13003.422435562998
48,2020-03-10,0,135.0725098308836,6501.711217781503,False,49,8.464777370515414,13003.422435562998
49,2020-03-11,0,135.0725098308836,6501.711217781503,False,50,9.217381037410412,13003.422435562998
50,2020-03-12,0,135.0725098308836,6501.711217781503,False,51,10.03684704194048,13003.422435562998
51,2020-03-13,1,135.0725098308836,6501.711217781503,False,52,10.929105928429884,13003.422435562998
52,2020-03-14,1,135.0725098308836,6501.711217781503,False,53,11.900612485753046,13003.422435562998
53,2020-03-15,1,135.0725098308836,6501.711217781503,False,54,12.958391758280507,13003.422435562998
54,2020-03-16,1,135.0725098308836,6501.711217781503,False,55,14.110089033511558,13003.422435562998
55,2020-03-17,1,135.0725098308836,6501.711217781503,False,56,15.364024138615951,13003.422435562998
56,2020-03-18,2,135.0725098308836,6501.711217781503,False,57,16.72925040369821,13003.422435562998
57,2020-03-19,2,135.0725098308836,6501.711217781503,False,58,18.21561867674243,13003.422435562998
58,2020-03-20,2,135.0725098308836,6501.711217781503,False,59,19.833846803899526,13003.422435562998
59,2020-03-21,2,135.0725098308836,6501.711217781503,False,60,21.59559501902895,13003.422435562998
60,2020-03-22,2,135.0725098308836,6501.711217781503,False,61,23.513547718158534,13003.422435562998
61,2020-03-23,2,135.0725098308836,6501.711217781503,False,62,25.601502127699586,13003.422435562998
62,2020-03-24,3,135.0725098308836,6501.711217781503,False,63,27.874464409727764,13003.422435562998
63,2020-03-25,3,135.0725098308836,6501.711217781503,False,64,30.348753783234088,13003.422435562998
64,2020-03-26,3,135.0725098308836,6501.711217781503,False,65,33.042115276721276,13003.422435562998
65,2020-03-27,3,135.0725098308836,6501.711217781503,False,66,35.97384176454243,13003.422435562998
66,2020-03-28,5,135.0725098308836,6501.711217781503,False,67,39.16490597653086,13003.422435562998
67,2020-03-29,6,135.0725098308836,6501.711217781503,False,68,42.6381032072109,13003.422435562998
68,2020-03-30,6,135.0725098308836,6501.711217781503,False,69,46.41820548653008,13003.422435562998
69,2020-03-31,7,135.0725098308836,6501.711217781503,False,70,50.53212800776994,13003.422435562998
70,2020-04-01,7,135.0725098308836,6501.711217781503,False,71,55.009108639029805,13003.422435562998
71,2020-04-02,8,135.0725098308836,6501.711217781503,False,72,59.88090137116333,13003.422435562998
72,2020-04-03,10,135.0725098308836,6501.711217781503,False,73,65.18198457573016,13003.422435562998
73,2020-04-04,10,135.0725098308836,6501.711217781503,False,74,70.9497849595408,13003.422435562998
74,2020-04-05,12,135.0725098308836,6501.711217781503,False,75,77.22491810548215,13003.422435562998
75,2020-04-06,12,135.0725098308836,6501.711217781503,False,76,84.05144647984397,13003.422435562998
76,2020-04-07,14,135.0725098308836,6501.711217781503,False,77,91.47715576116674,13003.422435562998
77,2020-04-08,14,135.0725098308836,6501.711217781503,False,78,99.55385030096002,13003.422435562998
78,2020-04-09,15,135.0725098308836,6501.711217781503,False,79,108.33766845813567,13003.422435562998
79,2020-04-10,17,135.0725098308836,6501.711217781503,False,80,117.8894184515448,13003.422435562998
80,2020-04-11,19,135.0725098308836,6501.711217781503,False,81,128.27493524269957,13003.422435562998
81,2020-04-12,19,135.0725098308836,6501.711217781503,False,82,139.56545878676022,13003.422435562998
82,2020-04-13,29,135.0725098308836,6501.711217781503,False,83,151.83803376636712,13003.422435562998
83,2020-04-14,32,135.0725098308836,6501.711217781503,False,84,165.17593064098523,13003.422435562998
84,2020-04-15,32,135.0725098308836,6501.711217781503,False,85,179.66908749406892,13003.422435562998
85,2020-04-16,32,135.0725098308836,6501.711217781503,False,86,195.41457173028587,13003.422435562998
86,2020-04-17,33,135.0725098308836,6501.711217781503,False,87,212.5170601527883,13003.422435562998
87,2020-04-18,66,135.0725098308836,6501.711217781503,False,88,231.0893353224216,13003.422435562998
88,2020-04-19,66,135.0725098308836,6501.711217781503,False,89,251.25279535202495,13003.422435562998
89,2020-04-20,107,135.0725098308836,6501.711217781503,False,90,273.1379734038982,13003.422435562998
90,2020-04-21,107,135.0725098308836,6501.711217781503,False,91,296.8850621207035,13003.422435562998
91,2020-04-22,140,135.0725098308836,6501.711217781503,False,92,322.6444370129866,13003.422435562998
92,2020-04-23,174,135.0725098308836,6501.711217781503,False,93,350.5771714339461,13003.422435562998
93,2020-04-24,174,135.0725098308836,6501.711217781503,False,94,380.855534179146,13003.422435562998
94,2020-04-25,213,135.0725098308836,6501.711217781503,False,95,413.66345894304976,13003.422435562998
95,2020-04-26,237,135.0725098308836,6501.711217781503,False,96,449.19697283687304,13003.422435562998
96,2020-04-27,275,135.0725098308836,6501.711217781503,False,97,487.6645689203794,13003.422435562998
97,2020-04-28,318,135.0725098308836,6501.711217781503,False,98,529.2875052289925,13003.422435562998
98,2020-04-29,375,135.0725098308836,6501.711217781503,False,99,574.3000101028076,13003.422435562998
99,2020-04-30,442,135.0725098308836,6501.711217781503,False,100,622.9493707759112,13003.422435562998
100,2020-05-01,533,135.0725098308836,6501.711217781503,False,101,675.4958792107345,13003.422435562998
101,2020-05-02,592,135.0725098308836,6501.711217781503,False,102,732.2126061332725,13003.422435562998
102,2020-05-03,592,135.0725098308836,6501.711217781503,False,103,793.3849712379404,13003.422435562998
103,2020-05-04,678,135.0725098308836,6501.711217781503,False,104,859.3100747143134,13003.422435562998
104,2020-05-05,778,135.0725098308836,6501.711217781503,False,105,930.2957527668945,13003.422435562998
105,2020-05-06,852,135.0725098308836,6501.711217781503,False,106,1006.6593178585081,13003.422435562998
106,2020-05-07,930,135.0725098308836,6501.711217781503,False,107,1088.7259432557187,13003.422435562998
107,2020-05-08,1111,135.0725098308836,6501.711217781503,False,108,1176.8266513823883,13003.422435562998
108,2020-05-09,1164,135.0725098308836,6501.711217781503,False,109,1271.2958668273445,13003.422435562998
109,2020-05-10,1365,135.0725098308836,6501.711217781503,False,110,1372.468497970967,13003.422435562998
110,2020-05-11,1526,135.0725098308836,6501.711217781503,False,111,1480.6765164821068,13003.422435562998
111,2020-05-12,1661,135.0725098308836,6501.711217781503,False,112,1596.2450117831263,13003.422435562998
112,2020-05-13,1818,135.0725098308836,6501.711217781503,False,113,1719.4877083552938,13003.422435562998
113,2020-05-14,1818,135.0725098308836,6501.711217781503,False,114,1850.701947768092,13003.422435562998
114,2020-05-15,1964,135.0725098308836,6501.711217781503,False,115,1990.1631547699758,13003.422435562998
115,2020-05-16,2289,135.0725098308836,6501.711217781503,False,116,2138.118827724586,13003.422435562998
116,2020-05-17,2289,135.0725098308836,6501.711217781503,False,117,2294.7821179531134,13003.422435562998
117,2020-05-18,2591,135.0725098308836,6501.711217781503,False,118,2460.325089716963,13003.422435562998
118,2020-05-19,2728,135.0725098308836,6501.711217781503,False,119,2634.871781887372,13003.422435562998
119,2020-05-20,2728,135.0725098308836,6501.711217781503,False,120,2818.4912226780157,13003.422435562998
120,2020-05-21,3138,135.0725098308836,6501.711217781503,False,121,3011.190578657792,13003.422435562998
121,2020-05-22,3378,135.0725098308836,6501.711217781503,False,122,3212.908646742887,13003.422435562998
122,2020-05-23,3628,135.0725098308836,6501.711217781503,False,123,3423.5099208092647,13003.422435562998
