,Report_Date,China_shanghai_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,9,48.17595077594578,378.5007186953003,True,1,137.12219229831194,709.8907314877748
1,2020-01-23,16,48.17595077594578,378.5007186953003,True,2,140.74963403296132,709.8907314877748
2,2020-01-24,20,48.17595077594578,378.5007186953003,True,3,144.4506746676732,709.8907314877748
3,2020-01-25,33,48.17595077594578,378.5007186953003,True,4,148.22562686309197,709.8907314877748
4,2020-01-26,40,48.17595077594578,378.5007186953003,True,5,152.07473881160573,709.8907314877748
5,2020-01-27,53,48.17595077594578,378.5007186953003,True,6,155.99819123878993,709.8907314877748
6,2020-01-28,66,48.17595077594578,378.5007186953003,True,7,159.99609444211225,709.8907314877748
7,2020-01-29,96,48.17595077594578,378.5007186953003,True,8,164.0684853799736,709.8907314877748
8,2020-01-30,112,48.17595077594578,378.5007186953003,True,9,168.21532482471613,709.8907314877748
9,2020-01-31,135,48.17595077594578,378.5007186953003,True,10,172.43649459373626,709.8907314877748
10,2020-02-01,169,48.17595077594578,378.5007186953003,True,11,176.73179487328744,709.8907314877748
11,2020-02-02,182,48.17595077594578,378.5007186953003,True,12,181.10094164994229,709.8907314877748
12,2020-02-03,203,48.17595077594578,378.5007186953003,True,13,185.54356426499004,709.8907314877748
13,2020-02-04,219,48.17595077594578,378.5007186953003,True,14,190.0592031072745,709.8907314877748
14,2020-02-05,243,48.17595077594578,378.5007186953003,True,15,194.64730746011278,709.8907314877748
15,2020-02-06,257,48.17595077594578,378.5007186953003,True,16,199.30723351797766,709.8907314877748
16,2020-02-07,277,48.17595077594578,378.5007186953003,True,17,204.03824258856127,709.8907314877748
17,2020-02-08,286,48.17595077594578,378.5007186953003,True,18,208.83949949566534,709.8907314877748
18,2020-02-09,293,48.17595077594578,378.5007186953003,True,19,213.71007119807345,709.8907314877748
19,2020-02-10,299,48.17595077594578,378.5007186953003,True,20,218.64892563914998,709.8907314877748
20,2020-02-11,303,48.17595077594578,378.5007186953003,True,21,223.6549308413757,709.8907314877748
21,2020-02-12,311,48.17595077594578,378.5007186953003,True,22,228.72685425936743,709.8907314877748
22,2020-02-13,315,48.17595077594578,378.5007186953003,True,23,233.86336240413758,709.8907314877748
23,2020-02-14,318,48.17595077594578,378.5007186953003,True,24,239.0630207504265,709.8907314877748
24,2020-02-15,326,48.17595077594578,378.5007186953003,True,25,244.32429393789198,709.8907314877748
25,2020-02-16,328,48.17595077594578,378.5007186953003,True,26,249.64554627576297,709.8907314877748
26,2020-02-17,333,48.17595077594578,378.5007186953003,True,27,255.02504255926442,709.8907314877748
27,2020-02-18,333,48.17595077594578,378.5007186953003,True,28,260.46094920470745,709.8907314877748
28,2020-02-19,333,48.17595077594578,378.5007186953003,True,29,265.9513357086096,709.8907314877748
29,2020-02-20,334,48.17595077594578,378.5007186953003,True,30,271.49417643458673,709.8907314877748
30,2020-02-21,334,48.17595077594578,378.5007186953003,True,31,277.08735273003816,709.8907314877748
31,2020-02-22,335,48.17595077594578,378.5007186953003,True,32,282.7286553728511,709.8907314877748
32,2020-02-23,335,48.17595077594578,378.5007186953003,True,33,288.41578734648726,709.8907314877748
33,2020-02-24,335,48.17595077594578,378.5007186953003,True,34,294.1463669398997,709.8907314877748
34,2020-02-25,336,48.17595077594578,378.5007186953003,True,35,299.91793116677854,709.8907314877748
35,2020-02-26,337,48.17595077594578,378.5007186953003,True,36,305.72793949665265,709.8907314877748
36,2020-02-27,337,48.17595077594578,378.5007186953003,True,37,311.57377788840455,709.8907314877748
37,2020-02-28,337,48.17595077594578,378.5007186953003,True,38,317.4527631147998,709.8907314877748
38,2020-02-29,337,48.17595077594578,378.5007186953003,True,39,323.3621473647096,709.8907314877748
39,2020-03-01,337,48.17595077594578,378.5007186953003,True,40,329.29912310784385,709.8907314877748
40,2020-03-02,337,48.17595077594578,378.5007186953003,True,41,335.26082820500886,709.8907314877748
