,Report_Date,France_mayotte_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,182.3511084892909,48291.88180101799,False,1,1.0287719846836807,96583.76360203598
1,2020-01-23,0,182.3511084892909,48291.88180101799,False,2,1.0958180709925969,96583.76360203598
2,2020-01-24,0,182.3511084892909,48291.88180101799,False,3,1.1672335641580283,96583.76360203598
3,2020-01-25,0,182.3511084892909,48291.88180101799,False,4,1.2433032121917111,96583.76360203598
4,2020-01-26,0,182.3511084892909,48291.88180101799,False,5,1.3243303187705613,96583.76360203598
5,2020-01-27,0,182.3511084892909,48291.88180101799,False,6,1.4106379522918306,96583.76360203598
6,2020-01-28,0,182.3511084892909,48291.88180101799,False,7,1.5025702336908855,96583.76360203598
7,2020-01-29,0,182.3511084892909,48291.88180101799,False,8,1.6004937081501809,96583.76360203598
8,2020-01-30,0,182.3511084892909,48291.88180101799,False,9,1.704798806161644,96583.76360203598
9,2020-01-31,0,182.3511084892909,48291.88180101799,False,10,1.8159013997599496,96583.76360203598
10,2020-02-01,0,182.3511084892909,48291.88180101799,False,11,1.934244460122553,96583.76360203598
11,2020-02-02,0,182.3511084892909,48291.88180101799,False,12,2.0602998231352254,96583.76360203598
12,2020-02-03,0,182.3511084892909,48291.88180101799,False,13,2.1945700699508963,96583.76360203598
13,2020-02-04,0,182.3511084892909,48291.88180101799,False,14,2.337590530026472,96583.76360203598
14,2020-02-05,0,182.3511084892909,48291.88180101799,False,15,2.489931414608793,96583.76360203598
15,2020-02-06,0,182.3511084892909,48291.88180101799,False,16,2.652200089158918,96583.76360203598
16,2020-02-07,0,182.3511084892909,48291.88180101799,False,17,2.8250434937554965,96583.76360203598
17,2020-02-08,0,182.3511084892909,48291.88180101799,False,18,3.0091507211053132,96583.76360203598
18,2020-02-09,0,182.3511084892909,48291.88180101799,False,19,3.2052557624144127,96583.76360203598
19,2020-02-10,0,182.3511084892909,48291.88180101799,False,20,3.4141404320389928,96583.76360203598
20,2020-02-11,0,182.3511084892909,48291.88180101799,False,21,3.636637482544142,96583.76360203598
21,2020-02-12,0,182.3511084892909,48291.88180101799,False,22,3.8736339225531378,96583.76360203598
22,2020-02-13,0,182.3511084892909,48291.88180101799,False,23,4.126074550573498,96583.76360203598
23,2020-02-14,0,182.3511084892909,48291.88180101799,False,24,4.3949657188413,96583.76360203598
24,2020-02-15,0,182.3511084892909,48291.88180101799,False,25,4.681379342135784,96583.76360203598
25,2020-02-16,0,182.3511084892909,48291.88180101799,False,26,4.9864571674855345,96583.76360203598
26,2020-02-17,0,182.3511084892909,48291.88180101799,False,27,5.311415321719236,96583.76360203598
27,2020-02-18,0,182.3511084892909,48291.88180101799,False,28,5.657549154912177,96583.76360203598
28,2020-02-19,0,182.3511084892909,48291.88180101799,False,29,6.026238398948484,96583.76360203598
29,2020-02-20,0,182.3511084892909,48291.88180101799,False,30,6.418952661663093,96583.76360203598
30,2020-02-21,0,182.3511084892909,48291.88180101799,False,31,6.837257278351319,96583.76360203598
31,2020-02-22,0,182.3511084892909,48291.88180101799,False,32,7.282819543842798,96583.76360203598
32,2020-02-23,0,182.3511084892909,48291.88180101799,False,33,7.757415349835746,96583.76360203598
33,2020-02-24,0,182.3511084892909,48291.88180101799,False,34,8.262936253782701,96583.76360203598
34,2020-02-25,0,182.3511084892909,48291.88180101799,False,35,8.801397007316156,96583.76360203598
35,2020-02-26,0,182.3511084892909,48291.88180101799,False,36,9.374943574008217,96583.76360203598
36,2020-02-27,0,182.3511084892909,48291.88180101799,False,37,9.98586166817929,96583.76360203598
37,2020-02-28,0,182.3511084892909,48291.88180101799,False,38,10.636585848514086,96583.76360203598
38,2020-02-29,0,182.3511084892909,48291.88180101799,False,39,11.329709202416666,96583.76360203598
39,2020-03-01,0,182.3511084892909,48291.88180101799,False,40,12.067993659347243,96583.76360203598
40,2020-03-02,0,182.3511084892909,48291.88180101799,False,41,12.854380973841767,96583.76360203598
41,2020-03-03,0,182.3511084892909,48291.88180101799,False,42,13.692004421528356,96583.76360203598
42,2020-03-04,0,182.3511084892909,48291.88180101799,False,43,14.584201254233346,96583.76360203598
43,2020-03-05,0,182.3511084892909,48291.88180101799,False,44,15.534525963223283,96583.76360203598
44,2020-03-06,0,182.3511084892909,48291.88180101799,False,45,16.546764402768492,96583.76360203598
45,2020-03-07,0,182.3511084892909,48291.88180101799,False,46,17.624948829550235,96583.76360203598
46,2020-03-08,0,182.3511084892909,48291.88180101799,False,47,18.773373916978322,96583.76360203598
47,2020-03-09,0,182.3511084892909,48291.88180101799,False,48,19.996613807252395,96583.76360203598
48,2020-03-10,0,182.3511084892909,48291.88180101799,False,49,21.29954026800049,96583.76360203598
49,2020-03-11,0,182.3511084892909,48291.88180101799,False,50,22.68734202457697,96583.76360203598
50,2020-03-12,0,182.3511084892909,48291.88180101799,False,51,24.165545343613047,96583.76360203598
51,2020-03-13,0,182.3511084892909,48291.88180101799,False,52,25.740035948201612,96583.76360203598
52,2020-03-14,0,182.3511084892909,48291.88180101799,False,53,27.417082350180753,96583.76360203598
53,2020-03-15,1,182.3511084892909,48291.88180101799,False,54,29.203360690372484,96583.76360203598
54,2020-03-16,1,182.3511084892909,48291.88180101799,False,55,31.10598118335408,96583.76360203598
55,2020-03-17,1,182.3511084892909,48291.88180101799,False,56,33.13251626940491,96583.76360203598
56,2020-03-18,3,182.3511084892909,48291.88180101799,False,57,35.291030582703314,96583.76360203598
57,2020-03-19,3,182.3511084892909,48291.88180101799,False,58,37.590112851663044,96583.76360203598
58,2020-03-20,6,182.3511084892909,48291.88180101799,False,59,40.03890985451969,96583.76360203598
59,2020-03-21,7,182.3511084892909,48291.88180101799,False,60,42.64716256092386,96583.76360203598
60,2020-03-22,11,182.3511084892909,48291.88180101799,False,61,45.425244598392325,96583.76360203598
61,2020-03-23,24,182.3511084892909,48291.88180101799,False,62,48.384203191034125,96583.76360203598
62,2020-03-24,36,182.3511084892909,48291.88180101799,False,63,51.53580272702591,96583.76360203598
63,2020-03-25,36,182.3511084892909,48291.88180101799,False,64,54.892571120887816,96583.76360203598
64,2020-03-26,36,182.3511084892909,48291.88180101799,False,65,58.46784914672667,96583.76360203598
65,2020-03-27,50,182.3511084892909,48291.88180101799,False,66,62.2758429292959,96583.76360203598
66,2020-03-28,63,182.3511084892909,48291.88180101799,False,67,66.3316797909932,96583.76360203598
67,2020-03-29,63,182.3511084892909,48291.88180101799,False,68,70.65146766480126,96583.76360203598
68,2020-03-30,82,182.3511084892909,48291.88180101799,False,69,75.25235829570242,96583.76360203598
69,2020-03-31,94,182.3511084892909,48291.88180101799,False,70,80.15261446628007,96583.76360203598
70,2020-04-01,94,182.3511084892909,48291.88180101799,False,71,85.37168149609197,96583.76360203598
71,2020-04-02,116,182.3511084892909,48291.88180101799,False,72,90.93026327897117,96583.76360203598
72,2020-04-03,128,182.3511084892909,48291.88180101799,False,73,96.85040313771452,96583.76360203598
73,2020-04-04,134,182.3511084892909,48291.88180101799,False,74,103.15556979165686,96583.76360203598
74,2020-04-05,147,182.3511084892909,48291.88180101799,False,75,109.87074874943457,96583.76360203598
75,2020-04-06,147,182.3511084892909,48291.88180101799,False,76,117.02253945681049,96583.76360203598
76,2020-04-07,171,182.3511084892909,48291.88180101799,False,77,124.63925854777993,96583.76360203598
77,2020-04-08,171,182.3511084892909,48291.88180101799,False,78,132.75104956630915,96583.76360203598
78,2020-04-09,184,182.3511084892909,48291.88180101799,False,79,141.38999954595752,96583.76360203598
79,2020-04-10,191,182.3511084892909,48291.88180101799,False,80,150.59026285531095,96583.76360203598
80,2020-04-11,196,182.3511084892909,48291.88180101799,False,81,160.38819273856478,96583.76360203598
81,2020-04-12,196,182.3511084892909,48291.88180101799,False,82,170.82248100273577,96583.76360203598
82,2020-04-13,207,182.3511084892909,48291.88180101799,False,83,181.93430632578992,96583.76360203598
83,2020-04-14,217,182.3511084892909,48291.88180101799,False,84,193.76749168340507,96583.76360203598
84,2020-04-15,217,182.3511084892909,48291.88180101799,False,85,206.3686714160773,96583.76360203598
85,2020-04-16,233,182.3511084892909,48291.88180101799,False,86,219.78746848271655,96583.76360203598
86,2020-04-17,245,182.3511084892909,48291.88180101799,False,87,234.07668247168496,96583.76360203598
87,2020-04-18,254,182.3511084892909,48291.88180101799,False,88,249.29248896523242,96583.76360203598
88,2020-04-19,271,182.3511084892909,48291.88180101799,False,89,265.49465087835995,96583.76360203598
89,2020-04-20,271,182.3511084892909,48291.88180101799,False,90,282.7467424180565,96583.76360203598
90,2020-04-21,311,182.3511084892909,48291.88180101799,False,91,301.1163863333986,96583.76360203598
91,2020-04-22,326,182.3511084892909,48291.88180101799,False,92,320.6755051509064,96583.76360203598
92,2020-04-23,326,182.3511084892909,48291.88180101799,False,93,341.5005871124535,96583.76360203598
93,2020-04-24,354,182.3511084892909,48291.88180101799,False,94,363.67296755461604,96583.76360203598
94,2020-04-25,380,182.3511084892909,48291.88180101799,False,95,387.27912648810843,96583.76360203598
95,2020-04-26,401,182.3511084892909,48291.88180101799,False,96,412.4110031534567,96583.76360203598
96,2020-04-27,401,182.3511084892909,48291.88180101799,False,97,439.16632834364503,96583.76360203598
