,Report_Date,Niger_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.02252787203396,438.47898789161314,True,1,0.010090963782240803,838.6019023604415
1,2020-01-23,0,82.02252787203396,438.47898789161314,True,2,0.011611564980233535,838.6019023604415
2,2020-01-24,0,82.02252787203396,438.47898789161314,True,3,0.013361301157183925,838.6019023604415
3,2020-01-25,0,82.02252787203396,438.47898789161314,True,4,0.015374698866263322,838.6019023604415
4,2020-01-26,0,82.02252787203396,438.47898789161314,True,5,0.01769148682951384,838.6019023604415
5,2020-01-27,0,82.02252787203396,438.47898789161314,True,6,0.020357379637798836,838.6019023604415
6,2020-01-28,0,82.02252787203396,438.47898789161314,True,7,0.023424979475615136,838.6019023604415
7,2020-01-29,0,82.02252787203396,438.47898789161314,True,8,0.02695481363277583,838.6019023604415
8,2020-01-30,0,82.02252787203396,438.47898789161314,True,9,0.031016528233998288,838.6019023604415
9,2020-01-31,0,82.02252787203396,438.47898789161314,True,10,0.03569026168620872,838.6019023604415
10,2020-02-01,0,82.02252787203396,438.47898789161314,True,11,0.041068224871349694,838.6019023604415
11,2020-02-02,0,82.02252787203396,438.47898789161314,True,12,0.04725651916779673,838.6019023604415
12,2020-02-03,0,82.02252787203396,438.47898789161314,True,13,0.054377228044233505,838.6019023604415
13,2020-02-04,0,82.02252787203396,438.47898789161314,True,14,0.06257082332539428,838.6019023604415
14,2020-02-05,0,82.02252787203396,438.47898789161314,True,15,0.07199893338172773,838.6019023604415
15,2020-02-06,0,82.02252787203396,438.47898789161314,True,16,0.08284752756166072,838.6019023604415
16,2020-02-07,0,82.02252787203396,438.47898789161314,True,17,0.09533057929921256,838.6019023604415
17,2020-02-08,0,82.02252787203396,438.47898789161314,True,18,0.1096942796434301,838.6019023604415
18,2020-02-09,0,82.02252787203396,438.47898789161314,True,19,0.12622188364279932,838.6019023604415
19,2020-02-10,0,82.02252787203396,438.47898789161314,True,20,0.14523928427446142,838.6019023604415
20,2020-02-11,0,82.02252787203396,438.47898789161314,True,21,0.16712142265824778,838.6019023604415
21,2020-02-12,0,82.02252787203396,438.47898789161314,True,22,0.19229965939225066,838.6019023604415
22,2020-02-13,0,82.02252787203396,438.47898789161314,True,23,0.22127025027541591,838.6019023604415
23,2020-02-14,0,82.02252787203396,438.47898789161314,True,24,0.2546040907647187,838.6019023604415
24,2020-02-15,0,82.02252787203396,438.47898789161314,True,25,0.2929579176097887,838.6019023604415
25,2020-02-16,0,82.02252787203396,438.47898789161314,True,26,0.3370871836177193,838.6019023604415
26,2020-02-17,0,82.02252787203396,438.47898789161314,True,27,0.3878608528701201,838.6019023604415
27,2020-02-18,0,82.02252787203396,438.47898789161314,True,28,0.446278399432844,838.6019023604415
28,2020-02-19,0,82.02252787203396,438.47898789161314,True,29,0.5134893332001789,838.6019023604415
29,2020-02-20,0,82.02252787203396,438.47898789161314,True,30,0.5908156225752549,838.6019023604415
30,2020-02-21,0,82.02252787203396,438.47898789161314,True,31,0.6797774358182513,838.6019023604415
31,2020-02-22,0,82.02252787203396,438.47898789161314,True,32,0.7821226817299827,838.6019023604415
32,2020-02-23,0,82.02252787203396,438.47898789161314,True,33,0.8998608965244285,838.6019023604415
33,2020-02-24,0,82.02252787203396,438.47898789161314,True,34,1.0353020979049266,838.6019023604415
34,2020-02-25,0,82.02252787203396,438.47898789161314,True,35,1.1911013100625585,838.6019023604415
35,2020-02-26,0,82.02252787203396,438.47898789161314,True,36,1.3703095550162983,838.6019023604415
36,2020-02-27,0,82.02252787203396,438.47898789161314,True,37,1.57643220667641,838.6019023604415
37,2020-02-28,0,82.02252787203396,438.47898789161314,True,38,1.8134957142010006,838.6019023604415
38,2020-02-29,0,82.02252787203396,438.47898789161314,True,39,2.086123820151704,838.6019023604415
39,2020-03-01,0,82.02252787203396,438.47898789161314,True,40,2.399624525518482,838.6019023604415
40,2020-03-02,0,82.02252787203396,438.47898789161314,True,41,2.760089185852079,838.6019023604415
