,Report_Date,Spain_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,73.57334717473552,113677.08054800697,True,1,16.322266031794932,227306.52988480453
1,2020-01-23,0,0,73.57334717473552,113677.08054800697,True,2,18.615530859818357,227306.52988480453
2,2020-01-24,0,0,73.57334717473552,113677.08054800697,True,3,21.230967402227606,227306.52988480453
3,2020-01-25,0,0,73.57334717473552,113677.08054800697,True,4,24.21382724117128,227306.52988480453
4,2020-01-26,0,0,73.57334717473552,113677.08054800697,True,5,27.615715182539255,227306.52988480453
5,2020-01-27,0,0,73.57334717473552,113677.08054800697,True,6,31.495480416428904,227306.52988480453
6,2020-01-28,0,0,73.57334717473552,113677.08054800697,True,7,35.92023243369738,227306.52988480453
7,2020-01-29,0,0,73.57334717473552,113677.08054800697,True,8,40.96649908950646,227306.52988480453
8,2020-01-30,0,0,73.57334717473552,113677.08054800697,True,9,46.72154660673929,227306.52988480453
9,2020-01-31,0,0,73.57334717473552,113677.08054800697,True,10,53.28488403915358,227306.52988480453
10,2020-02-01,1,1,73.57334717473552,113677.08054800697,True,11,60.769977808061654,227306.52988480453
11,2020-02-02,1,1,73.57334717473552,113677.08054800697,True,12,69.30620543389323,227306.52988480453
12,2020-02-03,1,1,73.57334717473552,113677.08054800697,True,13,79.04108155701547,227306.52988480453
13,2020-02-04,1,1,73.57334717473552,113677.08054800697,True,14,90.14279383786928,227306.52988480453
14,2020-02-05,1,1,73.57334717473552,113677.08054800697,True,15,102.80309140764119,227306.52988480453
15,2020-02-06,1,1,73.57334717473552,113677.08054800697,True,16,117.24057427580908,227306.52988480453
16,2020-02-07,1,1,73.57334717473552,113677.08054800697,True,17,133.7044385639814,227306.52988480453
17,2020-02-08,1,1,73.57334717473552,113677.08054800697,True,18,152.47873970560636,227306.52988480453
18,2020-02-09,2,2,73.57334717473552,113677.08054800697,True,19,173.88724391173108,227306.52988480453
19,2020-02-10,2,2,73.57334717473552,113677.08054800697,True,20,198.2989473402733,227306.52988480453
20,2020-02-11,2,2,73.57334717473552,113677.08054800697,True,21,226.13435260714397,227306.52988480453
21,2020-02-12,2,2,73.57334717473552,113677.08054800697,True,22,257.87260362640063,227306.52988480453
22,2020-02-13,2,2,73.57334717473552,113677.08054800697,True,23,294.0595923406515,227306.52988480453
23,2020-02-14,2,2,73.57334717473552,113677.08054800697,True,24,335.3171647657969,227306.52988480453
24,2020-02-15,2,0,73.57334717473552,113677.08054800697,True,25,382.3535689670746,227306.52988480453
25,2020-02-16,2,0,73.57334717473552,113677.08054800697,True,26,435.97530411297583,227306.52988480453
26,2020-02-17,2,0,73.57334717473552,113677.08054800697,True,27,497.10054757610453,227306.52988480453
27,2020-02-18,2,0,73.57334717473552,113677.08054800697,True,28,566.7743560497894,227306.52988480453
28,2020-02-19,2,0,73.57334717473552,113677.08054800697,True,29,646.1858566107684,227306.52988480453
29,2020-02-20,2,0,73.57334717473552,113677.08054800697,True,30,736.6876642298572,227306.52988480453
30,2020-02-21,2,0,73.57334717473552,113677.08054800697,True,31,839.8177828794173,227306.52988480453
31,2020-02-22,2,0,73.57334717473552,113677.08054800697,True,32,957.3242673306797,227306.52988480453
32,2020-02-23,2,0,73.57334717473552,113677.08054800697,True,33,1091.192940878455,227306.52988480453
33,2020-02-24,2,0,73.57334717473552,113677.08054800697,True,34,1243.6784790638415,227306.52988480453
34,2020-02-25,6,4,73.57334717473552,113677.08054800697,True,35,1417.3391789428667,227306.52988480453
35,2020-02-26,13,11,73.57334717473552,113677.08054800697,True,36,1615.0757348489421,227306.52988480453
36,2020-02-27,15,13,73.57334717473552,113677.08054800697,True,37,1840.1743313464747,227306.52988480453
37,2020-02-28,32,30,73.57334717473552,113677.08054800697,True,38,2096.354337541927,227306.52988480453
38,2020-02-29,45,43,73.57334717473552,113677.08054800697,True,39,2387.8208381835907,227306.52988480453
39,2020-03-01,84,82,73.57334717473552,113677.08054800697,True,40,2719.3221585625497,227306.52988480453
40,2020-03-02,120,118,73.57334717473552,113677.08054800697,True,41,3096.2124228110615,227306.52988480453
41,2020-03-03,165,162,73.57334717473552,113677.08054800697,True,42,3524.5190173622777,227306.52988480453
42,2020-03-04,222,218,73.57334717473552,113677.08054800697,True,43,4011.014599337634,227306.52988480453
43,2020-03-05,259,254,73.57334717473552,113677.08054800697,True,44,4563.292977263691,227306.52988480453
44,2020-03-06,400,393,73.57334717473552,113677.08054800697,True,45,5189.847780209331,227306.52988480453
45,2020-03-07,500,460,73.57334717473552,113677.08054800697,True,46,5900.152300622134,227306.52988480453
46,2020-03-08,673,626,73.57334717473552,113677.08054800697,True,47,6704.738224213263,227306.52988480453
47,2020-03-09,1073,1013,73.57334717473552,113677.08054800697,True,48,7615.270126188055,227306.52988480453
48,2020-03-10,1695,1628,73.57334717473552,113677.08054800697,True,49,8644.611599289741,227306.52988480453
49,2020-03-11,2277,2040,73.57334717473552,113677.08054800697,True,50,9806.877675390144,227306.52988480453
50,2020-03-12,2277,2039,73.57334717473552,113677.08054800697,True,51,11117.466812138196,227306.52988480453
51,2020-03-13,5232,4906,73.57334717473552,113677.08054800697,True,52,12593.064164631001,227306.52988480453
52,2020-03-14,6391,5679,73.57334717473552,113677.08054800697,True,53,14251.60620672712,227306.52988480453
53,2020-03-15,7798,6992,73.57334717473552,113677.08054800697,True,54,16112.195110218883,227306.52988480453
