,Report_Date,Spain_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
54,2020-03-16,9942,9070,73.57334717473552,113677.08054800697,True,55,18194.949794878794,227306.52988480453
55,2020-03-17,11748,10187,73.57334717473552,113677.08054800697,True,56,20520.779464101422,227306.52988480453
56,2020-03-18,13910,12206,73.57334717473552,113677.08054800697,True,57,23111.06505888886,227306.52988480453
57,2020-03-19,17963,16026,73.57334717473552,113677.08054800697,True,58,25987.23480183692,227306.52988480453
58,2020-03-20,20410,17779,73.57334717473552,113677.08054800697,True,59,29170.222337781554,227306.52988480453
59,2020-03-21,25374,21874,73.57334717473552,113677.08054800697,True,60,32679.800415602,227306.52988480453
60,2020-03-22,28768,24421,73.57334717473552,113677.08054800697,True,61,36533.79006214974,227306.52988480453
61,2020-03-23,35136,30250,73.57334717473552,113677.08054800697,True,62,40747.15508752067,227306.52988480453
62,2020-03-24,39885,33283,73.57334717473552,113677.08054800697,True,63,45331.00454191221,227306.52988480453
63,2020-03-25,49515,40501,73.57334717473552,113677.08054800697,True,64,50291.540954352546,227306.52988480453
64,2020-03-26,57786,46406,73.57334717473552,113677.08054800697,True,65,55629.008721476486,227306.52988480453
65,2020-03-27,65719,51224,73.57334717473552,113677.08054800697,True,66,61336.71304251419,227306.52988480453
66,2020-03-28,73235,54968,73.57334717473552,113677.08054800697,True,67,67400.19277354225,227306.52988480453
67,2020-03-29,80110,58598,73.57334717473552,113677.08054800697,True,68,73796.63748776674,227306.52988480453
68,2020-03-30,87956,63460,73.57334717473552,113677.08054800697,True,69,80494.63686614741,227306.52988480453
69,2020-03-31,95923,68200,73.57334717473552,113677.08054800697,True,70,87454.33697102848,227306.52988480453
70,2020-04-01,104118,72084,73.57334717473552,113677.08054800697,True,71,94628.05209706297,227306.52988480453
71,2020-04-02,112065,74974,73.57334717473552,113677.08054800697,True,72,101961.34398985241,227306.52988480453
72,2020-04-03,119199,77488,73.57334717473552,113677.08054800697,True,73,109394.53593172508,227306.52988480453
73,2020-04-04,126168,80002,73.57334717473552,113677.08054800697,True,74,116864.58331200165,227306.52988480453
74,2020-04-05,131646,80925,73.57334717473552,113677.08054800697,True,75,124307.18183395667,227306.52988480453
75,2020-04-06,136675,82897,73.57334717473552,113677.08054800697,True,76,131658.96625901264,227306.52988480453
76,2020-04-07,141942,84689,73.57334717473552,113677.08054800697,True,77,138859.64157350358,227306.52988480453
77,2020-04-08,148220,85407,73.57334717473552,113677.08054800697,True,78,145853.89669797392,227306.52988480453
78,2020-04-09,153222,85610,73.57334717473552,113677.08054800697,True,79,152592.97683552725,227306.52988480453
79,2020-04-10,158273,86524,73.57334717473552,113677.08054800697,True,80,159035.8296290201,227306.52988480453
80,2020-04-11,163027,87312,73.57334717473552,113677.08054800697,True,81,165149.7858353237,227306.52988480453
81,2020-04-12,166831,87231,73.57334717473552,113677.08054800697,True,82,170910.78015423656,227306.52988480453
82,2020-04-13,170099,87616,73.57334717473552,113677.08054800697,True,83,176303.1561234692,227306.52988480453
83,2020-04-14,172541,86981,73.57334717473552,113677.08054800697,True,84,181319.12660438268,227306.52988480453
84,2020-04-15,177644,88083,73.57334717473552,113677.08054800697,True,85,185957.9767467654,227306.52988480453
85,2020-04-16,184948,90836,73.57334717473552,113677.08054800697,True,86,190225.10003724977,227306.52988480453
86,2020-04-17,190839,96040,73.57334717473552,113677.08054800697,True,87,194130.95227300317,227306.52988480453
87,2020-04-18,191726,96886,73.57334717473552,113677.08054800697,True,88,197689.99601998235,227306.52988480453
88,2020-04-19,198674,100864,73.57334717473552,113677.08054800697,True,89,200919.6923606442,227306.52988480453
89,2020-04-20,200210,98771,73.57334717473552,113677.08054800697,True,90,203839.58013989302,227306.52988480453
90,2020-04-21,204178,100382,73.57334717473552,113677.08054800697,True,91,206470.46742730503,227306.52988480453
91,2020-04-22,208389,100757,73.57334717473552,113677.08054800697,True,92,208833.74673369032,227306.52988480453
92,2020-04-23,213024,101617,73.57334717473552,113677.08054800697,True,93,210950.83519874327,227306.52988480453
93,2020-04-24,202990,88111,73.57334717473552,113677.08054800697,True,94,212842.73355150755,227306.52988480453
94,2020-04-25,205905,87295,73.57334717473552,113677.08054800697,True,95,214529.69285767208,227306.52988480453
95,2020-04-26,207634,86072,73.57334717473552,113677.08054800697,True,96,216030.97545595738,227306.52988480453
96,2020-04-27,209465,85069,73.57334717473552,113677.08054800697,True,97,217364.69554387414,227306.52988480453
97,2020-04-28,210773,84403,73.57334717473552,113677.08054800697,True,98,218547.72511795026,227306.52988480453
98,2020-04-29,212917,79695,73.57334717473552,113677.08054800697,True,99,219595.65198880603,227306.52988480453
99,2020-04-30,213435,76842,73.57334717473552,113677.08054800697,True,100,220522.77804510423,227306.52988480453
100,2020-05-01,215216,78623,73.57334717473552,113677.08054800697,True,101,221342.14758492334,227306.52988480453
101,2020-05-02,216582,74234,73.57334717473552,113677.08054800697,True,102,222065.59719629562,227306.52988480453
102,2020-05-03,217466,73300,73.57334717473552,113677.08054800697,True,103,222703.8202399524,227306.52988480453
103,2020-05-04,218011,71240,73.57334717473552,113677.08054800697,True,104,223266.44040342973,227306.52988480453
104,2020-05-05,219329,70230,73.57334717473552,113677.08054800697,True,105,223762.09002740798,227306.52988480453
105,2020-05-06,220325,68466,73.57334717473552,113677.08054800697,True,106,224198.4899464614,227306.52988480453
106,2020-05-07,221447,66866,73.57334717473552,113677.08054800697,True,107,224582.52844583854,227306.52988480453
107,2020-05-08,222857,65410,73.57334717473552,113677.08054800697,True,108,224920.3376303362,227306.52988480453
108,2020-05-09,223578,63148,73.57334717473552,113677.08054800697,True,109,225217.36605148093,227306.52988480453
109,2020-05-10,224350,61563,73.57334717473552,113677.08054800697,True,110,225478.44686674874,227306.52988480453
110,2020-05-11,227436,63553,73.57334717473552,113677.08054800697,True,111,225707.86113021636,227306.52988480453
111,2020-05-12,228030,62130,73.57334717473552,113677.08054800697,True,112,225909.39605675102,227306.52988480453
112,2020-05-13,228691,60764,73.57334717473552,113677.08054800697,True,113,226086.3982781731,227306.52988480453
113,2020-05-14,229540,58845,73.57334717473552,113677.08054800697,True,114,226241.82223386882,227306.52988480453
114,2020-05-15,230183,57941,73.57334717473552,113677.08054800697,True,115,226378.27392183963,227306.52988480453
115,2020-05-16,230698,56689,73.57334717473552,113677.08054800697,True,116,226498.05028875565,227306.52988480453
116,2020-05-17,230698,56689,73.57334717473552,113677.08054800697,True,117,226603.17456696377,227306.52988480453
117,2020-05-18,231606,53521,73.57334717473552,113677.08054800697,True,118,226695.42787872124,227306.52988480453
118,2020-05-19,232037,53883,73.57334717473552,113677.08054800697,True,119,226776.37742798962,227306.52988480453
119,2020-05-20,232555,54291,73.57334717473552,113677.08054800697,True,120,226847.4015916412,227306.52988480453
120,2020-05-21,233037,54721,73.57334717473552,113677.08054800697,True,121,226909.7122077411,227306.52988480453
121,2020-05-22,234824,55820,73.57334717473552,113677.08054800697,True,122,226964.3743408042,227306.52988480453
122,2020-05-23,235290,56236,73.57334717473552,113677.08054800697,True,123,227012.3237841668,227306.52988480453
123,2020-05-24,235772,56644,73.57334717473552,113677.08054800697,True,124,227054.38253901497,227306.52988480453
124,2020-05-25,235400,58190,73.57334717473552,113677.08054800697,True,125,227091.27248899016,227306.52988480453
125,2020-05-26,236259,58766,73.57334717473552,113677.08054800697,True,126,227123.62746921557,227306.52988480453
126,2020-05-27,236259,58766,73.57334717473552,113677.08054800697,True,127,227152.00390942907,227306.52988480453
127,2020-05-28,237906,60411,73.57334717473552,113677.08054800697,True,128,227176.89021290565,227306.52988480453
