,Report_Date,Chad_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.03575030406881,8.812278208947982,True,1,0.00020546981786411875,15.50347421287911
1,2020-01-23,0,75.03575030406881,8.812278208947982,True,2,0.00023954223653111002,15.50347421287911
2,2020-01-24,0,75.03575030406881,8.812278208947982,True,3,0.0002792646885241836,15.50347421287911
3,2020-01-25,0,75.03575030406881,8.812278208947982,True,4,0.0003255740542370901,15.50347421287911
4,2020-01-26,0,75.03575030406881,8.812278208947982,True,5,0.0003795625546738767,15.50347421287911
5,2020-01-27,0,75.03575030406881,8.812278208947982,True,6,0.00044250350374307824,15.50347421287911
6,2020-01-28,0,75.03575030406881,8.812278208947982,True,7,0.00051588132826569,15.50347421287911
7,2020-01-29,0,75.03575030406881,8.812278208947982,True,8,0.0006014265624146487,15.50347421287911
8,2020-01-30,0,75.03575030406881,8.812278208947982,True,9,0.0007011566401412003,15.50347421287911
9,2020-01-31,0,75.03575030406881,8.812278208947982,True,10,0.0008174234452282068,15.50347421287911
10,2020-02-01,0,75.03575030406881,8.812278208947982,True,11,0.0009529687370878999,15.50347421287911
11,2020-02-02,0,75.03575030406881,8.812278208947982,True,12,0.0011109887549427624,15.50347421287911
12,2020-02-03,0,75.03575030406881,8.812278208947982,True,13,0.001295209517827069,15.50347421287911
13,2020-02-04,0,75.03575030406881,8.812278208947982,True,14,0.0015099745878288052,15.50347421287911
14,2020-02-05,0,75.03575030406881,8.812278208947982,True,15,0.0017603473548350914,15.50347421287911
15,2020-02-06,0,75.03575030406881,8.812278208947982,True,16,0.002052230239312146,15.50347421287911
16,2020-02-07,0,75.03575030406881,8.812278208947982,True,17,0.002392503602918749,15.50347421287911
17,2020-02-08,0,75.03575030406881,8.812278208947982,True,18,0.0027891876137485215,15.50347421287911
18,2020-02-09,0,75.03575030406881,8.812278208947982,True,19,0.0032516308437564767,15.50347421287911
19,2020-02-10,0,75.03575030406881,8.812278208947982,True,20,0.0037907299919583827,15.50347421287911
20,2020-02-11,0,75.03575030406881,8.812278208947982,True,21,0.0044191858414568495,15.50347421287911
21,2020-02-12,0,75.03575030406881,8.812278208947982,True,22,0.005151801386236666,15.50347421287911
22,2020-02-13,0,75.03575030406881,8.812278208947982,True,23,0.006005829021985989,15.50347421287911
23,2020-02-14,0,75.03575030406881,8.812278208947982,True,24,0.0070013748031170185,15.50347421287911
24,2020-02-15,0,75.03575030406881,8.812278208947982,True,25,0.008161869047165937,15.50347421287911
25,2020-02-16,0,75.03575030406881,8.812278208947982,True,26,0.009514614041715932,15.50347421287911
26,2020-02-17,0,75.03575030406881,8.812278208947982,True,27,0.011091421304139539,15.50347421287911
27,2020-02-18,0,75.03575030406881,8.812278208947982,True,28,0.012929352789219585,15.50347421287911
28,2020-02-19,0,75.03575030406881,8.812278208947982,True,29,0.01507158266430375,15.50347421287911
29,2020-02-20,0,75.03575030406881,8.812278208947982,True,30,0.017568398807378784,15.50347421287911
30,2020-02-21,0,75.03575030406881,8.812278208947982,True,31,0.020478366061516238,15.50347421287911
31,2020-02-22,0,75.03575030406881,8.812278208947982,True,32,0.023869676528794542,15.50347421287911
32,2020-02-23,0,75.03575030406881,8.812278208947982,True,33,0.02782171583258173,15.50347421287911
33,2020-02-24,0,75.03575030406881,8.812278208947982,True,34,0.03242687833477265,15.50347421287911
34,2020-02-25,0,75.03575030406881,8.812278208947982,True,35,0.0377926687655148,15.50347421287911
35,2020-02-26,0,75.03575030406881,8.812278208947982,True,36,0.04404413258583971,15.50347421287911
36,2020-02-27,0,75.03575030406881,8.812278208947982,True,37,0.05132666260334682,15.50347421287911
37,2020-02-28,0,75.03575030406881,8.812278208947982,True,38,0.05980923479339759,15.50347421287911
38,2020-02-29,0,75.03575030406881,8.812278208947982,True,39,0.06968813176899005,15.50347421287911
39,2020-03-01,0,75.03575030406881,8.812278208947982,True,40,0.08119121761972993,15.50347421287911
40,2020-03-02,0,75.03575030406881,8.812278208947982,True,41,0.09458283249794179,15.50347421287911
41,2020-03-03,0,75.03575030406881,8.812278208947982,True,42,0.11016937877985424,15.50347421287911
42,2020-03-04,0,75.03575030406881,8.812278208947982,True,43,0.1283056720407916,15.50347421287911
43,2020-03-05,0,75.03575030406881,8.812278208947982,True,44,0.14940212830446042,15.50347421287911
44,2020-03-06,0,75.03575030406881,8.812278208947982,True,45,0.17393285249277654,15.50347421287911
45,2020-03-07,0,75.03575030406881,8.812278208947982,True,46,0.2024446796232286,15.50347421287911
46,2020-03-08,0,75.03575030406881,8.812278208947982,True,47,0.23556719733106157,15.50347421287911
47,2020-03-09,0,75.03575030406881,8.812278208947982,True,48,0.2740237422001997,15.50347421287911
48,2020-03-10,0,75.03575030406881,8.812278208947982,True,49,0.3186433087197053,15.50347421287911
49,2020-03-11,0,75.03575030406881,8.812278208947982,True,50,0.3703732329836203,15.50347421287911
50,2020-03-12,0,75.03575030406881,8.812278208947982,True,51,0.4302924070487542,15.50347421287911
51,2020-03-13,0,75.03575030406881,8.812278208947982,True,52,0.49962463682548913,15.50347421287911
52,2020-03-14,0,75.03575030406881,8.812278208947982,True,53,0.5797515687397404,15.50347421287911
53,2020-03-15,0,75.03575030406881,8.812278208947982,True,54,0.6722243708441902,15.50347421287911
54,2020-03-16,0,75.03575030406881,8.812278208947982,True,55,0.7787730571930858,15.50347421287911
55,2020-03-17,0,75.03575030406881,8.812278208947982,True,56,0.9013119890941861,15.50347421287911
