,Report_Date,Croatia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.93209092172609,1083.9528923844307,True,1,0.02538588131057384,1846.175998230462
1,2020-01-23,0,72.93209092172609,1083.9528923844307,True,2,0.029726809644255267,1846.175998230462
2,2020-01-24,0,72.93209092172609,1083.9528923844307,True,3,0.03481001499372641,1846.175998230462
3,2020-01-25,0,72.93209092172609,1083.9528923844307,True,4,0.04076241858833969,1846.175998230462
4,2020-01-26,0,72.93209092172609,1083.9528923844307,True,5,0.047732642153151206,1846.175998230462
5,2020-01-27,0,72.93209092172609,1083.9528923844307,True,6,0.0558947175650708,1846.175998230462
6,2020-01-28,0,72.93209092172609,1083.9528923844307,True,7,0.06545243044090428,1846.175998230462
7,2020-01-29,0,72.93209092172609,1083.9528923844307,True,8,0.0766444059039421,1846.175998230462
8,2020-01-30,0,72.93209092172609,1083.9528923844307,True,9,0.08975006322813192,1846.175998230462
9,2020-01-31,0,72.93209092172609,1083.9528923844307,True,10,0.10509658764516475,1846.175998230462
10,2020-02-01,0,72.93209092172609,1083.9528923844307,True,11,0.12306709284795098,1846.175998230462
11,2020-02-02,0,72.93209092172609,1083.9528923844307,True,12,0.14411017724923234,1846.175998230462
12,2020-02-03,0,72.93209092172609,1083.9528923844307,True,13,0.16875111157290942,1846.175998230462
13,2020-02-04,0,72.93209092172609,1083.9528923844307,True,14,0.1976049357014752,1846.175998230462
14,2020-02-05,0,72.93209092172609,1083.9528923844307,True,15,0.23139178984406558,1846.175998230462
15,2020-02-06,0,72.93209092172609,1083.9528923844307,True,16,0.27095486014959463,1846.175998230462
16,2020-02-07,0,72.93209092172609,1083.9528923844307,True,17,0.31728138316963356,1846.175998230462
17,2020-02-08,0,72.93209092172609,1083.9528923844307,True,18,0.3715272285805643,1846.175998230462
18,2020-02-09,0,72.93209092172609,1083.9528923844307,True,19,0.4350456670390762,1846.175998230462
19,2020-02-10,0,72.93209092172609,1083.9528923844307,True,20,0.5094210319643991,1846.175998230462
20,2020-02-11,0,72.93209092172609,1083.9528923844307,True,21,0.5965081027010576,1846.175998230462
21,2020-02-12,0,72.93209092172609,1083.9528923844307,True,22,0.6984781745261605,1846.175998230462
22,2020-02-13,0,72.93209092172609,1083.9528923844307,True,23,0.8178729412866511,1846.175998230462
23,2020-02-14,0,72.93209092172609,1083.9528923844307,True,24,0.9576675024244055,1846.175998230462
24,2020-02-15,0,72.93209092172609,1083.9528923844307,True,25,1.121344021506864,1846.175998230462
25,2020-02-16,0,72.93209092172609,1083.9528923844307,True,26,1.3129778122648719,1846.175998230462
26,2020-02-17,0,72.93209092172609,1083.9528923844307,True,27,1.537337915066704,1846.175998230462
27,2020-02-18,0,72.93209092172609,1083.9528923844307,True,28,1.8000045565766305,1846.175998230462
28,2020-02-19,0,72.93209092172609,1083.9528923844307,True,29,2.1075062631329637,1846.175998230462
29,2020-02-20,0,72.93209092172609,1083.9528923844307,True,30,2.4674798292574147,1846.175998230462
30,2020-02-21,0,72.93209092172609,1083.9528923844307,True,31,2.8888568315617835,1846.175998230462
31,2020-02-22,0,72.93209092172609,1083.9528923844307,True,32,3.3820809293651775,1846.175998230462
32,2020-02-23,0,72.93209092172609,1083.9528923844307,True,33,3.9593608094746435,1846.175998230462
33,2020-02-24,0,72.93209092172609,1083.9528923844307,True,34,4.634964314463588,1846.175998230462
34,2020-02-25,1,72.93209092172609,1083.9528923844307,True,35,5.4255600384746545,1846.175998230462
35,2020-02-26,3,72.93209092172609,1083.9528923844307,True,36,6.350613473701797,1846.175998230462
36,2020-02-27,3,72.93209092172609,1083.9528923844307,True,37,7.432845627873899,1846.175998230462
37,2020-02-28,5,72.93209092172609,1083.9528923844307,True,38,8.698762880331609,1846.175998230462
38,2020-02-29,6,72.93209092172609,1083.9528923844307,True,39,10.179267657436792,1846.175998230462
39,2020-03-01,7,72.93209092172609,1083.9528923844307,True,40,11.910360220254695,1846.175998230462
40,2020-03-02,7,72.93209092172609,1083.9528923844307,True,41,13.933942370997718,1846.175998230462
41,2020-03-03,9,72.93209092172609,1083.9528923844307,True,42,16.29873406035364,1846.175998230462
42,2020-03-04,10,72.93209092172609,1083.9528923844307,True,43,19.06131352123467,1846.175998230462
43,2020-03-05,10,72.93209092172609,1083.9528923844307,True,44,22.287290399725038,1846.175998230462
44,2020-03-06,11,72.93209092172609,1083.9528923844307,True,45,26.05261904374082,1846.175998230462
45,2020-03-07,12,72.93209092172609,1083.9528923844307,True,46,30.445055173091266,1846.175998230462
46,2020-03-08,12,72.93209092172609,1083.9528923844307,True,47,35.56575298311542,1846.175998230462
47,2020-03-09,12,72.93209092172609,1083.9528923844307,True,48,41.53099056151868,1846.175998230462
48,2020-03-10,14,72.93209092172609,1083.9528923844307,True,49,48.47399838698936,1846.175998230462
49,2020-03-11,19,72.93209092172609,1083.9528923844307,True,50,56.5468475253459,1846.175998230462
50,2020-03-12,19,72.93209092172609,1083.9528923844307,True,51,65.92232971448296,1846.175998230462
51,2020-03-13,32,72.93209092172609,1083.9528923844307,True,52,76.79572957323029,1846.175998230462
52,2020-03-14,38,72.93209092172609,1083.9528923844307,True,53,89.38634857714118,1846.175998230462
53,2020-03-15,49,72.93209092172609,1083.9528923844307,True,54,103.93859058421398,1846.175998230462
54,2020-03-16,57,72.93209092172609,1083.9528923844307,True,55,120.72235990005858,1846.175998230462
55,2020-03-17,65,72.93209092172609,1083.9528923844307,True,56,140.03245716003735,1846.175998230462
