,Report_Date,China_guangdong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,26,14.010151654721813,738.9930374021619,True,1,92.47605781778317,1477.9860746340569
1,2020-01-23,32,14.010151654721813,738.9930374021619,True,2,112.2401525231465,1477.9860746340569
2,2020-01-24,53,14.010151654721813,738.9930374021619,True,3,135.8141964901192,1477.9860746340569
3,2020-01-25,78,14.010151654721813,738.9930374021619,True,4,163.7459119661192,1477.9860746340569
4,2020-01-26,111,14.010151654721813,738.9930374021619,True,5,196.58073660071688,1477.9860746340569
5,2020-01-27,151,14.010151654721813,738.9930374021619,True,6,234.82327145026065,1477.9860746340569
6,2020-01-28,207,14.010151654721813,738.9930374021619,True,7,278.88628215227595,1477.9860746340569
7,2020-01-29,277,14.010151654721813,738.9930374021619,True,8,329.02908765728824,1477.9860746340569
8,2020-01-30,354,14.010151654721813,738.9930374021619,True,9,385.2905681660229,1477.9860746340569
9,2020-01-31,436,14.010151654721813,738.9930374021619,True,10,447.42601025277446,1477.9860746340569
10,2020-02-01,535,14.010151654721813,738.9930374021619,True,11,514.8604670369419,1477.9860746340569
11,2020-02-02,632,14.010151654721813,738.9930374021619,True,12,586.6725844076058,1477.9860746340569
12,2020-02-03,725,14.010151654721813,738.9930374021619,True,13,661.6202824225462,1477.9860746340569
13,2020-02-04,813,14.010151654721813,738.9930374021619,True,14,738.212609694288,1477.9860746340569
14,2020-02-05,895,14.010151654721813,738.9930374021619,True,15,814.8217075459546,1477.9860746340569
15,2020-02-06,970,14.010151654721813,738.9930374021619,True,16,889.8182986764336,1477.9860746340569
16,2020-02-07,1034,14.010151654721813,738.9930374021619,True,17,961.7074247763455,1477.9860746340569
17,2020-02-08,1095,14.010151654721813,738.9930374021619,True,18,1029.241084891557,1477.9860746340569
18,2020-02-09,1131,14.010151654721813,738.9930374021619,True,19,1091.4910025045333,1477.9860746340569
19,2020-02-10,1159,14.010151654721813,738.9930374021619,True,20,1147.8752325844516,1477.9860746340569
20,2020-02-11,1177,14.010151654721813,738.9930374021619,True,21,1198.1427407942756,1477.9860746340569
21,2020-02-12,1219,14.010151654721813,738.9930374021619,True,22,1242.3272447785857,1477.9860746340569
22,2020-02-13,1241,14.010151654721813,738.9930374021619,True,23,1280.6842593047907,1477.9860746340569
23,2020-02-14,1261,14.010151654721813,738.9930374021619,True,24,1313.6240768619184,1477.9860746340569
