,Report_Date,Armenia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,235.0707920973618,763703.8602228838,False,1,16.04059998961506,1527407.7204457675
1,2020-01-23,0,0,235.0707920973618,763703.8602228838,False,2,16.84575841199249,1527407.7204457675
2,2020-01-24,0,0,235.0707920973618,763703.8602228838,False,3,17.691331318660175,1527407.7204457675
3,2020-01-25,0,0,235.0707920973618,763703.8602228838,False,4,18.579347244261513,1527407.7204457675
4,2020-01-26,0,0,235.0707920973618,763703.8602228838,False,5,19.51193653724545,1527407.7204457675
5,2020-01-27,0,0,235.0707920973618,763703.8602228838,False,6,20.491336469474106,1527407.7204457675
6,2020-01-28,0,0,235.0707920973618,763703.8602228838,False,7,21.51989660220768,1527407.7204457675
7,2020-01-29,0,0,235.0707920973618,763703.8602228838,False,8,22.60008442132505,1527407.7204457675
8,2020-01-30,0,0,235.0707920973618,763703.8602228838,False,9,23.734491255282936,1527407.7204457675
9,2020-01-31,0,0,235.0707920973618,763703.8602228838,False,10,24.925838489992987,1527407.7204457675
10,2020-02-01,0,0,235.0707920973618,763703.8602228838,False,11,26.176984095506594,1527407.7204457675
11,2020-02-02,0,0,235.0707920973618,763703.8602228838,False,12,27.49092948014331,1527407.7204457675
12,2020-02-03,0,0,235.0707920973618,763703.8602228838,False,13,28.870826688481714,1527407.7204457675
13,2020-02-04,0,0,235.0707920973618,763703.8602228838,False,14,30.319985960454275,1527407.7204457675
14,2020-02-05,0,0,235.0707920973618,763703.8602228838,False,15,31.84188366965104,1527407.7204457675
15,2020-02-06,0,0,235.0707920973618,763703.8602228838,False,16,33.44017065984367,1527407.7204457675
16,2020-02-07,0,0,235.0707920973618,763703.8602228838,False,17,35.118680999693254,1527407.7204457675
17,2020-02-08,0,0,235.0707920973618,763703.8602228838,False,18,36.88144117660487,1527407.7204457675
18,2020-02-09,0,0,235.0707920973618,763703.8602228838,False,19,38.73267975174109,1527407.7204457675
19,2020-02-10,0,0,235.0707920973618,763703.8602228838,False,20,40.676837499308355,1527407.7204457675
20,2020-02-11,0,0,235.0707920973618,763703.8602228838,False,21,42.718578054387116,1527407.7204457675
