,Report_Date,Canada_ontario_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,94.11841996113101,13841.063389512072,True,1,5.559745946649315,27189.87438747052
1,2020-01-23,0,0,94.11841996113101,13841.063389512072,True,2,6.091852036392258,27189.87438747052
2,2020-01-24,0,0,94.11841996113101,13841.063389512072,True,3,6.6748720722333745,27189.87438747052
3,2020-01-25,0,0,94.11841996113101,13841.063389512072,True,4,7.313675231965978,27189.87438747052
4,2020-01-26,1,1,94.11841996113101,13841.063389512072,True,5,8.013595865331661,27189.87438747052
5,2020-01-27,1,1,94.11841996113101,13841.063389512072,True,6,8.780477834665671,27189.87438747052
6,2020-01-28,1,1,94.11841996113101,13841.063389512072,True,7,9.620723062256612,27189.87438747052
7,2020-01-29,1,1,94.11841996113101,13841.063389512072,True,8,10.54134467952975,27189.87438747052
8,2020-01-30,1,1,94.11841996113101,13841.063389512072,True,9,11.550025209468822,27189.87438747052
9,2020-01-31,3,3,94.11841996113101,13841.063389512072,True,10,12.655180253169773,27189.87438747052
10,2020-02-01,3,3,94.11841996113101,13841.063389512072,True,11,13.866028194314698,27189.87438747052
11,2020-02-02,3,3,94.11841996113101,13841.063389512072,True,12,15.192666481920497,27189.87438747052
12,2020-02-03,3,3,94.11841996113101,13841.063389512072,True,13,16.646155102219506,27189.87438747052
13,2020-02-04,3,3,94.11841996113101,13841.063389512072,True,14,18.2386079052421,27189.87438747052
14,2020-02-05,3,3,94.11841996113101,13841.063389512072,True,15,19.98329251087348,27189.87438747052
15,2020-02-06,3,3,94.11841996113101,13841.063389512072,True,16,21.89473958313045,27189.87438747052
16,2020-02-07,3,3,94.11841996113101,13841.063389512072,True,17,23.98886233042832,27189.87438747052
17,2020-02-08,3,3,94.11841996113101,13841.063389512072,True,18,26.283087163955972,27189.87438747052
18,2020-02-09,3,3,94.11841996113101,13841.063389512072,True,19,28.79649652620445,27189.87438747052
19,2020-02-10,3,3,94.11841996113101,13841.063389512072,True,20,31.54998498743405,27189.87438747052
20,2020-02-11,3,3,94.11841996113101,13841.063389512072,True,21,34.566429799612365,27189.87438747052
21,2020-02-12,3,3,94.11841996113101,13841.063389512072,True,22,37.87087719525577,27189.87438747052
22,2020-02-13,3,3,94.11841996113101,13841.063389512072,True,23,41.49074582273581,27189.87438747052
23,2020-02-14,3,3,94.11841996113101,13841.063389512072,True,24,45.45604881995387,27189.87438747052
24,2020-02-15,3,3,94.11841996113101,13841.063389512072,True,25,49.79963614471001,27189.87438747052
25,2020-02-16,3,3,94.11841996113101,13841.063389512072,True,26,54.55745890230935,27189.87438747052
26,2020-02-17,3,3,94.11841996113101,13841.063389512072,True,27,59.768857538486955,27189.87438747052
27,2020-02-18,3,3,94.11841996113101,13841.063389512072,True,28,65.4768758978756,27189.87438747052
28,2020-02-19,3,3,94.11841996113101,13841.063389512072,True,29,71.72860328398012,27189.87438747052
29,2020-02-20,3,3,94.11841996113101,13841.063389512072,True,30,78.57554679457904,27189.87438747052
30,2020-02-21,3,3,94.11841996113101,13841.063389512072,True,31,86.07403634483005,27189.87438747052
31,2020-02-22,3,3,94.11841996113101,13841.063389512072,True,32,94.2856649267401,27189.87438747052
32,2020-02-23,3,3,94.11841996113101,13841.063389512072,True,33,103.27776678505197,27189.87438747052
33,2020-02-24,4,4,94.11841996113101,13841.063389512072,True,34,113.1239363121773,27189.87438747052
34,2020-02-25,4,4,94.11841996113101,13841.063389512072,True,35,123.9045905738076,27189.87438747052
35,2020-02-26,4,4,94.11841996113101,13841.063389512072,True,36,135.70757846636118,27189.87438747052
36,2020-02-27,6,6,94.11841996113101,13841.063389512072,True,37,148.62883957023723,27189.87438747052
37,2020-02-28,6,6,94.11841996113101,13841.063389512072,True,38,162.77311579012863,27189.87438747052
38,2020-02-29,11,11,94.11841996113101,13841.063389512072,True,39,178.25471885471896,27189.87438747052
39,2020-03-01,15,15,94.11841996113101,13841.063389512072,True,40,195.19835667011654,27189.87438747052
40,2020-03-02,18,18,94.11841996113101,13841.063389512072,True,41,213.740021369012,27189.87438747052
41,2020-03-03,20,20,94.11841996113101,13841.063389512072,True,42,234.02794165256483,27189.87438747052
42,2020-03-04,20,20,94.11841996113101,13841.063389512072,True,43,256.2236016629,27189.87438747052
43,2020-03-05,22,22,94.11841996113101,13841.063389512072,True,44,280.5028281255904,27189.87438747052
44,2020-03-06,25,25,94.11841996113101,13841.063389512072,True,45,307.05694683420916,27189.87438747052
45,2020-03-07,28,28,94.11841996113101,13841.063389512072,True,46,336.09400867894874,27189.87438747052
46,2020-03-08,29,29,94.11841996113101,13841.063389512072,True,47,367.84008430939906,27189.87438747052
47,2020-03-09,34,34,94.11841996113101,13841.063389512072,True,48,402.54062512350527,27189.87438747052
48,2020-03-10,36,36,94.11841996113101,13841.063389512072,True,49,440.46188654056385,27189.87438747052
49,2020-03-11,41,41,94.11841996113101,13841.063389512072,True,50,481.89240739032994,27189.87438747052
50,2020-03-12,42,42,94.11841996113101,13841.063389512072,True,51,527.1445366720611,27189.87438747052
51,2020-03-13,74,74,94.11841996113101,13841.063389512072,True,52,576.5559958409799,27189.87438747052
52,2020-03-14,79,79,94.11841996113101,13841.063389512072,True,53,630.4914610960402,27189.87438747052
53,2020-03-15,104,104,94.11841996113101,13841.063389512072,True,54,689.3441458011293,27189.87438747052
54,2020-03-16,177,177,94.11841996113101,13841.063389512072,True,55,753.5373581020486,27189.87438747052
55,2020-03-17,185,184,94.11841996113101,13841.063389512072,True,56,823.5260029388961,27189.87438747052
56,2020-03-18,221,220,94.11841996113101,13841.063389512072,True,57,899.7979909431854,27189.87438747052
57,2020-03-19,257,256,94.11841996113101,13841.063389512072,True,58,982.8755091139875,27189.87438747052
58,2020-03-20,308,306,94.11841996113101,13841.063389512072,True,59,1073.3160996768397,27189.87438747052
59,2020-03-21,377,374,94.11841996113101,13841.063389512072,True,60,1171.7134841704858,27189.87438747052
60,2020-03-22,425,420,94.11841996113101,13841.063389512072,True,61,1278.6980596591168,27189.87438747052
61,2020-03-23,503,497,94.11841996113101,13841.063389512072,True,62,1394.9369831799697,27189.87438747052
62,2020-03-24,588,581,94.11841996113101,13841.063389512072,True,63,1521.1337493447024,27189.87438747052
63,2020-03-25,688,680,94.11841996113101,13841.063389512072,True,64,1658.0271547644822,27189.87438747052
64,2020-03-26,858,845,94.11841996113101,13841.063389512072,True,65,1806.3895321433934,27189.87438747052
65,2020-03-27,994,976,94.11841996113101,13841.063389512072,True,66,1967.0241271187922,27189.87438747052
66,2020-03-28,1144,1126,94.11841996113101,13841.063389512072,True,67,2140.761483034599,27189.87438747052
67,2020-03-29,1355,1334,94.11841996113101,13841.063389512072,True,68,2328.454693821237,27189.87438747052
68,2020-03-30,1706,1675,94.11841996113101,13841.063389512072,True,69,2530.9733842305163,27189.87438747052
69,2020-03-31,1966,1933,94.11841996113101,13841.063389512072,True,70,2749.1962812328516,27189.87438747052
70,2020-04-01,2392,2355,94.11841996113101,13841.063389512072,True,71,2984.0022519861504,27189.87438747052
71,2020-04-02,2793,2740,94.11841996113101,13841.063389512072,True,72,3236.2597040926726,27189.87438747052
72,2020-04-03,3255,3188,94.11841996113101,13841.063389512072,True,73,3506.8142745430164,27189.87438747052
73,2020-04-04,3630,3536,94.11841996113101,13841.063389512072,True,74,3796.474776350919,27189.87438747052
74,2020-04-05,4354,4235,94.11841996113101,13841.063389512072,True,75,4105.997427647194,27189.87438747052
75,2020-04-06,4347,4197,94.11841996113101,13841.063389512072,True,76,4436.068457631828,27189.87438747052
76,2020-04-07,4726,4573,94.11841996113101,13841.063389512072,True,77,4787.285267189338,27189.87438747052
77,2020-04-08,5276,5123,94.11841996113101,13841.063389512072,True,78,5160.13641798124,27189.87438747052
78,2020-04-09,5759,5559,94.11841996113101,13841.063389512072,True,79,5554.980829907882,27189.87438747052
79,2020-04-10,6237,6015,94.11841996113101,13841.063389512072,True,80,5972.026678851387,27189.87438747052
80,2020-04-11,6648,6395,94.11841996113101,13841.063389512072,True,81,6411.310598711401,27189.87438747052
81,2020-04-12,7049,6775,94.11841996113101,13841.063389512072,True,82,6872.677896347152,27189.87438747052
82,2020-04-13,7470,7179,94.11841996113101,13841.063389512072,True,83,7355.764576072549,27189.87438747052
83,2020-04-14,7953,7619,94.11841996113101,13841.063389512072,True,84,7859.982031737658,27189.87438747052
84,2020-04-15,8447,8062,94.11841996113101,13841.063389512072,True,85,8384.505288844914,27189.87438747052
85,2020-04-16,9840,9350,94.11841996113101,13841.063389512072,True,86,8928.265657050066,27189.87438747052
86,2020-04-17,10456,9932,94.11841996113101,13841.063389512072,True,87,9489.948577245128,27189.87438747052
87,2020-04-18,11013,10449,94.11841996113101,13841.063389512072,True,88,10067.997312973268,27189.87438747052
88,2020-04-19,11561,10970,94.11841996113101,13841.063389512072,True,89,10660.622943433154,27189.87438747052
89,2020-04-20,12063,11439,94.11841996113101,13841.063389512072,True,90,11265.820870417498,27189.87438747052
90,2020-04-21,12715,12021,94.11841996113101,13841.063389512072,True,91,11881.393765560691,27189.87438747052
91,2020-04-22,13718,12956,94.11841996113101,13841.063389512072,True,92,12504.980574022664,27189.87438747052
92,2020-04-23,14068,13262,94.11841996113101,13841.063389512072,True,93,13134.090877316537,27189.87438747052
93,2020-04-24,14550,13688,94.11841996113101,13841.063389512072,True,94,13766.14362500544,27189.87438747052
94,2020-04-25,15012,14096,94.11841996113101,13841.063389512072,True,95,14398.508996187797,27189.87438747052
95,2020-04-26,15568,14608,94.11841996113101,13841.063389512072,True,96,15028.551968289588,27189.87438747052
96,2020-04-27,15970,14947,94.11841996113101,13841.063389512072,True,97,15653.676068897737,27189.87438747052
97,2020-04-28,16500,15428,94.11841996113101,13841.063389512072,True,98,16271.36577538487,27189.87438747052
98,2020-04-29,16978,15825,94.11841996113101,13841.063389512072,True,99,16879.2261078922,27189.87438747052
99,2020-04-30,17395,16190,94.11841996113101,13841.063389512072,True,100,17475.01812653873,27189.87438747052
100,2020-05-01,17880,16615,94.11841996113101,13841.063389512072,True,101,18056.689278810954,27189.87438747052
101,2020-05-02,18321,17029,94.11841996113101,13841.063389512072,True,102,18622.397827702294,27189.87438747052
102,2020-05-03,18574,17248,94.11841996113101,13841.063389512072,True,103,19170.530901931328,27189.87438747052
103,2020-05-04,19097,17651,94.11841996113101,13841.063389512072,True,104,19699.716022602268,27189.87438747052
104,2020-05-05,19468,17963,94.11841996113101,13841.063389512072,True,105,20208.82625409222,27189.87438747052
105,2020-05-06,19910,18350,94.11841996113101,13841.063389512072,True,106,20696.979382826117,27189.87438747052
106,2020-05-07,20388,18781,94.11841996113101,13841.063389512072,True,107,21163.531733228392,27189.87438747052
107,2020-05-08,20826,19161,94.11841996113101,13841.063389512072,True,108,21608.067378546966,27189.87438747052
108,2020-05-09,21148,19422,94.11841996113101,13841.063389512072,True,109,22030.383593970048,27189.87438747052
109,2020-05-10,21469,19718,94.11841996113101,13841.063389512072,True,110,22430.473433777388,27189.87438747052
110,2020-05-11,21817,20029,94.11841996113101,13841.063389512072,True,111,22808.506300059762,27189.87438747052
111,2020-05-12,22158,20306,94.11841996113101,13841.063389512072,True,112,23164.8073169878,27189.87438747052
112,2020-05-13,22516,20633,94.11841996113101,13841.063389512072,True,113,23499.83624195437,27189.87438747052
113,2020-05-14,22865,20950,94.11841996113101,13841.063389512072,True,114,23814.166543369774,27189.87438747052
114,2020-05-15,23258,21319,94.11841996113101,13841.063389512072,True,115,24108.465163819117,27189.87438747052
115,2020-05-16,23645,21669,94.11841996113101,13841.063389512072,True,116,24383.473374657096,27189.87438747052
116,2020-05-17,23974,21975,94.11841996113101,13841.063389512072,True,117,24639.98902019403,27189.87438747052
117,2020-05-18,24286,22267,94.11841996113101,13841.063389512072,True,118,24878.85035094791,27189.87438747052
118,2020-05-19,24755,22723,94.11841996113101,13841.063389512072,True,119,25100.92155889441,27189.87438747052
119,2020-05-20,25197,23118,94.11841996113101,13841.063389512072,True,120,25307.0800547095,27189.87438747052
120,2020-05-21,25595,23489,94.11841996113101,13841.063389512072,True,121,25498.205467989494,27189.87438747052
121,2020-05-22,26085,23956,94.11841996113101,13841.063389512072,True,122,25675.17030580804,27189.87438747052
