,Report_Date,Lithuania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.81077251236333,801.8201368634293,True,1,0.018704115836389954,1360.49699232111
1,2020-01-23,0,74.81077251236333,801.8201368634293,True,2,0.0218158246935831,1360.49699232111
2,2020-01-24,0,74.81077251236333,801.8201368634293,True,3,0.02544520455203899,1360.49699232111
3,2020-01-25,0,74.81077251236333,801.8201368634293,True,4,0.029678373382890224,1360.49699232111
4,2020-01-26,0,74.81077251236333,801.8201368634293,True,5,0.034615774380442485,1360.49699232111
5,2020-01-27,0,74.81077251236333,801.8201368634293,True,6,0.0403745584951256,1360.49699232111
6,2020-01-28,0,74.81077251236333,801.8201368634293,True,7,0.04709136308438873,1360.49699232111
7,2020-01-29,0,74.81077251236333,801.8201368634293,True,8,0.0549255524898273,1360.49699232111
8,2020-01-30,0,74.81077251236333,801.8201368634293,True,9,0.06406299726375352,1360.49699232111
9,2020-01-31,0,74.81077251236333,801.8201368634293,True,10,0.07472048148719512,1360.49699232111
10,2020-02-01,0,74.81077251236333,801.8201368634293,True,11,0.08715084243969279,1360.49699232111
11,2020-02-02,0,74.81077251236333,801.8201368634293,True,12,0.10164896414267761,1360.49699232111
12,2020-02-03,0,74.81077251236333,801.8201368634293,True,13,0.1185587664010694,1360.49699232111
13,2020-02-04,0,74.81077251236333,801.8201368634293,True,14,0.13828135437386396,1360.49699232111
14,2020-02-05,0,74.81077251236333,801.8201368634293,True,15,0.16128452094860657,1360.49699232111
15,2020-02-06,0,74.81077251236333,801.8201368634293,True,16,0.1881138258951484,1360.49699232111
16,2020-02-07,0,74.81077251236333,801.8201368634293,True,17,0.21940551264494207,1360.49699232111
17,2020-02-08,0,74.81077251236333,801.8201368634293,True,18,0.2559015664063045,1360.49699232111
18,2020-02-09,0,74.81077251236333,801.8201368634293,True,19,0.2984672671300326,1360.49699232111
19,2020-02-10,0,74.81077251236333,801.8201368634293,True,20,0.3481116486692839,1360.49699232111
20,2020-02-11,0,74.81077251236333,801.8201368634293,True,21,0.40601134257451565,1360.49699232111
21,2020-02-12,0,74.81077251236333,801.8201368634293,True,22,0.4735383627433558,1360.49699232111
22,2020-02-13,0,74.81077251236333,801.8201368634293,True,23,0.5522924772114711,1360.49699232111
23,2020-02-14,0,74.81077251236333,801.8201368634293,True,24,0.6441389175339916,1360.49699232111
24,2020-02-15,0,74.81077251236333,801.8201368634293,True,25,0.7512522964958226,1360.49699232111
25,2020-02-16,0,74.81077251236333,801.8201368634293,True,26,0.8761677435553311,1360.49699232111
26,2020-02-17,0,74.81077251236333,801.8201368634293,True,27,1.0218404269431312,1360.49699232111
27,2020-02-18,0,74.81077251236333,801.8201368634293,True,28,1.1917148143840224,1360.49699232111
28,2020-02-19,0,74.81077251236333,801.8201368634293,True,29,1.3898052338290448,1360.49699232111
29,2020-02-20,0,74.81077251236333,801.8201368634293,True,30,1.6207895343146508,1360.49699232111
30,2020-02-21,0,74.81077251236333,801.8201368634293,True,31,1.8901179180249978,1360.49699232111
31,2020-02-22,0,74.81077251236333,801.8201368634293,True,32,2.204139320538432,1360.49699232111
32,2020-02-23,0,74.81077251236333,801.8201368634293,True,33,2.5702480593381125,1360.49699232111
33,2020-02-24,0,74.81077251236333,801.8201368634293,True,34,2.997053852345037,1360.49699232111
34,2020-02-25,0,74.81077251236333,801.8201368634293,True,35,3.494578728453679,1360.49699232111
35,2020-02-26,0,74.81077251236333,801.8201368634293,True,36,4.074484808571325,1360.49699232111
36,2020-02-27,0,74.81077251236333,801.8201368634293,True,37,4.750337422938201,1360.49699232111
37,2020-02-28,1,74.81077251236333,801.8201368634293,True,38,5.537908538201886,1360.49699232111
38,2020-02-29,1,74.81077251236333,801.8201368634293,True,39,6.455525978692682,1360.49699232111
39,2020-03-01,1,74.81077251236333,801.8201368634293,True,40,7.524474413950171,1360.49699232111
40,2020-03-02,1,74.81077251236333,801.8201368634293,True,41,8.769454509080191,1360.49699232111
41,2020-03-03,1,74.81077251236333,801.8201368634293,True,42,10.219106938591054,1360.49699232111
42,2020-03-04,1,74.81077251236333,801.8201368634293,True,43,11.90660806698482,1360.49699232111
43,2020-03-05,1,74.81077251236333,801.8201368634293,True,44,13.870343888563173,1360.49699232111
44,2020-03-06,1,74.81077251236333,801.8201368634293,True,45,16.154668142539748,1360.49699232111
45,2020-03-07,1,74.81077251236333,801.8201368634293,True,46,18.810749174659776,1360.49699232111
46,2020-03-08,1,74.81077251236333,801.8201368634293,True,47,21.89750783711441,1360.49699232111
47,2020-03-09,1,74.81077251236333,801.8201368634293,True,48,25.482645162790526,1360.49699232111
48,2020-03-10,1,74.81077251236333,801.8201368634293,True,49,29.643753288413958,1360.49699232111
49,2020-03-11,3,74.81077251236333,801.8201368634293,True,50,34.4694956090753,1360.49699232111
50,2020-03-12,3,74.81077251236333,801.8201368634293,True,51,40.060831804671594,1360.49699232111
51,2020-03-13,6,74.81077251236333,801.8201368634293,True,52,46.53224949071022,1360.49699232111
52,2020-03-14,8,74.81077251236333,801.8201368634293,True,53,54.01294608390568,1360.49699232111
53,2020-03-15,12,74.81077251236333,801.8201368634293,True,54,62.64788136680434,1360.49699232111
54,2020-03-16,17,74.81077251236333,801.8201368634293,True,55,72.59859272591032,1360.49699232111
55,2020-03-17,25,74.81077251236333,801.8201368634293,True,56,84.0436311174588,1360.49699232111
56,2020-03-18,27,74.81077251236333,801.8201368634293,True,57,97.1784372829148,1360.49699232111
