,Report_Date,Algeria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.64227986094123,1509.8924084758812,True,1,0.035024251519582064,2913.935127508622
1,2020-01-23,0,77.64227986094123,1509.8924084758812,True,2,0.040622435784224954,2913.935127508622
2,2020-01-24,0,77.64227986094123,1509.8924084758812,True,3,0.04711540513995593,2913.935127508622
3,2020-01-25,0,77.64227986094123,1509.8924084758812,True,4,0.05464617263174978,2913.935127508622
4,2020-01-26,0,77.64227986094123,1509.8924084758812,True,5,0.06338060734282634,2913.935127508622
5,2020-01-27,0,77.64227986094123,1509.8924084758812,True,6,0.07351108662329696,2913.935127508622
6,2020-01-28,0,77.64227986094123,1509.8924084758812,True,7,0.08526073172008886,2913.935127508622
7,2020-01-29,0,77.64227986094123,1509.8924084758812,True,8,0.09888831993129263,2913.935127508622
8,2020-01-30,0,77.64227986094123,1509.8924084758812,True,9,0.11469398124885584,2913.935127508622
9,2020-01-31,0,77.64227986094123,1509.8924084758812,True,10,0.1330258046512889,2913.935127508622
10,2020-02-01,0,77.64227986094123,1509.8924084758812,True,11,0.15428749913426013,2913.935127508622
11,2020-02-02,0,77.64227986094123,1509.8924084758812,True,12,0.17894727765070956,2913.935127508622
12,2020-02-03,0,77.64227986094123,1509.8924084758812,True,13,0.2075481588686415,2913.935127508622
13,2020-02-04,0,77.64227986094123,1509.8924084758812,True,14,0.24071991261518577,2913.935127508622
14,2020-02-05,0,77.64227986094123,1509.8924084758812,True,15,0.2791929107178796,2913.935127508622
15,2020-02-06,0,77.64227986094123,1509.8924084758812,True,16,0.3238141864357271,2913.935127508622
16,2020-02-07,0,77.64227986094123,1509.8924084758812,True,17,0.3755660536638727,2913.935127508622
17,2020-02-08,0,77.64227986094123,1509.8924084758812,True,18,0.4355876925955957,2913.935127508622
18,2020-02-09,0,77.64227986094123,1509.8924084758812,True,19,0.5052001726780728,2913.935127508622
19,2020-02-10,0,77.64227986094123,1509.8924084758812,True,20,0.5859354578119048,2913.935127508622
20,2020-02-11,0,77.64227986094123,1509.8924084758812,True,21,0.6795700243099794,2913.935127508622
21,2020-02-12,0,77.64227986094123,1509.8924084758812,True,22,0.7881638208437458,2913.935127508622
22,2020-02-13,0,77.64227986094123,1509.8924084758812,True,23,0.914105413383688,2913.935127508622
23,2020-02-14,0,77.64227986094123,1509.8924084758812,True,24,1.0601642891494032,2913.935127508622
24,2020-02-15,0,77.64227986094123,1509.8924084758812,True,25,1.2295514442489952,2913.935127508622
25,2020-02-16,0,77.64227986094123,1509.8924084758812,True,26,1.4259895527088668,2913.935127508622
26,2020-02-17,0,77.64227986094123,1509.8924084758812,True,27,1.653794212956202,2913.935127508622
27,2020-02-18,0,77.64227986094123,1509.8924084758812,True,28,1.9179679947759003,2913.935127508622
28,2020-02-19,0,77.64227986094123,1509.8924084758812,True,29,2.224309268831272,2913.935127508622
