,Report_Date,Mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,60.67662520577873,7.672736195044105,True,1,0.000185515015719824,15.195034593767637
1,2020-01-23,0,60.67662520577873,7.672736195044105,True,2,0.000224275599452503,15.195034593767637
2,2020-01-24,0,60.67662520577873,7.672736195044105,True,3,0.00027113448347641285,15.195034593767637
3,2020-01-25,0,60.67662520577873,7.672736195044105,True,4,0.00032778359039883903,15.195034593767637
4,2020-01-26,0,60.67662520577873,7.672736195044105,True,5,0.00039626829419152403,15.195034593767637
5,2020-01-27,0,60.67662520577873,7.672736195044105,True,6,0.0004790612439387062,15.195034593767637
6,2020-01-28,0,60.67662520577873,7.672736195044105,True,7,0.0005791516003173832,15.195034593767637
7,2020-01-29,0,60.67662520577873,7.672736195044105,True,8,0.0007001528996440649,15.195034593767637
8,2020-01-30,0,60.67662520577873,7.672736195044105,True,9,0.0008464334294988452,15.195034593767637
9,2020-01-31,0,60.67662520577873,7.672736195044105,True,10,0.001023273807766143,15.195034593767637
10,2020-02-01,0,60.67662520577873,7.672736195044105,True,11,0.0012370574318446887,15.195034593767637
11,2020-02-02,0,60.67662520577873,7.672736195044105,True,12,0.0014955006409033576,15.195034593767637
12,2020-02-03,0,60.67662520577873,7.672736195044105,True,13,0.0018079308522893289,15.195034593767637
13,2020-02-04,0,60.67662520577873,7.672736195044105,True,14,0.0021856226424431034,15.195034593767637
14,2020-02-05,0,60.67662520577873,7.672736195044105,True,15,0.0026422038013031827,15.195034593767637
15,2020-02-06,0,60.67662520577873,7.672736195044105,True,16,0.0031941458666247986,15.195034593767637
16,2020-02-07,0,60.67662520577873,7.672736195044105,True,17,0.0038613566231936102,15.195034593767637
17,2020-02-08,0,60.67662520577873,7.672736195044105,True,18,0.004667895628695251,15.195034593767637
18,2020-02-09,0,60.67662520577873,7.672736195044105,True,19,0.005642838116921361,15.195034593767637
19,2020-02-10,0,60.67662520577873,7.672736195044105,True,20,0.0068213177626981385,15.195034593767637
20,2020-02-11,0,60.67662520577873,7.672736195044105,True,21,0.008245784924393526,15.195034593767637
21,2020-02-12,0,60.67662520577873,7.672736195044105,True,22,0.009967524283301102,15.195034593767637
22,2020-02-13,0,60.67662520577873,7.672736195044105,True,23,0.012048484469623907,15.195034593767637
23,2020-02-14,0,60.67662520577873,7.672736195044105,True,24,0.014563482515321597,15.195034593767637
24,2020-02-15,0,60.67662520577873,7.672736195044105,True,25,0.017602858029631956,15.195034593767637
25,2020-02-16,0,60.67662520577873,7.672736195044105,True,26,0.02127566607813209,15.195034593767637
26,2020-02-17,0,60.67662520577873,7.672736195044105,True,27,0.025713514063837976,15.195034593767637
27,2020-02-18,0,60.67662520577873,7.672736195044105,True,28,0.031075166606272662,15.195034593767637
28,2020-02-19,0,60.67662520577873,7.672736195044105,True,29,0.037552063528803775,15.195034593767637
29,2020-02-20,0,60.67662520577873,7.672736195044105,True,30,0.04537491943981217,15.195034593767637
30,2020-02-21,0,60.67662520577873,7.672736195044105,True,31,0.05482159855560667,15.195034593767637
31,2020-02-22,0,60.67662520577873,7.672736195044105,True,32,0.06622648438777648,15.195034593767637
32,2020-02-23,0,60.67662520577873,7.672736195044105,True,33,0.07999158896503704,15.195034593767637
33,2020-02-24,0,60.67662520577873,7.672736195044105,True,34,0.09659966750017762,15.195034593767637
34,2020-02-25,0,60.67662520577873,7.672736195044105,True,35,0.11662961730808366,15.195034593767637
35,2020-02-26,0,60.67662520577873,7.672736195044105,True,36,0.14077443743045562,15.195034593767637
36,2020-02-27,0,60.67662520577873,7.672736195044105,True,37,0.16986199764133908,15.195034593767637
37,2020-02-28,0,60.67662520577873,7.672736195044105,True,38,0.2048787976636286,15.195034593767637
38,2020-02-29,0,60.67662520577873,7.672736195044105,True,39,0.24699676907081017,15.195034593767637
39,2020-03-01,0,60.67662520577873,7.672736195044105,True,40,0.29760295575126855,15.195034593767637
40,2020-03-02,0,60.67662520577873,7.672736195044105,True,41,0.35833156771653557,15.195034593767637
41,2020-03-03,0,60.67662520577873,7.672736195044105,True,42,0.43109739222586857,15.195034593767637
42,2020-03-04,0,60.67662520577873,7.672736195044105,True,43,0.518128813002547,15.195034593767637
43,2020-03-05,0,60.67662520577873,7.672736195044105,True,44,0.6219976778288511,15.195034593767637
44,2020-03-06,0,60.67662520577873,7.672736195044105,True,45,0.7456419215973268,15.195034593767637
45,2020-03-07,0,60.67662520577873,7.672736195044105,True,46,0.8923751818533138,15.195034593767637
46,2020-03-08,0,60.67662520577873,7.672736195044105,True,47,1.0658756902869233,15.195034593767637
47,2020-03-09,0,60.67662520577873,7.672736195044105,True,48,1.2701446605276292,15.195034593767637
48,2020-03-10,1,60.67662520577873,7.672736195044105,True,49,1.5094225834548816,15.195034593767637
49,2020-03-11,1,60.67662520577873,7.672736195044105,True,50,1.788050910805859,15.195034593767637
50,2020-03-12,1,60.67662520577873,7.672736195044105,True,51,2.110267485144083,15.195034593767637
51,2020-03-13,1,60.67662520577873,7.672736195044105,True,52,2.4799279482792764,15.195034593767637
52,2020-03-14,1,60.67662520577873,7.672736195044105,True,53,2.9001534650642062,15.195034593767637
53,2020-03-15,1,60.67662520577873,7.672736195044105,True,54,3.3729182461238563,15.195034593767637
54,2020-03-16,1,60.67662520577873,7.672736195044105,True,55,3.8986081929839105,15.195034593767637
55,2020-03-17,5,60.67662520577873,7.672736195044105,True,56,4.475602165965076,15.195034593767637
