,Report_Date,Rwanda_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,92.17638235889177,179.1174217240428,True,1,0.49448965529929445,345.6023791168057
1,2020-01-23,0,0,92.17638235889177,179.1174217240428,True,2,0.5314637299949253,345.6023791168057
2,2020-01-24,0,0,92.17638235889177,179.1174217240428,True,3,0.5711980230040253,345.6023791168057
3,2020-01-25,0,0,92.17638235889177,179.1174217240428,True,4,0.6138979077530787,345.6023791168057
4,2020-01-26,0,0,92.17638235889177,179.1174217240428,True,5,0.6597839322823439,345.6023791168057
5,2020-01-27,0,0,92.17638235889177,179.1174217240428,True,6,0.7090929239999553,345.6023791168057
6,2020-01-28,0,0,92.17638235889177,179.1174217240428,True,7,0.7620791723043957,345.6023791168057
7,2020-01-29,0,0,92.17638235889177,179.1174217240428,True,8,0.8190156941624445,345.6023791168057
8,2020-01-30,0,0,92.17638235889177,179.1174217240428,True,9,0.8801955879977109,345.6023791168057
9,2020-01-31,0,0,92.17638235889177,179.1174217240428,True,10,0.9459334815160276,345.6023791168057
10,2020-02-01,0,0,92.17638235889177,179.1174217240428,True,11,1.0165670793660442,345.6023791168057
11,2020-02-02,0,0,92.17638235889177,179.1174217240428,True,12,1.092458816803612,345.6023791168057
12,2020-02-03,0,0,92.17638235889177,179.1174217240428,True,13,1.173997625793566,345.6023791168057
13,2020-02-04,0,0,92.17638235889177,179.1174217240428,True,14,1.2616008202382951,345.6023791168057
14,2020-02-05,0,0,92.17638235889177,179.1174217240428,True,15,1.3557161072641368,345.6023791168057
15,2020-02-06,0,0,92.17638235889177,179.1174217240428,True,16,1.4568237317183703,345.6023791168057
16,2020-02-07,0,0,92.17638235889177,179.1174217240428,True,17,1.565438761224525,345.6023791168057
17,2020-02-08,0,0,92.17638235889177,179.1174217240428,True,18,1.6821135193038286,345.6023791168057
18,2020-02-09,0,0,92.17638235889177,179.1174217240428,True,19,1.8074401741863357,345.6023791168057
19,2020-02-10,0,0,92.17638235889177,179.1174217240428,True,20,1.942053490995616,345.6023791168057
20,2020-02-11,0,0,92.17638235889177,179.1174217240428,True,21,2.08663375498289,345.6023791168057
21,2020-02-12,0,0,92.17638235889177,179.1174217240428,True,22,2.241909873395324,345.6023791168057
22,2020-02-13,0,0,92.17638235889177,179.1174217240428,True,23,2.408662663371608,345.6023791168057
23,2020-02-14,0,0,92.17638235889177,179.1174217240428,True,24,2.587728332946161,345.6023791168057
24,2020-02-15,0,0,92.17638235889177,179.1174217240428,True,25,2.7800021617887456,345.6023791168057
25,2020-02-16,0,0,92.17638235889177,179.1174217240428,True,26,2.986442387683081,345.6023791168057
26,2020-02-17,0,0,92.17638235889177,179.1174217240428,True,27,3.208074303926903,345.6023791168057
27,2020-02-18,0,0,92.17638235889177,179.1174217240428,True,28,3.4459945717837,345.6023791168057
28,2020-02-19,0,0,92.17638235889177,179.1174217240428,True,29,3.7013757507957057,345.6023791168057
