,Report_Date,Belgium_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,81.32119330575244,27642.066618196404,True,1,5.882814778749368,55130.96109977472
1,2020-01-23,0,81.32119330575244,27642.066618196404,True,2,6.592393491659098,55130.96109977472
2,2020-01-24,0,81.32119330575244,27642.066618196404,True,3,7.387549377955097,55130.96109977472
3,2020-01-25,0,81.32119330575244,27642.066618196404,True,4,8.278600357956654,55130.96109977472
4,2020-01-26,0,81.32119330575244,27642.066618196404,True,5,9.277107620940434,55130.96109977472
5,2020-01-27,0,81.32119330575244,27642.066618196404,True,6,10.396025242784773,55130.96109977472
6,2020-01-28,0,81.32119330575244,27642.066618196404,True,7,11.649867759959703,55130.96109977472
7,2020-01-29,0,81.32119330575244,27642.066618196404,True,8,13.054897842358866,55130.96109977472
8,2020-01-30,0,81.32119330575244,27642.066618196404,True,9,14.629336459892313,55130.96109977472
9,2020-01-31,0,81.32119330575244,27642.066618196404,True,10,16.39359821909432,55130.96109977472
10,2020-02-01,0,81.32119330575244,27642.066618196404,True,11,18.37055485934444,55130.96109977472
11,2020-02-02,0,81.32119330575244,27642.066618196404,True,12,20.58583024702414,55130.96109977472
12,2020-02-03,0,81.32119330575244,27642.066618196404,True,13,23.068130593687737,55130.96109977472
13,2020-02-04,1,81.32119330575244,27642.066618196404,True,14,25.849614055055074,55130.96109977472
14,2020-02-05,1,81.32119330575244,27642.066618196404,True,15,28.966304345551315,55130.96109977472
15,2020-02-06,1,81.32119330575244,27642.066618196404,True,16,32.45855353271259,55130.96109977472
16,2020-02-07,1,81.32119330575244,27642.066618196404,True,17,36.37155976176507,55130.96109977472
17,2020-02-08,1,81.32119330575244,27642.066618196404,True,18,40.75594630798044,55130.96109977472
18,2020-02-09,1,81.32119330575244,27642.066618196404,True,19,45.66840906804137,55130.96109977472
19,2020-02-10,1,81.32119330575244,27642.066618196404,True,20,51.17244038665831,55130.96109977472
20,2020-02-11,1,81.32119330575244,27642.066618196404,True,21,57.33913797597842,55130.96109977472
21,2020-02-12,1,81.32119330575244,27642.066618196404,True,22,64.24810862750388,55130.96109977472
22,2020-02-13,1,81.32119330575244,27642.066618196404,True,23,71.98847744328633,55130.96109977472
23,2020-02-14,1,81.32119330575244,27642.066618196404,True,24,80.66001442814328,55130.96109977472
24,2020-02-15,1,81.32119330575244,27642.066618196404,True,25,90.37439148921239,55130.96109977472
25,2020-02-16,1,81.32119330575244,27642.066618196404,True,26,101.25658418299417,55130.96109977472
26,2020-02-17,1,81.32119330575244,27642.066618196404,True,27,113.44643393006487,55130.96109977472
27,2020-02-18,1,81.32119330575244,27642.066618196404,True,28,127.10038787709195,55130.96109977472
28,2020-02-19,1,81.32119330575244,27642.066618196404,True,29,142.39343511294572,55130.96109977472
29,2020-02-20,1,81.32119330575244,27642.066618196404,True,30,159.52125952239484,55130.96109977472
30,2020-02-21,1,81.32119330575244,27642.066618196404,True,31,178.70263116054676,55130.96109977472
31,2020-02-22,1,81.32119330575244,27642.066618196404,True,32,200.18205961652188,55130.96109977472
32,2020-02-23,1,81.32119330575244,27642.066618196404,True,33,224.23273435482085,55130.96109977472
33,2020-02-24,1,81.32119330575244,27642.066618196404,True,34,251.15977840915858,55130.96109977472
34,2020-02-25,1,81.32119330575244,27642.066618196404,True,35,281.30384296627744,55130.96109977472
35,2020-02-26,1,81.32119330575244,27642.066618196404,True,36,315.0450711996115,55130.96109977472
36,2020-02-27,1,81.32119330575244,27642.066618196404,True,37,352.80746004474554,55130.96109977472
37,2020-02-28,1,81.32119330575244,27642.066618196404,True,38,395.06364826004034,55130.96109977472
38,2020-02-29,1,81.32119330575244,27642.066618196404,True,39,442.3401578472245,55130.96109977472
39,2020-03-01,2,81.32119330575244,27642.066618196404,True,40,495.2231134201163,55130.96109977472
40,2020-03-02,8,81.32119330575244,27642.066618196404,True,41,554.3644600373236,55130.96109977472
41,2020-03-03,13,81.32119330575244,27642.066618196404,True,42,620.4886939077873,55130.96109977472
42,2020-03-04,23,81.32119330575244,27642.066618196404,True,43,694.4001116938766,55130.96109977472
43,2020-03-05,50,81.32119330575244,27642.066618196404,True,44,776.9905722274641,55130.96109977472
44,2020-03-06,109,81.32119330575244,27642.066618196404,True,45,869.2477485561187,55130.96109977472
45,2020-03-07,169,81.32119330575244,27642.066618196404,True,46,972.2638274626241,55130.96109977472
46,2020-03-08,200,81.32119330575244,27642.066618196404,True,47,1087.2445869409428,55130.96109977472
47,2020-03-09,239,81.32119330575244,27642.066618196404,True,48,1215.518748439892,55130.96109977472
48,2020-03-10,267,81.32119330575244,27642.066618196404,True,49,1358.5474587854396,55130.96109977472
49,2020-03-11,314,81.32119330575244,27642.066618196404,True,50,1517.933705300435,55130.96109977472
50,2020-03-12,314,81.32119330575244,27642.066618196404,True,51,1695.4314055229588,55130.96109977472
51,2020-03-13,559,81.32119330575244,27642.066618196404,True,52,1892.953838992013,55130.96109977472
52,2020-03-14,689,81.32119330575244,27642.066618196404,True,53,2112.5810020456825,55130.96109977472
53,2020-03-15,886,81.32119330575244,27642.066618196404,True,54,2356.5653672327676,55130.96109977472
54,2020-03-16,1058,81.32119330575244,27642.066618196404,True,55,2627.3354174043884,55130.96109977472
55,2020-03-17,1243,81.32119330575244,27642.066618196404,True,56,2927.4962027178403,55130.96109977472
56,2020-03-18,1486,81.32119330575244,27642.066618196404,True,57,3259.826040296745,55130.96109977472
57,2020-03-19,1795,81.32119330575244,27642.066618196404,True,58,3627.2683471268315,55130.96109977472
58,2020-03-20,2257,81.32119330575244,27642.066618196404,True,59,4032.9174758671447,55130.96109977472
59,2020-03-21,2815,81.32119330575244,27642.066618196404,True,60,4479.997323156157,55130.96109977472
60,2020-03-22,3401,81.32119330575244,27642.066618196404,True,61,4971.831417340897,55130.96109977472
61,2020-03-23,3743,81.32119330575244,27642.066618196404,True,62,5511.803188387162,55130.96109977472
62,2020-03-24,4269,81.32119330575244,27642.066618196404,True,63,6103.305202257893,55130.96109977472
63,2020-03-25,4937,81.32119330575244,27642.066618196404,True,64,6749.676333745679,55130.96109977472
64,2020-03-26,6235,81.32119330575244,27642.066618196404,True,65,7454.126185378424,55130.96109977472
65,2020-03-27,7284,81.32119330575244,27642.066618196404,True,66,8219.646563359687,55130.96109977472
66,2020-03-28,9134,81.32119330575244,27642.066618196404,True,67,9048.91051554242,55130.96109977472
67,2020-03-29,10836,81.32119330575244,27642.066618196404,True,68,9944.16032905669,55130.96109977472
68,2020-03-30,11899,81.32119330575244,27642.066618196404,True,69,10907.086963761094,55130.96109977472
69,2020-03-31,12775,81.32119330575244,27642.066618196404,True,70,11938.704621230107,55130.96109977472
70,2020-04-01,13964,81.32119330575244,27642.066618196404,True,71,13039.225441778013,55130.96109977472
71,2020-04-02,15348,81.32119330575244,27642.066618196404,True,72,14207.940570184153,55130.96109977472
72,2020-04-03,16770,81.32119330575244,27642.066618196404,True,73,15443.114884655006,55130.96109977472
73,2020-04-04,18431,81.32119330575244,27642.066618196404,True,74,16741.90336787437,55130.96109977472
74,2020-04-05,19691,81.32119330575244,27642.066618196404,True,75,18100.297232336252,55130.96109977472
75,2020-04-06,20814,81.32119330575244,27642.066618196404,True,76,19513.1073351798,55130.96109977472
76,2020-04-07,22194,81.32119330575244,27642.066618196404,True,77,20973.9910271726,55130.96109977472
77,2020-04-08,23403,81.32119330575244,27642.066618196404,True,78,22475.526363020756,55130.96109977472
78,2020-04-09,24983,81.32119330575244,27642.066618196404,True,79,24009.334658244716,55130.96109977472
79,2020-04-10,26667,81.32119330575244,27642.066618196404,True,80,25566.248938530116,55130.96109977472
80,2020-04-11,28018,81.32119330575244,27642.066618196404,True,81,27136.522227948168,55130.96109977472
81,2020-04-12,29647,81.32119330575244,27642.066618196404,True,82,28710.066270066127,55130.96109977472
82,2020-04-13,30589,81.32119330575244,27642.066618196404,True,83,30276.70858730843,55130.96109977472
83,2020-04-14,31119,81.32119330575244,27642.066618196404,True,84,31826.454114163018,55130.96109977472
84,2020-04-15,33573,81.32119330575244,27642.066618196404,True,85,33349.73721778101,55130.96109977472
85,2020-04-16,34809,81.32119330575244,27642.066618196404,True,86,34837.65080395611,55130.96109977472
86,2020-04-17,36138,81.32119330575244,27642.066618196404,True,87,36282.14127466811,55130.96109977472
87,2020-04-18,37183,81.32119330575244,27642.066618196404,True,88,37676.16107489277,55130.96109977472
88,2020-04-19,38496,81.32119330575244,27642.066618196404,True,89,39013.77405597456,55130.96109977472
89,2020-04-20,39983,81.32119330575244,27642.066618196404,True,90,40290.21246935834,55130.96109977472
90,2020-04-21,40956,81.32119330575244,27642.066618196404,True,91,41501.887699541614,55130.96109977472
91,2020-04-22,41889,81.32119330575244,27642.066618196404,True,92,42646.359547624845,55130.96109977472
92,2020-04-23,42797,81.32119330575244,27642.066618196404,True,93,43722.270803949774,55130.96109977472
93,2020-04-24,44293,81.32119330575244,27642.066618196404,True,94,44729.2549410596,55130.96109977472
94,2020-04-25,45325,81.32119330575244,27642.066618196404,True,95,45667.82506563651,55130.96109977472
95,2020-04-26,46134,81.32119330575244,27642.066618196404,True,96,46539.25191755598,55130.96109977472
96,2020-04-27,46687,81.32119330575244,27642.066618196404,True,97,47345.43786668395,55130.96109977472
97,2020-04-28,47334,81.32119330575244,27642.066618196404,True,98,48088.79271557078,55130.96109977472
98,2020-04-29,47859,81.32119330575244,27642.066618196404,True,99,48772.115836612604,55130.96109977472
99,2020-04-30,48519,81.32119330575244,27642.066618196404,True,100,49398.487893145975,55130.96109977472
100,2020-05-01,49032,81.32119330575244,27642.066618196404,True,101,49971.174215473264,55130.96109977472
101,2020-05-02,49517,81.32119330575244,27642.066618196404,True,102,50493.54088768432,55130.96109977472
102,2020-05-03,49906,81.32119330575244,27642.066618196404,True,103,50968.98377931638,55130.96109977472
103,2020-05-04,50267,81.32119330575244,27642.066618196404,True,104,51400.870131788906,55130.96109977472
104,2020-05-05,50509,81.32119330575244,27642.066618196404,True,105,51792.49186978164,55130.96109977472
105,2020-05-06,50781,81.32119330575244,27642.066618196404,True,106,52147.02952822884,55130.96109977472
106,2020-05-07,51420,81.32119330575244,27642.066618196404,True,107,52467.52553742454,55130.96109977472
107,2020-05-08,52011,81.32119330575244,27642.066618196404,True,108,52756.865562267725,55130.96109977472
108,2020-05-09,52596,81.32119330575244,27642.066618196404,True,109,53017.76661945043,55130.96109977472
109,2020-05-10,53081,81.32119330575244,27642.066618196404,True,110,53252.77077462172,55130.96109977472
110,2020-05-11,53449,81.32119330575244,27642.066618196404,True,111,53464.2433307886,55130.96109977472
111,2020-05-12,53779,81.32119330575244,27642.066618196404,True,112,53654.374544309925,55130.96109977472
112,2020-05-13,53981,81.32119330575244,27642.066618196404,True,113,53825.184034621954,55130.96109977472
113,2020-05-14,54288,81.32119330575244,27642.066618196404,True,114,53978.527180494595,55130.96109977472
114,2020-05-15,54644,81.32119330575244,27642.066618196404,True,115,54116.102914084484,55130.96109977472
115,2020-05-16,54989,81.32119330575244,27642.066618196404,True,116,54239.46243136837,55130.96109977472
116,2020-05-17,55280,81.32119330575244,27642.066618196404,True,117,54350.01843231897,55130.96109977472
117,2020-05-18,55559,81.32119330575244,27642.066618196404,True,118,54449.05458614677,55130.96109977472
118,2020-05-19,55791,81.32119330575244,27642.066618196404,True,119,54537.734986527576,55130.96109977472
119,2020-05-20,55983,81.32119330575244,27642.066618196404,True,120,54617.113419883295,55130.96109977472
120,2020-05-21,56235,81.32119330575244,27642.066618196404,True,121,54688.1423176348,55130.96109977472
121,2020-05-22,56511,81.32119330575244,27642.066618196404,True,122,54751.68130216032,55130.96109977472
122,2020-05-23,56810,81.32119330575244,27642.066618196404,True,123,54808.50526722092,55130.96109977472
