,Report_Date,Malaysia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,22,7,75.55435123710308,3489.0216334447077,True,33,109.00409640037965,6962.1151410625625
33,2020-02-24,22,4,75.55435123710308,3489.0216334447077,True,34,119.95976110684899,6962.1151410625625
34,2020-02-25,22,4,75.55435123710308,3489.0216334447077,True,35,131.99538668941423,6962.1151410625625
35,2020-02-26,22,4,75.55435123710308,3489.0216334447077,True,36,145.21298443093596,6962.1151410625625
36,2020-02-27,23,5,75.55435123710308,3489.0216334447077,True,37,159.7232705181091,6962.1151410625625
37,2020-02-28,23,5,75.55435123710308,3489.0216334447077,True,38,175.64621264551235,6962.1151410625625
38,2020-02-29,25,7,75.55435123710308,3489.0216334447077,True,39,193.11156751769002,6962.1151410625625
39,2020-03-01,29,11,75.55435123710308,3489.0216334447077,True,40,212.25939710909591,6962.1151410625625
40,2020-03-02,29,11,75.55435123710308,3489.0216334447077,True,41,233.24054872004606,6962.1151410625625
41,2020-03-03,36,14,75.55435123710308,3489.0216334447077,True,42,256.21708065147743,6962.1151410625625
42,2020-03-04,50,28,75.55435123710308,3489.0216334447077,True,43,281.36261170938775,6962.1151410625625
43,2020-03-05,50,28,75.55435123710308,3489.0216334447077,True,44,308.86256875870407,6962.1151410625625
44,2020-03-06,83,61,75.55435123710308,3489.0216334447077,True,45,338.9143022214551,6962.1151410625625
45,2020-03-07,93,70,75.55435123710308,3489.0216334447077,True,46,371.72703483841764,6962.1151410625625
46,2020-03-08,99,75,75.55435123710308,3489.0216334447077,True,47,407.52160431813667,6962.1151410625625
47,2020-03-09,117,93,75.55435123710308,3489.0216334447077,True,48,446.5299558739314,6962.1151410625625
48,2020-03-10,129,105,75.55435123710308,3489.0216334447077,True,49,488.9943363625537,6962.1151410625625
49,2020-03-11,149,123,75.55435123710308,3489.0216334447077,True,50,535.1661381366827,6962.1151410625625
50,2020-03-12,149,123,75.55435123710308,3489.0216334447077,True,51,585.3043382510806,6962.1151410625625
51,2020-03-13,197,171,75.55435123710308,3489.0216334447077,True,52,639.6734778624526,6962.1151410625625
52,2020-03-14,238,203,75.55435123710308,3489.0216334447077,True,53,698.5411281770686,6962.1151410625625
53,2020-03-15,428,386,75.55435123710308,3489.0216334447077,True,54,762.174793853566,6962.1151410625625
54,2020-03-16,566,524,75.55435123710308,3489.0216334447077,True,55,830.8382131423932,6962.1151410625625
55,2020-03-17,673,622,75.55435123710308,3489.0216334447077,True,56,904.7870270265305,6962.1151410625625
56,2020-03-18,790,728,75.55435123710308,3489.0216334447077,True,57,984.2638079442734,6962.1151410625625
57,2020-03-19,900,823,75.55435123710308,3489.0216334447077,True,58,1069.49246288487,6962.1151410625625
58,2020-03-20,1030,940,75.55435123710308,3489.0216334447077,True,59,1160.6720560266858,6962.1151410625625
59,2020-03-21,1183,1065,75.55435123710308,3489.0216334447077,True,60,1257.970132480492,6962.1151410625625
60,2020-03-22,1306,1157,75.55435123710308,3489.0216334447077,True,61,1361.515666370218,6962.1151410625625
61,2020-03-23,1518,1365,75.55435123710308,3489.0216334447077,True,62,1471.3918019664616,6962.1151410625625
62,2020-03-24,1624,1425,75.55435123710308,3489.0216334447077,True,63,1587.6286035856483,6962.1151410625625
63,2020-03-25,1796,1577,75.55435123710308,3489.0216334447077,True,64,1710.1960753054057,6962.1151410625625
64,2020-03-26,2031,1793,75.55435123710308,3489.0216334447077,True,65,1838.9977512352311,6962.1151410625625
65,2020-03-27,2161,1876,75.55435123710308,3489.0216334447077,True,66,1973.865186513814,6962.1151410625625
66,2020-03-28,2320,1973,75.55435123710308,3489.0216334447077,True,67,2114.553693507196,6962.1151410625625
67,2020-03-29,2470,2047,75.55435123710308,3489.0216334447077,True,68,2260.7396622232827,6962.1151410625625
68,2020-03-30,2626,2110,75.55435123710308,3489.0216334447077,True,69,2412.019774978124,6962.1151410625625
69,2020-03-31,2766,2186,75.55435123710308,3489.0216334447077,True,70,2567.9123706484584,6962.1151410625625
70,2020-04-01,2908,2218,75.55435123710308,3489.0216334447077,True,71,2727.861133430604,6962.1151410625625
71,2020-04-02,3116,2299,75.55435123710308,3489.0216334447077,True,72,2891.2411775907763,6962.1151410625625
72,2020-04-03,3333,2453,75.55435123710308,3489.0216334447077,True,73,3057.3674788021344,6962.1151410625625
73,2020-04-04,3483,2511,75.55435123710308,3489.0216334447077,True,74,3225.505472552793,6962.1151410625625
74,2020-04-05,3662,2596,75.55435123710308,3489.0216334447077,True,75,3394.8835110376717,6962.1151410625625
75,2020-04-06,3793,2490,75.55435123710308,3489.0216334447077,True,76,3564.7067531620946,6962.1151410625625
76,2020-04-07,3963,2579,75.55435123710308,3489.0216334447077,True,77,3734.171968699451,6962.1151410625625
77,2020-04-08,4119,2567,75.55435123710308,3489.0216334447077,True,78,3902.482676435067,6962.1151410625625
78,2020-04-09,4228,2553,75.55435123710308,3489.0216334447077,True,79,4068.8640134814286,6962.1151410625625
79,2020-04-10,4346,2446,75.55435123710308,3489.0216334447077,True,80,4232.576751190509,6962.1151410625625
80,2020-04-11,4530,2462,75.55435123710308,3489.0216334447077,True,81,4392.929930343404,6962.1151410625625
81,2020-04-12,4683,2499,75.55435123710308,3489.0216334447077,True,82,4549.29167876449,6962.1151410625625
82,2020-04-13,4817,2464,75.55435123710308,3489.0216334447077,True,83,4701.097889279686,6962.1151410625625
83,2020-04-14,4987,2427,75.55435123710308,3489.0216334447077,True,84,4847.858564225011,6962.1151410625625
84,2020-04-15,5072,2342,75.55435123710308,3489.0216334447077,True,85,4989.161763234375,6962.1151410625625
85,2020-04-16,5182,2332,75.55435123710308,3489.0216334447077,True,86,5124.675213369888,6962.1151410625625
86,2020-04-17,5251,2198,75.55435123710308,3489.0216334447077,True,87,5254.145746311007,6962.1151410625625
87,2020-04-18,5305,2115,75.55435123710308,3489.0216334447077,True,88,5377.396810417182,6962.1151410625625
88,2020-04-19,5389,2103,75.55435123710308,3489.0216334447077,True,89,5494.324363019941,6962.1151410625625
89,2020-04-20,5425,2041,75.55435123710308,3489.0216334447077,True,90,5604.8914800042185,6962.1151410625625
90,2020-04-21,5482,2041,75.55435123710308,3489.0216334447077,True,91,5709.122027594182,6962.1151410625625
91,2020-04-22,5532,1987,75.55435123710308,3489.0216334447077,True,92,5807.093728889619,6962.1151410625625
92,2020-04-23,5603,1966,75.55435123710308,3489.0216334447077,True,93,5898.930929674721,6962.1151410625625
93,2020-04-24,5691,1932,75.55435123710308,3489.0216334447077,True,94,5984.797329215977,6962.1151410625625
94,2020-04-25,5742,1882,75.55435123710308,3489.0216334447077,True,95,6064.88889683574,6962.1151410625625
95,2020-04-26,5780,1820,75.55435123710308,3489.0216334447077,True,96,6139.427148061599,6962.1151410625625
96,2020-04-27,5820,1764,75.55435123710308,3489.0216334447077,True,97,6208.6529083770765,6962.1151410625625
97,2020-04-28,5851,1719,75.55435123710308,3489.0216334447077,True,98,6272.820650429786,6962.1151410625625
98,2020-04-29,5945,1758,75.55435123710308,3489.0216334447077,True,99,6332.193453539142,6962.1151410625625
99,2020-04-30,6002,1729,75.55435123710308,3489.0216334447077,True,100,6387.0386032963925,6962.1151410625625
100,2020-05-01,6071,1758,75.55435123710308,3489.0216334447077,True,101,6437.6238241761275,6962.1151410625625
101,2020-05-02,6176,1747,75.55435123710308,3489.0216334447077,True,102,6484.214119144736,6962.1151410625625
102,2020-05-03,6298,1780,75.55435123710308,3489.0216334447077,True,103,6527.06917672148,6962.1151410625625
103,2020-05-04,6353,1764,75.55435123710308,3489.0216334447077,True,104,6566.441297110532,6962.1151410625625
104,2020-05-05,6383,1710,75.55435123710308,3489.0216334447077,True,105,6602.573784092118,6962.1151410625625
105,2020-05-06,6428,1619,75.55435123710308,3489.0216334447077,True,106,6635.699747552923,6962.1151410625625
106,2020-05-07,6467,1584,75.55435123710308,3489.0216334447077,True,107,6666.041262116981,6962.1151410625625
107,2020-05-08,6535,1564,75.55435123710308,3489.0216334447077,True,108,6693.808829656875,6962.1151410625625
108,2020-05-09,6589,1552,75.55435123710308,3489.0216334447077,True,109,6719.201096967116,6962.1151410625625
109,2020-05-10,6656,1523,75.55435123710308,3489.0216334447077,True,110,6742.404784112533,6962.1151410625625
110,2020-05-11,6726,1504,75.55435123710308,3489.0216334447077,True,111,6763.594783565431,6962.1151410625625
111,2020-05-12,6742,1410,75.55435123710308,3489.0216334447077,True,112,6782.934394943242,6962.1151410625625
112,2020-05-13,6779,1387,75.55435123710308,3489.0216334447077,True,113,6800.57566475439,6962.1151410625625
113,2020-05-14,6819,1356,75.55435123710308,3489.0216334447077,True,114,6816.6598049170225,6962.1151410625625
114,2020-05-15,6855,1304,75.55435123710308,3489.0216334447077,True,115,6831.317667845493,6962.1151410625625
115,2020-05-16,6872,1247,75.55435123710308,3489.0216334447077,True,116,6844.670259553827,6962.1151410625625
116,2020-05-17,6894,1210,75.55435123710308,3489.0216334447077,True,117,6856.8292754840895,6962.1151410625625
117,2020-05-18,6941,1213,75.55435123710308,3489.0216334447077,True,118,6867.897646631393,6962.1151410625625
118,2020-05-19,6978,1218,75.55435123710308,3489.0216334447077,True,119,6877.970086021963,6962.1151410625625
119,2020-05-20,7009,1189,75.55435123710308,3489.0216334447077,True,120,6887.133627731057,6962.1151410625625
120,2020-05-21,7059,1149,75.55435123710308,3489.0216334447077,True,121,6895.468152434201,6962.1151410625625
121,2020-05-22,7137,1163,75.55435123710308,3489.0216334447077,True,122,6903.046895000972,6962.1151410625625
122,2020-05-23,7185,1158,75.55435123710308,3489.0216334447077,True,123,6909.93693089912,6962.1151410625625
123,2020-05-24,7245,1185,75.55435123710308,3489.0216334447077,True,124,6916.199639210493,6962.1151410625625
124,2020-05-25,7417,1323,75.55435123710308,3489.0216334447077,True,125,6921.8911408997,6962.1151410625625
125,2020-05-26,7604,1448,75.55435123710308,3489.0216334447077,True,126,6927.062711649749,6962.1151410625625
126,2020-05-27,7619,1421,75.55435123710308,3489.0216334447077,True,127,6931.761169111478,6962.1151410625625
127,2020-05-28,7629,1345,75.55435123710308,3489.0216334447077,True,128,6936.029234827911,6962.1151410625625
