,Report_Date,Malaysia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,75.55435123710308,3489.0216334447077,True,1,4.907079178399641,6962.1151410625625
1,2020-01-23,0,0,75.55435123710308,3489.0216334447077,True,2,5.40851242566951,6962.1151410625625
2,2020-01-24,0,0,75.55435123710308,3489.0216334447077,True,3,5.961141169741593,6962.1151410625625
3,2020-01-25,3,3,75.55435123710308,3489.0216334447077,True,4,6.570182977786642,6962.1151410625625
4,2020-01-26,4,4,75.55435123710308,3489.0216334447077,True,5,7.241385143033189,6962.1151410625625
5,2020-01-27,4,4,75.55435123710308,3489.0216334447077,True,6,7.981078032640515,6962.1151410625625
6,2020-01-28,4,4,75.55435123710308,3489.0216334447077,True,7,8.796233714863703,6962.1151410625625
7,2020-01-29,7,7,75.55435123710308,3489.0216334447077,True,8,9.69453036780709,6962.1151410625625
8,2020-01-30,8,8,75.55435123710308,3489.0216334447077,True,9,10.684423015455492,6962.1151410625625
9,2020-01-31,8,8,75.55435123710308,3489.0216334447077,True,10,11.77522118282495,6962.1151410625625
10,2020-02-01,8,8,75.55435123710308,3489.0216334447077,True,11,12.977174110919986,6962.1151410625625
11,2020-02-02,8,8,75.55435123710308,3489.0216334447077,True,12,14.301564223578124,6962.1151410625625
12,2020-02-03,8,8,75.55435123710308,3489.0216334447077,True,13,15.760809591981166,6962.1151410625625
13,2020-02-04,10,10,75.55435123710308,3489.0216334447077,True,14,17.3685761982462,6962.1151410625625
14,2020-02-05,12,12,75.55435123710308,3489.0216334447077,True,15,19.13990085654952,6962.1151410625625
15,2020-02-06,12,12,75.55435123710308,3489.0216334447077,True,16,21.09132570795727,6962.1151410625625
16,2020-02-07,12,11,75.55435123710308,3489.0216334447077,True,17,23.24104526256798,6962.1151410625625
17,2020-02-08,16,15,75.55435123710308,3489.0216334447077,True,18,25.609067018443536,6962.1151410625625
18,2020-02-09,16,15,75.55435123710308,3489.0216334447077,True,19,28.217386739479437,6962.1151410625625
19,2020-02-10,18,17,75.55435123710308,3489.0216334447077,True,20,31.090179521759623,6962.1151410625625
20,2020-02-11,18,15,75.55435123710308,3489.0216334447077,True,21,34.25400781743468,6962.1151410625625
21,2020-02-12,18,15,75.55435123710308,3489.0216334447077,True,22,37.73804761348749,6962.1151410625625
22,2020-02-13,19,16,75.55435123710308,3489.0216334447077,True,23,41.574333975869024,6962.1151410625625
23,2020-02-14,19,16,75.55435123710308,3489.0216334447077,True,24,45.798027162445976,6962.1151410625625
24,2020-02-15,22,15,75.55435123710308,3489.0216334447077,True,25,50.44770047496682,6962.1151410625625
25,2020-02-16,22,15,75.55435123710308,3489.0216334447077,True,26,55.5656509535332,6962.1151410625625
26,2020-02-17,22,15,75.55435123710308,3489.0216334447077,True,27,61.198233908098175,6962.1151410625625
27,2020-02-18,22,9,75.55435123710308,3489.0216334447077,True,28,67.39622211985969,6962.1151410625625
28,2020-02-19,22,7,75.55435123710308,3489.0216334447077,True,29,74.21519031871954,6962.1151410625625
29,2020-02-20,22,7,75.55435123710308,3489.0216334447077,True,30,81.71592523671819,6962.1151410625625
30,2020-02-21,22,7,75.55435123710308,3489.0216334447077,True,31,89.96486113464123,6962.1151410625625
31,2020-02-22,22,7,75.55435123710308,3489.0216334447077,True,32,99.03454018032903,6962.1151410625625
