,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-1.9945473512626304,-14.59989844830757,10.58811904681754,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
1,2020-01-23,-0.7695080063542765,-12.228893108338577,10.782458364485379,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
2,2020-01-24,-1.3306786699147908,-12.920540693742073,11.165664775594644,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
3,2020-01-25,3.9509346931718814,-7.720390201700534,15.696626256962787,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
4,2020-01-26,3.256150947280332,-9.375027901855002,15.30452320400908,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
5,2020-01-27,-1.400579411931851,-13.097296936361685,9.84053968911563,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
6,2020-01-28,-1.6971929110010346,-14.28555139704655,10.179898066573983,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
7,2020-01-29,-1.991568210619339,-13.428511898175202,9.174263197794886,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
8,2020-01-30,-0.7659201068760123,-12.775739101037368,10.887948819087363,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
9,2020-01-31,-1.3263576178085197,-13.161734052506493,9.654248765180048,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
10,2020-02-01,3.9561387102592427,-7.396728517292776,15.830393278935713,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
11,2020-02-02,3.2624183541470764,-8.936187689423628,15.338216945019639,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
12,2020-02-03,-1.3930313227059063,-13.249156929625556,11.226832531125405,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
13,2020-02-04,-1.6881024457352936,-14.303140607386263,9.952902800040766,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
14,2020-02-05,-1.9806202017586012,-13.940967707371666,10.21176750086303,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
15,2020-02-06,-0.7527349865250154,-13.537439436642625,11.96888677704566,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
16,2020-02-07,-1.3104782586548993,-13.052579496293866,10.190552724134513,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
17,2020-02-08,3.9752628426976457,-7.619209694624795,16.153081658600023,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
18,2020-02-09,3.2854502872726363,-8.594644910805957,15.42279924833648,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
19,2020-02-10,-1.3652930833776618,-13.2466621356367,10.782080567990656,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
20,2020-02-11,-1.6546962352977095,-13.721599799708262,9.33161306287651,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
21,2020-02-12,-1.9403878592943546,-13.756241033016883,9.280724974252902,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
22,2020-02-13,-0.7042817080982261,-13.202132684510353,10.7266621481715,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
23,2020-02-14,-1.2521242488665458,-13.772199904573272,10.516550266071144,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
24,2020-02-15,4.045540595334509,-8.207639337949004,15.18656821769709,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
25,2020-02-16,3.3700881277975485,-7.792522720955063,15.486043912895271,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
26,2020-02-17,-1.2633610379931826,-12.713149110085142,9.815731191695901,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
27,2020-02-18,-1.5319364138153013,-14.177429755975,10.175483337468929,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
28,2020-02-19,-1.792544790741761,-13.242281914152084,10.605163242190892,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
29,2020-02-20,-0.5262305770252629,-13.819557856110254,11.641289149677306,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
30,2020-02-21,-1.0376933526563865,-13.030932925136678,10.378047241471638,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
31,2020-02-22,4.303783623404118,-7.450384867542926,15.601135712643845,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
32,2020-02-23,3.681093713759214,-8.064102720289593,14.453435640019055,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
33,2020-02-24,-0.8888145119707653,-12.671713655282392,11.271050788889852,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
34,2020-02-25,-1.080869524906509,-12.045108647091634,10.14133315687781,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
35,2020-02-26,-1.249327953477211,-12.757678416412105,10.648172081695582,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
36,2020-02-27,0.12795656449986215,-11.431068291613887,12.536041425590902,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
37,2020-02-28,-0.249874122494524,-12.377471757754655,12.144295769711036,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
38,2020-02-29,5.25252116317637,-6.996156206839387,17.225677955629592,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
39,2020-03-01,4.823602350865691,-6.688605368726053,16.591668901436414,0.0,2020-04-06,86.15434703047218,False,76,4091.6784940661214
