,Report_Date,Moldova_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,92.10261582356678,2853.4669615655575,True,1,0.4687772504853251,5502.680304987159
1,2020-01-23,0,92.10261582356678,2853.4669615655575,True,2,0.5197644732393499,5502.680304987159
2,2020-01-24,0,92.10261582356678,2853.4669615655575,True,3,0.5762968335564083,5502.680304987159
3,2020-01-25,0,92.10261582356678,2853.4669615655575,True,4,0.6389772668274853,5502.680304987159
4,2020-01-26,0,92.10261582356678,2853.4669615655575,True,5,0.7084742375157768,5502.680304987159
5,2020-01-27,0,92.10261582356678,2853.4669615655575,True,6,0.785528854322415,5502.680304987159
6,2020-01-28,0,92.10261582356678,2853.4669615655575,True,7,0.8709627563689794,5502.680304987159
7,2020-01-29,0,92.10261582356678,2853.4669615655575,True,8,0.9656868535903381,5502.680304987159
8,2020-01-30,0,92.10261582356678,2853.4669615655575,True,9,1.0707110134263325,5502.680304987159
9,2020-01-31,0,92.10261582356678,2853.4669615655575,True,10,1.1871547957279345,5502.680304987159
10,2020-02-01,0,92.10261582356678,2853.4669615655575,True,11,1.3162593486461864,5502.680304987159
11,2020-02-02,0,92.10261582356678,2853.4669615655575,True,12,1.459400590252032,5502.680304987159
12,2020-02-03,0,92.10261582356678,2853.4669615655575,True,13,1.618103813852551,5502.680304987159
13,2020-02-04,0,92.10261582356678,2853.4669615655575,True,14,1.794059869543735,5502.680304987159
14,2020-02-05,0,92.10261582356678,2853.4669615655575,True,15,1.9891430906011245,5502.680304987159
15,2020-02-06,0,92.10261582356678,2853.4669615655575,True,16,2.2054311509964943,5502.680304987159
16,2020-02-07,0,92.10261582356678,2853.4669615655575,True,17,2.44522705979057,5502.680304987159
17,2020-02-08,0,92.10261582356678,2853.4669615655575,True,18,2.7110835195476324,5502.680304987159
18,2020-02-09,0,92.10261582356678,2853.4669615655575,True,19,3.00582989941664,5502.680304987159
19,2020-02-10,0,92.10261582356678,2853.4669615655575,True,20,3.33260209930297,5502.680304987159
20,2020-02-11,0,92.10261582356678,2853.4669615655575,True,21,3.694875609800596,5502.680304987159
21,2020-02-12,0,92.10261582356678,2853.4669615655575,True,22,4.096502103458329,5502.680304987159
22,2020-02-13,0,92.10261582356678,2853.4669615655575,True,23,4.541749926710921,5502.680304987159
23,2020-02-14,0,92.10261582356678,2853.4669615655575,True,24,5.035348898612015,5502.680304987159
24,2020-02-15,0,92.10261582356678,2853.4669615655575,True,25,5.582539862552428,5502.680304987159
25,2020-02-16,0,92.10261582356678,2853.4669615655575,True,26,6.189129480614436,5502.680304987159
26,2020-02-17,0,92.10261582356678,2853.4669615655575,True,27,6.861550807263216,5502.680304987159
27,2020-02-18,0,92.10261582356678,2853.4669615655575,True,28,7.60693022984292,5502.680304987159
28,2020-02-19,0,92.10261582356678,2853.4669615655575,True,29,8.43316141791874,5502.680304987159
29,2020-02-20,0,92.10261582356678,2853.4669615655575,True,30,9.348986981919234,5502.680304987159
30,2020-02-21,0,92.10261582356678,2853.4669615655575,True,31,10.364088603737763,5502.680304987159
31,2020-02-22,0,92.10261582356678,2853.4669615655575,True,32,11.489186467793045,5502.680304987159
