,Report_Date,Brazil_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
25,2020-02-16,0,0,132.13297412031338,513125.12201505585,False,26,325.7452553471159,1026250.2440301115
26,2020-02-17,0,0,132.13297412031338,513125.12201505585,False,27,351.42133118425323,1026250.2440301115
27,2020-02-18,0,0,132.13297412031338,513125.12201505585,False,28,379.120513225009,1026250.2440301115
28,2020-02-19,0,0,132.13297412031338,513125.12201505585,False,29,409.00208641563137,1026250.2440301115
29,2020-02-20,0,0,132.13297412031338,513125.12201505585,False,30,441.23785658584495,1026250.2440301115
30,2020-02-21,0,0,132.13297412031338,513125.12201505585,False,31,476.013131386108,1026250.2440301115
31,2020-02-22,0,0,132.13297412031338,513125.12201505585,False,32,513.5277775361994,1026250.2440301115
32,2020-02-23,0,0,132.13297412031338,513125.12201505585,False,33,553.9973602331477,1026250.2440301115
33,2020-02-24,0,0,132.13297412031338,513125.12201505585,False,34,597.6543710000685,1026250.2440301115
34,2020-02-25,0,0,132.13297412031338,513125.12201505585,False,35,644.7495507207146,1026250.2440301115
35,2020-02-26,1,1,132.13297412031338,513125.12201505585,False,36,695.553315099111,1026250.2440301115
36,2020-02-27,1,1,132.13297412031338,513125.12201505585,False,37,750.3572903111722,1026250.2440301115
37,2020-02-28,1,1,132.13297412031338,513125.12201505585,False,38,809.4759671772699,1026250.2440301115
38,2020-02-29,2,2,132.13297412031338,513125.12201505585,False,39,873.2484827829842,1026250.2440301115
39,2020-03-01,2,2,132.13297412031338,513125.12201505585,False,40,942.0405391112125,1026250.2440301115
40,2020-03-02,2,2,132.13297412031338,513125.12201505585,False,41,1016.2464689239201,1026250.2440301115
41,2020-03-03,2,2,132.13297412031338,513125.12201505585,False,42,1096.291459847391,1026250.2440301115
42,2020-03-04,4,4,132.13297412031338,513125.12201505585,False,43,1182.6339483720524,1026250.2440301115
43,2020-03-05,4,4,132.13297412031338,513125.12201505585,False,44,1275.768196277657,1026250.2440301115
44,2020-03-06,13,13,132.13297412031338,513125.12201505585,False,45,1376.2270628375313,1026250.2440301115
45,2020-03-07,13,13,132.13297412031338,513125.12201505585,False,46,1484.5849870418417,1026250.2440301115
46,2020-03-08,20,20,132.13297412031338,513125.12201505585,False,47,1601.461195009235,1026250.2440301115
47,2020-03-09,25,25,132.13297412031338,513125.12201505585,False,48,1727.5231487279339,1026250.2440301115
48,2020-03-10,31,31,132.13297412031338,513125.12201505585,False,49,1863.4902532797564,1026250.2440301115
49,2020-03-11,38,38,132.13297412031338,513125.12201505585,False,50,2010.1378407512902,1026250.2440301115
50,2020-03-12,52,52,132.13297412031338,513125.12201505585,False,51,2168.3014501219177,1026250.2440301115
51,2020-03-13,151,151,132.13297412031338,513125.12201505585,False,52,2338.8814235338923,1026250.2440301115
52,2020-03-14,151,151,132.13297412031338,513125.12201505585,False,53,2522.847840488873,1026250.2440301115
53,2020-03-15,162,162,132.13297412031338,513125.12201505585,False,54,2721.2458126700717,1026250.2440301115
54,2020-03-16,200,199,132.13297412031338,513125.12201505585,False,55,2935.2011632493063,1026250.2440301115
55,2020-03-17,321,318,132.13297412031338,513125.12201505585,False,56,3165.926515690927,1026250.2440301115
56,2020-03-18,372,367,132.13297412031338,513125.12201505585,False,57,3414.7278181941397,1026250.2440301115
57,2020-03-19,621,613,132.13297412031338,513125.12201505585,False,58,3683.0113310025117,1026250.2440301115
58,2020-03-20,793,780,132.13297412031338,513125.12201505585,False,59,3972.2911048311735,1026250.2440301115
59,2020-03-21,1021,1004,132.13297412031338,513125.12201505585,False,60,4284.196979590766,1026250.2440301115
60,2020-03-22,1546,1519,132.13297412031338,513125.12201505585,False,61,4620.483133388974,1026250.2440301115
61,2020-03-23,1924,1888,132.13297412031338,513125.12201505585,False,62,4983.037212426437,1026250.2440301115
62,2020-03-24,2247,2199,132.13297412031338,513125.12201505585,False,63,5373.890072827106,1026250.2440301115
63,2020-03-25,2554,2493,132.13297412031338,513125.12201505585,False,64,5795.22616559898,1026250.2440301115
64,2020-03-26,2985,2902,132.13297412031338,513125.12201505585,False,65,6249.3945957457745,1026250.2440301115
65,2020-03-27,3417,3319,132.13297412031338,513125.12201505585,False,66,6738.920885968438,1026250.2440301115
66,2020-03-28,3904,3787,132.13297412031338,513125.12201505585,False,67,7266.5194743213015,1026250.2440301115
67,2020-03-29,4256,4114,132.13297412031338,513125.12201505585,False,68,7835.10697352089,1026250.2440301115
68,2020-03-30,4579,4300,132.13297412031338,513125.12201505585,False,69,8447.816217230908,1026250.2440301115
69,2020-03-31,5717,5389,132.13297412031338,513125.12201505585,False,70,9108.011115433357,1026250.2440301115
70,2020-04-01,6836,6469,132.13297412031338,513125.12201505585,False,71,9819.302336792272,1026250.2440301115
71,2020-04-02,8044,7593,132.13297412031338,513125.12201505585,False,72,10585.5638305536,1026250.2440301115
72,2020-04-03,9056,8570,132.13297412031338,513125.12201505585,False,73,11410.950193809445,1026250.2440301115
73,2020-04-04,10360,9788,132.13297412031338,513125.12201505585,False,74,12299.914881671217,1026250.2440301115
74,2020-04-05,11130,10517,132.13297412031338,513125.12201505585,False,75,13257.229247803942,1026250.2440301115
75,2020-04-06,12161,11470,132.13297412031338,513125.12201505585,False,76,14288.00239060445,1026250.2440301115
76,2020-04-07,14034,13221,132.13297412031338,513125.12201505585,False,77,15397.701765766584,1026250.2440301115
77,2020-04-08,16170,15224,132.13297412031338,513125.12201505585,False,78,16592.174508744883,1026250.2440301115
78,2020-04-09,18092,16969,132.13297412031338,513125.12201505585,False,79,17877.669390357925,1026250.2440301115
79,2020-04-10,19638,18408,132.13297412031338,513125.12201505585,False,80,19260.859305091806,1026250.2440301115
80,2020-04-11,20727,19430,132.13297412031338,513125.12201505585,False,81,20748.864164183815,1026250.2440301115
81,2020-04-12,22192,20796,132.13297412031338,513125.12201505585,False,82,22349.274033878424,1026250.2440301115
82,2020-04-13,23430,21929,132.13297412031338,513125.12201505585,False,83,24070.172322943425,1026250.2440301115
83,2020-04-14,25262,20684,132.13297412031338,513125.12201505585,False,84,25920.158782206374,1026250.2440301115
84,2020-04-15,28320,12558,132.13297412031338,513125.12201505585,False,85,27908.37203213594,1026250.2440301115
85,2020-04-16,30425,14475,132.13297412031338,513125.12201505585,False,86,30044.511282007552,1026250.2440301115
86,2020-04-17,33682,17515,132.13297412031338,513125.12201505585,False,87,32338.856845678187,1026250.2440301115
87,2020-04-18,36658,20278,132.13297412031338,513125.12201505585,False,88,34802.288994276714,1026250.2440301115
88,2020-04-19,38654,14062,132.13297412031338,513125.12201505585,False,89,37446.304615150126,1026250.2440301115
89,2020-04-20,40743,16026,132.13297412031338,513125.12201505585,False,90,40283.031069339195,1026250.2440301115
90,2020-04-21,43079,17347,132.13297412031338,513125.12201505585,False,91,43325.23655707161,1026250.2440301115
91,2020-04-22,45757,17533,132.13297412031338,513125.12201505585,False,92,46586.33621295006,1026250.2440301115
92,2020-04-23,50036,20132,132.13297412031338,513125.12201505585,False,93,50080.39306074214,1026250.2440301115
93,2020-04-24,54043,22684,132.13297412031338,513125.12201505585,False,94,53822.11286348232,1026250.2440301115
94,2020-04-25,59324,26107,132.13297412031338,513125.12201505585,False,95,57826.831810053285,1026250.2440301115
95,2020-04-26,63100,28662,132.13297412031338,513125.12201505585,False,96,62110.495887248166,1026250.2440301115
96,2020-04-27,67446,31701,132.13297412031338,513125.12201505585,False,97,66689.63069999285,1026250.2440301115
97,2020-04-28,73235,35608,132.13297412031338,513125.12201505585,False,98,71581.3004262109,1026250.2440301115
98,2020-04-29,79685,40040,132.13297412031338,513125.12201505585,False,99,76803.05453193444,1026250.2440301115
99,2020-04-30,87187,45246,132.13297412031338,513125.12201505585,False,100,82372.86083283897,1026250.2440301115
100,2020-05-01,92202,47751,132.13297412031338,513125.12201505585,False,101,88309.02347750808,1026250.2440301115
101,2020-05-02,97100,49402,132.13297412031338,513125.12201505585,False,102,94630.08445344726,1026250.2440301115
102,2020-05-03,101826,51784,132.13297412031338,513125.12201505585,False,103,101354.7072880007,1026250.2440301115
103,2020-05-04,108620,55438,132.13297412031338,513125.12201505585,False,104,108501.54174234746,1026250.2440301115
104,2020-05-05,115455,59296,132.13297412031338,513125.12201505585,False,105,116089.06848742819,1026250.2440301115
105,2020-05-06,126611,66653,132.13297412031338,513125.12201505585,False,106,124135.42301561564,1026250.2440301115
106,2020-05-07,135773,71233,132.13297412031338,513125.12201505585,False,107,132658.19839011817,1026250.2440301115
107,2020-05-08,146894,77580,132.13297412031338,513125.12201505585,False,108,141674.22687295245,1026250.2440301115
108,2020-05-09,156061,83720,132.13297412031338,513125.12201505585,False,109,151199.3410069687,1026250.2440301115
109,2020-05-10,162699,86619,132.13297412031338,513125.12201505585,False,110,161248.11535961472,1026250.2440301115
110,2020-05-11,169594,90557,132.13297412031338,513125.12201505585,False,111,171833.5908631232,1026250.2440301115
111,2020-05-12,178214,93156,132.13297412031338,513125.12201505585,False,112,182966.98449924373,1026250.2440301115
112,2020-05-13,190137,98473,132.13297412031338,513125.12201505585,False,113,194657.38796131883,1026250.2440301115
113,2020-05-14,203165,109687,132.13297412031338,513125.12201505585,False,114,206911.4598596276,1026250.2440301115
114,2020-05-15,220291,120359,132.13297412031338,513125.12201505585,False,115,219733.11698626686,1026250.2440301115
115,2020-05-16,233511,128177,132.13297412031338,513125.12201505585,False,116,233123.23108381228,1026250.2440301115
116,2020-05-17,241080,130840,132.13297412031338,513125.12201505585,False,117,247079.33841992085,1026250.2440301115
117,2020-05-18,255368,138056,132.13297412031338,513125.12201505585,False,118,261595.370203538,1026250.2440301115
118,2020-05-19,271885,147108,132.13297412031338,513125.12201505585,False,119,276661.412428543,1026250.2440301115
119,2020-05-20,291579,156037,132.13297412031338,513125.12201505585,False,120,292263.50403707917,1026250.2440301115
120,2020-05-21,310087,164080,132.13297412031338,513125.12201505585,False,121,308383.4822997022,1026250.2440301115
121,2020-05-22,330890,174412,132.13297412031338,513125.12201505585,False,122,324998.8839623094,1026250.2440301115
122,2020-05-23,347398,182798,132.13297412031338,513125.12201505585,False,123,342082.9099725789,1026250.2440301115
123,2020-05-24,363211,190634,132.13297412031338,513125.12201505585,False,124,359604.4604511092,1026250.2440301115
124,2020-05-25,374898,197592,132.13297412031338,513125.12201505585,False,125,377528.2450166274,1026250.2440301115
125,2020-05-26,391222,208117,132.13297412031338,513125.12201505585,False,126,395814.9716386469,1026250.2440301115
126,2020-05-27,411821,219576,132.13297412031338,513125.12201505585,False,127,414421.61493062106,1026250.2440301115
127,2020-05-28,438238,233880,132.13297412031338,513125.12201505585,False,128,433301.7622952605,1026250.2440301115
