,Report_Date,Brazil_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,132.13297412031338,513125.12201505585,False,1,48.8622024879826,1026250.2440301115
1,2020-01-23,0,0,132.13297412031338,513125.12201505585,False,2,52.71476791919753,1026250.2440301115
2,2020-01-24,0,0,132.13297412031338,513125.12201505585,False,3,56.871074015028,1026250.2440301115
3,2020-01-25,0,0,132.13297412031338,513125.12201505585,False,4,61.35506527766504,1026250.2440301115
4,2020-01-26,0,0,132.13297412031338,513125.12201505585,False,5,66.19257335148242,1026250.2440301115
5,2020-01-27,0,0,132.13297412031338,513125.12201505585,False,6,71.41146568057351,1026250.2440301115
6,2020-01-28,0,0,132.13297412031338,513125.12201505585,False,7,77.04180586447038,1026250.2440301115
7,2020-01-29,0,0,132.13297412031338,513125.12201505585,False,8,83.11602663060812,1026250.2440301115
8,2020-01-30,0,0,132.13297412031338,513125.12201505585,False,9,89.66911641389768,1026250.2440301115
9,2020-01-31,0,0,132.13297412031338,513125.12201505585,False,10,96.73882061112971,1026250.2440301115
10,2020-02-01,0,0,132.13297412031338,513125.12201505585,False,11,104.36585866127044,1026250.2440301115
11,2020-02-02,0,0,132.13297412031338,513125.12201505585,False,12,112.59415819248329,1026250.2440301115
12,2020-02-03,0,0,132.13297412031338,513125.12201505585,False,13,121.47110757339561,1026250.2440301115
13,2020-02-04,0,0,132.13297412031338,513125.12201505585,False,14,131.04782831025497,1026250.2440301115
14,2020-02-05,0,0,132.13297412031338,513125.12201505585,False,15,141.37946884373173,1026250.2440301115
15,2020-02-06,0,0,132.13297412031338,513125.12201505585,False,16,152.52552141982505,1026250.2440301115
16,2020-02-07,0,0,132.13297412031338,513125.12201505585,False,17,164.55016383924757,1026250.2440301115
17,2020-02-08,0,0,132.13297412031338,513125.12201505585,False,18,177.52262802948337,1026250.2440301115
18,2020-02-09,0,0,132.13297412031338,513125.12201505585,False,19,191.5175975341538,1026250.2440301115
19,2020-02-10,0,0,132.13297412031338,513125.12201505585,False,20,206.6156361761633,1026250.2440301115
20,2020-02-11,0,0,132.13297412031338,513125.12201505585,False,21,222.90365032515052,1026250.2440301115
21,2020-02-12,0,0,132.13297412031338,513125.12201505585,False,22,240.47538738691463,1026250.2440301115
22,2020-02-13,0,0,132.13297412031338,513125.12201505585,False,23,259.4319733336553,1026250.2440301115
23,2020-02-14,0,0,132.13297412031338,513125.12201505585,False,24,279.88249231003687,1026250.2440301115
24,2020-02-15,0,0,132.13297412031338,513125.12201505585,False,25,301.94461158231144,1026250.2440301115
