,Report_Date,Cyprus_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.86197303138731,431.7225021001157,True,1,0.010069761851675994,796.8382779762369
1,2020-01-23,0,74.86197303138731,431.7225021001157,True,2,0.011743780927964211,796.8382779762369
2,2020-01-24,0,74.86197303138731,431.7225021001157,True,3,0.013696088156188837,796.8382779762369
3,2020-01-25,0,74.86197303138731,431.7225021001157,True,4,0.015972944439480337,796.8382779762369
4,2020-01-26,0,74.86197303138731,431.7225021001157,True,5,0.018628300235232688,796.8382779762369
5,2020-01-27,0,74.86197303138731,431.7225021001157,True,6,0.02172507351778289,796.8382779762369
6,2020-01-28,0,74.86197303138731,431.7225021001157,True,7,0.025336640057392095,796.8382779762369
7,2020-01-29,0,74.86197303138731,431.7225021001157,True,8,0.029548571262286456,796.8382779762369
8,2020-01-30,0,74.86197303138731,431.7225021001157,True,9,0.034460660672220374,796.8382779762369
9,2020-01-31,0,74.86197303138731,431.7225021001157,True,10,0.04018928699844609,796.8382779762369
10,2020-02-01,0,74.86197303138731,431.7225021001157,True,11,0.04687016953417627,796.8382779762369
11,2020-02-02,0,74.86197303138731,431.7225021001157,True,12,0.05466158099511878,796.8382779762369
12,2020-02-03,0,74.86197303138731,431.7225021001157,True,13,0.06374809360432825,796.8382779762369
13,2020-02-04,0,74.86197303138731,431.7225021001157,True,14,0.07434494675619394,796.8382779762369
14,2020-02-05,0,74.86197303138731,431.7225021001157,True,15,0.08670313916653165,796.8382779762369
15,2020-02-06,0,74.86197303138731,431.7225021001157,True,16,0.10111536536978002,796.8382779762369
16,2020-02-07,0,74.86197303138731,431.7225021001157,True,17,0.11792293614158214,796.8382779762369
17,2020-02-08,0,74.86197303138731,431.7225021001157,True,18,0.1375238453450809,796.8382779762369
18,2020-02-09,0,74.86197303138731,431.7225021001157,True,19,0.16038217232753108,796.8382779762369
19,2020-02-10,0,74.86197303138731,431.7225021001157,True,20,0.18703903991014934,796.8382779762369
20,2020-02-11,0,74.86197303138731,431.7225021001157,True,21,0.21812538388156466,796.8382779762369
21,2020-02-12,0,74.86197303138731,431.7225021001157,True,22,0.25437683147927326,796.8382779762369
22,2020-02-13,0,74.86197303138731,431.7225021001157,True,23,0.296651034481054,796.8382779762369
23,2020-02-14,0,74.86197303138731,431.7225021001157,True,24,0.3459478581959255,796.8382779762369
24,2020-02-15,0,74.86197303138731,431.7225021001157,True,25,0.4034328919247319,796.8382779762369
25,2020-02-16,0,74.86197303138731,431.7225021001157,True,26,0.4704648205564783,796.8382779762369
26,2020-02-17,0,74.86197303138731,431.7225021001157,True,27,0.5486272821991615,796.8382779762369
27,2020-02-18,0,74.86197303138731,431.7225021001157,True,28,0.6397659345435642,796.8382779762369
28,2020-02-19,0,74.86197303138731,431.7225021001157,True,29,0.746031564544707,796.8382779762369
29,2020-02-20,0,74.86197303138731,431.7225021001157,True,30,0.8699302035493893,796.8382779762369
30,2020-02-21,0,74.86197303138731,431.7225021001157,True,31,1.0143813547607687,796.8382779762369
31,2020-02-22,0,74.86197303138731,431.7225021001157,True,32,1.1827856033685153,796.8382779762369
32,2020-02-23,0,74.86197303138731,431.7225021001157,True,33,1.3791030629941992,796.8382779762369
33,2020-02-24,0,74.86197303138731,431.7225021001157,True,34,1.6079443160593019,796.8382779762369
34,2020-02-25,0,74.86197303138731,431.7225021001157,True,35,1.8746757302778332,796.8382779762369
35,2020-02-26,0,74.86197303138731,431.7225021001157,True,36,2.1855412775374514,796.8382779762369
36,2020-02-27,0,74.86197303138731,431.7225021001157,True,37,2.5478032420444547,796.8382779762369
37,2020-02-28,0,74.86197303138731,431.7225021001157,True,38,2.9699044763113047,796.8382779762369
38,2020-02-29,0,74.86197303138731,431.7225021001157,True,39,3.4616551372934627,796.8382779762369
39,2020-03-01,0,74.86197303138731,431.7225021001157,True,40,4.034447096628415,796.8382779762369
40,2020-03-02,0,74.86197303138731,431.7225021001157,True,41,4.701499447462024,796.8382779762369
41,2020-03-03,0,74.86197303138731,431.7225021001157,True,42,5.478138695355572,796.8382779762369
42,2020-03-04,0,74.86197303138731,431.7225021001157,True,43,6.38211727932165,796.8382779762369
43,2020-03-05,0,74.86197303138731,431.7225021001157,True,44,7.433973961749044,796.8382779762369
44,2020-03-06,0,74.86197303138731,431.7225021001157,True,45,8.657439272168455,796.8382779762369
45,2020-03-07,0,74.86197303138731,431.7225021001157,True,46,10.079888481793063,796.8382779762369
46,2020-03-08,0,74.86197303138731,431.7225021001157,True,47,11.732843382363294,796.8382779762369
47,2020-03-09,2,74.86197303138731,431.7225021001157,True,48,13.65252226254039,796.8382779762369
48,2020-03-10,3,74.86197303138731,431.7225021001157,True,49,15.880434689789473,796.8382779762369
49,2020-03-11,6,74.86197303138731,431.7225021001157,True,50,18.464013736301037,796.8382779762369
50,2020-03-12,6,74.86197303138731,431.7225021001157,True,51,21.457272804343706,796.8382779762369
51,2020-03-13,14,74.86197303138731,431.7225021001157,True,52,24.921466838231353,796.8382779762369
52,2020-03-14,26,74.86197303138731,431.7225021001157,True,53,28.92572806755705,796.8382779762369
53,2020-03-15,26,74.86197303138731,431.7225021001157,True,54,33.547634148891674,796.8382779762369
54,2020-03-16,33,74.86197303138731,431.7225021001157,True,55,38.87365140935403,796.8382779762369
55,2020-03-17,46,74.86197303138731,431.7225021001157,True,56,44.999377830242125,796.8382779762369
56,2020-03-18,49,74.86197303138731,431.7225021001157,True,57,52.02948984998331,796.8382779762369
