,Report_Date,Turkey_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,87.70095958023103,76809.26858323214,True,1,6.066041647857374,153191.40908251834
1,2020-01-23,0,0,87.70095958023103,76809.26858323214,True,2,6.818565582898892,153191.40908251834
2,2020-01-24,0,0,87.70095958023103,76809.26858323214,True,3,7.664439358039146,153191.40908251834
3,2020-01-25,0,0,87.70095958023103,76809.26858323214,True,4,8.61524170006788,153191.40908251834
4,2020-01-26,0,0,87.70095958023103,76809.26858323214,True,5,9.683987189603119,153191.40908251834
5,2020-01-27,0,0,87.70095958023103,76809.26858323214,True,6,10.8853042331257,153191.40908251834
6,2020-01-28,0,0,87.70095958023103,76809.26858323214,True,7,12.235635071939246,153191.40908251834
7,2020-01-29,0,0,87.70095958023103,76809.26858323214,True,8,13.75346055080238,153191.40908251834
8,2020-01-30,0,0,87.70095958023103,76809.26858323214,True,9,15.459552703824974,153191.40908251834
9,2020-01-31,0,0,87.70095958023103,76809.26858323214,True,10,17.377258590832316,153191.40908251834
10,2020-02-01,0,0,87.70095958023103,76809.26858323214,True,11,19.53281923863455,153191.40908251834
11,2020-02-02,0,0,87.70095958023103,76809.26858323214,True,12,21.95572801389608,153191.40908251834
12,2020-02-03,0,0,87.70095958023103,76809.26858323214,True,13,24.679133283586985,153191.40908251834
13,2020-02-04,0,0,87.70095958023103,76809.26858323214,True,14,27.740290811980866,153191.40908251834
14,2020-02-05,0,0,87.70095958023103,76809.26858323214,True,15,31.18107200722659,153191.40908251834
15,2020-02-06,0,0,87.70095958023103,76809.26858323214,True,16,35.04853487383068,153191.40908251834
16,2020-02-07,0,0,87.70095958023103,76809.26858323214,True,17,39.395565358950485,153191.40908251834
17,2020-02-08,0,0,87.70095958023103,76809.26858323214,True,18,44.28159771012604,153191.40908251834
18,2020-02-09,0,0,87.70095958023103,76809.26858323214,True,19,49.773423500838526,153191.40908251834
19,2020-02-10,0,0,87.70095958023103,76809.26858323214,True,20,55.94610013994809,153191.40908251834
20,2020-02-11,0,0,87.70095958023103,76809.26858323214,True,21,62.88397097455134,153191.40908251834
21,2020-02-12,0,0,87.70095958023103,76809.26858323214,True,22,70.68181053707916,153191.40908251834
22,2020-02-13,0,0,87.70095958023103,76809.26858323214,True,23,79.44611009155813,153191.40908251834
23,2020-02-14,0,0,87.70095958023103,76809.26858323214,True,24,89.29652041690454,153191.40908251834
24,2020-02-15,0,0,87.70095958023103,76809.26858323214,True,25,100.36747074384857,153191.40908251834
25,2020-02-16,0,0,87.70095958023103,76809.26858323214,True,26,112.80998495426331,153191.40908251834
26,2020-02-17,0,0,87.70095958023103,76809.26858323214,True,27,126.7937185754631,153191.40908251834
27,2020-02-18,0,0,87.70095958023103,76809.26858323214,True,28,142.50924277569305,153191.40908251834
28,2020-02-19,0,0,87.70095958023103,76809.26858323214,True,29,160.17060450840378,153191.40908251834
29,2020-02-20,0,0,87.70095958023103,76809.26858323214,True,30,180.0181951786627,153191.40908251834
30,2020-02-21,0,0,87.70095958023103,76809.26858323214,True,31,202.32196372973775,153191.40908251834
31,2020-02-22,0,0,87.70095958023103,76809.26858323214,True,32,227.38501388254468,153191.40908251834
32,2020-02-23,0,0,87.70095958023103,76809.26858323214,True,33,255.54762941113842,153191.40908251834
33,2020-02-24,0,0,87.70095958023103,76809.26858323214,True,34,287.1917758021019,153191.40908251834
34,2020-02-25,0,0,87.70095958023103,76809.26858323214,True,35,322.7461314125129,153191.40908251834
35,2020-02-26,0,0,87.70095958023103,76809.26858323214,True,36,362.69170628393493,153191.40908251834
36,2020-02-27,0,0,87.70095958023103,76809.26858323214,True,37,407.56811204342677,153191.40908251834
37,2020-02-28,0,0,87.70095958023103,76809.26858323214,True,38,457.9805517567726,153191.40908251834
38,2020-02-29,0,0,87.70095958023103,76809.26858323214,True,39,514.6076040913061,153191.40908251834
39,2020-03-01,0,0,87.70095958023103,76809.26858323214,True,40,578.2098815511255,153191.40908251834
40,2020-03-02,0,0,87.70095958023103,76809.26858323214,True,41,649.6396476678361,153191.40908251834
41,2020-03-03,0,0,87.70095958023103,76809.26858323214,True,42,729.8514825987464,153191.40908251834
42,2020-03-04,0,0,87.70095958023103,76809.26858323214,True,43,819.9140902498351,153191.40908251834
43,2020-03-05,0,0,87.70095958023103,76809.26858323214,True,44,921.0233423442654,153191.40908251834
44,2020-03-06,0,0,87.70095958023103,76809.26858323214,True,45,1034.5166552086905,153191.40908251834
45,2020-03-07,0,0,87.70095958023103,76809.26858323214,True,46,1161.888792697612,153191.40908251834
46,2020-03-08,0,0,87.70095958023103,76809.26858323214,True,47,1304.8091826738405,153191.40908251834
47,2020-03-09,0,0,87.70095958023103,76809.26858323214,True,48,1465.140823629336,153191.40908251834
48,2020-03-10,0,0,87.70095958023103,76809.26858323214,True,49,1644.9608409068971,153191.40908251834
49,2020-03-11,1,1,87.70095958023103,76809.26858323214,True,50,1846.5827267872967,153191.40908251834
50,2020-03-12,1,1,87.70095958023103,76809.26858323214,True,51,2072.5802632870423,153191.40908251834
51,2020-03-13,5,5,87.70095958023103,76809.26858323214,True,52,2325.813078304491,153191.40908251834
52,2020-03-14,5,5,87.70095958023103,76809.26858323214,True,53,2609.4537217456673,153191.40908251834
53,2020-03-15,6,6,87.70095958023103,76809.26858323214,True,54,2927.0160649833942,153191.40908251834
54,2020-03-16,18,18,87.70095958023103,76809.26858323214,True,55,3282.38472053657,153191.40908251834
55,2020-03-17,47,46,87.70095958023103,76809.26858323214,True,56,3679.845044904141,153191.40908251834
56,2020-03-18,98,97,87.70095958023103,76809.26858323214,True,57,4124.113121514842,153191.40908251834
57,2020-03-19,192,189,87.70095958023103,76809.26858323214,True,58,4620.364918230377,153191.40908251834
58,2020-03-20,359,355,87.70095958023103,76809.26858323214,True,59,5174.263570633955,153191.40908251834
59,2020-03-21,670,661,87.70095958023103,76809.26858323214,True,60,5791.983455294218,153191.40908251834
60,2020-03-22,1236,1206,87.70095958023103,76809.26858323214,True,61,6480.229384965777,153191.40908251834
61,2020-03-23,1529,1492,87.70095958023103,76809.26858323214,True,62,7246.248881846441,153191.40908251834
62,2020-03-24,1872,1828,87.70095958023103,76809.26858323214,True,63,8097.835071517897,153191.40908251834
63,2020-03-25,2433,2348,87.70095958023103,76809.26858323214,True,64,9043.317301221852,153191.40908251834
64,2020-03-26,3629,3528,87.70095958023103,76809.26858323214,True,65,10091.53614220478,153191.40908251834
65,2020-03-27,5698,5564,87.70095958023103,76809.26858323214,True,66,11251.799018300002,153191.40908251834
66,2020-03-28,7402,7224,87.70095958023103,76809.26858323214,True,67,12533.81235616406,153191.40908251834
67,2020-03-29,9217,8981,87.70095958023103,76809.26858323214,True,68,13947.585936293568,153191.40908251834
68,2020-03-30,10827,10497,87.70095958023103,76809.26858323214,True,69,15503.305114009898,153191.40908251834
69,2020-03-31,13531,13074,87.70095958023103,76809.26858323214,True,70,17211.166867394088,153191.40908251834
70,2020-04-01,15679,15069,87.70095958023103,76809.26858323214,True,71,19081.176317937683,153191.40908251834
71,2020-04-02,18135,17364,87.70095958023103,76809.26858323214,True,72,21122.901566875968,153191.40908251834
72,2020-04-03,20921,20012,87.70095958023103,76809.26858323214,True,73,23345.18649449323,153191.40908251834
73,2020-04-04,23934,22647,87.70095958023103,76809.26858323214,True,74,25755.823652235016,153191.40908251834
74,2020-04-05,27069,25453,87.70095958023103,76809.26858323214,True,75,28361.192557085662,153191.40908251834
75,2020-04-06,30217,28242,87.70095958023103,76809.26858323214,True,76,31165.87251220561,153191.40908251834
76,2020-04-07,34109,31802,87.70095958023103,76809.26858323214,True,77,34172.24335508706,153191.40908251834
77,2020-04-08,38226,35568,87.70095958023103,76809.26858323214,True,78,37380.09196929755,153191.40908251834
78,2020-04-09,42282,39232,87.70095958023103,76809.26858323214,True,79,40786.24654173756,153191.40908251834
79,2020-04-10,47029,43600,87.70095958023103,76809.26858323214,True,80,44384.26383239305,153191.40908251834
80,2020-04-11,52167,48101,87.70095958023103,76809.26858323214,True,81,48164.19649924895,153191.40908251834
81,2020-04-12,56956,52312,87.70095958023103,76809.26858323214,True,82,52112.4671470015,153191.40908251834
82,2020-04-13,61049,55796,87.70095958023103,76809.26858323214,True,83,56211.87272886529,153191.40908251834
83,2020-04-14,65111,58909,87.70095958023103,76809.26858323214,True,84,60441.73696727367,153191.40908251834
84,2020-04-15,69392,62200,87.70095958023103,76809.26858323214,True,85,64778.21969000395,153191.40908251834
85,2020-04-16,74193,65461,87.70095958023103,76809.26858323214,True,86,69194.78097347527,153191.40908251834
