,Report_Date,Canada_british columbia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
20,2020-02-11,4,4,78.47035129808215,1249.0710097964723,True,21,18.313236706319888,2482.7641340902755
21,2020-02-12,4,4,78.47035129808215,1249.0710097964723,True,22,19.933004227782558,2482.7641340902755
22,2020-02-13,4,4,78.47035129808215,1249.0710097964723,True,23,21.694783447648785,2482.7641340902755
23,2020-02-14,4,4,78.47035129808215,1249.0710097964723,True,24,23.610794028213096,2482.7641340902755
24,2020-02-15,4,4,78.47035129808215,1249.0710097964723,True,25,25.69426455416086,2482.7641340902755
25,2020-02-16,4,4,78.47035129808215,1249.0710097964723,True,26,27.95950798262688,2482.7641340902755
26,2020-02-17,5,5,78.47035129808215,1249.0710097964723,True,27,30.422001261872452,2482.7641340902755
27,2020-02-18,5,5,78.47035129808215,1249.0710097964723,True,28,33.09846905404754,2482.7641340902755
28,2020-02-19,5,5,78.47035129808215,1249.0710097964723,True,29,36.00697142169381,2482.7641340902755
29,2020-02-20,5,5,78.47035129808215,1249.0710097964723,True,30,39.16699524505968,2482.7641340902755
30,2020-02-21,6,6,78.47035129808215,1249.0710097964723,True,31,42.59954902538112,2482.7641340902755
31,2020-02-22,6,6,78.47035129808215,1249.0710097964723,True,32,46.327260595236325,2482.7641340902755
32,2020-02-23,6,6,78.47035129808215,1249.0710097964723,True,33,50.37447709791883,2482.7641340902755
33,2020-02-24,6,6,78.47035129808215,1249.0710097964723,True,34,54.76736641033342,2482.7641340902755
34,2020-02-25,7,7,78.47035129808215,1249.0710097964723,True,35,59.53401896496744,2482.7641340902755
35,2020-02-26,7,7,78.47035129808215,1249.0710097964723,True,36,64.70454867279507,2482.7641340902755
36,2020-02-27,7,7,78.47035129808215,1249.0710097964723,True,37,70.31119135746873,2482.7641340902755
37,2020-02-28,7,7,78.47035129808215,1249.0710097964723,True,38,76.38839877912676,2482.7641340902755
38,2020-02-29,8,8,78.47035129808215,1249.0710097964723,True,39,82.97292595148927,2482.7641340902755
39,2020-03-01,8,8,78.47035129808215,1249.0710097964723,True,40,90.10390903746223,2482.7641340902755
40,2020-03-02,8,8,78.47035129808215,1249.0710097964723,True,41,97.82293064639106,2482.7641340902755
41,2020-03-03,9,9,78.47035129808215,1249.0710097964723,True,42,106.17406885243203,2482.7641340902755
42,2020-03-04,12,12,78.47035129808215,1249.0710097964723,True,43,115.20392571271178,2482.7641340902755
43,2020-03-05,13,13,78.47035129808215,1249.0710097964723,True,44,124.9616304936557,2482.7641340902755
44,2020-03-06,21,21,78.47035129808215,1249.0710097964723,True,45,135.49881222567106,2482.7641340902755
45,2020-03-07,21,21,78.47035129808215,1249.0710097964723,True,46,146.86953561668787,2482.7641340902755
46,2020-03-08,27,27,78.47035129808215,1249.0710097964723,True,47,159.130193786091,2482.7641340902755
47,2020-03-09,32,31,78.47035129808215,1249.0710097964723,True,48,172.33935076119656,2482.7641340902755
48,2020-03-10,32,31,78.47035129808215,1249.0710097964723,True,49,186.55752624508045,2482.7641340902755
49,2020-03-11,39,38,78.47035129808215,1249.0710097964723,True,50,201.84691486189485,2482.7641340902755
50,2020-03-12,46,45,78.47035129808215,1249.0710097964723,True,51,218.27103196700043,2482.7641340902755
51,2020-03-13,64,63,78.47035129808215,1249.0710097964723,True,52,235.8942782358424,2482.7641340902755
52,2020-03-14,64,63,78.47035129808215,1249.0710097964723,True,53,254.7814156865336,2482.7641340902755
53,2020-03-15,73,72,78.47035129808215,1249.0710097964723,True,54,274.9969486211671,2482.7641340902755
54,2020-03-16,103,99,78.47035129808215,1249.0710097964723,True,55,296.60440426707686,2482.7641340902755
55,2020-03-17,103,99,78.47035129808215,1249.0710097964723,True,56,319.6655097366154,2482.7641340902755
56,2020-03-18,186,179,78.47035129808215,1249.0710097964723,True,57,344.23926436930515,2482.7641340902755
57,2020-03-19,231,224,78.47035129808215,1249.0710097964723,True,58,370.38090962395967,2482.7641340902755
58,2020-03-20,271,263,78.47035129808215,1249.0710097964723,True,59,398.14080247533866,2482.7641340902755
59,2020-03-21,424,414,78.47035129808215,1249.0710097964723,True,60,427.5632027281958,2482.7641340902755
60,2020-03-22,424,414,78.47035129808215,1249.0710097964723,True,61,458.68498973111,2482.7641340902755
61,2020-03-23,472,459,78.47035129808215,1249.0710097964723,True,62,491.5343295339749,2482.7641340902755
62,2020-03-24,617,604,78.47035129808215,1249.0710097964723,True,63,526.1293193985204,2482.7641340902755
63,2020-03-25,617,604,78.47035129808215,1249.0710097964723,True,64,562.4766424786729,2482.7641340902755
64,2020-03-26,725,711,78.47035129808215,1249.0710097964723,True,65,600.5702711004595,2482.7641340902755
65,2020-03-27,725,711,78.47035129808215,1249.0710097964723,True,66,640.3902619864529,2482.7641340902755
66,2020-03-28,884,867,78.47035129808215,1249.0710097964723,True,67,681.9016905346082,2482.7641340902755
67,2020-03-29,884,867,78.47035129808215,1249.0710097964723,True,68,725.0537734007138,2482.7641340902755
68,2020-03-30,970,951,78.47035129808215,1249.0710097964723,True,69,769.7792286880219,2482.7641340902755
69,2020-03-31,1013,989,78.47035129808215,1249.0710097964723,True,70,815.9939206191834,2482.7641340902755
70,2020-04-01,1013,989,78.47035129808215,1249.0710097964723,True,71,863.5968303699949,2482.7641340902755
71,2020-04-02,1121,1090,78.47035129808215,1249.0710097964723,True,72,912.4703866617201,2482.7641340902755
72,2020-04-03,1174,1143,78.47035129808215,1249.0710097964723,True,73,962.4811788277035,2482.7641340902755
73,2020-04-04,1203,1165,78.47035129808215,1249.0710097964723,True,74,1013.4810617177641,2482.7641340902755
74,2020-04-05,1203,1165,78.47035129808215,1249.0710097964723,True,75,1065.3086465540941,2482.7641340902755
75,2020-04-06,1266,1228,78.47035129808215,1249.0710097964723,True,76,1117.7911555061887,2482.7641340902755
76,2020-04-07,1266,1227,78.47035129808215,1249.0710097964723,True,77,1170.746601290538,2482.7641340902755
77,2020-04-08,1291,1248,78.47035129808215,1249.0710097964723,True,78,1223.9862376088356,2482.7641340902755
78,2020-04-09,1336,1288,78.47035129808215,1249.0710097964723,True,79,1277.3172128105514,2482.7641340902755
79,2020-04-10,1370,1320,78.47035129808215,1249.0710097964723,True,80,1330.545348799203,2482.7641340902755
80,2020-04-11,1445,1387,78.47035129808215,1249.0710097964723,True,81,1383.4779606940601,2482.7641340902755
81,2020-04-12,1445,1387,78.47035129808215,1249.0710097964723,True,82,1435.9266306223246,2482.7641340902755
82,2020-04-13,1490,1421,78.47035129808215,1249.0710097964723,True,83,1487.7098514209752,2482.7641340902755
83,2020-04-14,1490,1421,78.47035129808215,1249.0710097964723,True,84,1538.65546278133,2482.7641340902755
84,2020-04-15,1517,1445,78.47035129808215,1249.0710097964723,True,85,1588.602812942095,2482.7641340902755
85,2020-04-16,1561,1486,78.47035129808215,1249.0710097964723,True,86,1637.404592616228,2482.7641340902755
86,2020-04-17,1575,1498,78.47035129808215,1249.0710097964723,True,87,1684.9283034173973,2482.7641340902755
87,2020-04-18,1618,1540,78.47035129808215,1249.0710097964723,True,88,1731.057339536388,2482.7641340902755
88,2020-04-19,1647,1566,78.47035129808215,1249.0710097964723,True,89,1775.6916777249012,2482.7641340902755
89,2020-04-20,1647,1565,78.47035129808215,1249.0710097964723,True,90,1818.7481858017256,2482.7641340902755
90,2020-04-21,1724,1637,78.47035129808215,1249.0710097964723,True,91,1860.1605731155328,2482.7641340902755
91,2020-04-22,1795,1705,78.47035129808215,1249.0710097964723,True,92,1899.8790171203746,2482.7641340902755
92,2020-04-23,1824,1730,78.47035129808215,1249.0710097964723,True,93,1937.869508131731,2482.7641340902755
93,2020-04-24,1853,1755,78.47035129808215,1249.0710097964723,True,94,1974.1129593573069,2482.7641340902755
94,2020-04-25,1948,1848,78.47035129808215,1249.0710097964723,True,95,2008.6041315686873,2482.7641340902755
95,2020-04-26,1948,1848,78.47035129808215,1249.0710097964723,True,96,2041.3504215900334,2482.7641340902755
96,2020-04-27,1998,1894,78.47035129808215,1249.0710097964723,True,97,2072.37056153108,2482.7641340902755
97,2020-04-28,2053,1947,78.47035129808215,1249.0710097964723,True,98,2101.6932718454136,2482.7641340902755
98,2020-04-29,2087,1978,78.47035129808215,1249.0710097964723,True,99,2129.3559063261214,2482.7641340902755
99,2020-04-30,2112,2001,78.47035129808215,1249.0710097964723,True,100,2155.4031215098817,2482.7641340902755
100,2020-05-01,2145,2033,78.47035129808215,1249.0710097964723,True,101,2179.8855970469367,2482.7641340902755
101,2020-05-02,2171,2057,78.47035129808215,1249.0710097964723,True,102,2202.8588277403755,2482.7641340902755
102,2020-05-03,2171,2057,78.47035129808215,1249.0710097964723,True,103,2224.3820024213023,2482.7641340902755
103,2020-05-04,2224,2107,78.47035129808215,1249.0710097964723,True,104,2244.516979790462,2482.7641340902755
104,2020-05-05,2232,2111,78.47035129808215,1249.0710097964723,True,105,2263.3273669373048,2482.7641340902755
105,2020-05-06,2255,2131,78.47035129808215,1249.0710097964723,True,106,2280.8777025010663,2482.7641340902755
106,2020-05-07,2288,2162,78.47035129808215,1249.0710097964723,True,107,2297.23274337475,2482.7641340902755
107,2020-05-08,2315,2188,78.47035129808215,1249.0710097964723,True,108,2312.456851445275,2482.7641340902755
108,2020-05-09,2330,2201,78.47035129808215,1249.0710097964723,True,109,2326.613475059766,2482.7641340902755
109,2020-05-10,2330,2201,78.47035129808215,1249.0710097964723,True,110,2339.764718641553,2482.7641340902755
110,2020-05-11,2353,2223,78.47035129808215,1249.0710097964723,True,111,2351.9709930745757,2482.7641340902755
111,2020-05-12,2360,2228,78.47035129808215,1249.0710097964723,True,112,2363.290739054585,2482.7641340902755
112,2020-05-13,2376,2244,78.47035129808215,1249.0710097964723,True,113,2373.78021549529,2482.7641340902755
113,2020-05-14,2392,2257,78.47035129808215,1249.0710097964723,True,114,2383.4933452089763,2482.7641340902755
114,2020-05-15,2407,2267,78.47035129808215,1249.0710097964723,True,115,2392.4816103929443,2482.7641340902755
115,2020-05-16,2428,2287,78.47035129808215,1249.0710097964723,True,116,2400.7939908927046,2482.7641340902755
116,2020-05-17,2428,2287,78.47035129808215,1249.0710097964723,True,117,2408.4769387361466,2482.7641340902755
117,2020-05-18,2444,2301,78.47035129808215,1249.0710097964723,True,118,2415.574383003814,2482.7641340902755
118,2020-05-19,2446,2300,78.47035129808215,1249.0710097964723,True,119,2422.127759690588,2482.7641340902755
119,2020-05-20,2467,2318,78.47035129808215,1249.0710097964723,True,120,2428.1760618016015,2482.7641340902755
120,2020-05-21,2479,2327,78.47035129808215,1249.0710097964723,True,121,2433.755905494049,2482.7641340902755
121,2020-05-22,2507,2352,78.47035129808215,1249.0710097964723,True,122,2438.9016086153065,2482.7641340902755
122,2020-05-23,2517,2360,78.47035129808215,1249.0710097964723,True,123,2443.645278489105,2482.7641340902755
123,2020-05-24,2517,2360,78.47035129808215,1249.0710097964723,True,124,2448.01690626101,2482.7641340902755
124,2020-05-25,2530,2369,78.47035129808215,1249.0710097964723,True,125,2452.044465530316,2482.7641340902755
125,2020-05-26,2541,2380,78.47035129808215,1249.0710097964723,True,126,2455.754013367536,2482.7641340902755
126,2020-05-27,2550,2388,78.47035129808215,1249.0710097964723,True,127,2459.1697921462433,2482.7641340902755
127,2020-05-28,2558,2394,78.47035129808215,1249.0710097964723,True,128,2462.314330907186,2482.7641340902755
