,Report_Date,Canada_british columbia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,78.47035129808215,1249.0710097964723,True,1,3.3385007807752767,2482.7641340902755
1,2020-01-23,0,0,78.47035129808215,1249.0710097964723,True,2,3.6357260514451544,2482.7641340902755
2,2020-01-24,0,0,78.47035129808215,1249.0710097964723,True,3,3.9593711623420496,2482.7641340902755
3,2020-01-25,0,0,78.47035129808215,1249.0710097964723,True,4,4.311776719335678,2482.7641340902755
4,2020-01-26,0,0,78.47035129808215,1249.0710097964723,True,5,4.695489237705473,2482.7641340902755
5,2020-01-27,0,0,78.47035129808215,1249.0710097964723,True,6,5.113278986699752,2482.7641340902755
6,2020-01-28,1,1,78.47035129808215,1249.0710097964723,True,7,5.568159330246511,2482.7641340902755
7,2020-01-29,1,1,78.47035129808215,1249.0710097964723,True,8,6.0634076798094085,2482.7641340902755
8,2020-01-30,1,1,78.47035129808215,1249.0710097964723,True,9,6.602588182560148,2482.7641340902755
9,2020-01-31,1,1,78.47035129808215,1249.0710097964723,True,10,7.189576275288785,2482.7641340902755
10,2020-02-01,1,1,78.47035129808215,1249.0710097964723,True,11,7.82858524170383,2482.7641340902755
11,2020-02-02,1,1,78.47035129808215,1249.0710097964723,True,12,8.52419491786668,2482.7641340902755
12,2020-02-03,1,1,78.47035129808215,1249.0710097964723,True,13,9.281382697312317,2482.7641340902755
13,2020-02-04,1,1,78.47035129808215,1249.0710097964723,True,14,10.10555699374756,2482.7641340902755
14,2020-02-05,2,2,78.47035129808215,1249.0710097964723,True,15,11.002593324864897,2482.7641340902755
15,2020-02-06,2,2,78.47035129808215,1249.0710097964723,True,16,11.978873185490052,2482.7641340902755
16,2020-02-07,4,4,78.47035129808215,1249.0710097964723,True,17,13.041325881663434,2482.7641340902755
17,2020-02-08,4,4,78.47035129808215,1249.0710097964723,True,18,14.197473498940777,2482.7641340902755
18,2020-02-09,4,4,78.47035129808215,1249.0710097964723,True,19,15.455479177709321,2482.7641340902755
19,2020-02-10,4,4,78.47035129808215,1249.0710097964723,True,20,16.824198865085805,2482.7641340902755
