,Report_Date,Central African Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.69605976311551,7.807889085000137,True,1,0.0015530224108002344,13.880360866862116
1,2020-01-23,0,77.69605976311551,7.807889085000137,True,2,0.0017512843698064236,13.880360866862116
2,2020-01-24,0,77.69605976311551,7.807889085000137,True,3,0.001974853647334874,13.880360866862116
3,2020-01-25,0,77.69605976311551,7.807889085000137,True,4,0.00222695974836833,13.880360866862116
4,2020-01-26,0,77.69605976311551,7.807889085000137,True,5,0.0025112440637235778,13.880360866862116
5,2020-01-27,0,77.69605976311551,7.807889085000137,True,6,0.0028318123371627022,13.880360866862116
6,2020-01-28,0,77.69605976311551,7.807889085000137,True,7,0.0031932937984804847,13.880360866862116
7,2020-01-29,0,77.69605976311551,7.807889085000137,True,8,0.0036009078047481136,13.880360866862116
8,2020-01-30,0,77.69605976311551,7.807889085000137,True,9,0.004060538937005294,13.880360866862116
9,2020-01-31,0,77.69605976311551,7.807889085000137,True,10,0.004578821617571314,13.880360866862116
10,2020-02-01,0,77.69605976311551,7.807889085000137,True,11,0.00516323544524405,13.880360866862116
11,2020-02-02,0,77.69605976311551,7.807889085000137,True,12,0.00582221259356562,13.880360866862116
12,2020-02-03,0,77.69605976311551,7.807889085000137,True,13,0.006565258782788618,13.880360866862116
13,2020-02-04,0,77.69605976311551,7.807889085000137,True,14,0.00740308952105683,13.880360866862116
14,2020-02-05,0,77.69605976311551,7.807889085000137,True,15,0.008347783516641307,13.880360866862116
15,2020-02-06,0,77.69605976311551,7.807889085000137,True,16,0.009412955393004541,13.880360866862116
16,2020-02-07,0,77.69605976311551,7.807889085000137,True,17,0.010613950094280499,13.880360866862116
17,2020-02-08,0,77.69605976311551,7.807889085000137,True,18,0.011968061652829227,13.880360866862116
18,2020-02-09,0,77.69605976311551,7.807889085000137,True,19,0.01349477930527955,13.880360866862116
19,2020-02-10,0,77.69605976311551,7.807889085000137,True,20,0.01521606429133634,13.880360866862116
20,2020-02-11,0,77.69605976311551,7.807889085000137,True,21,0.017156661052939337,13.880360866862116
21,2020-02-12,0,77.69605976311551,7.807889085000137,True,22,0.019344446972257914,13.880360866862116
22,2020-02-13,0,77.69605976311551,7.807889085000137,True,23,0.0218108252472764,13.880360866862116
23,2020-02-14,0,77.69605976311551,7.807889085000137,True,24,0.02459116600459427,13.880360866862116
24,2020-02-15,0,77.69605976311551,7.807889085000137,True,25,0.02772530129092761,13.880360866862116
25,2020-02-16,0,77.69605976311551,7.807889085000137,True,26,0.03125808016685781,13.880360866862116
26,2020-02-17,0,77.69605976311551,7.807889085000137,True,27,0.035239990746185876,13.880360866862116
27,2020-02-18,0,77.69605976311551,7.807889085000137,True,28,0.039727856677123266,13.880360866862116
28,2020-02-19,0,77.69605976311551,7.807889085000137,True,29,0.04478561623979358,13.880360866862116
29,2020-02-20,0,77.69605976311551,7.807889085000137,True,30,0.05048519292647499,13.880360866862116
30,2020-02-21,0,77.69605976311551,7.807889085000137,True,31,0.056907467059858004,13.880360866862116
31,2020-02-22,0,77.69605976311551,7.807889085000137,True,32,0.06414335866682082,13.880360866862116
32,2020-02-23,0,77.69605976311551,7.807889085000137,True,33,0.0722950324287852,13.880360866862116
33,2020-02-24,0,77.69605976311551,7.807889085000137,True,34,0.08147723603171893,13.880360866862116
34,2020-02-25,0,77.69605976311551,7.807889085000137,True,35,0.09181878358277525,13.880360866862116
35,2020-02-26,0,77.69605976311551,7.807889085000137,True,36,0.10346419587290076,13.880360866862116
36,2020-02-27,0,77.69605976311551,7.807889085000137,True,37,0.11657550905102741,13.880360866862116
37,2020-02-28,0,77.69605976311551,7.807889085000137,True,38,0.1313342626156,13.880360866862116
38,2020-02-29,0,77.69605976311551,7.807889085000137,True,39,0.14794367637213202,13.880360866862116
39,2020-03-01,0,77.69605976311551,7.807889085000137,True,40,0.16663102396330526,13.880360866862116
40,2020-03-02,0,77.69605976311551,7.807889085000137,True,41,0.1876502075195892,13.880360866862116
41,2020-03-03,0,77.69605976311551,7.807889085000137,True,42,0.21128453362242722,13.880360866862116
42,2020-03-04,0,77.69605976311551,7.807889085000137,True,43,0.23784968478166604,13.880360866862116
43,2020-03-05,0,77.69605976311551,7.807889085000137,True,44,0.267696872606304,13.880360866862116
44,2020-03-06,0,77.69605976311551,7.807889085000137,True,45,0.30121614833183336,13.880360866862116
45,2020-03-07,0,77.69605976311551,7.807889085000137,True,46,0.33883983283671554,13.880360866862116
46,2020-03-08,0,77.69605976311551,7.807889085000137,True,47,0.3810460111615098,13.880360866862116
47,2020-03-09,0,77.69605976311551,7.807889085000137,True,48,0.42836201523231093,13.880360866862116
48,2020-03-10,0,77.69605976311551,7.807889085000137,True,49,0.48136779238497746,13.880360866862116
49,2020-03-11,0,77.69605976311551,7.807889085000137,True,50,0.5406990258490681,13.880360866862116
50,2020-03-12,0,77.69605976311551,7.807889085000137,True,51,0.6070498361878276,13.880360866862116
51,2020-03-13,0,77.69605976311551,7.807889085000137,True,52,0.6811748496784422,13.880360866862116
52,2020-03-14,0,77.69605976311551,7.807889085000137,True,53,0.7638903710640675,13.880360866862116
53,2020-03-15,1,77.69605976311551,7.807889085000137,True,54,0.856074344973254,13.880360866862116
54,2020-03-16,1,77.69605976311551,7.807889085000137,True,55,0.9586647344569325,13.880360866862116
55,2020-03-17,1,77.69605976311551,7.807889085000137,True,56,1.0726558896403466,13.880360866862116
56,2020-03-18,1,77.69605976311551,7.807889085000137,True,57,1.199092429098588,13.880360866862116
