,Report_Date,Central African Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,1,77.69605976311551,7.807889085000137,True,58,1.3390601178069752,13.880360866862116
58,2020-03-20,3,77.69605976311551,7.807889085000137,True,59,1.493673207103872,13.880360866862116
59,2020-03-21,3,77.69605976311551,7.807889085000137,True,60,1.6640577149606475,13.880360866862116
60,2020-03-22,3,77.69605976311551,7.807889085000137,True,61,1.8513301818783097,13.880360866862116
61,2020-03-23,3,77.69605976311551,7.807889085000137,True,62,2.056571553061282,13.880360866862116
62,2020-03-24,3,77.69605976311551,7.807889085000137,True,63,2.2807960251474535,13.880360866862116
63,2020-03-25,3,77.69605976311551,7.807889085000137,True,64,2.524914967344068,13.880360866862116
64,2020-03-26,3,77.69605976311551,7.807889085000137,True,65,2.7896963885625454,13.880360866862116
65,2020-03-27,3,77.69605976311551,7.807889085000137,True,66,3.0757208710743305,13.880360866862116
66,2020-03-28,3,77.69605976311551,7.807889085000137,True,67,3.3833354109845275,13.880360866862116
67,2020-03-29,3,77.69605976311551,7.807889085000137,True,68,3.7126071630518336,13.880360866862116
68,2020-03-30,3,77.69605976311551,7.807889085000137,True,69,4.063279629521282,13.880360866862116
69,2020-03-31,3,77.69605976311551,7.807889085000137,True,70,4.434734288825399,13.880360866862116
70,2020-04-01,3,77.69605976311551,7.807889085000137,True,71,4.825960946273903,13.880360866862116
71,2020-04-02,3,77.69605976311551,7.807889085000137,True,72,5.235540118433193,13.880360866862116
72,2020-04-03,8,77.69605976311551,7.807889085000137,True,73,5.661640461470282,13.880360866862116
73,2020-04-04,8,77.69605976311551,7.807889085000137,True,74,6.102033577632456,13.880360866862116
74,2020-04-05,8,77.69605976311551,7.807889085000137,True,75,6.554127487846529,13.880360866862116
75,2020-04-06,8,77.69605976311551,7.807889085000137,True,76,7.01501870710494,13.880360866862116
76,2020-04-07,8,77.69605976311551,7.807889085000137,True,77,7.481561329827827,13.880360866862116
77,2020-04-08,8,77.69605976311551,7.807889085000137,True,78,7.950450001612425,13.880360866862116
78,2020-04-09,8,77.69605976311551,7.807889085000137,True,79,8.418312322602796,13.880360866862116
79,2020-04-10,8,77.69605976311551,7.807889085000137,True,80,8.881805285665962,13.880360866862116
80,2020-04-11,8,77.69605976311551,7.807889085000137,True,81,9.337709940730742,13.880360866862116
81,2020-04-12,8,77.69605976311551,7.807889085000137,True,82,9.783018658335799,13.880360866862116
82,2020-04-13,11,77.69605976311551,7.807889085000137,True,83,10.215010112599415,13.880360866862116
83,2020-04-14,11,77.69605976311551,7.807889085000137,True,84,10.631308303110734,13.880360866862116
84,2020-04-15,12,77.69605976311551,7.807889085000137,True,85,11.029923411915165,13.880360866862116
