,Report_Date,Tanzania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.07824131008262,14.721349006126616,True,1,0.0003495523835894486,28.877786856602018
1,2020-01-23,0,67.07824131008262,14.721349006126616,True,2,0.0004150028908779128,28.877786856602018
2,2020-01-24,0,67.07824131008262,14.721349006126616,True,3,0.0004927082057944591,28.877786856602018
3,2020-01-25,0,67.07824131008262,14.721349006126616,True,4,0.0005849628073135517,28.877786856602018
4,2020-01-26,0,67.07824131008262,14.721349006126616,True,5,0.0006944907374349779,28.877786856602018
5,2020-01-27,0,67.07824131008262,14.721349006126616,True,6,0.0008245260081404226,28.877786856602018
6,2020-01-28,0,67.07824131008262,14.721349006126616,True,7,0.0009789080534077278,28.877786856602018
7,2020-01-29,0,67.07824131008262,14.721349006126616,True,8,0.0011621950390217134,28.877786856602018
8,2020-01-30,0,67.07824131008262,14.721349006126616,True,9,0.0013797983678062408,28.877786856602018
9,2020-01-31,0,67.07824131008262,14.721349006126616,True,10,0.0016381423403403097,28.877786856602018
10,2020-02-01,0,67.07824131008262,14.721349006126616,True,11,0.0019448536691790597,28.877786856602018
11,2020-02-02,0,67.07824131008262,14.721349006126616,True,12,0.0023089864192886132,28.877786856602018
12,2020-02-03,0,67.07824131008262,14.721349006126616,True,13,0.002741288983831291,28.877786856602018
13,2020-02-04,0,67.07824131008262,14.721349006126616,True,14,0.0032545209320552536,28.877786856602018
14,2020-02-05,0,67.07824131008262,14.721349006126616,True,15,0.0038638290194740015,28.877786856602018
15,2020-02-06,0,67.07824131008262,14.721349006126616,True,16,0.00458719337039369,28.877786856602018
16,2020-02-07,0,67.07824131008262,14.721349006126616,True,17,0.00544595687671864,28.877786856602018
17,2020-02-08,0,67.07824131008262,14.721349006126616,True,18,0.006465453260351576,28.877786856602018
18,2020-02-09,0,67.07824131008262,14.721349006126616,True,19,0.007675752083975812,28.877786856602018
19,2020-02-10,0,67.07824131008262,14.721349006126616,True,20,0.009112542341343137,28.877786856602018
20,2020-02-11,0,67.07824131008262,14.721349006126616,True,21,0.010818180199534524,28.877786856602018
21,2020-02-12,0,67.07824131008262,14.721349006126616,True,22,0.012842931100567365,28.877786856602018
22,2020-02-13,0,67.07824131008262,14.721349006126616,True,23,0.015246441869992085,28.877786856602018
23,2020-02-14,0,67.07824131008262,14.721349006126616,True,24,0.018099484851170113,28.877786856602018
24,2020-02-15,0,67.07824131008262,14.721349006126616,True,25,0.0214860235244075,28.877786856602018
25,2020-02-16,0,67.07824131008262,14.721349006126616,True,26,0.02550565773029352,28.877786856602018
26,2020-02-17,0,67.07824131008262,14.721349006126616,True,27,0.03027651665478853,28.877786856602018
27,2020-02-18,0,67.07824131008262,14.721349006126616,True,28,0.03593867930976887,28.877786856602018
28,2020-02-19,0,67.07824131008262,14.721349006126616,True,29,0.042658215507714925,28.877786856602018
29,2020-02-20,0,67.07824131008262,14.721349006126616,True,30,0.05063195540780377,28.877786856602018
30,2020-02-21,0,67.07824131008262,14.721349006126616,True,31,0.060093112675676755,28.877786856602018
31,2020-02-22,0,67.07824131008262,14.721349006126616,True,32,0.07131790513294702,28.877786856602018
32,2020-02-23,0,67.07824131008262,14.721349006126616,True,33,0.08463333731078139,28.877786856602018
33,2020-02-24,0,67.07824131008262,14.721349006126616,True,34,0.10042633117307553,28.877786856602018
34,2020-02-25,0,67.07824131008262,14.721349006126616,True,35,0.11915441370628604,28.877786856602018
35,2020-02-26,0,67.07824131008262,14.721349006126616,True,36,0.14135819185308973,28.877786856602018
36,2020-02-27,0,67.07824131008262,14.721349006126616,True,37,0.16767586444789398,28.877786856602018
37,2020-02-28,0,67.07824131008262,14.721349006126616,True,38,0.19886003443807052,28.877786856602018
38,2020-02-29,0,67.07824131008262,14.721349006126616,True,39,0.23579708839623528,28.877786856602018
39,2020-03-01,0,67.07824131008262,14.721349006126616,True,40,0.2795293979056444,28.877786856602018
40,2020-03-02,0,67.07824131008262,14.721349006126616,True,41,0.33128056007968143,28.877786856602018
41,2020-03-03,0,67.07824131008262,14.721349006126616,True,42,0.39248382024652284,28.877786856602018
42,2020-03-04,0,67.07824131008262,14.721349006126616,True,43,0.46481369258530614,28.877786856602018
43,2020-03-05,0,67.07824131008262,14.721349006126616,True,44,0.5502205931958087,28.877786856602018
44,2020-03-06,0,67.07824131008262,14.721349006126616,True,45,0.6509679980672289,28.877786856602018
45,2020-03-07,0,67.07824131008262,14.721349006126616,True,46,0.769671203259448,28.877786856602018
46,2020-03-08,0,67.07824131008262,14.721349006126616,True,47,0.9093361590302663,28.877786856602018
47,2020-03-09,0,67.07824131008262,14.721349006126616,True,48,1.0733960343217757,28.877786856602018
48,2020-03-10,0,67.07824131008262,14.721349006126616,True,49,1.2657421076967919,28.877786856602018
49,2020-03-11,0,67.07824131008262,14.721349006126616,True,50,1.4907442552839167,28.877786856602018
50,2020-03-12,0,67.07824131008262,14.721349006126616,True,51,1.7532547283187965,28.877786856602018
51,2020-03-13,0,67.07824131008262,14.721349006126616,True,52,2.0585871548712915,28.877786856602018
52,2020-03-14,0,67.07824131008262,14.721349006126616,True,53,2.41246093033762,28.877786856602018
53,2020-03-15,0,67.07824131008262,14.721349006126616,True,54,2.820899685535185,28.877786856602018
54,2020-03-16,1,67.07824131008262,14.721349006126616,True,55,3.290071824982744,28.877786856602018
55,2020-03-17,1,67.07824131008262,14.721349006126616,True,56,3.826061895623272,28.877786856602018
