,Report_Date,Belgium_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,81.68049984808147,28012.387110667576,True,1,7.19560791862357,55917.31802148242
1,2020-01-23,0,0,81.68049984808147,28012.387110667576,True,2,8.04065428872238,55917.31802148242
2,2020-01-24,0,0,81.68049984808147,28012.387110667576,True,3,8.984926302748798,55917.31802148242
3,2020-01-25,0,0,81.68049984808147,28012.387110667576,True,4,10.040071112824178,55917.31802148242
4,2020-01-26,0,0,81.68049984808147,28012.387110667576,True,5,11.219102035007024,55917.31802148242
5,2020-01-27,0,0,81.68049984808147,28012.387110667576,True,6,12.536558550087522,55917.31802148242
6,2020-01-28,0,0,81.68049984808147,28012.387110667576,True,7,14.008684982304247,55917.31802148242
7,2020-01-29,0,0,81.68049984808147,28012.387110667576,True,8,15.65363002122873,55917.31802148242
8,2020-01-30,0,0,81.68049984808147,28012.387110667576,True,9,17.491669499292755,55917.31802148242
9,2020-01-31,0,0,81.68049984808147,28012.387110667576,True,10,19.54545511194454,55917.31802148242
10,2020-02-01,0,0,81.68049984808147,28012.387110667576,True,11,21.84029207198355,55917.31802148242
11,2020-02-02,0,0,81.68049984808147,28012.387110667576,True,12,24.40444902722916,55917.31802148242
12,2020-02-03,0,0,81.68049984808147,28012.387110667576,True,13,27.2695039445319,55917.31802148242
13,2020-02-04,1,1,81.68049984808147,28012.387110667576,True,14,30.470730076657457,55917.31802148242
14,2020-02-05,1,1,81.68049984808147,28012.387110667576,True,15,34.04752658537624,55917.31802148242
15,2020-02-06,1,1,81.68049984808147,28012.387110667576,True,16,38.043898897959004,55917.31802148242
16,2020-02-07,1,1,81.68049984808147,28012.387110667576,True,17,42.50899442912249,55917.31802148242
17,2020-02-08,1,1,81.68049984808147,28012.387110667576,True,18,47.497699910262945,55917.31802148242
18,2020-02-09,1,1,81.68049984808147,28012.387110667576,True,19,53.071307236514436,55917.31802148242
19,2020-02-10,1,1,81.68049984808147,28012.387110667576,True,20,59.29825547358431,55917.31802148242
20,2020-02-11,1,1,81.68049984808147,28012.387110667576,True,21,66.2549574639603,55917.31802148242
21,2020-02-12,1,1,81.68049984808147,28012.387110667576,True,22,74.02672033894642,55917.31802148242
22,2020-02-13,1,1,81.68049984808147,28012.387110667576,True,23,82.70877018126463,55917.31802148242
23,2020-02-14,1,1,81.68049984808147,28012.387110667576,True,24,92.4073920937013,55917.31802148242
24,2020-02-15,1,1,81.68049984808147,28012.387110667576,True,25,103.24119801189653,55917.31802148242
25,2020-02-16,1,1,81.68049984808147,28012.387110667576,True,26,115.34253575107972,55917.31802148242
26,2020-02-17,1,0,81.68049984808147,28012.387110667576,True,27,128.8590539915913,55917.31802148242
27,2020-02-18,1,0,81.68049984808147,28012.387110667576,True,28,143.95543917673308,55917.31802148242
