,Report_Date,Barbados_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.180688320287,40.70271445361762,True,1,0.0009569561435760466,81.36982852986102
1,2020-01-23,0,71.180688320287,40.70271445361762,True,2,0.0011249543776547587,81.36982852986102
2,2020-01-24,0,71.180688320287,40.70271445361762,True,3,0.0013224450271838509,81.36982852986102
3,2020-01-25,0,71.180688320287,40.70271445361762,True,4,0.0015546053598407114,81.36982852986102
4,2020-01-26,0,71.180688320287,40.70271445361762,True,5,0.0018275214206620143,81.36982852986102
5,2020-01-27,0,71.180688320287,40.70271445361762,True,6,0.0021483475250714756,81.36982852986102
6,2020-01-28,0,71.180688320287,40.70271445361762,True,7,0.0025254937331960436,81.36982852986102
7,2020-01-29,0,71.180688320287,40.70271445361762,True,8,0.002968846210584379,81.36982852986102
8,2020-01-30,0,71.180688320287,40.70271445361762,True,9,0.0034900262388193296,81.36982852986102
9,2020-01-31,0,71.180688320287,40.70271445361762,True,10,0.004102694647538431,81.36982852986102
10,2020-02-01,0,71.180688320287,40.70271445361762,True,11,0.004822909622913856,81.36982852986102
11,2020-02-02,0,71.180688320287,40.70271445361762,True,12,0.005669547236955105,81.36982852986102
12,2020-02-03,0,71.180688320287,40.70271445361762,True,13,0.006664795672444712,81.36982852986102
13,2020-02-04,0,71.180688320287,40.70271445361762,True,14,0.007834736031176444,81.36982852986102
14,2020-02-05,0,71.180688320287,40.70271445361762,True,15,0.00921002485655787,81.36982852986102
15,2020-02-06,0,71.180688320287,40.70271445361762,True,16,0.010826696131578432,81.36982852986102
16,2020-02-07,0,71.180688320287,40.70271445361762,True,17,0.01272710359471013,81.36982852986102
17,2020-02-08,0,71.180688320287,40.70271445361762,True,18,0.01496102782494853,81.36982852986102
18,2020-02-09,0,71.180688320287,40.70271445361762,True,19,0.017586976770148664,81.36982852986102
19,2020-02-10,0,71.180688320287,40.70271445361762,True,20,0.020673713330596796,81.36982852986102
20,2020-02-11,0,71.180688320287,40.70271445361762,True,21,0.024302049377790538,81.36982852986102
21,2020-02-12,0,71.180688320287,40.70271445361762,True,22,0.028566952318513368,81.36982852986102
22,2020-02-13,0,71.180688320287,40.70271445361762,True,23,0.03358001815619817,81.36982852986102
23,2020-02-14,0,71.180688320287,40.70271445361762,True,24,0.03947237412401044,81.36982852986102
24,2020-02-15,0,71.180688320287,40.70271445361762,True,25,0.04639808455541455,81.36982852986102
