,Report_Date,UK_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
36,2020-02-27,15,7,92.92562409050578,135785.5354434404,True,37,1853.8143222788242,266752.4558584967
37,2020-02-28,20,12,92.92562409050578,135785.5354434404,True,38,2025.180633038902,266752.4558584967
38,2020-02-29,23,15,92.92562409050578,135785.5354434404,True,39,2212.258088520225,266752.4558584967
39,2020-03-01,36,28,92.92562409050578,135785.5354434404,True,40,2416.462026022561,266752.4558584967
40,2020-03-02,40,32,92.92562409050578,135785.5354434404,True,41,2639.330447301966,266752.4558584967
41,2020-03-03,51,43,92.92562409050578,135785.5354434404,True,42,2882.533715188267,266752.4558584967
42,2020-03-04,85,77,92.92562409050578,135785.5354434404,True,43,3147.8848333711644,266752.4558584967
43,2020-03-05,115,107,92.92562409050578,135785.5354434404,True,44,3437.3503062940026,266752.4558584967
44,2020-03-06,163,154,92.92562409050578,135785.5354434404,True,45,3753.0615660802805,266752.4558584967
45,2020-03-07,206,186,92.92562409050578,135785.5354434404,True,46,4097.326940990523,266752.4558584967
46,2020-03-08,273,253,92.92562409050578,135785.5354434404,True,47,4472.644124667797,266752.4558584967
47,2020-03-09,321,300,92.92562409050578,135785.5354434404,True,48,4881.713086939984,266752.4558584967
48,2020-03-10,382,357,92.92562409050578,135785.5354434404,True,49,5327.449344729512,266752.4558584967
49,2020-03-11,456,431,92.92562409050578,135785.5354434404,True,50,5812.997485167829,266752.4558584967
50,2020-03-12,456,429,92.92562409050578,135785.5354434404,True,51,6341.744801793682,266752.4558584967
51,2020-03-13,798,770,92.92562409050578,135785.5354434404,True,52,6917.334868195104,266752.4558584967
52,2020-03-14,1140,1094,92.92562409050578,135785.5354434404,True,53,7543.68083111711,266752.4558584967
53,2020-03-15,1140,1079,92.92562409050578,135785.5354434404,True,54,8224.978156430403,266752.4558584967
54,2020-03-16,1543,1458,92.92562409050578,135785.5354434404,True,55,8965.716506060924,266752.4558584967
55,2020-03-17,1950,1817,92.92562409050578,135785.5354434404,True,56,9770.690361782612,266752.4558584967
56,2020-03-18,2626,2446,92.92562409050578,135785.5354434404,True,57,10645.007942656484,266752.4558584967
57,2020-03-19,2689,2466,92.92562409050578,135785.5354434404,True,58,11594.097887142058,266752.4558584967
58,2020-03-20,3983,3724,92.92562409050578,135785.5354434404,True,59,12623.713089202507,266752.4558584967
59,2020-03-21,5018,4703,92.92562409050578,135785.5354434404,True,60,13739.930991294388,266752.4558584967
60,2020-03-22,5683,5333,92.92562409050578,135785.5354434404,True,61,14949.149547872832,266752.4558584967
61,2020-03-23,6650,6226,92.92562409050578,135785.5354434404,True,62,16258.07798368061,266752.4558584967
62,2020-03-24,8077,7434,92.92562409050578,135785.5354434404,True,63,17673.721385349967,266752.4558584967
63,2020-03-25,9529,8700,92.92562409050578,135785.5354434404,True,64,19203.35808761974,266752.4558584967
64,2020-03-26,11658,10646,92.92562409050578,135785.5354434404,True,65,20854.50875295857,266752.4558584967
65,2020-03-27,14543,13247,92.92562409050578,135785.5354434404,True,66,22634.896003216458,266752.4558584967
66,2020-03-28,17089,15499,92.92562409050578,135785.5354434404,True,67,24552.393453196066,266752.4558584967
67,2020-03-29,19522,17718,92.92562409050578,135785.5354434404,True,68,26614.963029246494,266752.4558584967
68,2020-03-30,22141,19963,92.92562409050578,135785.5354434404,True,69,28830.57954284523,266752.4558584967
69,2020-03-31,25150,22590,92.92562409050578,135785.5354434404,True,70,31207.141642154562,266752.4558584967
70,2020-04-01,29474,26244,92.92562409050578,135785.5354434404,True,71,33752.36849638635,266752.4558584967
71,2020-04-02,33718,29836,92.92562409050578,135785.5354434404,True,72,36473.68189036838,266752.4558584967
72,2020-04-03,38168,33572,92.92562409050578,135785.5354434404,True,73,39378.073829837056,266752.4558584967
73,2020-04-04,41903,36547,92.92562409050578,135785.5354434404,True,74,42471.96028794886,266752.4558584967
74,2020-04-05,47806,41806,92.92562409050578,135785.5354434404,True,75,45761.02236112169,266752.4558584967
75,2020-04-06,51608,45040,92.92562409050578,135785.5354434404,True,76,49250.03684093835,266752.4558584967
76,2020-04-07,55242,47636,92.92562409050578,135785.5354434404,True,77,52942.69903230301,266752.4558584967
77,2020-04-08,60733,52093,92.92562409050578,135785.5354434404,True,78,56841.441528868905,266752.4558584967
78,2020-04-09,65077,55334,92.92562409050578,135785.5354434404,True,79,60947.25355493249,266752.4558584967
79,2020-04-10,73758,62654,92.92562409050578,135785.5354434404,True,80,65259.50634565219,266752.4558584967
80,2020-04-11,78991,67048,92.92562409050578,135785.5354434404,True,81,69775.79079994296,266752.4558584967
81,2020-04-12,84279,71650,92.92562409050578,135785.5354434404,True,82,74491.77422900868,266752.4558584967
82,2020-04-13,88621,75592,92.92562409050578,135785.5354434404,True,83,79401.08336010964,266752.4558584967
83,2020-04-14,93873,79800,92.92562409050578,135785.5354434404,True,84,84495.22076394536,266752.4558584967
84,2020-04-15,98476,83561,92.92562409050578,135785.5354434404,True,85,89763.5214895217,266752.4558584967
85,2020-04-16,103093,87149,92.92562409050578,135785.5354434404,True,86,95193.15586676642,266752.4558584967
86,2020-04-17,108692,91813,92.92562409050578,135785.5354434404,True,87,100769.1831573894,266752.4558584967
87,2020-04-18,114217,96223,92.92562409050578,135785.5354434404,True,88,106474.6590179604,266752.4558584967
88,2020-04-19,120067,101575,92.92562409050578,135785.5354434404,True,89,112290.79764661338,266752.4558584967
89,2020-04-20,124743,105692,92.92562409050578,135785.5354434404,True,90,118197.18711889566,266752.4558584967
90,2020-04-21,129044,108821,92.92562409050578,135785.5354434404,True,91,124172.05391930007,266752.4558584967
91,2020-04-22,133495,112435,92.92562409050578,135785.5354434404,True,92,130192.57021085516,266752.4558584967
92,2020-04-23,138078,116291,92.92562409050578,135785.5354434404,True,93,136235.19513674107,266752.4558584967
93,2020-04-24,143464,120672,92.92562409050578,135785.5354434404,True,94,142276.03959127216,266752.4558584967
94,2020-04-25,148377,124742,92.92562409050578,135785.5354434404,True,95,148291.24258488428,266752.4558584967
95,2020-04-26,152840,128785,92.92562409050578,135785.5354434404,True,96,154257.34666989918,266752.4558584967
96,2020-04-27,157149,132756,92.92562409050578,135785.5354434404,True,97,160151.65994735443,266752.4558584967
97,2020-04-28,161145,135843,92.92562409050578,135785.5354434404,True,98,165952.59293547715,266752.4558584967
98,2020-04-29,165221,139124,92.92562409050578,135785.5354434404,True,99,171639.95998218315,266752.4558584967
99,2020-04-30,171253,144482,92.92562409050578,135785.5354434404,True,100,177195.2368293096,266752.4558584967
100,2020-05-01,177454,149944,92.92562409050578,135785.5354434404,True,101,182601.76822826784,266752.4558584967
101,2020-05-02,182260,154129,92.92562409050578,135785.5354434404,True,102,187844.92198747507,266752.4558584967
102,2020-05-03,186599,158153,92.92562409050578,135785.5354434404,True,103,192912.18832120943,266752.4558584967
103,2020-05-04,190584,161850,92.92562409050578,135785.5354434404,True,104,197793.22570282166,266752.4558584967
104,2020-05-05,194990,165563,92.92562409050578,135785.5354434404,True,105,202479.85646736846,266752.4558584967
105,2020-05-06,201101,171025,92.92562409050578,135785.5354434404,True,106,206966.01706310626,266752.4558584967
106,2020-05-07,206715,176100,92.92562409050578,135785.5354434404,True,107,211247.6690634624,266752.4558584967
107,2020-05-08,211364,180123,92.92562409050578,135785.5354434404,True,108,215322.67780752236,266752.4558584967
108,2020-05-09,215260,183673,92.92562409050578,135785.5354434404,True,109,219190.66585959392,266752.4558584967
109,2020-05-10,219183,187328,92.92562409050578,135785.5354434404,True,110,222852.8484163629,266752.4558584967
110,2020-05-11,223060,190995,92.92562409050578,135785.5354434404,True,111,226311.8574110947,266752.4558584967
111,2020-05-12,226463,193771,92.92562409050578,135785.5354434404,True,112,229571.56044495507,266752.4558584967
112,2020-05-13,229705,196519,92.92562409050578,135785.5354434404,True,113,232636.87989364256,266752.4558584967
113,2020-05-14,233151,199537,92.92562409050578,135785.5354434404,True,114,235513.61666574707,266752.4558584967
114,2020-05-15,236711,202713,92.92562409050578,135785.5354434404,True,115,238208.2821906146,266752.4558584967
115,2020-05-16,240161,205695,92.92562409050578,135785.5354434404,True,116,240727.9413389839,266752.4558584967
116,2020-05-17,243695,209059,92.92562409050578,135785.5354434404,True,117,243080.06816737226,266752.4558584967
117,2020-05-18,246406,211610,92.92562409050578,135785.5354434404,True,118,245272.41565282372,266752.4558584967
118,2020-05-19,248818,213477,92.92562409050578,135785.5354434404,True,119,247312.8999628069,266752.4558584967
119,2020-05-20,248293,212589,92.92562409050578,135785.5354434404,True,120,249209.49929118252,266752.4558584967
120,2020-05-21,250908,214866,92.92562409050578,135785.5354434404,True,121,250970.16688349293,266752.4558584967
121,2020-05-22,254195,217802,92.92562409050578,135785.5354434404,True,122,252602.75756644667,266752.4558584967
122,2020-05-23,257154,220479,92.92562409050578,135785.5354434404,True,123,254114.96687713749,266752.4558584967
123,2020-05-24,259559,222766,92.92562409050578,135785.5354434404,True,124,255514.28174516102,266752.4558584967
124,2020-05-25,261184,224270,92.92562409050578,135785.5354434404,True,125,256807.94160269035,266752.4558584967
125,2020-05-26,265227,228179,92.92562409050578,135785.5354434404,True,126,258002.90877131562,266752.4558584967
126,2020-05-27,267240,229780,92.92562409050578,135785.5354434404,True,127,259105.84698849008,266752.4558584967
127,2020-05-28,269127,231290,92.92562409050578,135785.5354434404,True,128,260123.10698046017,266752.4558584967
