,Report_Date,UK_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,92.92562409050578,135785.5354434404,True,1,75.62618532286749,266752.4558584967
1,2020-01-23,0,0,92.92562409050578,135785.5354434404,True,2,82.66743878274168,266752.4558584967
2,2020-01-24,0,0,92.92562409050578,135785.5354434404,True,3,90.36405715631344,266752.4558584967
3,2020-01-25,0,0,92.92562409050578,135785.5354434404,True,4,98.77699603556076,266752.4558584967
4,2020-01-26,0,0,92.92562409050578,135785.5354434404,True,5,107.9728722162332,266752.4558584967
5,2020-01-27,0,0,92.92562409050578,135785.5354434404,True,6,118.02448786327028,266752.4558584967
6,2020-01-28,0,0,92.92562409050578,135785.5354434404,True,7,129.01140289342015,266752.4558584967
7,2020-01-29,0,0,92.92562409050578,135785.5354434404,True,8,141.0205599490246,266752.4558584967
8,2020-01-30,0,0,92.92562409050578,135785.5354434404,True,9,154.1469667216633,266752.4558584967
9,2020-01-31,2,2,92.92562409050578,135785.5354434404,True,10,168.49444080053365,266752.4558584967
10,2020-02-01,2,2,92.92562409050578,135785.5354434404,True,11,184.1764226701615,266752.4558584967
11,2020-02-02,2,2,92.92562409050578,135785.5354434404,True,12,201.31686296741842,266752.4558584967
12,2020-02-03,2,2,92.92562409050578,135785.5354434404,True,13,220.05119063098718,266752.4558584967
13,2020-02-04,2,2,92.92562409050578,135785.5354434404,True,14,240.5273691394609,266752.4558584967
14,2020-02-05,2,2,92.92562409050578,135785.5354434404,True,15,262.90704863921076,266752.4558584967
15,2020-02-06,2,2,92.92562409050578,135785.5354434404,True,16,287.3668224118929,266752.4558584967
16,2020-02-07,3,3,92.92562409050578,135785.5354434404,True,17,314.0995968256794,266752.4558584967
17,2020-02-08,3,3,92.92562409050578,135785.5354434404,True,18,343.3160846553731,266752.4558584967
18,2020-02-09,3,3,92.92562409050578,135785.5354434404,True,19,375.24643244549134,266752.4558584967
19,2020-02-10,8,8,92.92562409050578,135785.5354434404,True,20,410.14199342762436,266752.4558584967
20,2020-02-11,8,8,92.92562409050578,135785.5354434404,True,21,448.2772583886278,266752.4558584967
21,2020-02-12,9,8,92.92562409050578,135785.5354434404,True,22,489.951957818329,266752.4558584967
22,2020-02-13,9,8,92.92562409050578,135785.5354434404,True,23,535.4933496421027,266752.4558584967
23,2020-02-14,9,8,92.92562409050578,135785.5354434404,True,24,585.2587078611351,266752.4558584967
24,2020-02-15,9,8,92.92562409050578,135785.5354434404,True,25,639.6380284759149,266752.4558584967
25,2020-02-16,9,1,92.92562409050578,135785.5354434404,True,26,699.0569701486979,266752.4558584967
26,2020-02-17,9,1,92.92562409050578,135785.5354434404,True,27,763.9800481579205,266752.4558584967
27,2020-02-18,9,1,92.92562409050578,135785.5354434404,True,28,834.9141012980597,266752.4558584967
28,2020-02-19,9,1,92.92562409050578,135785.5354434404,True,29,912.4120524644667,266752.4558584967
29,2020-02-20,9,1,92.92562409050578,135785.5354434404,True,30,997.0769847117298,266752.4558584967
30,2020-02-21,9,1,92.92562409050578,135785.5354434404,True,31,1089.5665555578353,266752.4558584967
31,2020-02-22,9,1,92.92562409050578,135785.5354434404,True,32,1190.597773189594,266752.4558584967
32,2020-02-23,9,1,92.92562409050578,135785.5354434404,True,33,1300.9521589642554,266752.4558584967
33,2020-02-24,13,5,92.92562409050578,135785.5354434404,True,34,1421.4813211448688,266752.4558584967
34,2020-02-25,13,5,92.92562409050578,135785.5354434404,True,35,1553.1129650886685,266752.4558584967
35,2020-02-26,13,5,92.92562409050578,135785.5354434404,True,36,1696.8573650509588,266752.4558584967
