,Report_Date,UK_montserrat_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.6850854280931,6.029974939519958,True,1,0.000141296146570297,11.902676828965994
1,2020-01-23,0,72.6850854280931,6.029974939519958,True,2,0.00016554625020098607,11.902676828965994
2,2020-01-24,0,72.6850854280931,6.029974939519958,True,3,0.00019395823709931402,11.902676828965994
3,2020-01-25,0,72.6850854280931,6.029974939519958,True,4,0.00022724635853666885,11.902676828965994
4,2020-01-26,0,72.6850854280931,6.029974939519958,True,5,0.00026624743437859614,11.902676828965994
5,2020-01-27,0,72.6850854280931,6.029974939519958,True,6,0.00031194188291799104,11.902676828965994
6,2020-01-28,0,72.6850854280931,6.029974939519958,True,7,0.00036547835763205675,11.902676828965994
7,2020-01-29,0,72.6850854280931,6.029974939519958,True,8,0.00042820260902175564,11.902676828965994
8,2020-01-30,0,72.6850854280931,6.029974939519958,True,9,0.0005016912954537453,11.902676828965994
9,2020-01-31,0,72.6850854280931,6.029974939519958,True,10,0.0005877915907139024,11.902676828965994
10,2020-02-01,0,72.6850854280931,6.029974939519958,True,11,0.0006886675808464569,11.902676828965994
11,2020-02-02,0,72.6850854280931,6.029974939519958,True,12,0.0008068546123474316,11.902676828965994
12,2020-02-03,0,72.6850854280931,6.029974939519958,True,13,0.0009453229520458796,11.902676828965994
13,2020-02-04,0,72.6850854280931,6.029974939519958,True,14,0.0011075523508599508,11.902676828965994
14,2020-02-05,0,72.6850854280931,6.029974939519958,True,15,0.0012976193746585178,11.902676828965994
15,2020-02-06,0,72.6850854280931,6.029974939519958,True,16,0.0015202996821949012,11.902676828965994
16,2020-02-07,0,72.6850854280931,6.029974939519958,True,17,0.0017811878000417555,11.902676828965994
17,2020-02-08,0,72.6850854280931,6.029974939519958,True,18,0.0020868373763589495,11.902676828965994
18,2020-02-09,0,72.6850854280931,6.029974939519958,True,19,0.002444925399221802,11.902676828965994
19,2020-02-10,0,72.6850854280931,6.029974939519958,True,20,0.0028644444526886286,11.902676828965994
20,2020-02-11,0,72.6850854280931,6.029974939519958,True,21,0.003355927768048231,11.902676828965994
21,2020-02-12,0,72.6850854280931,6.029974939519958,True,22,0.003931712623886308,11.902676828965994
22,2020-02-13,0,72.6850854280931,6.029974939519958,True,23,0.0046062485739167,11.902676828965994
23,2020-02-14,0,72.6850854280931,6.029974939519958,True,24,0.005396458055304494,11.902676828965994
24,2020-02-15,0,72.6850854280931,6.029974939519958,True,25,0.006322158174122818,11.902676828965994
25,2020-02-16,0,72.6850854280931,6.029974939519958,True,26,0.0074065539026027015,11.902676828965994
26,2020-02-17,0,72.6850854280931,6.029974939519958,True,27,0.008676814581116982,11.902676828965994
27,2020-02-18,0,72.6850854280931,6.029974939519958,True,28,0.010164747524415952,11.902676828965994
28,2020-02-19,0,72.6850854280931,6.029974939519958,True,29,0.011907584715775148,11.902676828965994
29,2020-02-20,0,72.6850854280931,6.029974939519958,True,30,0.01394890106386175,11.902676828965994
30,2020-02-21,0,72.6850854280931,6.029974939519958,True,31,0.016339685523166742,11.902676828965994
31,2020-02-22,0,72.6850854280931,6.029974939519958,True,32,0.019139589563515913,11.902676828965994
32,2020-02-23,0,72.6850854280931,6.029974939519958,True,33,0.022418381033166228,11.902676828965994
33,2020-02-24,0,72.6850854280931,6.029974939519958,True,34,0.02625763539538033,11.902676828965994
34,2020-02-25,0,72.6850854280931,6.029974939519958,True,35,0.030752700610610206,11.902676828965994
35,2020-02-26,0,72.6850854280931,6.029974939519958,True,36,0.03601497653318864,11.902676828965994
36,2020-02-27,0,72.6850854280931,6.029974939519958,True,37,0.04217455449217532,11.902676828965994
37,2020-02-28,0,72.6850854280931,6.029974939519958,True,38,0.04938326756087399,11.902676828965994
38,2020-02-29,0,72.6850854280931,6.029974939519958,True,39,0.05781820662093759,11.902676828965994
39,2020-03-01,0,72.6850854280931,6.029974939519958,True,40,0.06768576129180923,11.902676828965994
40,2020-03-02,0,72.6850854280931,6.029974939519958,True,41,0.07922624753638306,11.902676828965994
41,2020-03-03,0,72.6850854280931,6.029974939519958,True,42,0.09271918443233808,11.902676828965994
42,2020-03-04,0,72.6850854280931,6.029974939519958,True,43,0.1084892800496227,11.902676828965994
43,2020-03-05,0,72.6850854280931,6.029974939519958,True,44,0.1269131790044059,11.902676828965994
