,Report_Date,Australia_new south wales_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.29166830501545,1989.7992989865684,True,1,0.04687770471318466,3651.3397338792593
1,2020-01-23,0,70.29166830501545,1989.7992989865684,True,2,0.05522015410080528,3651.3397338792593
2,2020-01-24,0,70.29166830501545,1989.7992989865684,True,3,0.06504721807506957,3651.3397338792593
3,2020-01-25,0,70.29166830501545,1989.7992989865684,True,4,0.07662308787072081,3651.3397338792593
4,2020-01-26,3,70.29166830501545,1989.7992989865684,True,5,0.0902589646312833,3651.3397338792593
5,2020-01-27,4,70.29166830501545,1989.7992989865684,True,6,0.10632142288952116,3651.3397338792593
6,2020-01-28,4,70.29166830501545,1989.7992989865684,True,7,0.1252422614377205,3651.3397338792593
7,2020-01-29,4,70.29166830501545,1989.7992989865684,True,8,0.14753010589797608,3651.3397338792593
8,2020-01-30,4,70.29166830501545,1989.7992989865684,True,9,0.17378407418846062,3651.3397338792593
9,2020-01-31,4,70.29166830501545,1989.7992989865684,True,10,0.20470987125256002,3651.3397338792593
10,2020-02-01,4,70.29166830501545,1989.7992989865684,True,11,0.2411387443254258,3651.3397338792593
11,2020-02-02,4,70.29166830501545,1989.7992989865684,True,12,0.2840498063580803,3651.3397338792593
12,2020-02-03,4,70.29166830501545,1989.7992989865684,True,13,0.3345963249943852,3651.3397338792593
13,2020-02-04,4,70.29166830501545,1989.7992989865684,True,14,0.394136680030073,3651.3397338792593
14,2020-02-05,4,70.29166830501545,1989.7992989865684,True,15,0.46427081629576866,3651.3397338792593
15,2020-02-06,4,70.29166830501545,1989.7992989865684,True,16,0.54688316456904,3651.3397338792593
16,2020-02-07,4,70.29166830501545,1989.7992989865684,True,17,0.6441931741248204,3651.3397338792593
17,2020-02-08,4,70.29166830501545,1989.7992989865684,True,18,0.7588148011639966,3651.3397338792593
18,2020-02-09,4,70.29166830501545,1989.7992989865684,True,19,0.8938265325773226,3651.3397338792593
19,2020-02-10,4,70.29166830501545,1989.7992989865684,True,20,1.0528538000295564,3651.3397338792593
20,2020-02-11,4,70.29166830501545,1989.7992989865684,True,21,1.2401659617624603,3651.3397338792593
21,2020-02-12,4,70.29166830501545,1989.7992989865684,True,22,1.4607904063307495,3651.3397338792593
22,2020-02-13,4,70.29166830501545,1989.7992989865684,True,23,1.7206467722371184,3651.3397338792593
23,2020-02-14,4,70.29166830501545,1989.7992989865684,True,24,2.0267047897347243,3651.3397338792593
24,2020-02-15,4,70.29166830501545,1989.7992989865684,True,25,2.3871698466348477,3651.3397338792593
25,2020-02-16,4,70.29166830501545,1989.7992989865684,True,26,2.811701070578836,3651.3397338792593
26,2020-02-17,4,70.29166830501545,1989.7992989865684,True,27,3.3116675186326763,3651.3397338792593
27,2020-02-18,4,70.29166830501545,1989.7992989865684,True,28,3.9004489846372747,3651.3397338792593
28,2020-02-19,4,70.29166830501545,1989.7992989865684,True,29,4.593788989088825,3651.3397338792593
29,2020-02-20,4,70.29166830501545,1989.7992989865684,True,30,5.4102087184341485,3651.3397338792593
30,2020-02-21,4,70.29166830501545,1989.7992989865684,True,31,6.371492041739634,3651.3397338792593
31,2020-02-22,4,70.29166830501545,1989.7992989865684,True,32,7.503253260282357,3651.3397338792593
32,2020-02-23,4,70.29166830501545,1989.7992989865684,True,33,8.835600940931807,3651.3397338792593
33,2020-02-24,4,70.29166830501545,1989.7992989865684,True,34,10.403913038234947,3651.3397338792593
34,2020-02-25,4,70.29166830501545,1989.7992989865684,True,35,12.249740498152875,3651.3397338792593
35,2020-02-26,4,70.29166830501545,1989.7992989865684,True,36,14.42185861027252,3651.3397338792593
36,2020-02-27,4,70.29166830501545,1989.7992989865684,True,37,16.9774874528567,3651.3397338792593
37,2020-02-28,4,70.29166830501545,1989.7992989865684,True,38,19.983704725678937,3651.3397338792593
38,2020-02-29,4,70.29166830501545,1989.7992989865684,True,39,23.51907589082937,3651.3397338792593
39,2020-03-01,6,70.29166830501545,1989.7992989865684,True,40,27.675527549932976,3651.3397338792593
40,2020-03-02,6,70.29166830501545,1989.7992989865684,True,41,32.560489959648876,3651.3397338792593
41,2020-03-03,13,70.29166830501545,1989.7992989865684,True,42,38.29933294023319,3651.3397338792593
42,2020-03-04,22,70.29166830501545,1989.7992989865684,True,43,45.0381153598553,3651.3397338792593
43,2020-03-05,22,70.29166830501545,1989.7992989865684,True,44,52.94666079714414,3651.3397338792593
44,2020-03-06,26,70.29166830501545,1989.7992989865684,True,45,62.22195946864053,3651.3397338792593
45,2020-03-07,28,70.29166830501545,1989.7992989865684,True,46,73.09187721997938,3651.3397338792593
46,2020-03-08,38,70.29166830501545,1989.7992989865684,True,47,85.81912402466314,3651.3397338792593
47,2020-03-09,48,70.29166830501545,1989.7992989865684,True,48,100.70539424873735,3651.3397338792593
48,2020-03-10,55,70.29166830501545,1989.7992989865684,True,49,118.09553576203534,3651.3397338792593
49,2020-03-11,65,70.29166830501545,1989.7992989865684,True,50,138.3815314603447,3651.3397338792593
50,2020-03-12,65,70.29166830501545,1989.7992989865684,True,51,162.005981820945,3651.3397338792593
51,2020-03-13,92,70.29166830501545,1989.7992989865684,True,52,189.4646587144423,3651.3397338792593
52,2020-03-14,112,70.29166830501545,1989.7992989865684,True,53,221.3075591473625,3651.3397338792593
53,2020-03-15,134,70.29166830501545,1989.7992989865684,True,54,258.1377274744761,3651.3397338792593
54,2020-03-16,171,70.29166830501545,1989.7992989865684,True,55,300.6069473228547,3651.3397338792593
55,2020-03-17,210,70.29166830501545,1989.7992989865684,True,56,349.4072515059739,3651.3397338792593
56,2020-03-18,267,70.29166830501545,1989.7992989865684,True,57,405.2570944896432,3651.3397338792593
57,2020-03-19,307,70.29166830501545,1989.7992989865684,True,58,468.8810283055615,3651.3397338792593
58,2020-03-20,353,70.29166830501545,1989.7992989865684,True,59,540.9818856590841,3651.3397338792593
59,2020-03-21,436,70.29166830501545,1989.7992989865684,True,60,622.2048798826016,3651.3397338792593
60,2020-03-22,669,70.29166830501545,1989.7992989865684,True,61,713.0937528482469,3651.3397338792593
61,2020-03-23,669,70.29166830501545,1989.7992989865684,True,62,814.0401823568458,3651.3397338792593
62,2020-03-24,818,70.29166830501545,1989.7992989865684,True,63,925.2290784669847,3651.3397338792593
63,2020-03-25,1029,70.29166830501545,1989.7992989865684,True,64,1046.5840275752637,3651.3397338792593
64,2020-03-26,1219,70.29166830501545,1989.7992989865684,True,65,1177.7187232761808,3651.3397338792593
65,2020-03-27,1405,70.29166830501545,1989.7992989865684,True,66,1317.9013622989814,3651.3397338792593
66,2020-03-28,1617,70.29166830501545,1989.7992989865684,True,67,1466.0392182905566,3651.3397338792593
67,2020-03-29,1791,70.29166830501545,1989.7992989865684,True,68,1620.6895256790901,3651.3397338792593
68,2020-03-30,2032,70.29166830501545,1989.7992989865684,True,69,1780.1002256589918,3651.3397338792593
69,2020-03-31,2032,70.29166830501545,1989.7992989865684,True,70,1942.2802461773665,3651.3397338792593
70,2020-04-01,2182,70.29166830501545,1989.7992989865684,True,71,2105.0944526635476,3651.3397338792593
71,2020-04-02,2298,70.29166830501545,1989.7992989865684,True,72,2266.3742005026756,3651.3397338792593
72,2020-04-03,2389,70.29166830501545,1989.7992989865684,True,73,2424.0315928518403,3651.3397338792593
73,2020-04-04,2493,70.29166830501545,1989.7992989865684,True,74,2576.1648583554543,3651.3397338792593
74,2020-04-05,2580,70.29166830501545,1989.7992989865684,True,75,2721.1439035896587,3651.3397338792593
