,Report_Date,China_liaoning_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
82,2020-04-13,145,7,13.105283287161633,69.01815879004106,True,83,138.03551319549462,138.03631751892763
83,2020-04-14,145,5,13.105283287161633,69.01815879004106,True,84,138.03564060521987,138.03631751892763
84,2020-04-15,145,5,13.105283287161633,69.01815879004106,True,85,138.03574783408718,138.03631751892763
85,2020-04-16,145,3,13.105283287161633,69.01815879004106,True,86,138.0358380785867,138.03631751892763
86,2020-04-17,146,4,13.105283287161633,69.01815879004106,True,87,138.0359140289166,138.03631751892763
87,2020-04-18,146,2,13.105283287161633,69.01815879004106,True,88,138.03597794917263,138.03631751892763
88,2020-04-19,146,2,13.105283287161633,69.01815879004106,True,89,138.03603174483723,138.03631751892763
89,2020-04-20,146,1,13.105283287161633,69.01815879004106,True,90,138.03607701957986,138.03631751892763
90,2020-04-21,146,1,13.105283287161633,69.01815879004106,True,91,138.03611512306088,138.03631751892763
91,2020-04-22,146,1,13.105283287161633,69.01815879004106,True,92,138.03614719116425,138.03631751892763
92,2020-04-23,146,1,13.105283287161633,69.01815879004106,True,93,138.03617417985782,138.03631751892763
93,2020-04-24,146,1,13.105283287161633,69.01815879004106,True,94,138.03619689369035,138.03631751892763
94,2020-04-25,146,1,13.105283287161633,69.01815879004106,True,95,138.0362160097753,138.03631751892763
95,2020-04-26,146,1,13.105283287161633,69.01815879004106,True,96,138.03623209797559,138.03631751892763
96,2020-04-27,146,1,13.105283287161633,69.01815879004106,True,97,138.0362456378912,138.03631751892763
97,2020-04-28,146,1,13.105283287161633,69.01815879004106,True,98,138.0362570331564,138.03631751892763
98,2020-04-29,146,1,13.105283287161633,69.01815879004106,True,99,138.03626662347216,138.03631751892763
99,2020-04-30,146,1,13.105283287161633,69.01815879004106,True,100,138.03627469473258,138.03631751892763
100,2020-05-01,146,0,13.105283287161633,69.01815879004106,True,101,138.0362814875479,138.03631751892763
101,2020-05-02,146,0,13.105283287161633,69.01815879004106,True,102,138.03628720441702,138.03631751892763
102,2020-05-03,146,0,13.105283287161633,69.01815879004106,True,103,138.03629201576408,138.03631751892763
103,2020-05-04,146,0,13.105283287161633,69.01815879004106,True,104,138.03629606501895,138.03631751892763
104,2020-05-05,146,0,13.105283287161633,69.01815879004106,True,105,138.036299472893,138.03631751892763
105,2020-05-06,146,0,13.105283287161633,69.01815879004106,True,106,138.03630234097758,138.03631751892763
106,2020-05-07,146,0,13.105283287161633,69.01815879004106,True,107,138.03630475477254,138.03631751892763
107,2020-05-08,146,0,13.105283287161633,69.01815879004106,True,108,138.03630678623495,138.03631751892763
108,2020-05-09,146,0,13.105283287161633,69.01815879004106,True,109,138.03630849592432,138.03631751892763
109,2020-05-10,147,1,13.105283287161633,69.01815879004106,True,110,138.03630993480775,138.03631751892763
110,2020-05-11,147,1,13.105283287161633,69.01815879004106,True,111,138.03631114577954,138.03631751892763
111,2020-05-12,147,1,13.105283287161633,69.01815879004106,True,112,138.03631216493966,138.03631751892763
112,2020-05-13,149,3,13.105283287161633,69.01815879004106,True,113,138.03631302267016,138.03631751892763
113,2020-05-14,149,3,13.105283287161633,69.01815879004106,True,114,138.03631374454056,138.03631751892763
114,2020-05-15,149,3,13.105283287161633,69.01815879004106,True,115,138.03631435207046,138.03631751892763
115,2020-05-16,149,3,13.105283287161633,69.01815879004106,True,116,138.03631486337076,138.03631751892763
116,2020-05-17,149,3,13.105283287161633,69.01815879004106,True,117,138.03631529368374,138.03631751892763
117,2020-05-18,149,3,13.105283287161633,69.01815879004106,True,118,138.03631565583743,138.03631751892763
118,2020-05-19,149,3,13.105283287161633,69.01815879004106,True,119,138.03631596062777,138.03631751892763
119,2020-05-20,149,3,13.105283287161633,69.01815879004106,True,120,138.03631621714098,138.03631751892763
120,2020-05-21,149,3,13.105283287161633,69.01815879004106,True,121,138.03631643302376,138.03631751892763
121,2020-05-22,149,3,13.105283287161633,69.01815879004106,True,122,138.03631661471186,138.03631751892763
122,2020-05-23,149,3,13.105283287161633,69.01815879004106,True,123,138.0363167676215,138.03631751892763
123,2020-05-24,149,2,13.105283287161633,69.01815879004106,True,124,138.03631689631106,138.03631751892763
124,2020-05-25,149,0,13.105283287161633,69.01815879004106,True,125,138.03631700461685,138.03631751892763
125,2020-05-26,149,0,13.105283287161633,69.01815879004106,True,126,138.03631709576757,138.03631751892763
126,2020-05-27,149,0,13.105283287161633,69.01815879004106,True,127,138.03631717248047,138.03631751892763
127,2020-05-28,149,0,13.105283287161633,69.01815879004106,True,128,138.03631723704245,138.03631751892763
