,Report_Date,China_liaoning_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,2,13.105283287161633,69.01815879004106,True,1,15.22802783783495,138.03631751892763
1,2020-01-23,3,3,13.105283287161633,69.01815879004106,True,2,17.72598953861802,138.03631751892763
2,2020-01-24,4,4,13.105283287161633,69.01815879004106,True,3,20.565092795396097,138.03631751892763
3,2020-01-25,17,17,13.105283287161633,69.01815879004106,True,4,23.769085965420274,138.03631751892763
4,2020-01-26,21,21,13.105283287161633,69.01815879004106,True,5,27.356008896174934,138.03631751892763
5,2020-01-27,27,27,13.105283287161633,69.01815879004106,True,6,31.335783991281716,138.03631751892763
6,2020-01-28,34,34,13.105283287161633,69.01815879004106,True,7,35.70774889241964,138.03631751892763
7,2020-01-29,39,38,13.105283287161633,69.01815879004106,True,8,40.45840086976197,138.03631751892763
8,2020-01-30,41,40,13.105283287161633,69.01815879004106,True,9,45.55968955498186,138.03631751892763
9,2020-01-31,48,47,13.105283287161633,69.01815879004106,True,10,50.968216894012215,138.03631751892763
10,2020-02-01,64,63,13.105283287161633,69.01815879004106,True,11,56.625656469145156,138.03631751892763
11,2020-02-02,70,69,13.105283287161633,69.01815879004106,True,12,62.46057598173905,138.03631751892763
12,2020-02-03,74,73,13.105283287161633,69.01815879004106,True,13,68.39164638823314,138.03631751892763
13,2020-02-04,81,79,13.105283287161633,69.01815879004106,True,14,74.33198537093206,138.03631751892763
14,2020-02-05,89,85,13.105283287161633,69.01815879004106,True,15,80.1941681854473,138.03631751892763
15,2020-02-06,94,89,13.105283287161633,69.01815879004106,True,16,85.89530484749956,138.03631751892763
16,2020-02-07,99,92,13.105283287161633,69.01815879004106,True,17,91.36156900248226,138.03631751892763
17,2020-02-08,105,97,13.105283287161633,69.01815879004106,True,18,96.5316748189643,138.03631751892763
18,2020-02-09,107,95,13.105283287161633,69.01815879004106,True,19,101.35900053410347,138.03631751892763
19,2020-02-10,108,95,13.105283287161633,69.01815879004106,True,20,105.8122937571757,138.03631751892763
20,2020-02-11,111,92,13.105283287161633,69.01815879004106,True,21,109.87510530009907,138.03631751892763
21,2020-02-12,116,95,13.105283287161633,69.01815879004106,True,22,113.54424350777451,138.03631751892763
22,2020-02-13,117,94,13.105283287161633,69.01815879004106,True,23,116.82760453995635,138.03631751892763
23,2020-02-14,119,89,13.105283287161633,69.01815879004106,True,24,119.74172451619482,138.03631751892763
24,2020-02-15,119,87,13.105283287161633,69.01815879004106,True,25,122.30933996242986,138.03631751892763
25,2020-02-16,121,80,13.105283287161633,69.01815879004106,True,26,124.5571601647754,138.03631751892763
26,2020-02-17,121,77,13.105283287161633,69.01815879004106,True,27,126.51397096196455,138.03631751892763
27,2020-02-18,121,67,13.105283287161633,69.01815879004106,True,28,128.20911830243298,138.03631751892763
28,2020-02-19,121,65,13.105283287161633,69.01815879004106,True,29,129.67136772287554,138.03631751892763
29,2020-02-20,121,61,13.105283287161633,69.01815879004106,True,30,130.9281030432297,138.03631751892763
30,2020-02-21,121,59,13.105283287161633,69.01815879004106,True,31,132.0048109190345,138.03631751892763
31,2020-02-22,121,54,13.105283287161633,69.01815879004106,True,32,132.92479308418103,138.03631751892763
32,2020-02-23,121,47,13.105283287161633,69.01815879004106,True,33,133.70905090071878,138.03631751892763
33,2020-02-24,121,40,13.105283287161633,69.01815879004106,True,34,134.37629374129637,138.03631751892763
34,2020-02-25,121,37,13.105283287161633,69.01815879004106,True,35,134.94303127926824,138.03631751892763
35,2020-02-26,121,32,13.105283287161633,69.01815879004106,True,36,135.42371836656105,138.03631751892763
36,2020-02-27,121,27,13.105283287161633,69.01815879004106,True,37,135.8309289586759,138.03631751892763
37,2020-02-28,121,27,13.105283287161633,69.01815879004106,True,38,136.1755421088757,138.03631751892763
38,2020-02-29,121,24,13.105283287161633,69.01815879004106,True,39,136.46692831722615,138.03631751892763
39,2020-03-01,122,18,13.105283287161633,69.01815879004106,True,40,136.71312857445702,138.03631751892763
40,2020-03-02,122,18,13.105283287161633,69.01815879004106,True,41,136.92102145531797,138.03631751892763
41,2020-03-03,125,18,13.105283287161633,69.01815879004106,True,42,137.0964757841018,138.03631751892763
42,2020-03-04,125,18,13.105283287161633,69.01815879004106,True,43,137.24448790073106,138.03631751892763
43,2020-03-05,125,18,13.105283287161633,69.01815879004106,True,44,137.3693035602387,138.03631751892763
44,2020-03-06,125,18,13.105283287161633,69.01815879004106,True,45,137.4745251342205,138.03631751892763
45,2020-03-07,125,17,13.105283287161633,69.01815879004106,True,46,137.5632051546941,138.03631751892763
46,2020-03-08,125,15,13.105283287161633,69.01815879004106,True,47,137.63792742898525,138.03631751892763
47,2020-03-09,125,15,13.105283287161633,69.01815879004106,True,48,137.70087701858716,138.03631751892763
48,2020-03-10,125,13,13.105283287161633,69.01815879004106,True,49,137.75390035896905,138.03631751892763
49,2020-03-11,125,13,13.105283287161633,69.01815879004106,True,50,137.79855673207757,138.03631751892763
50,2020-03-12,125,12,13.105283287161633,69.01815879004106,True,51,137.83616221039279,138.03631751892763
51,2020-03-13,125,12,13.105283287161633,69.01815879004106,True,52,137.86782708553483,138.03631751892763
52,2020-03-14,125,11,13.105283287161633,69.01815879004106,True,53,137.8944876852317,138.03631751892763
53,2020-03-15,125,10,13.105283287161633,69.01815879004106,True,54,137.9169333760449,138.03631751892763
54,2020-03-16,125,9,13.105283287161633,69.01815879004106,True,55,137.9358294492346,138.03631751892763
55,2020-03-17,125,4,13.105283287161633,69.01815879004106,True,56,137.95173649546112,138.03631751892763
56,2020-03-18,125,2,13.105283287161633,69.01815879004106,True,57,137.965126791473,138.03631751892763
57,2020-03-19,125,2,13.105283287161633,69.01815879004106,True,58,137.97639814861105,138.03631751892763
58,2020-03-20,126,2,13.105283287161633,69.01815879004106,True,59,137.9858856084984,138.03631751892763
59,2020-03-21,126,2,13.105283287161633,69.01815879004106,True,60,137.99387131507865,138.03631751892763
60,2020-03-22,127,1,13.105283287161633,69.01815879004106,True,61,138.000592843459,138.03631751892763
61,2020-03-23,127,1,13.105283287161633,69.01815879004106,True,62,138.00625022403352,138.03631751892763
62,2020-03-24,127,1,13.105283287161633,69.01815879004106,True,63,138.01101186431904,138.03631751892763
63,2020-03-25,127,1,13.105283287161633,69.01815879004106,True,64,138.01501954010266,138.03631751892763
64,2020-03-26,128,2,13.105283287161633,69.01815879004106,True,65,138.01839260119047,138.03631751892763
65,2020-03-27,128,2,13.105283287161633,69.01815879004106,True,66,138.02123151465423,138.03631751892763
66,2020-03-28,132,6,13.105283287161633,69.01815879004106,True,67,138.02362084944386,138.03631751892763
67,2020-03-29,134,8,13.105283287161633,69.01815879004106,True,68,138.0256317900941,138.03631751892763
68,2020-03-30,136,10,13.105283287161633,69.01815879004106,True,69,138.027324253577,138.03631751892763
69,2020-03-31,139,13,13.105283287161633,69.01815879004106,True,70,138.02874867178042,138.03631751892763
70,2020-04-01,140,14,13.105283287161633,69.01815879004106,True,71,138.02994749230555,138.03631751892763
71,2020-04-02,141,15,13.105283287161633,69.01815879004106,True,72,138.03095644201002,138.03631751892763
72,2020-04-03,141,15,13.105283287161633,69.01815879004106,True,73,138.0318055907407,138.03631751892763
73,2020-04-04,141,14,13.105283287161633,69.01815879004106,True,74,138.03252024680947,138.03631751892763
74,2020-04-05,142,14,13.105283287161633,69.01815879004106,True,75,138.03312171079534,138.03631751892763
75,2020-04-06,142,12,13.105283287161633,69.01815879004106,True,76,138.03362791006487,138.03631751892763
76,2020-04-07,144,12,13.105283287161633,69.01815879004106,True,77,138.0340539328705,138.03631751892763
77,2020-04-08,144,11,13.105283287161633,69.01815879004106,True,78,138.03441247790946,138.03631751892763
78,2020-04-09,144,10,13.105283287161633,69.01815879004106,True,79,138.03471423271577,138.03631751892763
79,2020-04-10,144,10,13.105283287161633,69.01815879004106,True,80,138.03496819214695,138.03631751892763
80,2020-04-11,145,10,13.105283287161633,69.01815879004106,True,81,138.03518192644452,138.03631751892763
81,2020-04-12,145,7,13.105283287161633,69.01815879004106,True,82,138.03536180684992,138.03631751892763
