,Report_Date,France_saint barthelemy_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.97239755232968,5.933244331413002,True,1,0.023174738224315,8.806058120619365
1,2020-01-23,0,71.97239755232968,5.933244331413002,True,2,0.02529875098079353,8.806058120619365
2,2020-01-24,0,71.97239755232968,5.933244331413002,True,3,0.027616979961468672,8.806058120619365
3,2020-01-25,0,71.97239755232968,5.933244331413002,True,4,0.030147096999154865,8.806058120619365
4,2020-01-26,0,71.97239755232968,5.933244331413002,True,5,0.03290836523746149,8.806058120619365
5,2020-01-27,0,71.97239755232968,5.933244331413002,True,6,0.03592177923274221,8.806058120619365
6,2020-01-28,0,71.97239755232968,5.933244331413002,True,7,0.0392102167769458,8.806058120619365
7,2020-01-29,0,71.97239755232968,5.933244331413002,True,8,0.042798603302428684,8.806058120619365
8,2020-01-30,0,71.97239755232968,5.933244331413002,True,9,0.046714089768941945,8.806058120619365
9,2020-01-31,0,71.97239755232968,5.933244331413002,True,10,0.050986244968514935,8.806058120619365
10,2020-02-01,0,71.97239755232968,5.933244331413002,True,11,0.05564726321422629,8.806058120619365
11,2020-02-02,0,71.97239755232968,5.933244331413002,True,12,0.06073218840193119,8.806058120619365
12,2020-02-03,0,71.97239755232968,5.933244331413002,True,13,0.06627915544753497,8.806058120619365
13,2020-02-04,0,71.97239755232968,5.933244331413002,True,14,0.07232965010352245,8.806058120619365
14,2020-02-05,0,71.97239755232968,5.933244331413002,True,15,0.07892878814375724,8.806058120619365
15,2020-02-06,0,71.97239755232968,5.933244331413002,True,16,0.08612561487099898,8.806058120619365
16,2020-02-07,0,71.97239755232968,5.933244331413002,True,17,0.09397342584234433,8.806058120619365
17,2020-02-08,0,71.97239755232968,5.933244331413002,True,18,0.10253010961822528,8.806058120619365
18,2020-02-09,0,71.97239755232968,5.933244331413002,True,19,0.11185851321408118,8.806058120619365
19,2020-02-10,0,71.97239755232968,5.933244331413002,True,20,0.12202683076266373,8.806058120619365
20,2020-02-11,0,71.97239755232968,5.933244331413002,True,21,0.13310901567024871,8.806058120619365
21,2020-02-12,0,71.97239755232968,5.933244331413002,True,22,0.14518521626160907,8.806058120619365
22,2020-02-13,0,71.97239755232968,5.933244331413002,True,23,0.1583422345448344,8.806058120619365
23,2020-02-14,0,71.97239755232968,5.933244331413002,True,24,0.17267400727484547,8.806058120619365
24,2020-02-15,0,71.97239755232968,5.933244331413002,True,25,0.18828210793907352,8.806058120619365
25,2020-02-16,0,71.97239755232968,5.933244331413002,True,26,0.20527626761404005,8.806058120619365
26,2020-02-17,0,71.97239755232968,5.933244331413002,True,27,0.22377491182978326,8.806058120619365
27,2020-02-18,0,71.97239755232968,5.933244331413002,True,28,0.24390570961123434,8.806058120619365
28,2020-02-19,0,71.97239755232968,5.933244331413002,True,29,0.26580612972177015,8.806058120619365
29,2020-02-20,0,71.97239755232968,5.933244331413002,True,30,0.2896239977937752,8.806058120619365
30,2020-02-21,0,71.97239755232968,5.933244331413002,True,31,0.3155180464738828,8.806058120619365
31,2020-02-22,0,71.97239755232968,5.933244331413002,True,32,0.3436584489176424,8.806058120619365
32,2020-02-23,0,71.97239755232968,5.933244331413002,True,33,0.3742273239232888,8.806058120619365
33,2020-02-24,0,71.97239755232968,5.933244331413002,True,34,0.4074191986851386,8.806058120619365
34,2020-02-25,0,71.97239755232968,5.933244331413002,True,35,0.4434414125687315,8.806058120619365
35,2020-02-26,0,71.97239755232968,5.933244331413002,True,36,0.48251444246667796,8.806058120619365
36,2020-02-27,0,71.97239755232968,5.933244331413002,True,37,0.5248721272039992,8.806058120619365
37,2020-02-28,0,71.97239755232968,5.933244331413002,True,38,0.5707617651598165,8.806058120619365
38,2020-02-29,0,71.97239755232968,5.933244331413002,True,39,0.6204440558162466,8.806058120619365
39,2020-03-01,0,71.97239755232968,5.933244331413002,True,40,0.6741928524210407,8.806058120619365
40,2020-03-02,0,71.97239755232968,5.933244331413002,True,41,0.7322946894776837,8.806058120619365
41,2020-03-03,0,71.97239755232968,5.933244331413002,True,42,0.7950480455155722,8.806058120619365
42,2020-03-04,3,71.97239755232968,5.933244331413002,True,43,0.8627622987500094,8.806058120619365
43,2020-03-05,3,71.97239755232968,5.933244331413002,True,44,0.9357563310751882,8.806058120619365
44,2020-03-06,3,71.97239755232968,5.933244331413002,True,45,1.014356734655852,8.806058120619365
45,2020-03-07,3,71.97239755232968,5.933244331413002,True,46,1.0988955755629692,8.806058120619365
46,2020-03-08,3,71.97239755232968,5.933244331413002,True,47,1.1897076708547514,8.806058120619365
47,2020-03-09,1,71.97239755232968,5.933244331413002,True,48,1.2871273396971756,8.806058120619365
48,2020-03-10,1,71.97239755232968,5.933244331413002,True,49,1.3914845960316993,8.806058120619365
49,2020-03-11,1,71.97239755232968,5.933244331413002,True,50,1.5031007604121434,8.806058120619365
50,2020-03-12,1,71.97239755232968,5.933244331413002,True,51,1.6222834823856036,8.806058120619365
51,2020-03-13,1,71.97239755232968,5.933244331413002,True,52,1.7493211825290458,8.806058120619365
52,2020-03-14,1,71.97239755232968,5.933244331413002,True,53,1.8844769451654395,8.806058120619365
53,2020-03-15,1,71.97239755232968,5.933244331413002,True,54,2.0279819188371753,8.806058120619365
54,2020-03-16,3,71.97239755232968,5.933244331413002,True,55,2.180028311474751,8.806058120619365
55,2020-03-17,3,71.97239755232968,5.933244331413002,True,56,2.3407621001537238,8.806058120619365
56,2020-03-18,3,71.97239755232968,5.933244331413002,True,57,2.5102756102312016,8.806058120619365
