,Report_Date,France_guadeloupe_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.62095708032126,75.97351412006337,True,1,0.0018157719395441873,151.94316216319135
1,2020-01-23,0,64.62095708032126,75.97351412006337,True,2,0.0021698742588111327,151.94316216319135
2,2020-01-24,0,64.62095708032126,75.97351412006337,True,3,0.0025930305765208485,151.94316216319135
3,2020-01-25,0,64.62095708032126,75.97351412006337,True,4,0.0030987067069717347,151.94316216319135
4,2020-01-26,0,64.62095708032126,75.97351412006337,True,5,0.0037029941378170124,151.94316216319135
5,2020-01-27,0,64.62095708032126,75.97351412006337,True,6,0.004425121912656073,151.94316216319135
6,2020-01-28,0,64.62095708032126,75.97351412006337,True,7,0.005288068267047314,151.94316216319135
7,2020-01-29,0,64.62095708032126,75.97351412006337,True,8,0.0063192914405116015,151.94316216319135
8,2020-01-30,0,64.62095708032126,75.97351412006337,True,9,0.007551602861529789,151.94316216319135
9,2020-01-31,0,64.62095708032126,75.97351412006337,True,10,0.00902421040735984,151.94316216319135
10,2020-02-01,0,64.62095708032126,75.97351412006337,True,11,0.010783964815712515,151.94316216319135
11,2020-02-02,0,64.62095708032126,75.97351412006337,True,12,0.012886848737195578,151.94316216319135
12,2020-02-03,0,64.62095708032126,75.97351412006337,True,13,0.015399755563171228,151.94316216319135
13,2020-02-04,0,64.62095708032126,75.97351412006337,True,14,0.018402614276815808,151.94316216319135
14,2020-02-05,0,64.62095708032126,75.97351412006337,True,15,0.021990927431794538,151.94316216319135
15,2020-02-06,0,64.62095708032126,75.97351412006337,True,16,0.026278802288664273,151.94316216319135
16,2020-02-07,0,64.62095708032126,75.97351412006337,True,17,0.03140257051684365,151.94316216319135
17,2020-02-08,0,64.62095708032126,75.97351412006337,True,18,0.03752511014861288,151.94316216319135
18,2020-02-09,0,64.62095708032126,75.97351412006337,True,19,0.04484100517505229,151.94316216319135
19,2020-02-10,0,64.62095708032126,75.97351412006337,True,20,0.05358270391042469,151.94316216319135
20,2020-02-11,0,64.62095708032126,75.97351412006337,True,21,0.06402786772290582,151.94316216319135
21,2020-02-12,0,64.62095708032126,75.97351412006337,True,22,0.0765081377382638,151.94316216319135
22,2020-02-13,0,64.62095708032126,75.97351412006337,True,23,0.0914195895769021,151.94316216319135
23,2020-02-14,0,64.62095708032126,75.97351412006337,True,24,0.10923519609580906,151.94316216319135
24,2020-02-15,0,64.62095708032126,75.97351412006337,True,25,0.13051967658189648,151.94316216319135
25,2020-02-16,0,64.62095708032126,75.97351412006337,True,26,0.1559471790581962,151.94316216319135
26,2020-02-17,0,64.62095708032126,75.97351412006337,True,27,0.18632232151845005,151.94316216319135
27,2020-02-18,0,64.62095708032126,75.97351412006337,True,28,0.2226052091399971,151.94316216319135
28,2020-02-19,0,64.62095708032126,75.97351412006337,True,29,0.2659411487925353,151.94316216319135
29,2020-02-20,0,64.62095708032126,75.97351412006337,True,30,0.3176959000232763,151.94316216319135
30,2020-02-21,0,64.62095708032126,75.97351412006337,True,31,0.3794974330212896,151.94316216319135
31,2020-02-22,0,64.62095708032126,75.97351412006337,True,32,0.45328530755764734,151.94316216319135
32,2020-02-23,0,64.62095708032126,75.97351412006337,True,33,0.5413689394640036,151.94316216319135
33,2020-02-24,0,64.62095708032126,75.97351412006337,True,34,0.6464961769969884,151.94316216319135
34,2020-02-25,0,64.62095708032126,75.97351412006337,True,35,0.7719337585062347,151.94316216319135
35,2020-02-26,0,64.62095708032126,75.97351412006337,True,36,0.9215613493344308,151.94316216319135
36,2020-02-27,0,64.62095708032126,75.97351412006337,True,37,1.099980935582555,151.94316216319135
37,2020-02-28,0,64.62095708032126,75.97351412006337,True,38,1.3126433493218783,151.94316216319135
38,2020-02-29,0,64.62095708032126,75.97351412006337,True,39,1.56599356210185,151.94316216319135
39,2020-03-01,0,64.62095708032126,75.97351412006337,True,40,1.8676360379703856,151.94316216319135
40,2020-03-02,0,64.62095708032126,75.97351412006337,True,41,2.2265207828822837,151.94316216319135
41,2020-03-03,0,64.62095708032126,75.97351412006337,True,42,2.653149629066393,151.94316216319135
42,2020-03-04,0,64.62095708032126,75.97351412006337,True,43,3.159800574548057,151.94316216319135
43,2020-03-05,0,64.62095708032126,75.97351412006337,True,44,3.760765438745369,151.94316216319135
44,2020-03-06,0,64.62095708032126,75.97351412006337,True,45,4.472592431663426,151.94316216319135
45,2020-03-07,0,64.62095708032126,75.97351412006337,True,46,5.314320175843111,151.94316216319135
46,2020-03-08,0,64.62095708032126,75.97351412006337,True,47,6.307682984911972,151.94316216319135
47,2020-03-09,0,64.62095708032126,75.97351412006337,True,48,7.477258588821524,151.94316216319135
48,2020-03-10,0,64.62095708032126,75.97351412006337,True,49,8.850519005688323,151.94316216319135
49,2020-03-11,0,64.62095708032126,75.97351412006337,True,50,10.457733290628369,151.94316216319135
50,2020-03-12,0,64.62095708032126,75.97351412006337,True,51,12.331658504132754,151.94316216319135
51,2020-03-13,1,64.62095708032126,75.97351412006337,True,52,14.506944494581166,151.94316216319135
52,2020-03-14,1,64.62095708032126,75.97351412006337,True,53,17.019172373074586,151.94316216319135
53,2020-03-15,3,64.62095708032126,75.97351412006337,True,54,19.903450797667084,151.94316216319135
54,2020-03-16,6,64.62095708032126,75.97351412006337,True,55,23.192514646911693,151.94316216319135
55,2020-03-17,18,64.62095708032126,75.97351412006337,True,56,26.914314039976425,151.94316216319135
56,2020-03-18,27,64.62095708032126,75.97351412006337,True,57,31.089153045446558,151.94316216319135
57,2020-03-19,33,64.62095708032126,75.97351412006337,True,58,35.72653704988598,151.94316216319135
58,2020-03-20,45,64.62095708032126,75.97351412006337,True,59,40.822006965043435,151.94316216319135
59,2020-03-21,53,64.62095708032126,75.97351412006337,True,60,46.3543562858381,151.94316216319135
60,2020-03-22,58,64.62095708032126,75.97351412006337,True,61,52.28371000779287,151.94316216319135
61,2020-03-23,62,64.62095708032126,75.97351412006337,True,62,58.550952356420474,151.94316216319135
62,2020-03-24,62,64.62095708032126,75.97351412006337,True,63,65.0788891926019,151.94316216319135
63,2020-03-25,73,64.62095708032126,75.97351412006337,True,64,71.77531068445641,151.94316216319135
64,2020-03-26,73,64.62095708032126,75.97351412006337,True,65,78.53780869266535,151.94316216319135
65,2020-03-27,73,64.62095708032126,75.97351412006337,True,66,85.25986977546022,151.94316216319135
66,2020-03-28,102,64.62095708032126,75.97351412006337,True,67,91.83749988665093,151.94316216319135
67,2020-03-29,106,64.62095708032126,75.97351412006337,True,68,98.17552156298898,151.94316216319135
68,2020-03-30,106,64.62095708032126,75.97351412006337,True,69,104.19275572981711,151.94316216319135
69,2020-03-31,114,64.62095708032126,75.97351412006337,True,70,109.82553514520002,151.94316216319135
70,2020-04-01,125,64.62095708032126,75.97351412006337,True,71,115.02932200443107,151.94316216319135
71,2020-04-02,128,64.62095708032126,75.97351412006337,True,72,119.77852636666978,151.94316216319135
72,2020-04-03,130,64.62095708032126,75.97351412006337,True,73,124.06486854882499,151.94316216319135
73,2020-04-04,134,64.62095708032126,75.97351412006337,True,74,127.89475890063487,151.94316216319135
74,2020-04-05,135,64.62095708032126,75.97351412006337,True,75,131.28618429151155,151.94316216319135
75,2020-04-06,135,64.62095708032126,75.97351412006337,True,76,134.2655220804076,151.94316216319135
76,2020-04-07,139,64.62095708032126,75.97351412006337,True,77,136.86458945916416,151.94316216319135
77,2020-04-08,141,64.62095708032126,75.97351412006337,True,78,139.11811475628073,151.94316216319135
78,2020-04-09,141,64.62095708032126,75.97351412006337,True,79,141.06171170453678,151.94316216319135
79,2020-04-10,143,64.62095708032126,75.97351412006337,True,80,142.73035921154968,151.94316216319135
80,2020-04-11,143,64.62095708032126,75.97351412006337,True,81,144.1573393653941,151.94316216319135
81,2020-04-12,143,64.62095708032126,75.97351412006337,True,82,145.3735609971784,151.94316216319135
82,2020-04-13,143,64.62095708032126,75.97351412006337,True,83,146.40718857207798,151.94316216319135
83,2020-04-14,145,64.62095708032126,75.97351412006337,True,84,147.2834999982479,151.94316216319135
84,2020-04-15,145,64.62095708032126,75.97351412006337,True,85,148.02490684147935,151.94316216319135
85,2020-04-16,145,64.62095708032126,75.97351412006337,True,86,148.65108265871916,151.94316216319135
86,2020-04-17,145,64.62095708032126,75.97351412006337,True,87,149.17915736354593,151.94316216319135
87,2020-04-18,148,64.62095708032126,75.97351412006337,True,88,149.62394644128793,151.94316216319135
88,2020-04-19,148,64.62095708032126,75.97351412006337,True,89,149.9981929105763,151.94316216319135
89,2020-04-20,148,64.62095708032126,75.97351412006337,True,90,150.31280710459933,151.94316216319135
90,2020-04-21,148,64.62095708032126,75.97351412006337,True,91,150.57709478504646,151.94316216319135
91,2020-04-22,148,64.62095708032126,75.97351412006337,True,92,150.7989680754365,151.94316216319135
92,2020-04-23,148,64.62095708032126,75.97351412006337,True,93,150.98513650134817,151.94316216319135
93,2020-04-24,149,64.62095708032126,75.97351412006337,True,94,151.14127732490653,151.94316216319135
94,2020-04-25,149,64.62095708032126,75.97351412006337,True,95,151.272185591378,151.94316216319135
95,2020-04-26,149,64.62095708032126,75.97351412006337,True,96,151.38190505360893,151.94316216319135
96,2020-04-27,149,64.62095708032126,75.97351412006337,True,97,151.47384154992517,151.94316216319135
97,2020-04-28,149,64.62095708032126,75.97351412006337,True,98,151.55086059148266,151.94316216319135
98,2020-04-29,149,64.62095708032126,75.97351412006337,True,99,151.6153709452222,151.94316216319135
99,2020-04-30,151,64.62095708032126,75.97351412006337,True,100,151.66939593507,151.94316216319135
100,2020-05-01,152,64.62095708032126,75.97351412006337,True,101,151.71463406623536,151.94316216319135
101,2020-05-02,152,64.62095708032126,75.97351412006337,True,102,151.75251043211546,151.94316216319135
102,2020-05-03,152,64.62095708032126,75.97351412006337,True,103,151.7842202080608,151.94316216319135
103,2020-05-04,152,64.62095708032126,75.97351412006337,True,104,151.81076538223985,151.94316216319135
104,2020-05-05,152,64.62095708032126,75.97351412006337,True,105,151.83298572778554,151.94316216319135
105,2020-05-06,152,64.62095708032126,75.97351412006337,True,106,151.85158488596318,151.94316216319135
106,2020-05-07,153,64.62095708032126,75.97351412006337,True,107,151.86715230893535,151.94316216319135
107,2020-05-08,154,64.62095708032126,75.97351412006337,True,108,151.88018170317144,151.94316216319135
108,2020-05-09,154,64.62095708032126,75.97351412006337,True,109,151.89108652024117,151.94316216319135
109,2020-05-10,154,64.62095708032126,75.97351412006337,True,110,151.9002129597527,151.94316216319135
110,2020-05-11,154,64.62095708032126,75.97351412006337,True,111,151.90785087844657,151.94316216319135
111,2020-05-12,155,64.62095708032126,75.97351412006337,True,112,151.91424293873266,151.94316216319135
112,2020-05-13,155,64.62095708032126,75.97351412006337,True,113,151.9195922780815,151.94316216319135
113,2020-05-14,155,64.62095708032126,75.97351412006337,True,114,151.92406893651827,151.94316216319135
