,Report_Date,Bosnia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.98009902418545,700.3663068677988,True,1,0.01629884736240921,1326.4229970865101
1,2020-01-23,0,75.98009902418545,700.3663068677988,True,2,0.01896543338497104,1326.4229970865101
2,2020-01-24,0,75.98009902418545,700.3663068677988,True,3,0.022068281483547083,1326.4229970865101
3,2020-01-25,0,75.98009902418545,700.3663068677988,True,4,0.0256787631081798,1326.4229970865101
4,2020-01-26,0,75.98009902418545,700.3663068677988,True,5,0.02987992504912482,1326.4229970865101
5,2020-01-27,0,75.98009902418545,700.3663068677988,True,6,0.03476839904932514,1326.4229970865101
6,2020-01-28,0,75.98009902418545,700.3663068677988,True,7,0.040456623644180366,1326.4229970865101
7,2020-01-29,0,75.98009902418545,700.3663068677988,True,8,0.04707542924049709,1326.4229970865101
8,2020-01-30,0,75.98009902418545,700.3663068677988,True,9,0.05477704576733368,1326.4229970865101
9,2020-01-31,0,75.98009902418545,700.3663068677988,True,10,0.06373860190474342,1326.4229970865101
10,2020-02-01,0,75.98009902418545,700.3663068677988,True,11,0.07416619614030405,1326.4229970865101
11,2020-02-02,0,75.98009902418545,700.3663068677988,True,12,0.08629963297050441,1326.4229970865101
12,2020-02-03,0,75.98009902418545,700.3663068677988,True,13,0.10041793274708564,1326.4229970865101
13,2020-02-04,0,75.98009902418545,700.3663068677988,True,14,0.116845741305677,1326.4229970865101
14,2020-02-05,0,75.98009902418545,700.3663068677988,True,15,0.13596078599650563,1326.4229970865101
15,2020-02-06,0,75.98009902418545,700.3663068677988,True,16,0.15820254851581197,1326.4229970865101
16,2020-02-07,0,75.98009902418545,700.3663068677988,True,17,0.18408235253187316,1326.4229970865101
17,2020-02-08,0,75.98009902418545,700.3663068677988,True,18,0.21419509610948567,1326.4229970865101
18,2020-02-09,0,75.98009902418545,700.3663068677988,True,19,0.24923289604831173,1326.4229970865101
19,2020-02-10,0,75.98009902418545,700.3663068677988,True,20,0.29000095425050093,1326.4229970865101
20,2020-02-11,0,75.98009902418545,700.3663068677988,True,21,0.3374360060202021,1326.4229970865101
21,2020-02-12,0,75.98009902418545,700.3663068677988,True,22,0.3926277677950084,1326.4229970865101
22,2020-02-13,0,75.98009902418545,700.3663068677988,True,23,0.45684386837669844,1326.4229970865101
23,2020-02-14,0,75.98009902418545,700.3663068677988,True,24,0.5315588245737458,1326.4229970865101
24,2020-02-15,0,75.98009902418545,700.3663068677988,True,25,0.6184877107568537,1326.4229970865101
25,2020-02-16,0,75.98009902418545,700.3663068677988,True,26,0.7196252737913889,1326.4229970865101
26,2020-02-17,0,75.98009902418545,700.3663068677988,True,27,0.8372913619421408,1326.4229970865101
27,2020-02-18,0,75.98009902418545,700.3663068677988,True,28,0.9741836705979057,1326.4229970865101
