,Report_Date,Canada_yukon_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.22249825532998,5.50550582219164,True,1,0.00013454212495989435,11.000122598578812
1,2020-01-23,0,74.22249825532998,5.50550582219164,True,2,0.0001570195626309858,11.000122598578812
2,2020-01-24,0,74.22249825532998,5.50550582219164,True,3,0.0001832521572528443,11.000122598578812
3,2020-01-25,0,74.22249825532998,5.50550582219164,True,4,0.00021386723545148274,11.000122598578812
4,2020-01-26,0,74.22249825532998,5.50550582219164,True,5,0.0002495969151944289,11.000122598578812
5,2020-01-27,0,74.22249825532998,5.50550582219164,True,6,0.00029129560762202714,11.000122598578812
6,2020-01-28,0,74.22249825532998,5.50550582219164,True,7,0.00033996044089097243,11.000122598578812
7,2020-01-29,0,74.22249825532998,5.50550582219164,True,8,0.0003967550934848606,11.000122598578812
8,2020-01-30,0,74.22249825532998,5.50550582219164,True,9,0.0004630376056237391,11.000122598578812
9,2020-01-31,0,74.22249825532998,5.50550582219164,True,10,0.0005403928320494973,11.000122598578812
10,2020-02-01,0,74.22249825532998,5.50550582219164,True,11,0.0006306703097922722,11.000122598578812
11,2020-02-02,0,74.22249825532998,5.50550582219164,True,12,0.0007360284431085332,11.000122598578812
12,2020-02-03,0,74.22249825532998,5.50550582219164,True,13,0.0008589860576109829,11.000122598578812
13,2020-02-04,0,74.22249825532998,5.50550582219164,True,14,0.001002482550146756,11.000122598578812
14,2020-02-05,0,74.22249825532998,5.50550582219164,True,15,0.0011699480642339676,11.000122598578812
15,2020-02-06,0,74.22249825532998,5.50550582219164,True,16,0.0013653853574752657,11.000122598578812
16,2020-02-07,0,74.22249825532998,5.50550582219164,True,17,0.0015934653026857483,11.000122598578812
17,2020-02-08,0,74.22249825532998,5.50550582219164,True,18,0.00185963828467252,11.000122598578812
18,2020-02-09,0,74.22249825532998,5.50550582219164,True,19,0.002170264126779717,11.000122598578812
19,2020-02-10,0,74.22249825532998,5.50550582219164,True,20,0.002532763613601613,11.000122598578812
20,2020-02-11,0,74.22249825532998,5.50550582219164,True,21,0.0029557951779649776,11.000122598578812
21,2020-02-12,0,74.22249825532998,5.50550582219164,True,22,0.0034494609019727882,11.000122598578812
22,2020-02-13,0,74.22249825532998,5.50550582219164,True,23,0.004025546655571254,11.000122598578812
23,2020-02-14,0,74.22249825532998,5.50550582219164,True,24,0.004697801975245212,11.000122598578812
24,2020-02-15,0,74.22249825532998,5.50550582219164,True,25,0.005482266185141457,11.000122598578812
