,Report_Date,Fiji_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.34448169703857,9.178087915274542,True,1,0.00021522409424772006,18.354996535010347
1,2020-01-23,0,72.34448169703857,9.178087915274542,True,2,0.00025235027493060815,18.354996535010347
2,2020-01-24,0,72.34448169703857,9.178087915274542,True,3,0.0002958806227638906,18.354996535010347
3,2020-01-25,0,72.34448169703857,9.178087915274542,True,4,0.0003469198008146263,18.354996535010347
4,2020-01-26,0,72.34448169703857,9.178087915274542,True,5,0.000406763002412022,18.354996535010347
5,2020-01-27,0,72.34448169703857,9.178087915274542,True,6,0.00047692880802497494,18.354996535010347
6,2020-01-28,0,72.34448169703857,9.178087915274542,True,7,0.0005591977062606664,18.354996535010347
7,2020-01-29,0,72.34448169703857,9.178087915274542,True,8,0.0006556572546458329,18.354996535010347
8,2020-01-30,0,72.34448169703857,9.178087915274542,True,9,0.0007687550236268983,18.354996535010347
9,2020-01-31,0,72.34448169703857,9.178087915274542,True,10,0.0009013606637428967,18.354996535010347
10,2020-02-01,0,72.34448169703857,9.178087915274542,True,11,0.00105683866607005,18.354996535010347
11,2020-02-02,0,72.34448169703857,9.178087915274542,True,12,0.0012391336555077125,18.354996535010347
12,2020-02-03,0,72.34448169703857,9.178087915274542,True,13,0.0014528703719156868,18.354996535010347
13,2020-02-04,0,72.34448169703857,9.178087915274542,True,14,0.0017034708632598268,18.354996535010347
14,2020-02-05,0,72.34448169703857,9.178087915274542,True,15,0.0019972918467760234,18.354996535010347
15,2020-02-06,0,72.34448169703857,9.178087915274542,True,16,0.0023417856991754513,18.354996535010347
16,2020-02-07,0,72.34448169703857,9.178087915274542,True,17,0.0027456891272067026,18.354996535010347
17,2020-02-08,0,72.34448169703857,9.178087915274542,True,18,0.0032192442594879767,18.354996535010347
18,2020-02-09,0,72.34448169703857,9.178087915274542,True,19,0.003774457705612571,18.354996535010347
19,2020-02-10,0,72.34448169703857,9.178087915274542,True,20,0.004425404067742283,18.354996535010347
20,2020-02-11,0,72.34448169703857,9.178087915274542,True,21,0.00518858148459607,18.354996535010347
21,2020-02-12,0,72.34448169703857,9.178087915274542,True,22,0.00608332806229867,18.354996535010347
