,Report_Date,Uruguay_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,75.38934722991753,369.13058088662115,True,1,0.7941259544042446,735.9228395387179
1,2020-01-23,0,0,75.38934722991753,369.13058088662115,True,2,0.870443641585198,735.9228395387179
2,2020-01-24,0,0,75.38934722991753,369.13058088662115,True,3,0.9540861796085297,735.9228395387179
3,2020-01-25,0,0,75.38934722991753,369.13058088662115,True,4,1.0457546852219235,735.9228395387179
4,2020-01-26,0,0,75.38934722991753,369.13058088662115,True,5,1.1462169996388254,735.9228395387179
5,2020-01-27,0,0,75.38934722991753,369.13058088662115,True,6,1.2563139611535177,735.9228395387179
6,2020-01-28,0,0,75.38934722991753,369.13058088662115,True,7,1.3769662517981787,735.9228395387179
7,2020-01-29,0,0,75.38934722991753,369.13058088662115,True,8,1.5091818674015907,735.9228395387179
8,2020-01-30,0,0,75.38934722991753,369.13058088662115,True,9,1.654064263997326,735.9228395387179
9,2020-01-31,0,0,75.38934722991753,369.13058088662115,True,10,1.8128212372359105,735.9228395387179
10,2020-02-01,0,0,75.38934722991753,369.13058088662115,True,11,1.9867745952484335,735.9228395387179
11,2020-02-02,0,0,75.38934722991753,369.13058088662115,True,12,2.177370689245312,735.9228395387179
12,2020-02-03,0,0,75.38934722991753,369.13058088662115,True,13,2.3861918699565057,735.9228395387179
13,2020-02-04,0,0,75.38934722991753,369.13058088662115,True,14,2.6149689417551714,735.9228395387179
14,2020-02-05,0,0,75.38934722991753,369.13058088662115,True,15,2.865594689862178,735.9228395387179
15,2020-02-06,0,0,75.38934722991753,369.13058088662115,True,16,3.140138559286745,735.9228395387179
16,2020-02-07,0,0,75.38934722991753,369.13058088662115,True,17,3.440862566972618,735.9228395387179
17,2020-02-08,0,0,75.38934722991753,369.13058088662115,True,18,3.770238530809297,735.9228395387179
18,2020-02-09,0,0,75.38934722991753,369.13058088662115,True,19,4.130966700513129,735.9228395387179
19,2020-02-10,0,0,75.38934722991753,369.13058088662115,True,20,4.525995875614881,735.9228395387179
20,2020-02-11,0,0,75.38934722991753,369.13058088662115,True,21,4.958545094584468,735.9228395387179
21,2020-02-12,0,0,75.38934722991753,369.13058088662115,True,22,5.432126976090211,735.9228395387179
22,2020-02-13,0,0,75.38934722991753,369.13058088662115,True,23,5.950572788064872,735.9228395387179
23,2020-02-14,0,0,75.38934722991753,369.13058088662115,True,24,6.518059312082935,735.9228395387179
24,2020-02-15,0,0,75.38934722991753,369.13058088662115,True,25,7.139137558894165,735.9228395387179
25,2020-02-16,0,0,75.38934722991753,369.13058088662115,True,26,7.818763375048345,735.9228395387179
26,2020-02-17,0,0,75.38934722991753,369.13058088662115,True,27,8.562329959502561,735.9228395387179
27,2020-02-18,0,0,75.38934722991753,369.13058088662115,True,28,9.375702281908644,735.9228395387179
28,2020-02-19,0,0,75.38934722991753,369.13058088662115,True,29,10.265253359770927,735.9228395387179
29,2020-02-20,0,0,75.38934722991753,369.13058088662115,True,30,11.237902308527007,735.9228395387179
30,2020-02-21,0,0,75.38934722991753,369.13058088662115,True,31,12.301154025361768,735.9228395387179
31,2020-02-22,0,0,75.38934722991753,369.13058088662115,True,32,13.46314030258841,735.9228395387179
32,2020-02-23,0,0,75.38934722991753,369.13058088662115,True,33,14.732662087945824,735.9228395387179
33,2020-02-24,0,0,75.38934722991753,369.13058088662115,True,34,16.11923251527821,735.9228395387179
34,2020-02-25,0,0,75.38934722991753,369.13058088662115,True,35,17.633120217810518,735.9228395387179
35,2020-02-26,0,0,75.38934722991753,369.13058088662115,True,36,19.285392305631248,735.9228395387179
36,2020-02-27,0,0,75.38934722991753,369.13058088662115,True,37,21.08795623714258,735.9228395387179
37,2020-02-28,0,0,75.38934722991753,369.13058088662115,True,38,23.053599639448517,735.9228395387179
38,2020-02-29,0,0,75.38934722991753,369.13058088662115,True,39,25.1960269336262,735.9228395387179
39,2020-03-01,0,0,75.38934722991753,369.13058088662115,True,40,27.529891396880906,735.9228395387179
40,2020-03-02,0,0,75.38934722991753,369.13058088662115,True,41,30.070821044952496,735.9228395387179
41,2020-03-03,0,0,75.38934722991753,369.13058088662115,True,42,32.83543644632178,735.9228395387179
42,2020-03-04,0,0,75.38934722991753,369.13058088662115,True,43,35.841358287979794,735.9228395387179
43,2020-03-05,0,0,75.38934722991753,369.13058088662115,True,44,39.10720220621711,735.9228395387179
44,2020-03-06,0,0,75.38934722991753,369.13058088662115,True,45,42.65255808333305,735.9228395387179
45,2020-03-07,0,0,75.38934722991753,369.13058088662115,True,46,46.497950704078214,735.9228395387179
46,2020-03-08,0,0,75.38934722991753,369.13058088662115,True,47,50.66477837987278,735.9228395387179
47,2020-03-09,0,0,75.38934722991753,369.13058088662115,True,48,55.17522590498104,735.9228395387179
48,2020-03-10,0,0,75.38934722991753,369.13058088662115,True,49,60.05214803273192,735.9228395387179
49,2020-03-11,0,0,75.38934722991753,369.13058088662115,True,50,65.31891958300008,735.9228395387179
50,2020-03-12,0,0,75.38934722991753,369.13058088662115,True,51,70.9992483514717,735.9228395387179
51,2020-03-13,4,4,75.38934722991753,369.13058088662115,True,52,77.11694722865137,735.9228395387179
52,2020-03-14,6,6,75.38934722991753,369.13058088662115,True,53,83.69566239772256,735.9228395387179
53,2020-03-15,8,8,75.38934722991753,369.13058088662115,True,54,90.7585552123112,735.9228395387179
54,2020-03-16,29,29,75.38934722991753,369.13058088662115,True,55,98.32793640309819,735.9228395387179
55,2020-03-17,50,50,75.38934722991753,369.13058088662115,True,56,106.42485266476523,735.9228395387179
56,2020-03-18,79,79,75.38934722991753,369.13058088662115,True,57,115.06862745824327,735.9228395387179
57,2020-03-19,94,94,75.38934722991753,369.13058088662115,True,58,124.27636003448333,735.9228395387179
58,2020-03-20,110,110,75.38934722991753,369.13058088662115,True,59,134.0623892244398,735.9228395387179
59,2020-03-21,135,135,75.38934722991753,369.13058088662115,True,60,144.4377313896489,735.9228395387179
60,2020-03-22,158,158,75.38934722991753,369.13058088662115,True,61,155.4095049900433,735.9228395387179
61,2020-03-23,162,162,75.38934722991753,369.13058088662115,True,62,166.9803573540671,735.9228395387179
62,2020-03-24,189,189,75.38934722991753,369.13058088662115,True,63,179.14791223529915,735.9228395387179
63,2020-03-25,217,217,75.38934722991753,369.13058088662115,True,64,191.90425936925357,735.9228395387179
64,2020-03-26,238,238,75.38934722991753,369.13058088662115,True,65,205.23550922945662,735.9228395387179
65,2020-03-27,274,274,75.38934722991753,369.13058088662115,True,66,219.12143723380984,735.9228395387179
66,2020-03-28,303,302,75.38934722991753,369.13058088662115,True,67,233.5352414926551,735.9228395387179
67,2020-03-29,309,308,75.38934722991753,369.13058088662115,True,68,248.4434365853119,735.9228395387179
68,2020-03-30,320,319,75.38934722991753,369.13058088662115,True,69,263.8059026494938,735.9228395387179
