,Report_Date,Spain_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.57785144049481,106875.7783020027,True,1,2.5104882670056647,191627.40117868173
1,2020-01-23,0,71.57785144049481,106875.7783020027,True,2,2.948569145060135,191627.40117868173
2,2020-01-24,0,71.57785144049481,106875.7783020027,True,3,3.4630940156621053,191627.40117868173
3,2020-01-25,0,71.57785144049481,106875.7783020027,True,4,4.0674016899940195,191627.40117868173
4,2020-01-26,0,71.57785144049481,106875.7783020027,True,5,4.777158307337293,191627.40117868173
5,2020-01-27,0,71.57785144049481,106875.7783020027,True,6,5.610763334785343,191627.40117868173
6,2020-01-28,0,71.57785144049481,106875.7783020027,True,7,6.589826367464572,191627.40117868173
7,2020-01-29,0,71.57785144049481,106875.7783020027,True,8,7.7397270661098245,191627.40117868173
8,2020-01-30,0,71.57785144049481,106875.7783020027,True,9,9.090272714813455,191627.40117868173
9,2020-01-31,0,71.57785144049481,106875.7783020027,True,10,10.676470399623575,191627.40117868173
10,2020-02-01,1,71.57785144049481,106875.7783020027,True,11,12.539433762318321,191627.40117868173
11,2020-02-02,1,71.57785144049481,106875.7783020027,True,12,14.727447747820246,191627.40117868173
12,2020-02-03,1,71.57785144049481,106875.7783020027,True,13,17.297218825549216,191627.40117868173
13,2020-02-04,1,71.57785144049481,106875.7783020027,True,14,20.315342926264737,191627.40117868173
14,2020-02-05,1,71.57785144049481,106875.7783020027,True,15,23.86002891511505,191627.40117868173
15,2020-02-06,1,71.57785144049481,106875.7783020027,True,16,28.023121956518832,191627.40117868173
16,2020-02-07,1,71.57785144049481,106875.7783020027,True,17,32.91247877718114,191627.40117868173
17,2020-02-08,1,71.57785144049481,106875.7783020027,True,18,38.65475578538598,191627.40117868173
18,2020-02-09,2,71.57785144049481,106875.7783020027,True,19,45.39868147194433,191627.40117868173
19,2020-02-10,2,71.57785144049481,106875.7783020027,True,20,53.31889674758314,191627.40117868173
20,2020-02-11,2,71.57785144049481,106875.7783020027,True,21,62.62046114630804,191627.40117868173
21,2020-02-12,2,71.57785144049481,106875.7783020027,True,22,73.54413946777345,191627.40117868173
22,2020-02-13,2,71.57785144049481,106875.7783020027,True,23,86.37260281118813,191627.40117868173
23,2020-02-14,2,71.57785144049481,106875.7783020027,True,24,101.43770048275903,191627.40117868173
24,2020-02-15,2,71.57785144049481,106875.7783020027,True,25,119.12898540054717,191627.40117868173
25,2020-02-16,2,71.57785144049481,106875.7783020027,True,26,139.9037058853053,191627.40117868173
26,2020-02-17,2,71.57785144049481,106875.7783020027,True,27,164.29851166805682,191627.40117868173
27,2020-02-18,2,71.57785144049481,106875.7783020027,True,28,192.9431621549248,191627.40117868173
28,2020-02-19,2,71.57785144049481,106875.7783020027,True,29,226.5765710760368,191627.40117868173
29,2020-02-20,2,71.57785144049481,106875.7783020027,True,30,266.06557420871616,191627.40117868173
30,2020-02-21,2,71.57785144049481,106875.7783020027,True,31,312.42686645436095,191627.40117868173
31,2020-02-22,2,71.57785144049481,106875.7783020027,True,32,366.8526215948305,191627.40117868173
32,2020-02-23,2,71.57785144049481,106875.7783020027,True,33,430.740382775239,191627.40117868173
33,2020-02-24,2,71.57785144049481,106875.7783020027,True,34,505.7278940195873,191627.40117868173
34,2020-02-25,6,71.57785144049481,106875.7783020027,True,35,593.7336321954975,191627.40117868173
35,2020-02-26,13,71.57785144049481,106875.7783020027,True,36,697.0038932868033,191627.40117868173
36,2020-02-27,15,71.57785144049481,106875.7783020027,True,37,818.1673838775439,191627.40117868173
37,2020-02-28,32,71.57785144049481,106875.7783020027,True,38,960.2983639326814,191627.40117868173
38,2020-02-29,45,71.57785144049481,106875.7783020027,True,39,1126.989473376953,191627.40117868173
39,2020-03-01,84,71.57785144049481,106875.7783020027,True,40,1322.4354423529703,191627.40117868173
40,2020-03-02,120,71.57785144049481,106875.7783020027,True,41,1551.5289185309364,191627.40117868173
41,2020-03-03,165,71.57785144049481,106875.7783020027,True,42,1819.9696234615503,191627.40117868173
42,2020-03-04,222,71.57785144049481,106875.7783020027,True,43,2134.387944663214,191627.40117868173
43,2020-03-05,259,71.57785144049481,106875.7783020027,True,44,2502.4838414726573,191627.40117868173
44,2020-03-06,400,71.57785144049481,106875.7783020027,True,45,2933.181538145303,191627.40117868173
45,2020-03-07,500,71.57785144049481,106875.7783020027,True,46,3436.79982879677,191627.40117868173
46,2020-03-08,673,71.57785144049481,106875.7783020027,True,47,4025.23683839847,191627.40117868173
47,2020-03-09,1073,71.57785144049481,106875.7783020027,True,48,4712.166664522921,191627.40117868173
48,2020-03-10,1695,71.57785144049481,106875.7783020027,True,49,5513.243337845033,191627.40117868173
49,2020-03-11,2277,71.57785144049481,106875.7783020027,True,50,6446.304841154869,191627.40117868173
50,2020-03-12,2277,71.57785144049481,106875.7783020027,True,51,7531.566366785653,191627.40117868173
51,2020-03-13,5232,71.57785144049481,106875.7783020027,True,52,8791.787436568002,191627.40117868173
52,2020-03-14,6391,71.57785144049481,106875.7783020027,True,53,10252.391875174151,191627.40117868173
53,2020-03-15,7798,71.57785144049481,106875.7783020027,True,54,11941.512947190218,191627.40117868173
54,2020-03-16,9942,71.57785144049481,106875.7783020027,True,55,13889.92846842483,191627.40117868173
55,2020-03-17,11748,71.57785144049481,106875.7783020027,True,56,16130.842924488757,191627.40117868173
56,2020-03-18,13910,71.57785144049481,106875.7783020027,True,57,18699.46657029802,191627.40117868173
57,2020-03-19,17963,71.57785144049481,106875.7783020027,True,58,21632.336737434856,191627.40117868173
58,2020-03-20,20410,71.57785144049481,106875.7783020027,True,59,24966.32644032702,191627.40117868173
59,2020-03-21,25374,71.57785144049481,106875.7783020027,True,60,28737.29283584333,191627.40117868173
60,2020-03-22,28768,71.57785144049481,106875.7783020027,True,61,32978.33659116787,191627.40117868173
61,2020-03-23,35136,71.57785144049481,106875.7783020027,True,62,37717.676032245436,191627.40117868173
62,2020-03-24,39885,71.57785144049481,106875.7783020027,True,63,42976.189131834784,191627.40117868173
63,2020-03-25,49515,71.57785144049481,106875.7783020027,True,64,48764.74124691381,191627.40117868173
64,2020-03-26,57786,71.57785144049481,106875.7783020027,True,65,55081.49182647564,191627.40117868173
65,2020-03-27,65719,71.57785144049481,106875.7783020027,True,66,61909.4480168018,191627.40117868173
66,2020-03-28,73235,71.57785144049481,106875.7783020027,True,67,69214.59019521419,191627.40117868173
67,2020-03-29,80110,71.57785144049481,106875.7783020027,True,68,76944.91326970702,191627.40117868173
68,2020-03-30,87956,71.57785144049481,106875.7783020027,True,69,85030.68877342284,191627.40117868173
69,2020-03-31,95923,71.57785144049481,106875.7783020027,True,70,93386.14571384736,191627.40117868173
70,2020-04-01,104118,71.57785144049481,106875.7783020027,True,71,101912.5980982985,191627.40117868173
71,2020-04-02,112065,71.57785144049481,106875.7783020027,True,72,110502.83903836,191627.40117868173
72,2020-04-03,119199,71.57785144049481,106875.7783020027,True,73,119046.41706434319,191627.40117868173
73,2020-04-04,126168,71.57785144049481,106875.7783020027,True,74,127435.2577151502,191627.40117868173
74,2020-04-05,131646,71.57785144049481,106875.7783020027,True,75,135569.0316786786,191627.40117868173
