,Report_Date,Sri Lanka_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,112.70692464598264,1035.7896935416604,False,1,0.9181381963211409,2071.5793870833204
1,2020-01-23,0,112.70692464598264,1035.7896935416604,False,2,0.9838120202242633,2071.5793870833204
2,2020-01-24,0,112.70692464598264,1035.7896935416604,False,3,1.054181058174187,2071.5793870833204
3,2020-01-25,0,112.70692464598264,1035.7896935416604,False,4,1.1295806304369225,2071.5793870833204
4,2020-01-26,0,112.70692464598264,1035.7896935416604,False,5,1.2103699525047262,2071.5793870833204
5,2020-01-27,1,112.70692464598264,1035.7896935416604,False,6,1.2969338301131446,2071.5793870833204
6,2020-01-28,1,112.70692464598264,1035.7896935416604,False,7,1.3896844733412776,2071.5793870833204
7,2020-01-29,1,112.70692464598264,1035.7896935416604,False,8,1.4890634379899912,2071.5793870833204
8,2020-01-30,1,112.70692464598264,1035.7896935416604,False,9,1.595543702971068,2071.5793870833204
9,2020-01-31,1,112.70692464598264,1035.7896935416604,False,10,1.709631893010031,2071.5793870833204
10,2020-02-01,1,112.70692464598264,1035.7896935416604,False,11,1.8318706565677787,2071.5793870833204
11,2020-02-02,1,112.70692464598264,1035.7896935416604,False,12,1.9628412095224534,2071.5793870833204
12,2020-02-03,1,112.70692464598264,1035.7896935416604,False,13,2.1031660558241185,2071.5793870833204
13,2020-02-04,1,112.70692464598264,1035.7896935416604,False,14,2.2535118970419172,2071.5793870833204
14,2020-02-05,1,112.70692464598264,1035.7896935416604,False,15,2.414592743467119,2071.5793870833204
15,2020-02-06,1,112.70692464598264,1035.7896935416604,False,16,2.5871732402165355,2071.5793870833204
16,2020-02-07,1,112.70692464598264,1035.7896935416604,False,17,2.7720722225995127,2071.5793870833204
17,2020-02-08,1,112.70692464598264,1035.7896935416604,False,18,2.9701665158682076,2071.5793870833204
18,2020-02-09,1,112.70692464598264,1035.7896935416604,False,19,3.1823949953648083,2071.5793870833204
19,2020-02-10,1,112.70692464598264,1035.7896935416604,False,20,3.409762924010008,2071.5793870833204
20,2020-02-11,1,112.70692464598264,1035.7896935416604,False,21,3.6533465850431868,2071.5793870833204
21,2020-02-12,1,112.70692464598264,1035.7896935416604,False,22,3.914298228924425,2071.5793870833204
22,2020-02-13,1,112.70692464598264,1035.7896935416604,False,23,4.193851354339023,2071.5793870833204
23,2020-02-14,1,112.70692464598264,1035.7896935416604,False,24,4.493326344303114,2071.5793870833204
24,2020-02-15,1,112.70692464598264,1035.7896935416604,False,25,4.814136479449596,2071.5793870833204
25,2020-02-16,1,112.70692464598264,1035.7896935416604,False,26,5.157794351671156,2071.5793870833204
26,2020-02-17,1,112.70692464598264,1035.7896935416604,False,27,5.525918702404386,2071.5793870833204
27,2020-02-18,1,112.70692464598264,1035.7896935416604,False,28,5.920241710946879,2071.5793870833204
28,2020-02-19,1,112.70692464598264,1035.7896935416604,False,29,6.342616759297074,2071.5793870833204
29,2020-02-20,1,112.70692464598264,1035.7896935416604,False,30,6.795026701081154,2071.5793870833204
30,2020-02-21,1,112.70692464598264,1035.7896935416604,False,31,7.279592663167104,2071.5793870833204
31,2020-02-22,1,112.70692464598264,1035.7896935416604,False,32,7.798583409544241,2071.5793870833204
32,2020-02-23,1,112.70692464598264,1035.7896935416604,False,33,8.354425297945518,2071.5793870833204
33,2020-02-24,1,112.70692464598264,1035.7896935416604,False,34,8.949712860483348,2071.5793870833204
34,2020-02-25,1,112.70692464598264,1035.7896935416604,False,35,9.587220040227907,2071.5793870833204
35,2020-02-26,1,112.70692464598264,1035.7896935416604,False,36,10.269912116144285,2071.5793870833204
36,2020-02-27,1,112.70692464598264,1035.7896935416604,False,37,11.000958349080737,2071.5793870833204
37,2020-02-28,1,112.70692464598264,1035.7896935416604,False,38,11.78374538151749,2071.5793870833204
38,2020-02-29,1,112.70692464598264,1035.7896935416604,False,39,12.621891423489789,2071.5793870833204
