,Report_Date,Sri Lanka_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
39,2020-03-01,1,112.70692464598264,1035.7896935416604,False,40,13.519261256427294,2071.5793870833204
40,2020-03-02,1,112.70692464598264,1035.7896935416604,False,41,14.479982085534226,2071.5793870833204
41,2020-03-03,1,112.70692464598264,1035.7896935416604,False,42,15.508460269688415,2071.5793870833204
42,2020-03-04,1,112.70692464598264,1035.7896935416604,False,43,16.60939895557122,2071.5793870833204
43,2020-03-05,1,112.70692464598264,1035.7896935416604,False,44,17.78781663974958,2071.5793870833204
44,2020-03-06,1,112.70692464598264,1035.7896935416604,False,45,19.04906667859827,2071.5793870833204
45,2020-03-07,1,112.70692464598264,1035.7896935416604,False,46,20.39885776114358,2071.5793870833204
46,2020-03-08,1,112.70692464598264,1035.7896935416604,False,47,21.843275353980378,2071.5793870833204
47,2020-03-09,1,112.70692464598264,1035.7896935416604,False,48,23.388804120199413,2071.5793870833204
48,2020-03-10,1,112.70692464598264,1035.7896935416604,False,49,25.042351305578737,2071.5793870833204
49,2020-03-11,2,112.70692464598264,1035.7896935416604,False,50,26.81127107494067,2071.5793870833204
50,2020-03-12,2,112.70692464598264,1035.7896935416604,False,51,28.703389769335356,2071.5793870833204
51,2020-03-13,6,112.70692464598264,1035.7896935416604,False,52,30.727032040343353,2071.5793870833204
52,2020-03-14,10,112.70692464598264,1035.7896935416604,False,53,32.891047801034105,2071.5793870833204
53,2020-03-15,18,112.70692464598264,1035.7896935416604,False,54,35.204839913698294,2071.5793870833204
54,2020-03-16,28,112.70692464598264,1035.7896935416604,False,55,37.6783925120937,2071.5793870833204
55,2020-03-17,44,112.70692464598264,1035.7896935416604,False,56,40.32229983029856,2071.5793870833204
56,2020-03-18,51,112.70692464598264,1035.7896935416604,False,57,43.14779538103271,2071.5793870833204
57,2020-03-19,60,112.70692464598264,1035.7896935416604,False,58,46.166781293159154,2071.5793870833204
58,2020-03-20,73,112.70692464598264,1035.7896935416604,False,59,49.391857580692154,2071.5793870833204
59,2020-03-21,77,112.70692464598264,1035.7896935416604,False,60,52.83635107369801,2071.5793870833204
60,2020-03-22,82,112.70692464598264,1035.7896935416604,False,61,56.514343694690716,2071.5793870833204
61,2020-03-23,97,112.70692464598264,1035.7896935416604,False,62,60.44069971223771,2071.5793870833204
62,2020-03-24,102,112.70692464598264,1035.7896935416604,False,63,64.63109154630698,2071.5793870833204
63,2020-03-25,102,112.70692464598264,1035.7896935416604,False,64,69.10202363727738,2071.5793870833204
64,2020-03-26,106,112.70692464598264,1035.7896935416604,False,65,73.87085382248637,2071.5793870833204
65,2020-03-27,106,112.70692464598264,1035.7896935416604,False,66,78.95581159081866,2071.5793870833204
66,2020-03-28,113,112.70692464598264,1035.7896935416604,False,67,84.37601250743948,2071.5793870833204
67,2020-03-29,117,112.70692464598264,1035.7896935416604,False,68,90.15146801785085,2071.5793870833204
68,2020-03-30,122,112.70692464598264,1035.7896935416604,False,69,96.30308975376937,2071.5793870833204
69,2020-03-31,143,112.70692464598264,1035.7896935416604,False,70,102.85268737397793,2071.5793870833204
70,2020-04-01,146,112.70692464598264,1035.7896935416604,False,71,109.8229588827409,2071.5793870833204
71,2020-04-02,151,112.70692464598264,1035.7896935416604,False,72,117.23747227850095,2071.5793870833204
72,2020-04-03,159,112.70692464598264,1035.7896935416604,False,73,125.12063729876549,2071.5793870833204
73,2020-04-04,166,112.70692464598264,1035.7896935416604,False,74,133.49766594630432,2071.5793870833204
74,2020-04-05,176,112.70692464598264,1035.7896935416604,False,75,142.39452041056657,2071.5793870833204
75,2020-04-06,178,112.70692464598264,1035.7896935416604,False,76,151.8378469408027,2071.5793870833204
76,2020-04-07,185,112.70692464598264,1035.7896935416604,False,77,161.8548941886617,2071.5793870833204
77,2020-04-08,189,112.70692464598264,1035.7896935416604,False,78,172.47341452361735,2071.5793870833204
78,2020-04-09,190,112.70692464598264,1035.7896935416604,False,79,183.72154684076264,2071.5793870833204
79,2020-04-10,190,112.70692464598264,1035.7896935416604,False,80,195.62767943416455,2071.5793870833204
80,2020-04-11,198,112.70692464598264,1035.7896935416604,False,81,208.22029160750336,2071.5793870833204
81,2020-04-12,210,112.70692464598264,1035.7896935416604,False,82,221.52777284481562,2071.5793870833204
82,2020-04-13,217,112.70692464598264,1035.7896935416604,False,83,235.5782185755892,2071.5793870833204
83,2020-04-14,233,112.70692464598264,1035.7896935416604,False,84,250.39920184770662,2071.5793870833204
84,2020-04-15,238,112.70692464598264,1035.7896935416604,False,85,266.0175205755865,2071.5793870833204
85,2020-04-16,238,112.70692464598264,1035.7896935416604,False,86,282.4589204648946,2071.5793870833204
86,2020-04-17,244,112.70692464598264,1035.7896935416604,False,87,299.7477942331059,2071.5793870833204
87,2020-04-18,254,112.70692464598264,1035.7896935416604,False,88,317.9068583482239,2071.5793870833204
88,2020-04-19,271,112.70692464598264,1035.7896935416604,False,89,336.9568091940092,2071.5793870833204
89,2020-04-20,304,112.70692464598264,1035.7896935416604,False,90,356.91596133307075,2071.5793870833204
90,2020-04-21,310,112.70692464598264,1035.7896935416604,False,91,377.79987136823934,2071.5793870833204
91,2020-04-22,330,112.70692464598264,1035.7896935416604,False,92,399.6209517814857,2071.5793870833204
92,2020-04-23,368,112.70692464598264,1035.7896935416604,False,93,422.38808003605334,2071.5793870833204
93,2020-04-24,420,112.70692464598264,1035.7896935416604,False,94,446.10620913308145,2071.5793870833204
94,2020-04-25,460,112.70692464598264,1035.7896935416604,False,95,470.77598668440424,2071.5793870833204
95,2020-04-26,523,112.70692464598264,1035.7896935416604,False,96,496.39339035847235,2071.5793870833204
96,2020-04-27,588,112.70692464598264,1035.7896935416604,False,97,522.9493882320706,2071.5793870833204
97,2020-04-28,619,112.70692464598264,1035.7896935416604,False,98,550.4296330893872,2071.5793870833204
98,2020-04-29,649,112.70692464598264,1035.7896935416604,False,99,578.814200004007,2071.5793870833204
99,2020-04-30,663,112.70692464598264,1035.7896935416604,False,100,608.0773765725102,2071.5793870833204
100,2020-05-01,690,112.70692464598264,1035.7896935416604,False,101,638.1875148996132,2071.5793870833204
101,2020-05-02,705,112.70692464598264,1035.7896935416604,False,102,669.1069538318282,2071.5793870833204
102,2020-05-03,718,112.70692464598264,1035.7896935416604,False,103,700.7920189789755,2071.5793870833204
103,2020-05-04,751,112.70692464598264,1035.7896935416604,False,104,733.1931067455106,2071.5793870833204
104,2020-05-05,771,112.70692464598264,1035.7896935416604,False,105,766.2548569291574,2071.5793870833204
105,2020-05-06,797,112.70692464598264,1035.7896935416604,False,106,799.9164164653587,2071.5793870833204
106,2020-05-07,824,112.70692464598264,1035.7896935416604,False,107,834.1117946552464,2071.5793870833204
107,2020-05-08,835,112.70692464598264,1035.7896935416604,False,108,868.7703077844949,2071.5793870833204
108,2020-05-09,847,112.70692464598264,1035.7896935416604,False,109,903.8171085098196,2071.5793870833204
