,Report_Date,Madagascar_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,217.4453259971018,34492.143717523286,False,1,0.7279288713463902,68984.28743504654
1,2020-01-23,0,0,217.4453259971018,34492.143717523286,False,2,0.7675052748238443,68984.28743504654
2,2020-01-24,0,0,217.4453259971018,34492.143717523286,False,3,0.8092333628957498,68984.28743504654
3,2020-01-25,0,0,217.4453259971018,34492.143717523286,False,4,0.8532301152421825,68984.28743504654
4,2020-01-26,0,0,217.4453259971018,34492.143717523286,False,5,0.8996188710106048,68984.28743504654
5,2020-01-27,0,0,217.4453259971018,34492.143717523286,False,6,0.9485296745059109,68984.28743504654
6,2020-01-28,0,0,217.4453259971018,34492.143717523286,False,7,1.0000996396676824,68984.28743504654
7,2020-01-29,0,0,217.4453259971018,34492.143717523286,False,8,1.0544733343552348,68984.28743504654
8,2020-01-30,0,0,217.4453259971018,34492.143717523286,False,9,1.111803185516444,68984.28743504654
9,2020-01-31,0,0,217.4453259971018,34492.143717523286,False,10,1.1722499063747258,68984.28743504654
10,2020-02-01,0,0,217.4453259971018,34492.143717523286,False,11,1.2359829468301,68984.28743504654
11,2020-02-02,0,0,217.4453259971018,34492.143717523286,False,12,1.3031809683351665,68984.28743504654
12,2020-02-03,0,0,217.4453259971018,34492.143717523286,False,13,1.3740323445752183,68984.28743504654
13,2020-02-04,0,0,217.4453259971018,34492.143717523286,False,14,1.4487356893538264,68984.28743504654
14,2020-02-05,0,0,217.4453259971018,34492.143717523286,False,15,1.5275004131612424,68984.28743504654
15,2020-02-06,0,0,217.4453259971018,34492.143717523286,False,16,1.6105473099830834,68984.28743504654
16,2020-02-07,0,0,217.4453259971018,34492.143717523286,False,17,1.6981091759912166,68984.28743504654
17,2020-02-08,0,0,217.4453259971018,34492.143717523286,False,18,1.7904314618477934,68984.28743504654
18,2020-02-09,0,0,217.4453259971018,34492.143717523286,False,19,1.8877729604472073,68984.28743504654
19,2020-02-10,0,0,217.4453259971018,34492.143717523286,False,20,1.9904065320196542,68984.28743504654
20,2020-02-11,0,0,217.4453259971018,34492.143717523286,False,21,2.0986198686242394,68984.28743504654
21,2020-02-12,0,0,217.4453259971018,34492.143717523286,False,22,2.212716300169431,68984.28743504654
22,2020-02-13,0,0,217.4453259971018,34492.143717523286,False,23,2.3330156442144885,68984.28743504654
23,2020-02-14,0,0,217.4453259971018,34492.143717523286,False,24,2.4598551019275505,68984.28743504654
24,2020-02-15,0,0,217.4453259971018,34492.143717523286,False,25,2.5935902027047004,68984.28743504654
25,2020-02-16,0,0,217.4453259971018,34492.143717523286,False,26,2.734595800089928,68984.28743504654
26,2020-02-17,0,0,217.4453259971018,34492.143717523286,False,27,2.8832671217787813,68984.28743504654
27,2020-02-18,0,0,217.4453259971018,34492.143717523286,False,28,3.040020876639076,68984.28743504654
28,2020-02-19,0,0,217.4453259971018,34492.143717523286,False,29,3.205296421840764,68984.28743504654
29,2020-02-20,0,0,217.4453259971018,34492.143717523286,False,30,3.3795569933542384,68984.28743504654
30,2020-02-21,0,0,217.4453259971018,34492.143717523286,False,31,3.563291003252619,68984.28743504654
31,2020-02-22,0,0,217.4453259971018,34492.143717523286,False,32,3.7570134074392554,68984.28743504654
32,2020-02-23,0,0,217.4453259971018,34492.143717523286,False,33,3.961267147617328,68984.28743504654
33,2020-02-24,0,0,217.4453259971018,34492.143717523286,False,34,4.176624671524653,68984.28743504654
34,2020-02-25,0,0,217.4453259971018,34492.143717523286,False,35,4.403689535673976,68984.28743504654
35,2020-02-26,0,0,217.4453259971018,34492.143717523286,False,36,4.643098095067978,68984.28743504654
36,2020-02-27,0,0,217.4453259971018,34492.143717523286,False,37,4.895521284599289,68984.28743504654
37,2020-02-28,0,0,217.4453259971018,34492.143717523286,False,38,5.161666497099913,68984.28743504654
38,2020-02-29,0,0,217.4453259971018,34492.143717523286,False,39,5.4422795632720495,68984.28743504654
39,2020-03-01,0,0,217.4453259971018,34492.143717523286,False,40,5.738146839014228,68984.28743504654
40,2020-03-02,0,0,217.4453259971018,34492.143717523286,False,41,6.0500974059536485,68984.28743504654
41,2020-03-03,0,0,217.4453259971018,34492.143717523286,False,42,6.379005391308392,68984.28743504654
42,2020-03-04,0,0,217.4453259971018,34492.143717523286,False,43,6.725792413532663,68984.28743504654
43,2020-03-05,0,0,217.4453259971018,34492.143717523286,False,44,7.091430160545142,68984.28743504654
44,2020-03-06,0,0,217.4453259971018,34492.143717523286,False,45,7.476943107705986,68984.28743504654
45,2020-03-07,0,0,217.4453259971018,34492.143717523286,False,46,7.883411383092805,68984.28743504654
46,2020-03-08,0,0,217.4453259971018,34492.143717523286,False,47,8.311973788031068,68984.28743504654
47,2020-03-09,0,0,217.4453259971018,34492.143717523286,False,48,8.7638309812611,68984.28743504654
48,2020-03-10,0,0,217.4453259971018,34492.143717523286,False,49,9.240248835572926,68984.28743504654
49,2020-03-11,0,0,217.4453259971018,34492.143717523286,False,50,9.742561976213082,68984.28743504654
50,2020-03-12,0,0,217.4453259971018,34492.143717523286,False,51,10.272177510865207,68984.28743504654
51,2020-03-13,0,0,217.4453259971018,34492.143717523286,False,52,10.830578961530238,68984.28743504654
52,2020-03-14,0,0,217.4453259971018,34492.143717523286,False,53,11.419330409183216,68984.28743504654
53,2020-03-15,0,0,217.4453259971018,34492.143717523286,False,54,12.040080862664144,68984.28743504654
54,2020-03-16,0,0,217.4453259971018,34492.143717523286,False,55,12.694568863870717,68984.28743504654
55,2020-03-17,0,0,217.4453259971018,34492.143717523286,False,56,13.384627341963146,68984.28743504654
56,2020-03-18,0,0,217.4453259971018,34492.143717523286,False,57,14.112188729967087,68984.28743504654
57,2020-03-19,0,0,217.4453259971018,34492.143717523286,False,58,14.879290357871366,68984.28743504654
58,2020-03-20,3,3,217.4453259971018,34492.143717523286,False,59,15.688080137064816,68984.28743504654
59,2020-03-21,3,3,217.4453259971018,34492.143717523286,False,60,16.54082255174247,68984.28743504654
60,2020-03-22,3,3,217.4453259971018,34492.143717523286,False,61,17.43990497373799,68984.28743504654
61,2020-03-23,12,12,217.4453259971018,34492.143717523286,False,62,18.387844318107874,68984.28743504654
62,2020-03-24,17,17,217.4453259971018,34492.143717523286,False,63,19.387294057706196,68984.28743504654
63,2020-03-25,19,19,217.4453259971018,34492.143717523286,False,64,20.441051615948172,68984.28743504654
64,2020-03-26,23,23,217.4453259971018,34492.143717523286,False,65,21.55206615796913,68984.28743504654
65,2020-03-27,26,26,217.4453259971018,34492.143717523286,False,66,22.723446801444428,68984.28743504654
66,2020-03-28,26,26,217.4453259971018,34492.143717523286,False,67,23.958471269448186,68984.28743504654
67,2020-03-29,39,39,217.4453259971018,34492.143717523286,False,68,25.260595008896452,68984.28743504654
68,2020-03-30,43,43,217.4453259971018,34492.143717523286,False,69,26.63346079934638,68984.28743504654
69,2020-03-31,57,57,217.4453259971018,34492.143717523286,False,70,28.080908878209524,68984.28743504654
70,2020-04-01,57,57,217.4453259971018,34492.143717523286,False,71,29.60698760978703,68984.28743504654
71,2020-04-02,59,59,217.4453259971018,34492.143717523286,False,72,31.215964726950503,68984.28743504654
72,2020-04-03,70,70,217.4453259971018,34492.143717523286,False,73,32.912339175776374,68984.28743504654
73,2020-04-04,70,70,217.4453259971018,34492.143717523286,False,74,34.70085359499801,68984.28743504654
74,2020-04-05,72,70,217.4453259971018,34492.143717523286,False,75,36.58650746376996,68984.28743504654
75,2020-04-06,82,80,217.4453259971018,34492.143717523286,False,76,38.57457095294661,68984.28743504654
76,2020-04-07,88,81,217.4453259971018,34492.143717523286,False,77,40.67059951686547,68984.28743504654
77,2020-04-08,93,82,217.4453259971018,34492.143717523286,False,78,42.880449264496775,68984.28743504654
78,2020-04-09,93,82,217.4453259971018,34492.143717523286,False,79,45.21029315077874,68984.28743504654
79,2020-04-10,93,82,217.4453259971018,34492.143717523286,False,80,47.66663803100436,68984.28743504654
80,2020-04-11,102,91,217.4453259971018,34492.143717523286,False,81,50.25634262326542,68984.28743504654
81,2020-04-12,106,86,217.4453259971018,34492.143717523286,False,82,52.98663642619277,68984.28743504654
82,2020-04-13,106,85,217.4453259971018,34492.143717523286,False,83,55.865139641565115,68984.28743504654
83,2020-04-14,108,85,217.4453259971018,34492.143717523286,False,84,58.899884153790765,68984.28743504654
84,2020-04-15,110,81,217.4453259971018,34492.143717523286,False,85,62.09933562080388,68984.28743504654
85,2020-04-16,111,78,217.4453259971018,34492.143717523286,False,86,65.47241673355843,68984.28743504654
86,2020-04-17,117,84,217.4453259971018,34492.143717523286,False,87,69.0285317040539,68984.28743504654
87,2020-04-18,120,85,217.4453259971018,34492.143717523286,False,88,72.77759204468676,68984.28743504654
88,2020-04-19,121,82,217.4453259971018,34492.143717523286,False,89,76.73004370469411,68984.28743504654
89,2020-04-20,121,80,217.4453259971018,34492.143717523286,False,90,80.89689563254127,68984.28743504654
90,2020-04-21,121,77,217.4453259971018,34492.143717523286,False,91,85.28974983630408,68984.28743504654
91,2020-04-22,121,69,217.4453259971018,34492.143717523286,False,92,89.9208330174097,68984.28743504654
92,2020-04-23,121,63,217.4453259971018,34492.143717523286,False,93,94.80302985652843,68984.28743504654
93,2020-04-24,122,61,217.4453259971018,34492.143717523286,False,94,99.94991803394856,68984.28743504654
94,2020-04-25,123,61,217.4453259971018,34492.143717523286,False,95,105.37580507041856,68984.28743504654
95,2020-04-26,124,53,217.4453259971018,34492.143717523286,False,96,111.09576707820136,68984.28743504654
96,2020-04-27,128,53,217.4453259971018,34492.143717523286,False,97,117.12568951595117,68984.28743504654
97,2020-04-28,128,46,217.4453259971018,34492.143717523286,False,98,123.48231004498824,68984.28743504654
98,2020-04-29,128,38,217.4453259971018,34492.143717523286,False,99,130.18326358860546,68984.28743504654
99,2020-04-30,128,36,217.4453259971018,34492.143717523286,False,100,137.2471297001852,68984.28743504654
100,2020-05-01,132,38,217.4453259971018,34492.143717523286,False,101,144.69348235012475,68984.28743504654
101,2020-05-02,135,38,217.4453259971018,34492.143717523286,False,102,152.54294224585146,68984.28743504654
102,2020-05-03,149,51,217.4453259971018,34492.143717523286,False,103,160.81723180354413,68984.28743504654
103,2020-05-04,149,50,217.4453259971018,34492.143717523286,False,104,169.53923289454178,68984.28743504654
104,2020-05-05,151,50,217.4453259971018,34492.143717523286,False,105,178.73304749380333,68984.28743504654
105,2020-05-06,158,57,217.4453259971018,34492.143717523286,False,106,188.42406136215132,68984.28743504654
106,2020-05-07,193,92,217.4453259971018,34492.143717523286,False,107,198.63901089837046,68984.28743504654
107,2020-05-08,193,92,217.4453259971018,34492.143717523286,False,108,209.4060533014997,68984.28743504654
108,2020-05-09,193,92,217.4453259971018,34492.143717523286,False,109,220.75484018782748,68984.28743504654
109,2020-05-10,193,92,217.4453259971018,34492.143717523286,False,110,232.71659481112746,68984.28743504654
110,2020-05-11,186,85,217.4453259971018,34492.143717523286,False,111,245.3241930385138,68984.28743504654
111,2020-05-12,186,85,217.4453259971018,34492.143717523286,False,112,258.6122482379018,68984.28743504654
112,2020-05-13,212,105,217.4453259971018,34492.143717523286,False,113,272.6172002363649,68984.28743504654
113,2020-05-14,230,122,217.4453259971018,34492.143717523286,False,114,287.3774085116295,68984.28743504654
114,2020-05-15,238,126,217.4453259971018,34492.143717523286,False,115,302.93324978145495,68984.28743504654
115,2020-05-16,283,169,217.4453259971018,34492.143717523286,False,116,319.32722015764006,68984.28743504654
116,2020-05-17,304,189,217.4453259971018,34492.143717523286,False,117,336.60404203277415,68984.28743504654
117,2020-05-18,322,202,217.4453259971018,34492.143717523286,False,118,354.81077586850574,68984.28743504654
118,2020-05-19,326,205,217.4453259971018,34492.143717523286,False,119,373.9969370539374,68984.28743504654
119,2020-05-20,371,238,217.4453259971018,34492.143717523286,False,120,394.21461800160796,68984.28743504654
120,2020-05-21,405,272,217.4453259971018,34492.143717523286,False,121,415.51861564628194,68984.28743504654
121,2020-05-22,448,311,217.4453259971018,34492.143717523286,False,122,437.96656450825407,68984.28743504654
122,2020-05-23,488,348,217.4453259971018,34492.143717523286,False,123,461.6190754779152,68984.28743504654
123,2020-05-24,527,383,217.4453259971018,34492.143717523286,False,124,486.53988047173476,68984.28743504654
124,2020-05-25,542,393,217.4453259971018,34492.143717523286,False,125,512.7959831013595,68984.28743504654
125,2020-05-26,586,437,217.4453259971018,34492.143717523286,False,126,540.4578154869911,68984.28743504654
126,2020-05-27,612,459,217.4453259971018,34492.143717523286,False,127,569.5994013333117,68984.28743504654
127,2020-05-28,656,500,217.4453259971018,34492.143717523286,False,128,600.2985253707077,68984.28743504654
