,Report_Date,China_guizhou_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,15.865851291388056,73.26225094785714,True,1,1.5767587958166625,146.52450189458276
1,2020-01-23,3,15.865851291388056,73.26225094785714,True,2,2.1290455262666828,146.52450189458276
2,2020-01-24,3,15.865851291388056,73.26225094785714,True,3,2.870948547952654,146.52450189458276
3,2020-01-25,4,15.865851291388056,73.26225094785714,True,4,3.864461585109895,146.52450189458276
4,2020-01-26,5,15.865851291388056,73.26225094785714,True,5,5.189367229478547,146.52450189458276
5,2020-01-27,7,15.865851291388056,73.26225094785714,True,6,6.946390611433143,146.52450189458276
6,2020-01-28,9,15.865851291388056,73.26225094785714,True,7,9.259335897112171,146.52450189458276
7,2020-01-29,9,15.865851291388056,73.26225094785714,True,8,12.274696950746357,146.52450189458276
8,2020-01-30,12,15.865851291388056,73.26225094785714,True,9,16.156448875135172,146.52450189458276
9,2020-01-31,29,15.865851291388056,73.26225094785714,True,10,21.07307663734934,146.52450189458276
10,2020-02-01,29,15.865851291388056,73.26225094785714,True,11,27.174032681439257,146.52450189458276
11,2020-02-02,38,15.865851291388056,73.26225094785714,True,12,34.55478277750759,146.52450189458276
12,2020-02-03,46,15.865851291388056,73.26225094785714,True,13,43.21436468261481,146.52450189458276
13,2020-02-04,58,15.865851291388056,73.26225094785714,True,14,53.01654156584955,146.52450189458276
14,2020-02-05,64,15.865851291388056,73.26225094785714,True,15,63.67179784184271,146.52450189458276
15,2020-02-06,71,15.865851291388056,73.26225094785714,True,16,74.75649465819184,146.52450189458276
16,2020-02-07,81,15.865851291388056,73.26225094785714,True,17,85.77317000879303,146.52450189458276
17,2020-02-08,89,15.865851291388056,73.26225094785714,True,18,96.23633522148364,146.52450189458276
18,2020-02-09,99,15.865851291388056,73.26225094785714,True,19,105.75400974171848,146.52450189458276
19,2020-02-10,109,15.865851291388056,73.26225094785714,True,20,114.07767937831531,146.52450189458276
20,2020-02-11,127,15.865851291388056,73.26225094785714,True,21,121.11037334361507,146.52450189458276
21,2020-02-12,133,15.865851291388056,73.26225094785714,True,22,126.88123721791293,146.52450189458276
22,2020-02-13,135,15.865851291388056,73.26225094785714,True,23,131.5042121127464,146.52450189458276
23,2020-02-14,140,15.865851291388056,73.26225094785714,True,24,135.13683450800517,146.52450189458276
24,2020-02-15,143,15.865851291388056,73.26225094785714,True,25,137.94821126598137,146.52450189458276
25,2020-02-16,144,15.865851291388056,73.26225094785714,True,26,140.09852211806685,146.52450189458276
26,2020-02-17,146,15.865851291388056,73.26225094785714,True,27,141.72843559532888,146.52450189458276
27,2020-02-18,146,15.865851291388056,73.26225094785714,True,28,142.95546264385604,146.52450189458276
28,2020-02-19,146,15.865851291388056,73.26225094785714,True,29,143.87443651398723,146.52450189458276
29,2020-02-20,146,15.865851291388056,73.26225094785714,True,30,144.5600400545403,146.52450189458276
30,2020-02-21,146,15.865851291388056,73.26225094785714,True,31,145.07006286420656,146.52450189458276
31,2020-02-22,146,15.865851291388056,73.26225094785714,True,32,145.44865661243728,146.52450189458276
