,Report_Date,Denmark_greenland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,63.59577553020264,5.809098154707815,True,1,0.00013923713548818803,11.610465839344489
1,2020-01-23,0,63.59577553020264,5.809098154707815,True,2,0.00016686898393745495,11.610465839344489
2,2020-01-24,0,63.59577553020264,5.809098154707815,True,3,0.00019998432573362855,11.610465839344489
3,2020-01-25,0,63.59577553020264,5.809098154707815,True,4,0.00023967130962784596,11.610465839344489
4,2020-01-26,0,63.59577553020264,5.809098154707815,True,5,0.0002872339995025538,11.610465839344489
5,2020-01-27,0,63.59577553020264,5.809098154707815,True,6,0.0003442352093373991,11.610465839344489
6,2020-01-28,0,63.59577553020264,5.809098154707815,True,7,0.0004125478326975479,11.610465839344489
7,2020-01-29,0,63.59577553020264,5.809098154707815,True,8,0.0004944163497852851,11.610465839344489
8,2020-01-30,0,63.59577553020264,5.809098154707815,True,9,0.0005925305279096426,11.610465839344489
9,2020-01-31,0,63.59577553020264,5.809098154707815,True,10,0.0007101137295708486,11.610465839344489
10,2020-02-01,0,63.59577553020264,5.809098154707815,True,11,0.0008510287190041351,11.610465839344489
11,2020-02-02,0,63.59577553020264,5.809098154707815,True,12,0.0010199044281954542,11.610465839344489
12,2020-02-03,0,63.59577553020264,5.809098154707815,True,13,0.0012222878251621082,11.610465839344489
13,2020-02-04,0,63.59577553020264,5.809098154707815,True,14,0.001464825842163399,11.610465839344489
14,2020-02-05,0,63.59577553020264,5.809098154707815,True,15,0.0017554832949201833,11.610465839344489
15,2020-02-06,0,63.59577553020264,5.809098154707815,True,16,0.0021038038859597066,11.610465839344489
16,2020-02-07,0,63.59577553020264,5.809098154707815,True,17,0.0025212227713150626,11.610465839344489
17,2020-02-08,0,63.59577553020264,5.809098154707815,True,18,0.0030214408216238955,11.610465839344489
18,2020-02-09,0,63.59577553020264,5.809098154707815,True,19,0.0036208726748435333,11.610465839344489
19,2020-02-10,0,63.59577553020264,5.809098154707815,True,20,0.004339183014874675,11.610465839344489
20,2020-02-11,0,63.59577553020264,5.809098154707815,True,21,0.0051999282836021855,11.610465839344489
21,2020-02-12,0,63.59577553020264,5.809098154707815,True,22,0.006231324317790558,11.610465839344489
22,2020-02-13,0,63.59577553020264,5.809098154707815,True,23,0.007467164281115969,11.610465839344489
23,2020-02-14,0,63.59577553020264,5.809098154707815,True,24,0.00894791582891306,11.610465839344489
24,2020-02-15,0,63.59577553020264,5.809098154707815,True,25,0.010722031800540693,11.610465839344489
25,2020-02-16,0,63.59577553020264,5.809098154707815,True,26,0.012847514988384108,11.610465839344489
26,2020-02-17,0,63.59577553020264,5.809098154707815,True,27,0.015393784790057737,11.610465839344489
27,2020-02-18,0,63.59577553020264,5.809098154707815,True,28,0.018443901908961655,11.610465839344489
28,2020-02-19,0,63.59577553020264,5.809098154707815,True,29,0.02209721680221625,11.610465839344489
29,2020-02-20,0,63.59577553020264,5.809098154707815,True,30,0.026472518312863146,11.610465839344489
30,2020-02-21,0,63.59577553020264,5.809098154707815,True,31,0.031711770814809456,11.610465839344489
31,2020-02-22,0,63.59577553020264,5.809098154707815,True,32,0.037984541065677314,11.610465839344489
32,2020-02-23,0,63.59577553020264,5.809098154707815,True,33,0.04549322942586099,11.610465839344489
33,2020-02-24,0,63.59577553020264,5.809098154707815,True,34,0.05447923348081553,11.610465839344489
34,2020-02-25,0,63.59577553020264,5.809098154707815,True,35,0.06523018427141461,11.610465839344489
35,2020-02-26,0,63.59577553020264,5.809098154707815,True,36,0.0780884045244472,11.610465839344489
36,2020-02-27,0,63.59577553020264,5.809098154707815,True,37,0.0934607418024827,11.610465839344489
37,2020-02-28,0,63.59577553020264,5.809098154707815,True,38,0.1118299234192198,11.610465839344489
38,2020-02-29,0,63.59577553020264,5.809098154707815,True,39,0.1337675586450502,11.610465839344489
39,2020-03-01,0,63.59577553020264,5.809098154707815,True,40,0.15994886925778024,11.610465839344489
40,2020-03-02,0,63.59577553020264,5.809098154707815,True,41,0.19116915110380428,11.610465839344489
41,2020-03-03,0,63.59577553020264,5.809098154707815,True,42,0.2283618427576398,11.610465839344489
42,2020-03-04,0,63.59577553020264,5.809098154707815,True,43,0.272617884357653,11.610465839344489
43,2020-03-05,0,63.59577553020264,5.809098154707815,True,44,0.3252057679791943,11.610465839344489
44,2020-03-06,0,63.59577553020264,5.809098154707815,True,45,0.3875912850476415,11.610465839344489
45,2020-03-07,0,63.59577553020264,5.809098154707815,True,46,0.4614554402587531,11.610465839344489
46,2020-03-08,0,63.59577553020264,5.809098154707815,True,47,0.5487083040233308,11.610465839344489
47,2020-03-09,0,63.59577553020264,5.809098154707815,True,48,0.6514957098550975,11.610465839344489
48,2020-03-10,0,63.59577553020264,5.809098154707815,True,49,0.7721946928176027,11.610465839344489
49,2020-03-11,0,63.59577553020264,5.809098154707815,True,50,0.9133924865826354,11.610465839344489
50,2020-03-12,0,63.59577553020264,5.809098154707815,True,51,1.0778429087690635,11.610465839344489
51,2020-03-13,0,63.59577553020264,5.809098154707815,True,52,1.2683933402665544,11.610465839344489
52,2020-03-14,0,63.59577553020264,5.809098154707815,True,53,1.487875654612189,11.610465839344489
53,2020-03-15,0,63.59577553020264,5.809098154707815,True,54,1.7389559185511572,11.610465839344489
54,2020-03-16,1,63.59577553020264,5.809098154707815,True,55,2.023941066203385,11.610465839344489
55,2020-03-17,1,63.59577553020264,5.809098154707815,True,56,2.3445465437996034,11.610465839344489
56,2020-03-18,1,63.59577553020264,5.809098154707815,True,57,2.7016372402452493,11.610465839344489
57,2020-03-19,2,63.59577553020264,5.809098154707815,True,58,3.0949642173836973,11.610465839344489
