,Report_Date,Namibia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,65.46845175589675,8.242211544556714,True,1,0.00019653560394320427,16.483078184673744
1,2020-01-23,0,65.46845175589675,8.242211544556714,True,2,0.00023432191343721352,16.483078184673744
2,2020-01-24,0,65.46845175589675,8.242211544556714,True,3,0.0002793729676300762,16.483078184673744
3,2020-01-25,0,65.46845175589675,8.242211544556714,True,4,0.00033308542460573116,16.483078184673744
4,2020-01-26,0,65.46845175589675,8.242211544556714,True,5,0.0003971244301904464,16.483078184673744
5,2020-01-27,0,65.46845175589675,8.242211544556714,True,6,0.0004734752217009586,16.483078184673744
6,2020-01-28,0,65.46845175589675,8.242211544556714,True,7,0.0005645046461249704,16.483078184673744
7,2020-01-29,0,65.46845175589675,8.242211544556714,True,8,0.000673034495918396,16.483078184673744
8,2020-01-30,0,65.46845175589675,8.242211544556714,True,9,0.000802428930250376,16.483078184673744
9,2020-01-31,0,65.46845175589675,8.242211544556714,True,10,0.0009566986837480505,16.483078184673744
10,2020-02-01,0,65.46845175589675,8.242211544556714,True,11,0.0011406252817400251,16.483078184673744
11,2020-02-02,0,65.46845175589675,8.242211544556714,True,12,0.0013599090962559878,16.483078184673744
12,2020-02-03,0,65.46845175589675,8.242211544556714,True,13,0.0016213458090576591,16.483078184673744
13,2020-02-04,0,65.46845175589675,8.242211544556714,True,14,0.0019330367185565658,16.483078184673744
14,2020-02-05,0,65.46845175589675,8.242211544556714,True,15,0.002304639362341233,16.483078184673744
15,2020-02-06,0,65.46845175589675,8.242211544556714,True,16,0.002747666156475195,16.483078184673744
16,2020-02-07,0,65.46845175589675,8.242211544556714,True,17,0.003275840212298658,16.483078184673744
17,2020-02-08,0,65.46845175589675,8.242211544556714,True,18,0.003905519222793382,16.483078184673744
18,2020-02-09,0,65.46845175589675,8.242211544556714,True,19,0.004656200362177155,16.483078184673744
19,2020-02-10,0,65.46845175589675,8.242211544556714,True,20,0.005551121570575806,16.483078184673744
20,2020-02-11,0,65.46845175589675,8.242211544556714,True,21,0.0066179774652848486,16.483078184673744
21,2020-02-12,0,65.46845175589675,8.242211544556714,True,22,0.007889771505535504,16.483078184673744
22,2020-02-13,0,65.46845175589675,8.242211544556714,True,23,0.009405830022923783,16.483078184673744
23,2020-02-14,0,65.46845175589675,8.242211544556714,True,24,0.01121300840875234,16.483078184673744
24,2020-02-15,0,65.46845175589675,8.242211544556714,True,25,0.01336712522570307,16.483078184673744
25,2020-02-16,0,65.46845175589675,8.242211544556714,True,26,0.01593466639509266,16.483078184673744
26,2020-02-17,0,65.46845175589675,8.242211544556714,True,27,0.018994809016721643,16.483078184673744
27,2020-02-18,0,65.46845175589675,8.242211544556714,True,28,0.022641822917495894,16.483078184673744
28,2020-02-19,0,65.46845175589675,8.242211544556714,True,29,0.026987917795779075,16.483078184673744
29,2020-02-20,0,65.46845175589675,8.242211544556714,True,30,0.03216661489931289,16.483078184673744
30,2020-02-21,0,65.46845175589675,8.242211544556714,True,31,0.038336734559378034,16.483078184673744
31,2020-02-22,0,65.46845175589675,8.242211544556714,True,32,0.04568710452494659,16.483078184673744
32,2020-02-23,0,65.46845175589675,8.242211544556714,True,33,0.05444210867488121,16.483078184673744
33,2020-02-24,0,65.46845175589675,8.242211544556714,True,34,0.06486821088856223,16.483078184673744
34,2020-02-25,0,65.46845175589675,8.242211544556714,True,35,0.07728160385000907,16.483078184673744
35,2020-02-26,0,65.46845175589675,8.242211544556714,True,36,0.09205714609138207,16.483078184673744
36,2020-02-27,0,65.46845175589675,8.242211544556714,True,37,0.10963876070741788,16.483078184673744
37,2020-02-28,0,65.46845175589675,8.242211544556714,True,38,0.13055147299333197,16.483078184673744
38,2020-02-29,0,65.46845175589675,8.242211544556714,True,39,0.1554152575609612,16.483078184673744
39,2020-03-01,0,65.46845175589675,8.242211544556714,True,40,0.18496084229242601,16.483078184673744
40,2020-03-02,0,65.46845175589675,8.242211544556714,True,41,0.22004756850770954,16.483078184673744
41,2020-03-03,0,65.46845175589675,8.242211544556714,True,42,0.2616833227315974,16.483078184673744
42,2020-03-04,0,65.46845175589675,8.242211544556714,True,43,0.31104642066187776,16.483078184673744
43,2020-03-05,0,65.46845175589675,8.242211544556714,True,44,0.3695091195058009,16.483078184673744
44,2020-03-06,0,65.46845175589675,8.242211544556714,True,45,0.4386621376979299,16.483078184673744
45,2020-03-07,0,65.46845175589675,8.242211544556714,True,46,0.520339144538132,16.483078184673744
46,2020-03-08,0,65.46845175589675,8.242211544556714,True,47,0.616639618531151,16.483078184673744
47,2020-03-09,0,65.46845175589675,8.242211544556714,True,48,0.7299477375269927,16.483078184673744
48,2020-03-10,0,65.46845175589675,8.242211544556714,True,49,0.8629440433716807,16.483078184673744
49,2020-03-11,0,65.46845175589675,8.242211544556714,True,50,1.0186055317161886,16.483078184673744
50,2020-03-12,0,65.46845175589675,8.242211544556714,True,51,1.2001886134883448,16.483078184673744
51,2020-03-13,0,65.46845175589675,8.242211544556714,True,52,1.411188212190657,16.483078184673744
52,2020-03-14,2,65.46845175589675,8.242211544556714,True,53,1.6552653409591205,16.483078184673744
53,2020-03-15,2,65.46845175589675,8.242211544556714,True,54,1.9361352205623603,16.483078184673744
54,2020-03-16,2,65.46845175589675,8.242211544556714,True,55,2.257408873563301,16.483078184673744
55,2020-03-17,2,65.46845175589675,8.242211544556714,True,56,2.6223837870494164,16.483078184673744
56,2020-03-18,2,65.46845175589675,8.242211544556714,True,57,3.0337842935667005,16.483078184673744
57,2020-03-19,3,65.46845175589675,8.242211544556714,True,58,3.4934601593016237,16.483078184673744
58,2020-03-20,3,65.46845175589675,8.242211544556714,True,59,4.0020623031672,16.483078184673744
59,2020-03-21,3,65.46845175589675,8.242211544556714,True,60,4.558726466121351,16.483078184673744
60,2020-03-22,3,65.46845175589675,8.242211544556714,True,61,5.1608066652091376,16.483078184673744
61,2020-03-23,4,65.46845175589675,8.242211544556714,True,62,5.803706957295475,16.483078184673744
62,2020-03-24,7,65.46845175589675,8.242211544556714,True,63,6.480858565279618,16.483078184673744
63,2020-03-25,7,65.46845175589675,8.242211544556714,True,64,7.183876910084656,16.483078184673744
64,2020-03-26,8,65.46845175589675,8.242211544556714,True,65,7.902909289935992,16.483078184673744
65,2020-03-27,8,65.46845175589675,8.242211544556714,True,66,8.627152400862798,16.483078184673744
66,2020-03-28,8,65.46845175589675,8.242211544556714,True,67,9.34548675885937,16.483078184673744
67,2020-03-29,11,65.46845175589675,8.242211544556714,True,68,10.047151158920075,16.483078184673744
68,2020-03-30,11,65.46845175589675,8.242211544556714,True,69,10.72237180919347,16.483078184673744
69,2020-03-31,11,65.46845175589675,8.242211544556714,True,70,11.362870386573654,16.483078184673744
70,2020-04-01,14,65.46845175589675,8.242211544556714,True,71,11.962199950447474,16.483078184673744
71,2020-04-02,14,65.46845175589675,8.242211544556714,True,72,12.515890005574798,16.483078184673744
72,2020-04-03,14,65.46845175589675,8.242211544556714,True,73,13.021413244069713,16.483078184673744
73,2020-04-04,14,65.46845175589675,8.242211544556714,True,74,13.478009648031193,16.483078184673744
74,2020-04-05,16,65.46845175589675,8.242211544556714,True,75,13.88641540451458,16.483078184673744
75,2020-04-06,16,65.46845175589675,8.242211544556714,True,76,14.24854493821248,16.483078184673744
76,2020-04-07,16,65.46845175589675,8.242211544556714,True,77,14.567167288875975,16.483078184673744
77,2020-04-08,16,65.46845175589675,8.242211544556714,True,78,14.845606897384855,16.483078184673744
78,2020-04-09,16,65.46845175589675,8.242211544556714,True,79,15.0874870048411,16.483078184673744
79,2020-04-10,16,65.46845175589675,8.242211544556714,True,80,15.296523576386289,16.483078184673744
80,2020-04-11,16,65.46845175589675,8.242211544556714,True,81,15.476369999958969,16.483078184673744
81,2020-04-12,16,65.46845175589675,8.242211544556714,True,82,15.630507919663886,16.483078184673744
82,2020-04-13,16,65.46845175589675,8.242211544556714,True,83,15.762177037978637,16.483078184673744
83,2020-04-14,16,65.46845175589675,8.242211544556714,True,84,15.874335937750946,16.483078184673744
84,2020-04-15,16,65.46845175589675,8.242211544556714,True,85,15.969646311818684,16.483078184673744
85,2020-04-16,16,65.46845175589675,8.242211544556714,True,86,16.050473934422694,16.483078184673744
86,2020-04-17,16,65.46845175589675,8.242211544556714,True,87,16.118900898123318,16.483078184673744
87,2020-04-18,16,65.46845175589675,8.242211544556714,True,88,16.17674484002298,16.483078184673744
88,2020-04-19,16,65.46845175589675,8.242211544556714,True,89,16.225581963473736,16.483078184673744
89,2020-04-20,16,65.46845175589675,8.242211544556714,True,90,16.26677157020885,16.483078184673744
90,2020-04-21,16,65.46845175589675,8.242211544556714,True,91,16.301480542111996,16.483078184673744
91,2020-04-22,16,65.46845175589675,8.242211544556714,True,92,16.33070676550521,16.483078184673744
92,2020-04-23,16,65.46845175589675,8.242211544556714,True,93,16.355300898952613,16.483078184673744
93,2020-04-24,16,65.46845175589675,8.242211544556714,True,94,16.37598617612473,16.483078184673744
94,2020-04-25,16,65.46845175589675,8.242211544556714,True,95,16.393376134668966,16.483078184673744
95,2020-04-26,16,65.46845175589675,8.242211544556714,True,96,16.407990293098035,16.483078184673744
96,2020-04-27,16,65.46845175589675,8.242211544556714,True,97,16.420267879030146,16.483078184673744
97,2020-04-28,16,65.46845175589675,8.242211544556714,True,98,16.430579758236213,16.483078184673744
98,2020-04-29,16,65.46845175589675,8.242211544556714,True,99,16.43923873588585,16.483078184673744
99,2020-04-30,16,65.46845175589675,8.242211544556714,True,100,16.446508407262616,16.483078184673744
100,2020-05-01,16,65.46845175589675,8.242211544556714,True,101,16.45261073089118,16.483078184673744
101,2020-05-02,16,65.46845175589675,8.242211544556714,True,102,16.457732486604733,16.483078184673744
102,2020-05-03,16,65.46845175589675,8.242211544556714,True,103,16.46203076740872,16.483078184673744
103,2020-05-04,16,65.46845175589675,8.242211544556714,True,104,16.465637638957965,16.483078184673744
104,2020-05-05,16,65.46845175589675,8.242211544556714,True,105,16.468664085279045,16.483078184673744
105,2020-05-06,16,65.46845175589675,8.242211544556714,True,106,16.471203344788965,16.483078184673744
106,2020-05-07,16,65.46845175589675,8.242211544556714,True,107,16.473333727113445,16.483078184673744
107,2020-05-08,16,65.46845175589675,8.242211544556714,True,108,16.475120988905008,16.483078184673744
108,2020-05-09,16,65.46845175589675,8.242211544556714,True,109,16.47662033587349,16.483078184673744
