,Report_Date,China_shanxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,30.33851192505361,103.20504658608417,True,1,55.89927976327533,200.15626911668014
1,2020-01-23,1,30.33851192505361,103.20504658608417,True,2,57.2859842076355,200.15626911668014
2,2020-01-24,1,30.33851192505361,103.20504658608417,True,3,58.69367407161051,200.15626911668014
3,2020-01-25,6,30.33851192505361,103.20504658608417,True,4,60.12200908259277,200.15626911668014
4,2020-01-26,9,30.33851192505361,103.20504658608417,True,5,61.5706150492981,200.15626911668014
5,2020-01-27,13,30.33851192505361,103.20504658608417,True,6,63.03908366326465,200.15626911668014
6,2020-01-28,27,30.33851192505361,103.20504658608417,True,7,64.52697240442284,200.15626911668014
7,2020-01-29,27,30.33851192505361,103.20504658608417,True,8,66.03380455528938,200.15626911668014
8,2020-01-30,35,30.33851192505361,103.20504658608417,True,9,67.55906932787467,200.15626911668014
9,2020-01-31,39,30.33851192505361,103.20504658608417,True,10,69.10222210687188,200.15626911668014
10,2020-02-01,47,30.33851192505361,103.20504658608417,True,11,70.66268481212414,200.15626911668014
11,2020-02-02,66,30.33851192505361,103.20504658608417,True,12,72.23984638274179,200.15626911668014
12,2020-02-03,74,30.33851192505361,103.20504658608417,True,13,73.83306338457297,200.15626911668014
13,2020-02-04,81,30.33851192505361,103.20504658608417,True,14,75.44166074201858,200.15626911668014
14,2020-02-05,81,30.33851192505361,103.20504658608417,True,15,77.06493259443486,200.15626911668014
15,2020-02-06,96,30.33851192505361,103.20504658608417,True,16,78.70214327658769,200.15626911668014
16,2020-02-07,104,30.33851192505361,103.20504658608417,True,17,80.3525284218207,200.15626911668014
17,2020-02-08,115,30.33851192505361,103.20504658608417,True,18,82.01529618577864,200.15626911668014
18,2020-02-09,119,30.33851192505361,103.20504658608417,True,19,83.68962858770085,200.15626911668014
19,2020-02-10,119,30.33851192505361,103.20504658608417,True,20,85.37468296546885,200.15626911668014
20,2020-02-11,124,30.33851192505361,103.20504658608417,True,21,87.06959353977213,200.15626911668014
21,2020-02-12,126,30.33851192505361,103.20504658608417,True,22,88.77347308195091,200.15626911668014
22,2020-02-13,126,30.33851192505361,103.20504658608417,True,23,90.48541467929525,200.15626911668014
23,2020-02-14,127,30.33851192505361,103.20504658608417,True,24,92.20449359083405,200.15626911668014
24,2020-02-15,128,30.33851192505361,103.20504658608417,True,25,93.92976918594536,200.15626911668014
25,2020-02-16,129,30.33851192505361,103.20504658608417,True,26,95.66028695746625,200.15626911668014
26,2020-02-17,130,30.33851192505361,103.20504658608417,True,27,97.3950806003871,200.15626911668014
27,2020-02-18,131,30.33851192505361,103.20504658608417,True,28,99.13317414668718,200.15626911668014
28,2020-02-19,131,30.33851192505361,103.20504658608417,True,29,100.8735841464122,200.15626911668014
29,2020-02-20,132,30.33851192505361,103.20504658608417,True,30,102.615321884716,200.15626911668014
30,2020-02-21,132,30.33851192505361,103.20504658608417,True,31,104.3573956242927,200.15626911668014
31,2020-02-22,132,30.33851192505361,103.20504658608417,True,32,106.09881286241642,200.15626911668014
32,2020-02-23,132,30.33851192505361,103.20504658608417,True,33,107.83858259168326,200.15626911668014
33,2020-02-24,133,30.33851192505361,103.20504658608417,True,34,109.57571755352141,200.15626911668014
34,2020-02-25,133,30.33851192505361,103.20504658608417,True,35,111.30923647359334,200.15626911668014
35,2020-02-26,133,30.33851192505361,103.20504658608417,True,36,113.03816626836544,200.15626911668014
36,2020-02-27,133,30.33851192505361,103.20504658608417,True,37,114.76154421235755,200.15626911668014
37,2020-02-28,133,30.33851192505361,103.20504658608417,True,38,116.4784200559081,200.15626911668014
38,2020-02-29,133,30.33851192505361,103.20504658608417,True,39,118.18785808369454,200.15626911668014
39,2020-03-01,133,30.33851192505361,103.20504658608417,True,40,119.88893910472908,200.15626911668014
40,2020-03-02,133,30.33851192505361,103.20504658608417,True,41,121.58076236509896,200.15626911668014
41,2020-03-03,133,30.33851192505361,103.20504658608417,True,42,123.26244737533506,200.15626911668014
42,2020-03-04,133,30.33851192505361,103.20504658608417,True,43,124.93313564496134,200.15626911668014
43,2020-03-05,133,30.33851192505361,103.20504658608417,True,44,126.59199231749551,200.15626911668014
44,2020-03-06,133,30.33851192505361,103.20504658608417,True,45,128.2382076999288,200.15626911668014
45,2020-03-07,133,30.33851192505361,103.20504658608417,True,46,129.87099868150125,200.15626911668014
46,2020-03-08,133,30.33851192505361,103.20504658608417,True,47,131.48961003739996,200.15626911668014
47,2020-03-09,133,30.33851192505361,103.20504658608417,True,48,133.09331561383263,200.15626911668014
48,2020-03-10,133,30.33851192505361,103.20504658608417,True,49,134.68141939175794,200.15626911668014
49,2020-03-11,133,30.33851192505361,103.20504658608417,True,50,136.25325642738153,200.15626911668014
50,2020-03-12,133,30.33851192505361,103.20504658608417,True,51,137.8081936683401,200.15626911668014
51,2020-03-13,133,30.33851192505361,103.20504658608417,True,52,139.34563064529286,200.15626911668014
52,2020-03-14,133,30.33851192505361,103.20504658608417,True,53,140.86500003940833,200.15626911668014
53,2020-03-15,133,30.33851192505361,103.20504658608417,True,54,142.36576812697226,200.15626911668014
54,2020-03-16,133,30.33851192505361,103.20504658608417,True,55,143.84743510304043,200.15626911668014
55,2020-03-17,133,30.33851192505361,103.20504658608417,True,56,145.3095352867153,200.15626911668014
56,2020-03-18,133,30.33851192505361,103.20504658608417,True,57,146.7516372112332,200.15626911668014
57,2020-03-19,133,30.33851192505361,103.20504658608417,True,58,148.17334360260494,200.15626911668014
58,2020-03-20,133,30.33851192505361,103.20504658608417,True,59,149.5742912510547,200.15626911668014
59,2020-03-21,133,30.33851192505361,103.20504658608417,True,60,150.95415077994812,200.15626911668014
60,2020-03-22,133,30.33851192505361,103.20504658608417,True,61,152.31262631729163,200.15626911668014
61,2020-03-23,134,30.33851192505361,103.20504658608417,True,62,153.64945507521344,200.15626911668014
62,2020-03-24,134,30.33851192505361,103.20504658608417,True,63,154.96440684311497,200.15626911668014
63,2020-03-25,134,30.33851192505361,103.20504658608417,True,64,156.2572834003955,200.15626911668014
64,2020-03-26,135,30.33851192505361,103.20504658608417,True,65,157.52791785481853,200.15626911668014
65,2020-03-27,135,30.33851192505361,103.20504658608417,True,66,158.77617391269607,200.15626911668014
66,2020-03-28,135,30.33851192505361,103.20504658608417,True,67,160.00194508712673,200.15626911668014
67,2020-03-29,136,30.33851192505361,103.20504658608417,True,68,161.2051538505334,200.15626911668014
68,2020-03-30,136,30.33851192505361,103.20504658608417,True,69,162.38575073771318,200.15626911668014
69,2020-03-31,136,30.33851192505361,103.20504658608417,True,70,163.54371340553476,200.15626911668014
