,Report_Date,Slovenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.58480751986393,652.7548413204389,True,1,0.07348634005759445,1286.956874923665
1,2020-01-23,0,66.58480751986393,652.7548413204389,True,2,0.08530950099440222,1286.956874923665
2,2020-01-24,0,66.58480751986393,652.7548413204389,True,3,0.09903473692515577,1286.956874923665
3,2020-01-25,0,66.58480751986393,652.7548413204389,True,4,0.11496799785256714,1286.956874923665
4,2020-01-26,0,66.58480751986393,652.7548413204389,True,5,0.13346442859556903,1286.956874923665
5,2020-01-27,0,66.58480751986393,652.7548413204389,True,6,0.1549362729398294,1286.956874923665
6,2020-01-28,0,66.58480751986393,652.7548413204389,True,7,0.17986204564318992,1286.956874923665
7,2020-01-29,0,66.58480751986393,652.7548413204389,True,8,0.2087971749314825,1286.956874923665
8,2020-01-30,0,66.58480751986393,652.7548413204389,True,9,0.24238635025124847,1286.956874923665
9,2020-01-31,0,66.58480751986393,652.7548413204389,True,10,0.28137784718278147,1286.956874923665
10,2020-02-01,0,66.58480751986393,652.7548413204389,True,11,0.32664014430823685,1286.956874923665
11,2020-02-02,0,66.58480751986393,652.7548413204389,True,12,0.37918119632471275,1286.956874923665
12,2020-02-03,0,66.58480751986393,652.7548413204389,True,13,0.44017078475089355,1286.956874923665
13,2020-02-04,0,66.58480751986393,652.7548413204389,True,14,0.510966433276653,1286.956874923665
14,2020-02-05,0,66.58480751986393,652.7548413204389,True,15,0.5931434503524649,1286.956874923665
15,2020-02-06,0,66.58480751986393,652.7548413204389,True,16,0.6885297483438811,1286.956874923665
16,2020-02-07,0,66.58480751986393,652.7548413204389,True,17,0.799246187948937,1286.956874923665
17,2020-02-08,0,66.58480751986393,652.7548413204389,True,18,0.9277533101767436,1286.956874923665
18,2020-02-09,0,66.58480751986393,652.7548413204389,True,19,1.0769054476980668,1286.956874923665
19,2020-02-10,0,66.58480751986393,652.7548413204389,True,20,1.250013354552585,1286.956874923665
20,2020-02-11,0,66.58480751986393,652.7548413204389,True,21,1.45091665978801,1286.956874923665
21,2020-02-12,0,66.58480751986393,652.7548413204389,True,22,1.6840676382833284,1286.956874923665
22,2020-02-13,0,66.58480751986393,652.7548413204389,True,23,1.9546280022212004,1286.956874923665
23,2020-02-14,0,66.58480751986393,652.7548413204389,True,24,2.2685806504540453,1286.956874923665
24,2020-02-15,0,66.58480751986393,652.7548413204389,True,25,2.6328585706877785,1286.956874923665
25,2020-02-16,0,66.58480751986393,652.7548413204389,True,26,3.055493370230677,1286.956874923665
26,2020-02-17,0,66.58480751986393,652.7548413204389,True,27,3.545786212637717,1286.956874923665
