,Report_Date,Iceland_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,66.33505362521164,902.2476927460826,True,1,0.02146473541035256,1804.488230424213
1,2020-01-23,0,0,66.33505362521164,902.2476927460826,True,2,0.025532861529629136,1804.488230424213
2,2020-01-24,0,0,66.33505362521164,902.2476927460826,True,3,0.030371990470540098,1804.488230424213
3,2020-01-25,0,0,66.33505362521164,902.2476927460826,True,4,0.03612823949343403,1804.488230424213
4,2020-01-26,0,0,66.33505362521164,902.2476927460826,True,5,0.04297541516177431,1804.488230424213
5,2020-01-27,0,0,66.33505362521164,902.2476927460826,True,6,0.05112025955335843,1804.488230424213
6,2020-01-28,0,0,66.33505362521164,902.2476927460826,True,7,0.060808690071013596,1804.488230424213
7,2020-01-29,0,0,66.33505362521164,902.2476927460826,True,8,0.0723332208745766,1804.488230424213
8,2020-01-30,0,0,66.33505362521164,902.2476927460826,True,9,0.08604178946960853,1804.488230424213
9,2020-01-31,0,0,66.33505362521164,902.2476927460826,True,10,0.1023482541822389,1804.488230424213
10,2020-02-01,0,0,66.33505362521164,902.2476927460826,True,11,0.12174487836892837,1804.488230424213
11,2020-02-02,0,0,66.33505362521164,902.2476927460826,True,12,0.1448171767272414,1804.488230424213
12,2020-02-03,0,0,66.33505362521164,902.2476927460826,True,13,0.17226156972817872,1804.488230424213
13,2020-02-04,0,0,66.33505362521164,902.2476927460826,True,14,0.20490637603376008,1804.488230424213
14,2020-02-05,0,0,66.33505362521164,902.2476927460826,True,15,0.2437367722111814,1804.488230424213
15,2020-02-06,0,0,66.33505362521164,902.2476927460826,True,16,0.2899244669459855,1804.488230424213
16,2020-02-07,0,0,66.33505362521164,902.2476927460826,True,17,0.34486297661935317,1804.488230424213
17,2020-02-08,0,0,66.33505362521164,902.2476927460826,True,18,0.4102095544384382,1804.488230424213
18,2020-02-09,0,0,66.33505362521164,902.2476927460826,True,19,0.4879350208227067,1804.488230424213
19,2020-02-10,0,0,66.33505362521164,902.2476927460826,True,20,0.5803829737029849,1804.488230424213
20,2020-02-11,0,0,66.33505362521164,902.2476927460826,True,21,0.690340129833133,1804.488230424213
21,2020-02-12,0,0,66.33505362521164,902.2476927460826,True,22,0.8211198690688937,1804.488230424213
22,2020-02-13,0,0,66.33505362521164,902.2476927460826,True,23,0.9766614306815498,1804.488230424213
23,2020-02-14,0,0,66.33505362521164,902.2476927460826,True,24,1.1616476529354016,1804.488230424213
