,Report_Date,China_guangxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,13.228580173169723,126.5204771248875,True,1,16.065426583207646,253.04095264603615
1,2020-01-23,5,13.228580173169723,126.5204771248875,True,2,19.712292836469928,253.04095264603615
2,2020-01-24,23,13.228580173169723,126.5204771248875,True,3,24.102801130783558,253.04095264603615
3,2020-01-25,23,13.228580173169723,126.5204771248875,True,4,29.348204729929495,253.04095264603615
4,2020-01-26,36,13.228580173169723,126.5204771248875,True,5,35.55784661518119,253.04095264603615
5,2020-01-27,46,13.228580173169723,126.5204771248875,True,6,42.82979364875699,253.04095264603615
6,2020-01-28,51,13.228580173169723,126.5204771248875,True,7,51.23855063384365,253.04095264603615
7,2020-01-29,58,13.228580173169723,126.5204771248875,True,8,60.8205430593642,253.04095264603615
8,2020-01-30,78,13.228580173169723,126.5204771248875,True,9,71.55903141155815,253.04095264603615
9,2020-01-31,87,13.228580173169723,126.5204771248875,True,10,83.3711677652272,253.04095264603615
10,2020-02-01,100,13.228580173169723,126.5204771248875,True,11,96.10062614960191,253.04095264603615
11,2020-02-02,111,13.228580173169723,126.5204771248875,True,12,109.51911736564482,253.04095264603615
12,2020-02-03,127,13.228580173169723,126.5204771248875,True,13,123.33875800294699,253.04095264603615
13,2020-02-04,139,13.228580173169723,126.5204771248875,True,14,137.23478792139917,253.04095264603615
14,2020-02-05,150,13.228580173169723,126.5204771248875,True,15,150.8752430934766,253.04095264603615
15,2020-02-06,168,13.228580173169723,126.5204771248875,True,16,163.95203356393796,253.04095264603615
16,2020-02-07,172,13.228580173169723,126.5204771248875,True,17,176.20742226937037,253.04095264603615
17,2020-02-08,183,13.228580173169723,126.5204771248875,True,18,187.4513643140939,253.04095264603615
18,2020-02-09,195,13.228580173169723,126.5204771248875,True,19,197.5678675052065,253.04095264603615
19,2020-02-10,210,13.228580173169723,126.5204771248875,True,20,206.51132399409457,253.04095264603615
20,2020-02-11,215,13.228580173169723,126.5204771248875,True,21,214.2956711282898,253.04095264603615
21,2020-02-12,222,13.228580173169723,126.5204771248875,True,22,220.97989197579983,253.04095264603615
22,2020-02-13,222,13.228580173169723,126.5204771248875,True,23,226.65296678800587,253.04095264603615
23,2020-02-14,226,13.228580173169723,126.5204771248875,True,24,231.42042786682674,253.04095264603615
24,2020-02-15,235,13.228580173169723,126.5204771248875,True,25,235.39362538838245,253.04095264603615
25,2020-02-16,237,13.228580173169723,126.5204771248875,True,26,238.68197355587762,253.04095264603615
26,2020-02-17,238,13.228580173169723,126.5204771248875,True,27,241.38791459466552,253.04095264603615
27,2020-02-18,242,13.228580173169723,126.5204771248875,True,28,243.60408415011864,253.04095264603615
28,2020-02-19,244,13.228580173169723,126.5204771248875,True,29,245.41210381748826,253.04095264603615
29,2020-02-20,245,13.228580173169723,126.5204771248875,True,30,246.8824803657152,253.04095264603615
30,2020-02-21,246,13.228580173169723,126.5204771248875,True,31,248.0751924955142,253.04095264603615
31,2020-02-22,249,13.228580173169723,126.5204771248875,True,32,249.04065480427116,253.04095264603615
32,2020-02-23,249,13.228580173169723,126.5204771248875,True,33,249.82084478640058,253.04095264603615
33,2020-02-24,251,13.228580173169723,126.5204771248875,True,34,250.45045484097966,253.04095264603615
34,2020-02-25,252,13.228580173169723,126.5204771248875,True,35,250.95798717409073,253.04095264603615
