,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,259.76149440466315,148.78814252757323,377.6083136456936,1.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
1,2020-01-23,254.76062696314577,139.57480459018637,376.469385568254,5.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
2,2020-01-24,258.86252497883095,139.396021616517,377.8536963761803,10.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
3,2020-01-25,264.5101094406569,157.50087664653654,385.45593907910296,18.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
4,2020-01-26,269.61215328694004,161.5598500950915,388.26865459615243,35.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
5,2020-01-27,275.07789017428087,157.74387872889034,399.7319850530353,59.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
6,2020-01-28,279.998109400119,166.43367553749243,395.71619130973244,80.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
7,2020-01-29,258.9236524365316,148.71111202280633,375.282333574068,84.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
8,2020-01-30,253.92092045787962,125.15402407555378,372.1124793270734,101.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
9,2020-01-31,258.0209518265449,131.55936868061875,385.8961833789425,120.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
10,2020-02-01,263.66666751714865,153.597109955398,385.6479055361677,144.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
11,2020-02-02,268.76684050023096,147.7318006580589,387.6679477975695,159.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
12,2020-02-03,274.2307044414065,152.5945006208729,389.8631678565929,179.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
13,2020-02-04,279.149037927856,160.3378522752289,393.0151267691625,194.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
14,2020-02-05,258.0726931124264,132.88276122447743,373.99960406610006,205.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
15,2020-02-06,253.0680710814807,136.268520313729,365.8091873513098,215.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
16,2020-02-07,257.16621030364763,144.57306654133748,375.37311778465516,224.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
17,2020-02-08,262.81003176272407,137.5557754439058,383.19625516697226,239.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
18,2020-02-09,267.9083084386836,142.34192259955677,385.8083452064317,250.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
19,2020-02-10,273.3702740066347,162.34613532954407,396.7180269651927,261.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
20,2020-02-11,278.2867070633073,165.3137229050896,400.35629614190685,267.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
21,2020-02-12,257.2084597712151,136.85303324357977,373.01493437870437,272.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
22,2020-02-13,252.20193322654526,137.2389379107759,373.8270922187652,279.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
23,2020-02-14,256.2981659074944,135.6357962378036,376.5185109555014,281.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
24,2020-02-15,261.94007880787285,143.92904551900375,384.50244338472146,285.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
25,2020-02-16,267.0364449175373,151.87674240704638,393.1777013754595,287.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
26,2020-02-17,272.49649792168134,159.58324610580829,396.945901348602,290.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
27,2020-02-18,277.41101642709083,167.06722364743732,398.5842967342781,292.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
28,2020-02-19,256.33085260637165,142.07551212128007,376.37921188281666,293.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
29,2020-02-20,251.3224075660132,123.67574212651475,370.5320105407627,293.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
30,2020-02-21,255.4167197945227,129.19401956509125,370.37734577884896,293.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
31,2020-02-22,261.056710296057,148.05793437581426,377.8933275294167,293.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
32,2020-02-23,266.15115207104157,149.31836805246442,388.2371636006354,293.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
33,2020-02-24,271.6092788151321,149.38967883149843,387.69838842456295,293.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
34,2020-02-25,276.52186914570353,161.89429791895378,398.9778936375328,294.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
35,2020-02-26,255.43977524611722,141.20448191665412,373.99015973571215,294.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
36,2020-02-27,250.42939823359106,138.07511096925637,369.87652466214655,296.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
37,2020-02-28,254.52177660738505,141.449561438422,370.51123624148784,296.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
38,2020-02-29,260.1598313826021,141.96321201319776,375.4001720047206,296.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
39,2020-03-01,265.25233557059283,142.00311890890703,384.4687998947083,296.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
40,2020-03-02,270.7085228782147,162.94917376818012,392.07688372488775,296.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
41,2020-03-03,275.6191719338358,157.85711675523493,399.2416294335633,296.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
42,2020-03-04,254.53513493213447,138.70147973380924,371.03190429890486,296.0,2020-04-08,12.415708142345009,True,78,310.5683369971506
