,Report_Date,Georgia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.80128940801715,372.18373223573184,True,1,0.29810891806206113,730.1359333428815
1,2020-01-23,0,88.80128940801715,372.18373223573184,True,2,0.3258750525926364,730.1359333428815
2,2020-01-24,0,88.80128940801715,372.18373223573184,True,3,0.3562261118967318,730.1359333428815
3,2020-01-25,0,88.80128940801715,372.18373223573184,True,4,0.3894025015847368,730.1359333428815
4,2020-01-26,0,88.80128940801715,372.18373223573184,True,5,0.42566693865128813,730.1359333428815
5,2020-01-27,0,88.80128940801715,372.18373223573184,True,6,0.46530651296267306,730.1359333428815
6,2020-01-28,0,88.80128940801715,372.18373223573184,True,7,0.5086349374288572,730.1359333428815
7,2020-01-29,0,88.80128940801715,372.18373223573184,True,8,0.5559950037803683,730.1359333428815
8,2020-01-30,0,88.80128940801715,372.18373223573184,True,9,0.6077612623187876,730.1359333428815
9,2020-01-31,0,88.80128940801715,372.18373223573184,True,10,0.664342945568389,730.1359333428815
10,2020-02-01,0,88.80128940801715,372.18373223573184,True,11,0.7261871574310632,730.1359333428815
11,2020-02-02,0,88.80128940801715,372.18373223573184,True,12,0.7937823512422366,730.1359333428815
12,2020-02-03,0,88.80128940801715,372.18373223573184,True,13,0.8676621220466134,730.1359333428815
13,2020-02-04,0,88.80128940801715,372.18373223573184,True,14,0.948409340462991,730.1359333428815
14,2020-02-05,0,88.80128940801715,372.18373223573184,True,15,1.0366606576897073,730.1359333428815
15,2020-02-06,0,88.80128940801715,372.18373223573184,True,16,1.133111413517585,730.1359333428815
16,2020-02-07,0,88.80128940801715,372.18373223573184,True,17,1.2385209816645744,730.1359333428815
17,2020-02-08,0,88.80128940801715,372.18373223573184,True,18,1.3537185893222659,730.1359333428815
18,2020-02-09,0,88.80128940801715,372.18373223573184,True,19,1.4796096505023104,730.1359333428815
19,2020-02-10,0,88.80128940801715,372.18373223573184,True,20,1.6171826555798003,730.1359333428815
20,2020-02-11,0,88.80128940801715,372.18373223573184,True,21,1.7675166623351242,730.1359333428815
21,2020-02-12,0,88.80128940801715,372.18373223573184,True,22,1.931789436773616,730.1359333428815
22,2020-02-13,0,88.80128940801715,372.18373223573184,True,23,2.111286295024076,730.1359333428815
23,2020-02-14,0,88.80128940801715,372.18373223573184,True,24,2.3074097006439924,730.1359333428815
