,Report_Date,Portugal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,78.37810047100676,13232.647358187538,True,1,1.2250781984882724,26325.70254998687
1,2020-01-23,0,78.37810047100676,13232.647358187538,True,2,1.3937282153336856,26325.70254998687
2,2020-01-24,0,78.37810047100676,13232.647358187538,True,3,1.585593994295996,26325.70254998687
3,2020-01-25,0,78.37810047100676,13232.647358187538,True,4,1.8038709253510914,26325.70254998687
4,2020-01-26,0,78.37810047100676,13232.647358187538,True,5,2.052194087702694,26325.70254998687
5,2020-01-27,0,78.37810047100676,13232.647358187538,True,6,2.3346987160629458,26325.70254998687
6,2020-01-28,0,78.37810047100676,13232.647358187538,True,7,2.6560889718537752,26325.70254998687
7,2020-01-29,0,78.37810047100676,13232.647358187538,True,8,3.021716156922139,26325.70254998687
8,2020-01-30,0,78.37810047100676,13232.647358187538,True,9,3.43766766228301,26325.70254998687
9,2020-01-31,0,78.37810047100676,13232.647358187538,True,10,3.9108681201553783,26325.70254998687
10,2020-02-01,0,78.37810047100676,13232.647358187538,True,11,4.449194426860137,26325.70254998687
11,2020-02-02,0,78.37810047100676,13232.647358187538,True,12,5.061606530058299,26325.70254998687
12,2020-02-03,0,78.37810047100676,13232.647358187538,True,13,5.758296129742043,26325.70254998687
13,2020-02-04,0,78.37810047100676,13232.647358187538,True,14,6.550855732167638,26325.70254998687
14,2020-02-05,0,78.37810047100676,13232.647358187538,True,15,7.452470823789398,26325.70254998687
15,2020-02-06,0,78.37810047100676,13232.647358187538,True,16,8.478138302934743,26325.70254998687
16,2020-02-07,0,78.37810047100676,13232.647358187538,True,17,9.644914725664904,26325.70254998687
17,2020-02-08,0,78.37810047100676,13232.647358187538,True,18,10.97219839472568,26325.70254998687
18,2020-02-09,0,78.37810047100676,13232.647358187538,True,19,12.482049852972539,26325.70254998687
19,2020-02-10,0,78.37810047100676,13232.647358187538,True,20,14.199555941951534,26325.70254998687
20,2020-02-11,0,78.37810047100676,13232.647358187538,True,21,16.153243259738787,26325.70254998687
21,2020-02-12,0,78.37810047100676,13232.647358187538,True,22,18.375547607452106,26325.70254998687
22,2020-02-13,0,78.37810047100676,13232.647358187538,True,23,20.903346859177507,26325.70254998687
23,2020-02-14,0,78.37810047100676,13232.647358187538,True,24,23.77856563374222,26325.70254998687
24,2020-02-15,0,78.37810047100676,13232.647358187538,True,25,27.04886119713905,26325.70254998687
25,2020-02-16,0,78.37810047100676,13232.647358187538,True,26,30.768401189440585,26325.70254998687
26,2020-02-17,0,78.37810047100676,13232.647358187538,True,27,34.99874505689434,26325.70254998687
27,2020-02-18,0,78.37810047100676,13232.647358187538,True,28,39.809842484252755,26325.70254998687
28,2020-02-19,0,78.37810047100676,13232.647358187538,True,29,45.281163667608055,26325.70254998687
29,2020-02-20,0,78.37810047100676,13232.647358187538,True,30,51.50297794387794,26325.70254998687
30,2020-02-21,0,78.37810047100676,13232.647358187538,True,31,58.57779909431936,26325.70254998687
31,2020-02-22,0,78.37810047100676,13232.647358187538,True,32,66.6220175535458,26325.70254998687
32,2020-02-23,0,78.37810047100676,13232.647358187538,True,33,75.76774176010993,26325.70254998687
33,2020-02-24,0,78.37810047100676,13232.647358187538,True,34,86.16487294402768,26325.70254998687
34,2020-02-25,0,78.37810047100676,13232.647358187538,True,35,97.9834397070317,26325.70254998687
35,2020-02-26,0,78.37810047100676,13232.647358187538,True,36,111.41622073565681,26325.70254998687
