,Report_Date,Kyrgyzstan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.2487324697966,419.73935443425887,True,1,0.009623937211780828,752.0887196826113
1,2020-01-23,0,84.2487324697966,419.73935443425887,True,2,0.011033165322717064,752.0887196826113
2,2020-01-24,0,84.2487324697966,419.73935443425887,True,3,0.012648742862368789,752.0887196826113
3,2020-01-25,0,84.2487324697966,419.73935443425887,True,4,0.014500884037552682,752.0887196826113
4,2020-01-26,0,84.2487324697966,419.73935443425887,True,5,0.016624226788754606,752.0887196826113
5,2020-01-27,0,84.2487324697966,419.73935443425887,True,6,0.01905848038293308,752.0887196826113
6,2020-01-28,0,84.2487324697966,419.73935443425887,True,7,0.02184916777744855,752.0887196826113
7,2020-01-29,0,84.2487324697966,419.73935443425887,True,8,0.025048476614738573,752.0887196826113
8,2020-01-30,0,84.2487324697966,419.73935443425887,True,9,0.028716234731234323,752.0887196826113
9,2020-01-31,0,84.2487324697966,419.73935443425887,True,10,0.032921028382485826,752.0887196826113
10,2020-02-01,0,84.2487324697966,419.73935443425887,True,11,0.037741484042117024,752.0887196826113
11,2020-02-02,0,84.2487324697966,419.73935443425887,True,12,0.04326773767371389,752.0887196826113
12,2020-02-03,0,84.2487324697966,419.73935443425887,True,13,0.049603118857601707,752.0887196826113
13,2020-02-04,0,84.2487324697966,419.73935443425887,True,14,0.056866081142065324,752.0887196826113
14,2020-02-05,0,84.2487324697966,419.73935443425887,True,15,0.06519241455317189,752.0887196826113
15,2020-02-06,0,84.2487324697966,419.73935443425887,True,16,0.07473778142129325,752.0887196826113
16,2020-02-07,0,84.2487324697966,419.73935443425887,True,17,0.08568062265939545,752.0887196826113
17,2020-02-08,0,84.2487324697966,419.73935443425887,True,18,0.09822548846469768,752.0887196826113
18,2020-02-09,0,84.2487324697966,419.73935443425887,True,19,0.11260685523235607,752.0887196826113
19,2020-02-10,0,84.2487324697966,419.73935443425887,True,20,0.12909349940453213,752.0887196826113
20,2020-02-11,0,84.2487324697966,419.73935443425887,True,21,0.147993509185755,752.0887196826113
21,2020-02-12,0,84.2487324697966,419.73935443425887,True,22,0.16966002671114405,752.0887196826113
22,2020-02-13,0,84.2487324697966,419.73935443425887,True,23,0.1944978265552872,752.0887196826113
23,2020-02-14,0,84.2487324697966,419.73935443425887,True,24,0.2229708516381726,752.0887196826113
24,2020-02-15,0,84.2487324697966,419.73935443425887,True,25,0.25561084486886176,752.0887196826113
25,2020-02-16,0,84.2487324697966,419.73935443425887,True,26,0.2930272345444003,752.0887196826113
26,2020-02-17,0,84.2487324697966,419.73935443425887,True,27,0.3359184538978768,752.0887196826113
27,2020-02-18,0,84.2487324697966,419.73935443425887,True,28,0.3850849006041682,752.0887196826113
28,2020-02-19,0,84.2487324697966,419.73935443425887,True,29,0.4414437708753176,752.0887196826113
29,2020-02-20,0,84.2487324697966,419.73935443425887,True,30,0.5060460354114504,752.0887196826113
30,2020-02-21,0,84.2487324697966,419.73935443425887,True,31,0.580095861348108,752.0887196826113
31,2020-02-22,0,84.2487324697966,419.73935443425887,True,32,0.6649728259109721,752.0887196826113
32,2020-02-23,0,84.2487324697966,419.73935443425887,True,33,0.762257314223362,752.0887196826113
33,2020-02-24,0,84.2487324697966,419.73935443425887,True,34,0.8737595460813857,752.0887196826113
34,2020-02-25,0,84.2487324697966,419.73935443425887,True,35,1.0015527349687148,752.0887196826113
35,2020-02-26,0,84.2487324697966,419.73935443425887,True,36,1.1480109475325957,752.0887196826113
36,2020-02-27,0,84.2487324697966,419.73935443425887,True,37,1.3158523035016982,752.0887196826113
37,2020-02-28,0,84.2487324697966,419.73935443425887,True,38,1.5081882347666358,752.0887196826113
