,Report_Date,Saudi Arabia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.74201256699727,2007.2853139770555,True,1,0.04702946997315245,3353.3007078780565
1,2020-01-23,0,72.74201256699727,2007.2853139770555,True,2,0.05509412383654885,3353.3007078780565
2,2020-01-24,0,72.74201256699727,2007.2853139770555,True,3,0.06454168923061195,3353.3007078780565
3,2020-01-25,0,72.74201256699727,2007.2853139770555,True,4,0.07560929691965916,3353.3007078780565
4,2020-01-26,0,72.74201256699727,2007.2853139770555,True,5,0.08857473589879399,3353.3007078780565
5,2020-01-27,0,72.74201256699727,2007.2853139770555,True,6,0.10376342347022699,3353.3007078780565
6,2020-01-28,0,72.74201256699727,2007.2853139770555,True,7,0.12155656977847426,3353.3007078780565
7,2020-01-29,0,72.74201256699727,2007.2853139770555,True,8,0.14240074133914046,3353.3007078780565
8,2020-01-30,0,72.74201256699727,2007.2853139770555,True,9,0.16681906306047012,3353.3007078780565
9,2020-01-31,0,72.74201256699727,2007.2853139770555,True,10,0.19542433917628158,3353.3007078780565
10,2020-02-01,0,72.74201256699727,2007.2853139770555,True,11,0.22893442138925965,3353.3007078780565
11,2020-02-02,0,72.74201256699727,2007.2853139770555,True,12,0.2681902085376939,3353.3007078780565
12,2020-02-03,0,72.74201256699727,2007.2853139770555,True,13,0.3141767276128011,3353.3007078780565
13,2020-02-04,0,72.74201256699727,2007.2853139770555,True,14,0.3680478225575945,3353.3007078780565
14,2020-02-05,0,72.74201256699727,2007.2853139770555,True,15,0.4311550668197308,3353.3007078780565
15,2020-02-06,0,72.74201256699727,2007.2853139770555,True,16,0.5050816202546504,3353.3007078780565
16,2020-02-07,0,72.74201256699727,2007.2853139770555,True,17,0.5916818731667425,3353.3007078780565
17,2020-02-08,0,72.74201256699727,2007.2853139770555,True,18,0.6931278629089778,3353.3007078780565
18,2020-02-09,0,72.74201256699727,2007.2853139770555,True,19,0.811963614850458,3353.3007078780565
19,2020-02-10,0,72.74201256699727,2007.2853139770555,True,20,0.9511687534796573,3353.3007078780565
20,2020-02-11,0,72.74201256699727,2007.2853139770555,True,21,1.114232955309022,3353.3007078780565
21,2020-02-12,0,72.74201256699727,2007.2853139770555,True,22,1.3052430780715003,3353.3007078780565
22,2020-02-13,0,72.74201256699727,2007.2853139770555,True,23,1.5289851061133093,3353.3007078780565
23,2020-02-14,0,72.74201256699727,2007.2853139770555,True,24,1.7910634062749586,3353.3007078780565
24,2020-02-15,0,72.74201256699727,2007.2853139770555,True,25,2.0980401990560607,3353.3007078780565
25,2020-02-16,0,72.74201256699727,2007.2853139770555,True,26,2.4575986243832206,3353.3007078780565
26,2020-02-17,0,72.74201256699727,2007.2853139770555,True,27,2.8787333284733116,3353.3007078780565
27,2020-02-18,0,72.74201256699727,2007.2853139770555,True,28,3.3719731273555045,3353.3007078780565
28,2020-02-19,0,72.74201256699727,2007.2853139770555,True,29,3.949641023247686,3353.3007078780565
29,2020-02-20,0,72.74201256699727,2007.2853139770555,True,30,4.626157671903103,3353.3007078780565
30,2020-02-21,0,72.74201256699727,2007.2853139770555,True,31,5.418395331481534,3353.3007078780565
31,2020-02-22,0,72.74201256699727,2007.2853139770555,True,32,6.346090374335785,3353.3007078780565
32,2020-02-23,0,72.74201256699727,2007.2853139770555,True,33,7.432323617601221,3353.3007078780565
33,2020-02-24,0,72.74201256699727,2007.2853139770555,True,34,8.704079027445761,3353.3007078780565
34,2020-02-25,0,72.74201256699727,2007.2853139770555,True,35,10.192892769033273,3353.3007078780565
35,2020-02-26,0,72.74201256699727,2007.2853139770555,True,36,11.935606092713005,3353.3007078780565
36,2020-02-27,0,72.74201256699727,2007.2853139770555,True,37,13.975237133941132,3353.3007078780565
37,2020-02-28,0,72.74201256699727,2007.2853139770555,True,38,16.361988304568108,3353.3007078780565
38,2020-02-29,0,72.74201256699727,2007.2853139770555,True,39,19.15440747901975,3353.3007078780565
39,2020-03-01,0,72.74201256699727,2007.2853139770555,True,40,22.420722498854076,3353.3007078780565
40,2020-03-02,1,72.74201256699727,2007.2853139770555,True,41,26.240369440940647,3353.3007078780565
41,2020-03-03,1,72.74201256699727,2007.2853139770555,True,42,30.705735344414165,3353.3007078780565
42,2020-03-04,1,72.74201256699727,2007.2853139770555,True,43,35.924135288185276,3353.3007078780565
43,2020-03-05,5,72.74201256699727,2007.2853139770555,True,44,42.02004133266197,3353.3007078780565
44,2020-03-06,5,72.74201256699727,2007.2853139770555,True,45,49.13757618659538,3353.3007078780565
45,2020-03-07,5,72.74201256699727,2007.2853139770555,True,46,57.44327661134989,3353.3007078780565
46,2020-03-08,11,72.74201256699727,2007.2853139770555,True,47,67.12911934318527,3353.3007078780565
47,2020-03-09,15,72.74201256699727,2007.2853139770555,True,48,78.41578420687227,3353.3007078780565
48,2020-03-10,20,72.74201256699727,2007.2853139770555,True,49,91.55610329159545,3353.3007078780565
49,2020-03-11,21,72.74201256699727,2007.2853139770555,True,50,106.83860943189569,3353.3007078780565
50,2020-03-12,45,72.74201256699727,2007.2853139770555,True,51,124.59104942578301,3353.3007078780565
51,2020-03-13,86,72.74201256699727,2007.2853139770555,True,52,145.18366504801708,3353.3007078780565
52,2020-03-14,103,72.74201256699727,2007.2853139770555,True,53,169.0319659548406,3353.3007078780565
53,2020-03-15,103,72.74201256699727,2007.2853139770555,True,54,196.5986220027291,3353.3007078780565
54,2020-03-16,118,72.74201256699727,2007.2853139770555,True,55,228.39398928739232,3353.3007078780565
