,Report_Date,Ethiopia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.18559302528523,46.41149620769399,False,1,0.00250088285365684,4.985039553662049
1,2020-01-23,0,77.18559302528523,46.41149620769399,False,2,0.0028712486946405606,4.985039553662049
2,2020-01-24,0,77.18559302528523,46.41149620769399,False,3,0.003296461560717863,4.985039553662049
3,2020-01-25,0,77.18559302528523,46.41149620769399,False,4,0.0037846430611879096,4.985039553662049
4,2020-01-26,0,77.18559302528523,46.41149620769399,False,5,0.004345117235670344,4.985039553662049
5,2020-01-27,0,77.18559302528523,46.41149620769399,False,6,0.00498858851506552,4.985039553662049
6,2020-01-28,0,77.18559302528523,46.41149620769399,False,7,0.005727346000976318,4.985039553662049
7,2020-01-29,0,77.18559302528523,46.41149620769399,False,8,0.00657549794945425,4.985039553662049
8,2020-01-30,0,77.18559302528523,46.41149620769399,False,9,0.007549240916651159,4.985039553662049
9,2020-01-31,0,77.18559302528523,46.41149620769399,False,10,0.008667168679148305,4.985039553662049
10,2020-02-01,0,77.18559302528523,46.41149620769399,False,11,0.00995062679237827,4.985039553662049
11,2020-02-02,0,77.18559302528523,46.41149620769399,False,12,0.011424119510286844,4.985039553662049
12,2020-02-03,0,77.18559302528523,46.41149620769399,False,13,0.013115776773696904,4.985039553662049
13,2020-02-04,0,77.18559302528523,46.41149620769399,False,14,0.015057890101314881,4.985039553662049
14,2020-02-05,0,77.18559302528523,46.41149620769399,False,15,0.017287527505870974,4.985039553662049
15,2020-02-06,0,77.18559302528523,46.41149620769399,False,16,0.0198472390310009,4.985039553662049
16,2020-02-07,0,77.18559302528523,46.41149620769399,False,17,0.022785866187507522,4.985039553662049
17,2020-02-08,0,77.18559302528523,46.41149620769399,False,18,0.02615947048905886,4.985039553662049
18,2020-02-09,0,77.18559302528523,46.41149620769399,False,19,0.030032398479050086,4.985039553662049
19,2020-02-10,0,77.18559302528523,46.41149620769399,False,20,0.03447850313777888,4.985039553662049
20,2020-02-11,0,77.18559302528523,46.41149620769399,False,21,0.039582544401586345,4.985039553662049
21,2020-02-12,0,77.18559302528523,46.41149620769399,False,22,0.04544179475647868,4.985039553662049
22,2020-02-13,0,77.18559302528523,46.41149620769399,False,23,0.05216787953519942,4.985039553662049
23,2020-02-14,0,77.18559302528523,46.41149620769399,False,24,0.05988888569976789,4.985039553662049
24,2020-02-15,0,77.18559302528523,46.41149620769399,False,25,0.06875177758545852,4.985039553662049
25,2020-02-16,0,77.18559302528523,46.41149620769399,False,26,0.07892516337389582,4.985039553662049
26,2020-02-17,0,77.18559302528523,46.41149620769399,False,27,0.0906024620103797,4.985039553662049
27,2020-02-18,0,77.18559302528523,46.41149620769399,False,28,0.1040055269408382,4.985039553662049
28,2020-02-19,0,77.18559302528523,46.41149620769399,False,29,0.11938879047013731,4.985039553662049
29,2020-02-20,0,77.18559302528523,46.41149620769399,False,30,0.1370440007808041,4.985039553662049
30,2020-02-21,0,77.18559302528523,46.41149620769399,False,31,0.1573056327301882,4.985039553662049
31,2020-02-22,0,77.18559302528523,46.41149620769399,False,32,0.18055706347261205,4.985039553662049
32,2020-02-23,0,77.18559302528523,46.41149620769399,False,33,0.20723761470498114,4.985039553662049
33,2020-02-24,0,77.18559302528523,46.41149620769399,False,34,0.23785057483397043,4.985039553662049
34,2020-02-25,0,77.18559302528523,46.41149620769399,False,35,0.2729723264647374,4.985039553662049
35,2020-02-26,0,77.18559302528523,46.41149620769399,False,36,0.31326271707272035,4.985039553662049
36,2020-02-27,0,77.18559302528523,46.41149620769399,False,37,0.35947682316699736,4.985039553662049
37,2020-02-28,0,77.18559302528523,46.41149620769399,False,38,0.41247827013393246,4.985039553662049
38,2020-02-29,0,77.18559302528523,46.41149620769399,False,39,0.4732542804755524,4.985039553662049
39,2020-03-01,0,77.18559302528523,46.41149620769399,False,40,0.5429326312310497,4.985039553662049
40,2020-03-02,0,77.18559302528523,46.41149620769399,False,41,0.622800705493041,4.985039553662049
41,2020-03-03,0,77.18559302528523,46.41149620769399,False,42,0.7143268210892336,4.985039553662049
42,2020-03-04,0,77.18559302528523,46.41149620769399,False,43,0.8191840090298964,4.985039553662049
43,2020-03-05,0,77.18559302528523,46.41149620769399,False,44,0.9392763917448412,4.985039553662049
44,2020-03-06,0,77.18559302528523,46.41149620769399,False,45,1.0767682719772629,4.985039553662049
45,2020-03-07,0,77.18559302528523,46.41149620769399,False,46,1.2341159817964864,4.985039553662049
46,2020-03-08,0,77.18559302528523,46.41149620769399,False,47,1.4141024504689539,4.985039553662049
47,2020-03-09,0,77.18559302528523,46.41149620769399,False,48,1.6198743212369315,4.985039553662049
48,2020-03-10,0,77.18559302528523,46.41149620769399,False,49,1.8549812700485055,4.985039553662049
49,2020-03-11,0,77.18559302528523,46.41149620769399,False,50,2.1234169419211417,4.985039553662049
50,2020-03-12,0,77.18559302528523,46.41149620769399,False,51,2.4296606094108744,4.985039553662049
51,2020-03-13,1,77.18559302528523,46.41149620769399,False,52,2.778718258252235,4.985039553662049
52,2020-03-14,1,77.18559302528523,46.41149620769399,False,53,3.176161303584364,4.985039553662049
53,2020-03-15,1,77.18559302528523,46.41149620769399,False,54,3.628160524499442,4.985039553662049
54,2020-03-16,5,77.18559302528523,46.41149620769399,False,55,4.141512068464698,4.985039553662049
55,2020-03-17,5,77.18559302528523,46.41149620769399,False,56,4.723651523785198,4.985039553662049
56,2020-03-18,6,77.18559302528523,46.41149620769399,False,57,5.382651106950959,4.985039553662049
