,Report_Date,Denmark_faroe islands_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,0,0,60.68690078085521,94.19479598896486,True,33,0.980986261681423,188.38951158413656
33,2020-02-24,0,0,60.68690078085521,94.19479598896486,True,34,1.1846249250377028,188.38951158413656
34,2020-02-25,0,0,60.68690078085521,94.19479598896486,True,35,1.4302134477988266,188.38951158413656
35,2020-02-26,0,0,60.68690078085521,94.19479598896486,True,36,1.7262462580198301,188.38951158413656
36,2020-02-27,0,0,60.68690078085521,94.19479598896486,True,37,2.082870792540015,188.38951158413656
37,2020-02-28,0,0,60.68690078085521,94.19479598896486,True,38,2.5121787070558095,188.38951158413656
38,2020-02-29,0,0,60.68690078085521,94.19479598896486,True,39,3.028534405007109,188.38951158413656
39,2020-03-01,0,0,60.68690078085521,94.19479598896486,True,40,3.6489388935391367,188.38951158413656
40,2020-03-02,0,0,60.68690078085521,94.19479598896486,True,41,4.393422804225082,188.38951158413656
41,2020-03-03,0,0,60.68690078085521,94.19479598896486,True,42,5.285456169196183,188.38951158413656
42,2020-03-04,1,1,60.68690078085521,94.19479598896486,True,43,6.352353574691681,188.38951158413656
43,2020-03-05,1,1,60.68690078085521,94.19479598896486,True,44,7.625640950726602,188.38951158413656
44,2020-03-06,1,1,60.68690078085521,94.19479598896486,True,45,9.141333939251417,188.38951158413656
45,2020-03-07,1,1,60.68690078085521,94.19479598896486,True,46,10.940057336864937,188.38951158413656
46,2020-03-08,2,2,60.68690078085521,94.19479598896486,True,47,13.06691117704765,188.38951158413656
47,2020-03-09,2,2,60.68690078085521,94.19479598896486,True,48,15.570963719830697,188.38951158413656
48,2020-03-10,2,2,60.68690078085521,94.19479598896486,True,49,18.504229387897734,188.38951158413656
49,2020-03-11,2,2,60.68690078085521,94.19479598896486,True,50,21.91997815675852,188.38951158413656
50,2020-03-12,2,2,60.68690078085521,94.19479598896486,True,51,25.870233429671874,188.38951158413656
51,2020-03-13,3,3,60.68690078085521,94.19479598896486,True,52,30.402362559794007,188.38951158413656
52,2020-03-14,9,9,60.68690078085521,94.19479598896486,True,53,35.55476306175417,188.38951158413656
53,2020-03-15,11,11,60.68690078085521,94.19479598896486,True,54,41.35180819921983,188.38951158413656
54,2020-03-16,18,18,60.68690078085521,94.19479598896486,True,55,47.79843393888325,188.38951158413656
55,2020-03-17,47,47,60.68690078085521,94.19479598896486,True,56,54.874996598919964,188.38951158413656
56,2020-03-18,58,58,60.68690078085521,94.19479598896486,True,57,62.53324706725727,188.38951158413656
57,2020-03-19,72,72,60.68690078085521,94.19479598896486,True,58,70.69436714707406,188.38951158413656
58,2020-03-20,80,80,60.68690078085521,94.19479598896486,True,59,79.24990760636344,188.38951158413656
59,2020-03-21,92,92,60.68690078085521,94.19479598896486,True,60,88.06610542375454,188.38951158413656
60,2020-03-22,115,115,60.68690078085521,94.19479598896486,True,61,96.99147080348891,188.38951158413656
61,2020-03-23,118,118,60.68690078085521,94.19479598896486,True,62,105.86685410891435,188.38951158413656
62,2020-03-24,122,89,60.68690078085521,94.19479598896486,True,63,114.53662999124583,188.38951158413656
63,2020-03-25,132,94,60.68690078085521,94.19479598896486,True,64,122.85936416152047,188.38951158413656
64,2020-03-26,140,93,60.68690078085521,94.19479598896486,True,65,130.71645513398352,188.38951158413656
65,2020-03-27,144,90,60.68690078085521,94.19479598896486,True,66,138.0177228503493,188.38951158413656
66,2020-03-28,155,101,60.68690078085521,94.19479598896486,True,67,144.70358146760998,188.38951158413656
67,2020-03-29,159,89,60.68690078085521,94.19479598896486,True,68,150.74407580332007,188.38951158413656
68,2020-03-30,168,98,60.68690078085521,94.19479598896486,True,69,156.13551611462992,188.38951158413656
69,2020-03-31,169,95,60.68690078085521,94.19479598896486,True,70,160.89564525241784,188.38951158413656
70,2020-04-01,173,98,60.68690078085521,94.19479598896486,True,71,165.05824006750478,188.38951158413656
71,2020-04-02,177,96,60.68690078085521,94.19479598896486,True,72,168.66786513723375,188.38951158413656
72,2020-04-03,179,88,60.68690078085521,94.19479598896486,True,73,171.7752523661032,188.38951158413656
73,2020-04-04,181,88,60.68690078085521,94.19479598896486,True,74,174.43354589964025,188.38951158413656
74,2020-04-05,181,82,60.68690078085521,94.19479598896486,True,75,176.6954680175201,188.38951158413656
75,2020-04-06,183,76,60.68690078085521,94.19479598896486,True,76,178.6113403453613,188.38951158413656
76,2020-04-07,184,64,60.68690078085521,94.19479598896486,True,77,180.22782990733424,188.38951158413656
77,2020-04-08,184,53,60.68690078085521,94.19479598896486,True,78,181.58726715407929,188.38951158413656
78,2020-04-09,184,48,60.68690078085521,94.19479598896486,True,79,182.72738791634015,188.38951158413656
79,2020-04-10,184,39,60.68690078085521,94.19479598896486,True,80,183.68137055294383,188.38951158413656
80,2020-04-11,184,39,60.68690078085521,94.19479598896486,True,81,184.47806438417325,188.38951158413656
81,2020-04-12,184,27,60.68690078085521,94.19479598896486,True,82,185.14233029551343,188.38951158413656
82,2020-04-13,184,27,60.68690078085521,94.19479598896486,True,83,185.69543628372278,188.38951158413656
83,2020-04-14,184,21,60.68690078085521,94.19479598896486,True,84,186.15546858896775,188.38951158413656
84,2020-04-15,184,18,60.68690078085521,94.19479598896486,True,85,186.53773284541998,188.38951158413656
85,2020-04-16,184,15,60.68690078085521,94.19479598896486,True,86,186.85512984349822,188.38951158413656
86,2020-04-17,184,13,60.68690078085521,94.19479598896486,True,87,187.1184976822792,188.38951158413656
87,2020-04-18,184,11,60.68690078085521,94.19479598896486,True,88,187.33691696693347,188.38951158413656
88,2020-04-19,185,9,60.68690078085521,94.19479598896486,True,89,187.5179788650606,188.38951158413656
89,2020-04-20,185,9,60.68690078085521,94.19479598896486,True,90,187.66801776250742,188.38951158413656
90,2020-04-21,185,7,60.68690078085521,94.19479598896486,True,91,187.7923113304767,188.38951158413656
91,2020-04-22,185,7,60.68690078085521,94.19479598896486,True,92,187.89525131287144,188.38951158413656
92,2020-04-23,187,9,60.68690078085521,94.19479598896486,True,93,187.98048846937428,188.38951158413656
93,2020-04-24,187,9,60.68690078085521,94.19479598896486,True,94,188.0510550088242,188.38951158413656
94,2020-04-25,187,9,60.68690078085521,94.19479598896486,True,95,188.10946761695368,188.38951158413656
95,2020-04-26,187,9,60.68690078085521,94.19479598896486,True,96,188.1578138876508,188.38951158413656
96,2020-04-27,187,9,60.68690078085521,94.19479598896486,True,97,188.19782464954247,188.38951158413656
97,2020-04-28,187,6,60.68690078085521,94.19479598896486,True,98,188.2309343657221,188.38951158413656
98,2020-04-29,187,6,60.68690078085521,94.19479598896486,True,99,188.25833148882518,188.38951158413656
99,2020-04-30,187,3,60.68690078085521,94.19479598896486,True,100,188.2810003841632,188.38951158413656
100,2020-05-01,187,3,60.68690078085521,94.19479598896486,True,101,188.29975619339774,188.38951158413656
101,2020-05-02,187,3,60.68690078085521,94.19479598896486,True,102,188.3152738005461,188.38951158413656
102,2020-05-03,187,2,60.68690078085521,94.19479598896486,True,103,188.32811187956838,188.38951158413656
103,2020-05-04,187,2,60.68690078085521,94.19479598896486,True,104,188.33873284608694,188.38951158413656
104,2020-05-05,187,2,60.68690078085521,94.19479598896486,True,105,188.34751940224953,188.38951158413656
105,2020-05-06,187,2,60.68690078085521,94.19479598896486,True,106,188.35478825058456,188.38951158413656
106,2020-05-07,187,2,60.68690078085521,94.19479598896486,True,107,188.36080145723835,188.38951158413656
107,2020-05-08,187,0,60.68690078085521,94.19479598896486,True,108,188.36577586474573,188.38951158413656
108,2020-05-09,187,0,60.68690078085521,94.19479598896486,True,109,188.36989088724206,188.38951158413656
109,2020-05-10,187,0,60.68690078085521,94.19479598896486,True,110,188.37329496480083,188.38951158413656
110,2020-05-11,187,0,60.68690078085521,94.19479598896486,True,111,188.3761109066614,188.38951158413656
111,2020-05-12,187,0,60.68690078085521,94.19479598896486,True,112,188.3784403140219,188.38951158413656
112,2020-05-13,187,0,60.68690078085521,94.19479598896486,True,113,188.38036724053896,188.38951158413656
113,2020-05-14,187,0,60.68690078085521,94.19479598896486,True,114,188.38196122163853,188.38951158413656
114,2020-05-15,187,0,60.68690078085521,94.19479598896486,True,115,188.38327978128137,188.38951158413656
115,2020-05-16,187,0,60.68690078085521,94.19479598896486,True,116,188.38437050618862,188.38951158413656
116,2020-05-17,187,0,60.68690078085521,94.19479598896486,True,117,188.38527276207105,188.38951158413656
117,2020-05-18,187,0,60.68690078085521,94.19479598896486,True,118,188.38601911358813,188.38951158413656
118,2020-05-19,187,0,60.68690078085521,94.19479598896486,True,119,188.3866364991387,188.38951158413656
119,2020-05-20,187,0,60.68690078085521,94.19479598896486,True,120,188.38714720278503,188.38951158413656
120,2020-05-21,187,0,60.68690078085521,94.19479598896486,True,121,188.38756965832235,188.38951158413656
121,2020-05-22,187,0,60.68690078085521,94.19479598896486,True,122,188.38791911446884,188.38951158413656
122,2020-05-23,187,0,60.68690078085521,94.19479598896486,True,123,188.3882081851546,188.38951158413656
123,2020-05-24,187,0,60.68690078085521,94.19479598896486,True,124,188.38844730475017,188.38951158413656
124,2020-05-25,187,0,60.68690078085521,94.19479598896486,True,125,188.388645104652,188.38951158413656
125,2020-05-26,187,0,60.68690078085521,94.19479598896486,True,126,188.3888087248079,188.38951158413656
126,2020-05-27,187,0,60.68690078085521,94.19479598896486,True,127,188.38894407141973,188.38951158413656
127,2020-05-28,187,0,60.68690078085521,94.19479598896486,True,128,188.3890560301219,188.38951158413656
