,Report_Date,Denmark_faroe islands_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,60.68690078085521,94.19479598896486,True,1,0.0022774128053741245,188.38951158413656
1,2020-01-23,0,0,60.68690078085521,94.19479598896486,True,2,0.0027531556464157774,188.38951158413656
2,2020-01-24,0,0,60.68690078085521,94.19479598896486,True,3,0.0033282775950251734,188.38951158413656
3,2020-01-25,0,0,60.68690078085521,94.19479598896486,True,4,0.004023537390460974,188.38951158413656
4,2020-01-26,0,0,60.68690078085521,94.19479598896486,True,5,0.004864029573696071,188.38951158413656
5,2020-01-27,0,0,60.68690078085521,94.19479598896486,True,6,0.005880089917923728,188.38951158413656
6,2020-01-28,0,0,60.68690078085521,94.19479598896486,True,7,0.007108389857398602,188.38951158413656
7,2020-01-29,0,0,60.68690078085521,94.19479598896486,True,8,0.008593259329139812,188.38951158413656
8,2020-01-30,0,0,60.68690078085521,94.19479598896486,True,9,0.010388285644745742,188.38951158413656
9,2020-01-31,0,0,60.68690078085521,94.19479598896486,True,10,0.012558245911566544,188.38951158413656
10,2020-02-01,0,0,60.68690078085521,94.19479598896486,True,11,0.015181442472149354,188.38951158413656
11,2020-02-02,0,0,60.68690078085521,94.19479598896486,True,12,0.01835252524636353,188.38951158413656
12,2020-02-03,0,0,60.68690078085521,94.19479598896486,True,13,0.02218590224300527,188.38951158413656
13,2020-02-04,0,0,60.68690078085521,94.19479598896486,True,14,0.026819860456266848,188.38951158413656
14,2020-02-05,0,0,60.68690078085521,94.19479598896486,True,15,0.03242154459229345,188.38951158413656
15,2020-02-06,0,0,60.68690078085521,94.19479598896486,True,16,0.03919297143282122,188.38951158413656
16,2020-02-07,0,0,60.68690078085521,94.19479598896486,True,17,0.047378294144918315,188.38951158413656
17,2020-02-08,0,0,60.68690078085521,94.19479598896486,True,18,0.05727257467784674,188.38951158413656
18,2020-02-09,0,0,60.68690078085521,94.19479598896486,True,19,0.06923237494564209,188.38951158413656
19,2020-02-10,0,0,60.68690078085521,94.19479598896486,True,20,0.08368854040223561,188.38951158413656
20,2020-02-11,0,0,60.68690078085521,94.19479598896486,True,21,0.10116162474900132,188.38951158413656
21,2020-02-12,0,0,60.68690078085521,94.19479598896486,True,22,0.12228049400679594,188.38951158413656
22,2020-02-13,0,0,60.68690078085521,94.19479598896486,True,23,0.14780475442514518,188.38951158413656
23,2020-02-14,0,0,60.68690078085521,94.19479598896486,True,24,0.17865177430171175,188.38951158413656
24,2020-02-15,0,0,60.68690078085521,94.19479598896486,True,25,0.2159292175015172,188.38951158413656
25,2020-02-16,0,0,60.68690078085521,94.19479598896486,True,26,0.2609741790494404,188.38951158413656
26,2020-02-17,0,0,60.68690078085521,94.19479598896486,True,27,0.3154002131117753,188.38951158413656
27,2020-02-18,0,0,60.68690078085521,94.19479598896486,True,28,0.3811537727912533,188.38951158413656
28,2020-02-19,0,0,60.68690078085521,94.19479598896486,True,29,0.46058183989750257,188.38951158413656
29,2020-02-20,0,0,60.68690078085521,94.19479598896486,True,30,0.5565128093219771,188.38951158413656
30,2020-02-21,0,0,60.68690078085521,94.19479598896486,True,31,0.6723530010578923,188.38951158413656
31,2020-02-22,0,0,60.68690078085521,94.19479598896486,True,32,0.8122014913513695,188.38951158413656
