,Report_Date,Honduras_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,140.10727415246376,7798.056809242883,False,1,1.2209685448039358,15596.11361848577
1,2020-01-23,0,0,140.10727415246376,7798.056809242883,False,2,1.3068353411526827,15596.11361848577
2,2020-01-24,0,0,140.10727415246376,7798.056809242883,False,3,1.3987403318810985,15596.11361848577
3,2020-01-25,0,0,140.10727415246376,7798.056809242883,False,4,1.4971080468599505,15596.11361848577
4,2020-01-26,0,0,140.10727415246376,7798.056809242883,False,5,1.6023928520785395,15596.11361848577
5,2020-01-27,0,0,140.10727415246376,7798.056809242883,False,6,1.7150810448665927,15596.11361848577
6,2020-01-28,0,0,140.10727415246376,7798.056809242883,False,7,1.83569309600831,15596.11361848577
7,2020-01-29,0,0,140.10727415246376,7798.056809242883,False,8,1.9647860490114435,15596.11361848577
8,2020-01-30,0,0,140.10727415246376,7798.056809242883,False,9,2.102956087506141,15596.11361848577
9,2020-01-31,0,0,140.10727415246376,7798.056809242883,False,10,2.2508412825087754,15596.11361848577
10,2020-02-01,0,0,140.10727415246376,7798.056809242883,False,11,2.4091245320983017,15596.11361848577
11,2020-02-02,0,0,140.10727415246376,7798.056809242883,False,12,2.5785367069202065,15596.11361848577
12,2020-02-03,0,0,140.10727415246376,7798.056809242883,False,13,2.759860015859541,15596.11361848577
13,2020-02-04,0,0,140.10727415246376,7798.056809242883,False,14,2.9539316072135624,15596.11361848577
14,2020-02-05,0,0,140.10727415246376,7798.056809242883,False,15,3.161647421750297,15596.11361848577
15,2020-02-06,0,0,140.10727415246376,7798.056809242883,False,16,3.3839663151661106,15596.11361848577
16,2020-02-07,0,0,140.10727415246376,7798.056809242883,False,17,3.621914468657656,15596.11361848577
17,2020-02-08,0,0,140.10727415246376,7798.056809242883,False,18,3.876590107606138,15596.11361848577
18,2020-02-09,0,0,140.10727415246376,7798.056809242883,False,19,4.149168549739711,15596.11361848577
19,2020-02-10,0,0,140.10727415246376,7798.056809242883,False,20,4.440907605598352,15596.11361848577
20,2020-02-11,0,0,140.10727415246376,7798.056809242883,False,21,4.753153355680142,15596.11361848577
21,2020-02-12,0,0,140.10727415246376,7798.056809242883,False,22,5.087346330304627,15596.11361848577
22,2020-02-13,0,0,140.10727415246376,7798.056809242883,False,23,5.445028119993611,15596.11361848577
23,2020-02-14,0,0,140.10727415246376,7798.056809242883,False,24,5.827848446049108,15596.11361848577
24,2020-02-15,0,0,140.10727415246376,7798.056809242883,False,25,6.23757272300853,15596.11361848577
25,2020-02-16,0,0,140.10727415246376,7798.056809242883,False,26,6.676090146785808,15596.11361848577
26,2020-02-17,0,0,140.10727415246376,7798.056809242883,False,27,7.1454223445709495,15596.11361848577
27,2020-02-18,0,0,140.10727415246376,7798.056809242883,False,28,7.647732624967075,15596.11361848577
28,2020-02-19,0,0,140.10727415246376,7798.056809242883,False,29,8.18533586940103,15596.11361848577
29,2020-02-20,0,0,140.10727415246376,7798.056809242883,False,30,8.760709108558773,15596.11361848577
30,2020-02-21,0,0,140.10727415246376,7798.056809242883,False,31,9.37650283047833,15596.11361848577
31,2020-02-22,0,0,140.10727415246376,7798.056809242883,False,32,10.03555306998898,15596.11361848577
32,2020-02-23,0,0,140.10727415246376,7798.056809242883,False,33,10.740894332423867,15596.11361848577
33,2020-02-24,0,0,140.10727415246376,7798.056809242883,False,34,11.49577340796273,15596.11361848577
34,2020-02-25,0,0,140.10727415246376,7798.056809242883,False,35,12.303664136589774,15596.11361848577
35,2020-02-26,0,0,140.10727415246376,7798.056809242883,False,36,13.16828318748692,15596.11361848577
36,2020-02-27,0,0,140.10727415246376,7798.056809242883,False,37,14.093606920732839,15596.11361848577
37,2020-02-28,0,0,140.10727415246376,7798.056809242883,False,38,15.08388940344952,15596.11361848577
38,2020-02-29,0,0,140.10727415246376,7798.056809242883,False,39,16.143681657038567,15596.11361848577
39,2020-03-01,0,0,140.10727415246376,7798.056809242883,False,40,17.277852216883424,15596.11361848577
40,2020-03-02,0,0,140.10727415246376,7798.056809242883,False,41,18.49160909086729,15596.11361848577
41,2020-03-03,0,0,140.10727415246376,7798.056809242883,False,42,19.79052320827211,15596.11361848577
42,2020-03-04,0,0,140.10727415246376,7798.056809242883,False,43,21.180553456084052,15596.11361848577
43,2020-03-05,0,0,140.10727415246376,7798.056809242883,False,44,22.668073405435393,15596.11361848577
44,2020-03-06,0,0,140.10727415246376,7798.056809242883,False,45,24.259899836858253,15596.11361848577
45,2020-03-07,0,0,140.10727415246376,7798.056809242883,False,46,25.96332317920805,15596.11361848577
46,2020-03-08,0,0,140.10727415246376,7798.056809242883,False,47,27.786139983523405,15596.11361848577
47,2020-03-09,0,0,140.10727415246376,7798.056809242883,False,48,29.736687559713054,15596.11361848577
48,2020-03-10,0,0,140.10727415246376,7798.056809242883,False,49,31.8238809107797,15596.11361848577
49,2020-03-11,2,2,140.10727415246376,7798.056809242883,False,50,34.057252106282675,15596.11361848577
50,2020-03-12,2,2,140.10727415246376,7798.056809242883,False,51,36.446992243875755,15596.11361848577
51,2020-03-13,2,2,140.10727415246376,7798.056809242883,False,52,39.0039961549937,15596.11361848577
52,2020-03-14,2,2,140.10727415246376,7798.056809242883,False,53,41.73991001805539,15596.11361848577
53,2020-03-15,3,3,140.10727415246376,7798.056809242883,False,54,44.66718204984284,15596.11361848577
54,2020-03-16,6,6,140.10727415246376,7798.056809242883,False,55,47.799116452935664,15596.11361848577
55,2020-03-17,8,8,140.10727415246376,7798.056809242883,False,56,51.149930804142535,15596.11361848577
56,2020-03-18,9,9,140.10727415246376,7798.056809242883,False,57,54.73481707567715,15596.11361848577
57,2020-03-19,12,12,140.10727415246376,7798.056809242883,False,58,58.57000648725363,15596.11361848577
58,2020-03-20,24,24,140.10727415246376,7798.056809242883,False,59,62.67283839318818,15596.11361848577
59,2020-03-21,24,24,140.10727415246376,7798.056809242883,False,60,67.06183341382132,15596.11361848577
60,2020-03-22,26,26,140.10727415246376,7798.056809242883,False,61,71.75677102492931,15596.11361848577
61,2020-03-23,30,30,140.10727415246376,7798.056809242883,False,62,76.77877182205036,15596.11361848577
62,2020-03-24,30,30,140.10727415246376,7798.056809242883,False,63,82.1503846785486,15596.11361848577
63,2020-03-25,36,36,140.10727415246376,7798.056809242883,False,64,87.8956790164855,15596.11361848577
64,2020-03-26,52,51,140.10727415246376,7798.056809242883,False,65,94.04034240761501,15596.11361848577
65,2020-03-27,68,67,140.10727415246376,7798.056809242883,False,66,100.61178371767535,15596.11361848577
66,2020-03-28,95,91,140.10727415246376,7798.056809242883,False,67,107.6392420001708,15596.11361848577
67,2020-03-29,110,104,140.10727415246376,7798.056809242883,False,68,115.15390133551125,15596.11361848577
68,2020-03-30,139,129,140.10727415246376,7798.056809242883,False,69,123.18901179712248,15596.11361848577
69,2020-03-31,141,131,140.10727415246376,7798.056809242883,False,70,131.7800167073159,15596.11361848577
