,Report_Date,Antigua and Barbuda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.83938914970128,22.98146698161058,False,1,0.006710904635376075,0.20216705493417442
1,2020-01-23,0,83.83938914970128,22.98146698161058,False,2,0.007465779091840751,0.20216705493417442
2,2020-01-24,0,83.83938914970128,22.98146698161058,False,3,0.008305550069874849,0.20216705493417442
3,2020-01-25,0,83.83938914970128,22.98146698161058,False,4,0.009239761761593749,0.20216705493417442
4,2020-01-26,0,83.83938914970128,22.98146698161058,False,5,0.010279030464885154,0.20216705493417442
5,2020-01-27,0,83.83938914970128,22.98146698161058,False,6,0.0114351648079428,0.20216705493417442
6,2020-01-28,0,83.83938914970128,22.98146698161058,False,7,0.012721299406696413,0.20216705493417442
7,2020-01-29,0,83.83938914970128,22.98146698161058,False,8,0.014152043444381344,0.20216705493417442
8,2020-01-30,0,83.83938914970128,22.98146698161058,False,9,0.01574364582482279,0.20216705493417442
9,2020-01-31,0,83.83938914970128,22.98146698161058,False,10,0.017514178730370113,0.20216705493417442
10,2020-02-01,0,83.83938914970128,22.98146698161058,False,11,0.019483741613432227,0.20216705493417442
11,2020-02-02,0,83.83938914970128,22.98146698161058,False,12,0.021674687868973624,0.20216705493417442
12,2020-02-03,0,83.83938914970128,22.98146698161058,False,13,0.024111876675984117,0.20216705493417442
13,2020-02-04,0,83.83938914970128,22.98146698161058,False,14,0.026822952760788075,0.20216705493417442
14,2020-02-05,0,83.83938914970128,22.98146698161058,False,15,0.029838657126157957,0.20216705493417442
15,2020-02-06,0,83.83938914970128,22.98146698161058,False,16,0.033193172109661946,0.20216705493417442
16,2020-02-07,0,83.83938914970128,22.98146698161058,False,17,0.03692450448466993,0.20216705493417442
17,2020-02-08,0,83.83938914970128,22.98146698161058,False,18,0.04107491070013467,0.20216705493417442
18,2020-02-09,0,83.83938914970128,22.98146698161058,False,19,0.04569136877277472,0.20216705493417442
19,2020-02-10,0,83.83938914970128,22.98146698161058,False,20,0.05082610179960858,0.20216705493417442
20,2020-02-11,0,83.83938914970128,22.98146698161058,False,21,0.05653715855170616,0.20216705493417442
21,2020-02-12,0,83.83938914970128,22.98146698161058,False,22,0.06288905714296866,0.20216705493417442
22,2020-02-13,0,83.83938914970128,22.98146698161058,False,23,0.06995349834165832,0.20216705493417442
23,2020-02-14,0,83.83938914970128,22.98146698161058,False,24,0.07781015570749987,0.20216705493417442
24,2020-02-15,0,83.83938914970128,22.98146698161058,False,25,0.08654755039273067,0.20216705493417442
25,2020-02-16,0,83.83938914970128,22.98146698161058,False,26,0.09626401913945092,0.20216705493417442
26,2020-02-17,0,83.83938914970128,22.98146698161058,False,27,0.10706878473429347,0.20216705493417442
27,2020-02-18,0,83.83938914970128,22.98146698161058,False,28,0.11908313893885286,0.20216705493417442
28,2020-02-19,0,83.83938914970128,22.98146698161058,False,29,0.13244174869171738,0.20216705493417442
29,2020-02-20,0,83.83938914970128,22.98146698161058,False,30,0.1472940971629628,0.20216705493417442
30,2020-02-21,0,83.83938914970128,22.98146698161058,False,31,0.16380607201767725,0.20216705493417442
31,2020-02-22,0,83.83938914970128,22.98146698161058,False,32,0.18216171398889375,0.20216705493417442
32,2020-02-23,0,83.83938914970128,22.98146698161058,False,33,0.20256513954254943,0.20216705493417442
33,2020-02-24,0,83.83938914970128,22.98146698161058,False,34,0.22524265199939186,0.20216705493417442
34,2020-02-25,0,83.83938914970128,22.98146698161058,False,35,0.2504450559120642,0.20216705493417442
35,2020-02-26,0,83.83938914970128,22.98146698161058,False,36,0.27845018971787383,0.20216705493417442
36,2020-02-27,0,83.83938914970128,22.98146698161058,False,37,0.3095656916212505,0.20216705493417442
37,2020-02-28,0,83.83938914970128,22.98146698161058,False,38,0.3441320132080768,0.20216705493417442
38,2020-02-29,0,83.83938914970128,22.98146698161058,False,39,0.3825256943380308,0.20216705493417442
39,2020-03-01,0,83.83938914970128,22.98146698161058,False,40,0.4251629112556159,0.20216705493417442
40,2020-03-02,0,83.83938914970128,22.98146698161058,False,41,0.47250330742982743,0.20216705493417442
41,2020-03-03,0,83.83938914970128,22.98146698161058,False,42,0.5250541131654546,0.20216705493417442
42,2020-03-04,0,83.83938914970128,22.98146698161058,False,43,0.5833745552749973,0.20216705493417442
43,2020-03-05,0,83.83938914970128,22.98146698161058,False,44,0.6480805517642326,0.20216705493417442
44,2020-03-06,0,83.83938914970128,22.98146698161058,False,45,0.7198496782238732,0.20216705493417442
45,2020-03-07,0,83.83938914970128,22.98146698161058,False,46,0.799426382041969,0.20216705493417442
46,2020-03-08,0,83.83938914970128,22.98146698161058,False,47,0.8876274072144636,0.20216705493417442
47,2020-03-09,0,83.83938914970128,22.98146698161058,False,48,0.9853473759464856,0.20216705493417442
48,2020-03-10,0,83.83938914970128,22.98146698161058,False,49,1.0935644528802224,0.20216705493417442
49,2020-03-11,0,83.83938914970128,22.98146698161058,False,50,1.213345993112695,0.20216705493417442
50,2020-03-12,0,83.83938914970128,22.98146698161058,False,51,1.3458540456431396,0.20216705493417442
51,2020-03-13,1,83.83938914970128,22.98146698161058,False,52,1.4923505490292304,0.20216705493417442
52,2020-03-14,1,83.83938914970128,22.98146698161058,False,53,1.6542020154579153,0.20216705493417442
53,2020-03-15,1,83.83938914970128,22.98146698161058,False,54,1.8328834529645326,0.20216705493417442
54,2020-03-16,1,83.83938914970128,22.98146698161058,False,55,2.0299812232771757,0.20216705493417442
55,2020-03-17,1,83.83938914970128,22.98146698161058,False,56,2.2471944752734085,0.20216705493417442
56,2020-03-18,1,83.83938914970128,22.98146698161058,False,57,2.4863347324744174,0.20216705493417442
57,2020-03-19,1,83.83938914970128,22.98146698161058,False,58,2.749323149341009,0.20216705493417442
58,2020-03-20,1,83.83938914970128,22.98146698161058,False,59,3.0381848883916684,0.20216705493417442
59,2020-03-21,1,83.83938914970128,22.98146698161058,False,60,3.3550400126352877,0.20216705493417442
60,2020-03-22,1,83.83938914970128,22.98146698161058,False,61,3.7020902413148185,0.20216705493417442
61,2020-03-23,3,83.83938914970128,22.98146698161058,False,62,4.081600889006238,0.20216705493417442
62,2020-03-24,3,83.83938914970128,22.98146698161058,False,63,4.495877307997381,0.20216705493417442
63,2020-03-25,3,83.83938914970128,22.98146698161058,False,64,4.947235192548889,0.20216705493417442
64,2020-03-26,7,83.83938914970128,22.98146698161058,False,65,5.437964193389155,0.20216705493417442
65,2020-03-27,7,83.83938914970128,22.98146698161058,False,66,5.970284444469104,0.20216705493417442
66,2020-03-28,7,83.83938914970128,22.98146698161058,False,67,6.546295833830496,0.20216705493417442
67,2020-03-29,7,83.83938914970128,22.98146698161058,False,68,7.167920166298213,0.20216705493417442
68,2020-03-30,7,83.83938914970128,22.98146698161058,False,69,7.8368367728326636,0.20216705493417442
69,2020-03-31,7,83.83938914970128,22.98146698161058,False,70,8.554412617642708,0.20216705493417442
70,2020-04-01,7,83.83938914970128,22.98146698161058,False,71,9.321628527110652,0.20216705493417442
71,2020-04-02,9,83.83938914970128,22.98146698161058,False,72,10.139003788690156,0.20216705493417442
72,2020-04-03,15,83.83938914970128,22.98146698161058,False,73,11.006522002661438,0.20216705493417442
73,2020-04-04,15,83.83938914970128,22.98146698161058,False,74,11.923561659033162,0.20216705493417442
74,2020-04-05,15,83.83938914970128,22.98146698161058,False,75,12.888835386659906,0.20216705493417442
